Case,Activity,Timestamp,Resource,label,iscollateral,BaseActivity,ProcessedActivity,CollateralGroup,is_collateral_event,y_true
4,Deliver card,2023-09-29 13:31:16.944,Manager-000004,,0,Deliver card,deliver card,-1,0,0
4,EVENT 13 END,2023-09-29 13:33:29.765,,,0,EVENT 13 END,event 13 end,-1,0,0
5,Check for completeness,2023-09-29 11:58:51.818,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
5,New online application received,2023-09-29 11:58:51.818,,,0,New online application received,new online application received,-1,0,0
5,Perform checks,2023-09-29 11:59:56.433,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
5,Make decision,2023-09-29 12:06:54.570,Manager-000005,,0,Make decision,make decision,-1,0,0
5,Notify accept,2023-09-29 12:13:00.166,Manager-000004,,0,Notify accept,notify accept,-1,0,0
5,Deliver card,2023-09-29 12:15:13.449,Manager-000006,,0,Deliver card,deliver card,-1,0,0
5,EVENT 13 END,2023-09-29 12:16:48.900,,,0,EVENT 13 END,event 13 end,-1,0,0
6,Check for completeness,2023-09-29 13:17:49.926,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
6,New online application received,2023-09-29 13:17:49.926,,,0,New online application received,new online application received,-1,0,0
6,Make decision_signed1,2023-09-29 13:17:50.026,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,6,0,1
6,Perform checks,2023-09-29 13:41:22.452,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
6,Make decision_signed1,2023-09-29 13:41:23.152,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,7,0,1
6,Make decision,2023-09-29 13:45:49.138,Manager-000002,,0,Make decision,make decision,8,0,0
6,Notify accept,2023-09-29 13:46:40.377,Manager-000004,,0,Notify accept,notify accept,-1,0,0
6,Make decision_signed1,2023-09-29 13:46:41.177,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,9,0,1
6,Deliver card,2023-09-29 14:12:17.370,Manager-000003,,0,Deliver card,deliver card,-1,0,0
6,Make decision_signed1,2023-09-29 14:12:17.970,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,10,0,1
6,EVENT 13 END,2023-09-29 14:25:51.968,,,0,EVENT 13 END,event 13 end,-1,0,0
6,Make decision_signed1,2023-09-29 14:25:52.568,,collateral events(Make decision),0,Make decision_signed1,make decision,11,0,1
7,Check for completeness,2023-09-29 13:24:12.521,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
7,New online application received,2023-09-29 13:24:12.521,,,0,New online application received,new online application received,-1,0,0
7,Make decision_signed1,2023-09-29 13:24:12.921,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,12,0,1
7,Perform checks,2023-09-29 13:24:18.373,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
7,Make decision_signed1,2023-09-29 13:24:18.773,Clerk-000005,collateral events(Make decision),0,Make decision_signed1,make decision,13,0,1
7,Make decision,2023-09-29 13:29:26.239,Manager-000005,,0,Make decision,make decision,14,0,0
7,Notify accept,2023-09-29 13:39:56.417,Manager-000006,,0,Notify accept,notify accept,-1,0,0
7,Make decision_signed1,2023-09-29 13:39:56.617,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,15,0,1
7,Deliver card,2023-09-29 13:43:55.173,Manager-000001,,0,Deliver card,deliver card,-1,0,0
7,Make decision_signed1,2023-09-29 13:43:55.773,Manager-000001,collateral events(Make decision),0,Make decision_signed1,make decision,16,0,1
7,EVENT 13 END,2023-09-29 13:58:02.645,,,0,EVENT 13 END,event 13 end,-1,0,0
7,Make decision_signed1,2023-09-29 13:58:03.045,,collateral events(Make decision),0,Make decision_signed1,make decision,17,0,1
8,Check for completeness,2023-09-29 13:38:17.743,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
8,New online application received,2023-09-29 13:38:17.743,,,0,New online application received,new online application received,-1,0,0
8,Make decision_signed1,2023-09-29 13:38:17.943,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,18,0,1
8,Request info,2023-09-29 13:43:58.067,Manager-000003,,0,Request info,request info,-1,0,0
8,Make decision_signed1,2023-09-29 13:43:58.067,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,19,0,1
8,info received,2023-09-29 13:45:28.311,,,0,info received,info received,-1,0,0
8,Make decision_signed1,2023-09-29 13:45:29.011,,collateral events(Make decision),0,Make decision_signed1,make decision,20,0,1
8,Check for completeness,2023-09-29 13:45:38.311,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
8,Make decision_signed1,2023-09-29 13:45:38.311,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,21,0,1
8,Perform checks,2023-09-29 13:59:58.042,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
8,Make decision_signed1,2023-09-29 13:59:58.542,Clerk-000005,collateral events(Make decision),0,Make decision_signed1,make decision,22,0,1
8,Make decision,2023-09-29 14:00:04.900,Manager-000005,,0,Make decision,make decision,23,0,0
8,notify reject,2023-09-29 14:15:21.082,Manager-000002,,0,notify reject,notify reject,-1,0,0
8,Make decision_signed1,2023-09-29 14:15:21.982,Manager-000002,collateral events(Make decision),0,Make decision_signed1,make decision,24,0,1
8,review request received,2023-09-29 14:19:47.442,,,0,review request received,review request received,-1,0,0
8,Make decision_signed1,2023-09-29 14:19:48.142,,collateral events(Make decision),0,Make decision_signed1,make decision,25,0,1
8,Check for completeness,2023-09-29 14:19:57.442,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
8,Make decision_signed1,2023-09-29 14:19:57.742,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,26,0,1
8,Perform checks,2023-09-29 14:28:22.925,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
8,Make decision_signed1,2023-09-29 14:28:23.025,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,27,0,1
8,Make decision,2023-09-29 14:34:51.646,Manager-000004,,0,Make decision,make decision,28,0,0
8,Notify accept,2023-09-29 14:36:15.619,Manager-000005,,0,Notify accept,notify accept,-1,0,0
8,Make decision_signed1,2023-09-29 14:36:15.919,Manager-000005,collateral events(Make decision),0,Make decision_signed1,make decision,29,0,1
8,Deliver card,2023-09-29 14:37:47.189,Manager-000006,,0,Deliver card,deliver card,-1,0,0
8,Make decision_signed1,2023-09-29 14:37:47.589,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,30,0,1
8,EVENT 13 END,2023-09-29 14:52:19.738,,,0,EVENT 13 END,event 13 end,-1,0,0
8,Make decision_signed1,2023-09-29 14:52:19.738,,collateral events(Make decision),0,Make decision_signed1,make decision,31,0,1
9,Check for completeness,2023-09-29 13:41:21.583,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
9,New online application received,2023-09-29 13:41:21.583,,,0,New online application received,new online application received,-1,0,0
9,Request info,2023-09-29 14:01:14.504,Manager-000006,,0,Request info,request info,-1,0,0
9,info received,2023-09-29 14:19:00.830,,,0,info received,info received,-1,0,0
9,Check for completeness,2023-09-29 14:19:10.830,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
9,Request info,2023-09-29 14:27:41.671,Manager-000001,,0,Request info,request info,-1,0,0
9,info received,2023-09-29 14:33:09.099,,,0,info received,info received,-1,0,0
9,Check for completeness,2023-09-29 14:33:19.099,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
9,Request info,2023-09-29 15:08:59.285,Manager-000003,,0,Request info,request info,-1,0,0
9,info received,2023-09-29 15:23:23.408,,,0,info received,info received,-1,0,0
9,Check for completeness,2023-09-29 15:23:33.408,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
9,Perform checks,2023-09-29 15:33:37.833,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
9,Make decision,2023-09-29 15:34:38.869,Manager-000006,,0,Make decision,make decision,-1,0,0
9,notify reject,2023-09-29 15:54:24.867,Manager-000002,,0,notify reject,notify reject,-1,0,0
9,time out,2023-09-29 16:12:43.247,,,0,time out,time out,-1,0,0
9,EVENT 13 END,2023-09-29 16:12:53.247,,,0,EVENT 13 END,event 13 end,-1,0,0
10,Check for completeness,2023-09-29 14:47:37.938,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
10,New online application received,2023-09-29 14:47:37.938,,,0,New online application received,new online application received,-1,0,0
10,Request info,2023-09-29 14:48:51.317,Manager-000002,,0,Request info,request info,-1,0,0
10,info received,2023-09-29 14:54:01.063,,,0,info received,info received,-1,0,0
10,Check for completeness,2023-09-29 14:54:11.063,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
10,Perform checks,2023-09-29 15:12:40.802,Clerk-000002,,0,Perform checks,perform checks,-1,0,0
10,Make decision,2023-09-29 15:21:56.123,Manager-000001,,0,Make decision,make decision,-1,0,0
10,Notify accept,2023-09-29 15:22:31.725,Manager-000004,,0,Notify accept,notify accept,-1,0,0
10,Deliver card,2023-09-29 15:23:49.967,Manager-000005,,0,Deliver card,deliver card,-1,0,0
10,EVENT 13 END,2023-09-29 15:36:59.534,,,0,EVENT 13 END,event 13 end,-1,0,0
11,Check for completeness,2023-09-29 16:06:37.359,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
11,New online application received,2023-09-29 16:06:37.359,,,0,New online application received,new online application received,-1,0,0
11,Perform checks,2023-09-29 16:11:54.846,Clerk-000001,,0,Perform checks,perform checks,-1,0,0
11,Make decision,2023-09-29 16:25:06.284,Manager-000001,,0,Make decision,make decision,-1,0,0
11,notify reject,2023-09-29 16:26:23.405,Manager-000003,,0,notify reject,notify reject,-1,0,0
11,time out,2023-09-29 16:29:27.938,,,0,time out,time out,-1,0,0
11,EVENT 13 END,2023-09-29 16:29:37.938,,,0,EVENT 13 END,event 13 end,-1,0,0
12,Check for completeness,2023-09-29 16:07:28.415,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
12,New online application received,2023-09-29 16:07:28.415,,,0,New online application received,new online application received,-1,0,0
12,Make decision_signed1,2023-09-29 16:07:28.815,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,32,0,1
12,Request info,2023-09-29 16:28:15.647,Manager-000005,,0,Request info,request info,-1,0,0
12,Make decision_signed1,2023-09-29 16:28:16.347,Manager-000005,collateral events(Make decision),0,Make decision_signed1,make decision,33,0,1
12,info received,2023-09-29 16:33:32.086,,,0,info received,info received,-1,0,0
12,Make decision_signed1,2023-09-29 16:33:32.386,,collateral events(Make decision),0,Make decision_signed1,make decision,34,0,1
12,Check for completeness,2023-09-29 16:33:42.086,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
12,Make decision_signed1,2023-09-29 16:33:42.186,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,35,0,1
12,Request info,2023-09-29 16:36:40.604,Manager-000002,,0,Request info,request info,-1,0,0
12,Make decision_signed1,2023-09-29 16:36:40.704,Manager-000002,collateral events(Make decision),0,Make decision_signed1,make decision,36,0,1
12,info received,2023-09-29 16:45:28.106,,,0,info received,info received,-1,0,0
12,Make decision_signed1,2023-09-29 16:45:28.506,,collateral events(Make decision),0,Make decision_signed1,make decision,37,0,1
12,Check for completeness,2023-09-29 16:45:38.106,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
12,Make decision_signed1,2023-09-29 16:45:38.206,Clerk-000005,collateral events(Make decision),0,Make decision_signed1,make decision,38,0,1
12,Perform checks,2023-09-29 17:02:39.723,Clerk-000002,,0,Perform checks,perform checks,-1,0,0
12,Make decision_signed1,2023-09-29 17:02:40.223,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,39,0,1
12,Make decision,2023-09-29 17:13:16.697,Manager-000003,,0,Make decision,make decision,40,0,0
12,Notify accept,2023-09-29 17:13:45.470,Manager-000005,,0,Notify accept,notify accept,-1,0,0
12,Make decision_signed1,2023-09-29 17:13:45.870,Manager-000005,collateral events(Make decision),0,Make decision_signed1,make decision,41,0,1
12,Deliver card,2023-09-29 17:46:09.886,Manager-000004,,0,Deliver card,deliver card,-1,0,0
12,Make decision_signed1,2023-09-29 17:46:10.386,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,42,0,1
12,EVENT 13 END,2023-09-29 17:47:16.773,,,0,EVENT 13 END,event 13 end,-1,0,0
12,Make decision_signed1,2023-09-29 17:47:17.073,,collateral events(Make decision),0,Make decision_signed1,make decision,43,0,1
13,Check for completeness,2023-09-29 16:14:30.309,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
13,New online application received,2023-09-29 16:14:30.309,,,0,New online application received,new online application received,-1,0,0
13,Make decision_signed1,2023-09-29 16:14:30.409,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,44,0,1
13,Perform checks,2023-09-29 16:27:34.755,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
13,Make decision_signed1,2023-09-29 16:27:34.955,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,45,0,1
13,Make decision,2023-09-29 16:28:03.056,Manager-000004,,0,Make decision,make decision,46,0,0
13,notify reject,2023-09-29 16:34:55.454,Manager-000006,,0,notify reject,notify reject,-1,0,0
13,Make decision_signed1,2023-09-29 16:34:56.354,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,47,0,1
13,review request received,2023-09-29 16:46:57.319,,,0,review request received,review request received,-1,0,0
13,Make decision_signed1,2023-09-29 16:46:57.319,,collateral events(Make decision),0,Make decision_signed1,make decision,48,0,1
13,Check for completeness,2023-09-29 16:47:07.319,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
13,Make decision_signed1,2023-09-29 16:47:08.019,Clerk-000001,collateral events(Make decision),0,Make decision_signed1,make decision,49,0,1
13,Perform checks,2023-09-29 16:54:38.964,Clerk-000004,,0,Perform checks,perform checks,-1,0,0
13,Make decision_signed1,2023-09-29 16:54:39.064,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,50,0,1
13,Make decision,2023-09-29 17:22:15.988,Manager-000002,,0,Make decision,make decision,51,0,0
13,notify reject,2023-09-29 17:51:15.597,Manager-000006,,0,notify reject,notify reject,-1,0,0
13,Make decision_signed1,2023-09-29 17:51:15.697,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,52,0,1
13,review request received,2023-09-29 18:02:09.808,,,0,review request received,review request received,-1,0,0
13,Make decision_signed1,2023-09-29 18:02:10.608,,collateral events(Make decision),0,Make decision_signed1,make decision,53,0,1
13,Check for completeness,2023-09-29 18:02:19.808,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
13,Make decision_signed1,2023-09-29 18:02:20.608,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,54,0,1
13,Request info,2023-09-29 18:09:51.649,Manager-000004,,0,Request info,request info,-1,0,0
13,Make decision_signed1,2023-09-29 18:09:52.649,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,55,0,1
13,info received,2023-09-29 18:14:41.199,,,0,info received,info received,-1,0,0
13,Make decision_signed1,2023-09-29 18:14:42.199,,collateral events(Make decision),0,Make decision_signed1,make decision,56,0,1
13,Check for completeness,2023-09-29 18:14:51.199,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
13,Make decision_signed1,2023-09-29 18:14:51.399,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,57,0,1
13,Request info,2023-09-29 18:26:33.083,Manager-000003,,0,Request info,request info,-1,0,0
13,Make decision_signed1,2023-09-29 18:26:33.483,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,58,0,1
13,info received,2023-09-29 18:37:59.483,,,0,info received,info received,-1,0,0
13,Make decision_signed1,2023-09-29 18:38:00.083,,collateral events(Make decision),0,Make decision_signed1,make decision,59,0,1
13,Check for completeness,2023-09-29 18:38:09.483,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
13,Make decision_signed1,2023-09-29 18:38:10.183,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,60,0,1
13,Perform checks,2023-09-29 19:01:11.416,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
13,Make decision_signed1,2023-09-29 19:01:12.116,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,61,0,1
13,Make decision,2023-09-29 19:08:51.860,Manager-000001,,0,Make decision,make decision,62,0,0
13,notify reject,2023-09-29 19:22:36.736,Manager-000004,,0,notify reject,notify reject,-1,0,0
13,Make decision_signed1,2023-09-29 19:22:37.036,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,63,0,1
13,review request received,2023-09-29 19:35:39.940,,,0,review request received,review request received,-1,0,0
13,Make decision_signed1,2023-09-29 19:35:40.440,,collateral events(Make decision),0,Make decision_signed1,make decision,64,0,1
13,Check for completeness,2023-09-29 19:35:49.940,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
13,Make decision_signed1,2023-09-29 19:35:49.940,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,65,0,1
13,Request info,2023-09-29 19:39:16.010,Manager-000002,,0,Request info,request info,-1,0,0
13,Make decision_signed1,2023-09-29 19:39:16.610,Manager-000002,collateral events(Make decision),0,Make decision_signed1,make decision,66,0,1
13,info received,2023-09-29 20:04:20.804,,,0,info received,info received,-1,0,0
13,Make decision_signed1,2023-09-29 20:04:21.304,,collateral events(Make decision),0,Make decision_signed1,make decision,67,0,1
13,Check for completeness,2023-09-29 20:04:30.804,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
13,Make decision_signed1,2023-09-29 20:04:31.804,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,68,0,1
13,Request info,2023-09-29 20:19:37.681,Manager-000003,,0,Request info,request info,-1,0,0
13,Make decision_signed1,2023-09-29 20:19:38.581,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,69,0,1
13,info received,2023-09-29 20:28:28.849,,,0,info received,info received,-1,0,0
13,Make decision_signed1,2023-09-29 20:28:29.149,,collateral events(Make decision),0,Make decision_signed1,make decision,70,0,1
13,Check for completeness,2023-09-29 20:28:38.849,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
13,Make decision_signed1,2023-09-29 20:28:39.049,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,71,0,1
13,Perform checks,2023-09-29 20:38:40.292,Clerk-000004,,0,Perform checks,perform checks,-1,0,0
13,Make decision_signed1,2023-09-29 20:38:41.092,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,72,0,1
13,Make decision,2023-09-29 20:43:33.832,Manager-000002,,0,Make decision,make decision,73,0,0
13,notify reject,2023-09-29 20:53:08.449,Manager-000005,,0,notify reject,notify reject,-1,0,0
13,Make decision_signed1,2023-09-29 20:53:09.349,Manager-000005,collateral events(Make decision),0,Make decision_signed1,make decision,74,0,1
13,review request received,2023-09-29 21:03:06.372,,,0,review request received,review request received,-1,0,0
13,Make decision_signed1,2023-09-29 21:03:06.372,,collateral events(Make decision),0,Make decision_signed1,make decision,75,0,1
13,Check for completeness,2023-09-29 21:03:16.372,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
13,Make decision_signed1,2023-09-29 21:03:16.672,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,76,0,1
13,Perform checks,2023-09-29 21:20:39.128,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
13,Make decision_signed1,2023-09-29 21:20:39.728,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,77,0,1
13,Make decision,2023-09-29 21:22:46.639,Manager-000003,,0,Make decision,make decision,78,0,0
13,notify reject,2023-09-29 21:23:32.611,Manager-000004,,0,notify reject,notify reject,-1,0,0
13,Make decision_signed1,2023-09-29 21:23:33.011,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,79,0,1
13,time out,2023-09-29 21:33:15.823,,,0,time out,time out,-1,0,0
13,Make decision_signed1,2023-09-29 21:33:16.523,,collateral events(Make decision),0,Make decision_signed1,make decision,80,0,1
13,EVENT 13 END,2023-09-29 21:33:25.823,,,0,EVENT 13 END,event 13 end,-1,0,0
13,Make decision_signed1,2023-09-29 21:33:26.323,,collateral events(Make decision),0,Make decision_signed1,make decision,81,0,1
14,Check for completeness,2023-09-29 16:51:09.691,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
14,New online application received,2023-09-29 16:51:09.691,,,0,New online application received,new online application received,-1,0,0
14,Perform checks,2023-09-29 16:54:07.012,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
14,Make decision,2023-09-29 17:08:43.888,Manager-000001,,0,Make decision,make decision,-1,0,0
14,notify reject,2023-09-29 17:40:01.342,Manager-000003,,0,notify reject,notify reject,-1,0,0
14,time out,2023-09-29 18:03:59.442,,,0,time out,time out,-1,0,0
14,EVENT 13 END,2023-09-29 18:04:09.442,,,0,EVENT 13 END,event 13 end,-1,0,0
15,Check for completeness,2023-09-29 16:58:01.944,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
15,New online application received,2023-09-29 16:58:01.944,,,0,New online application received,new online application received,-1,0,0
15,Make decision_signed1,2023-09-29 16:58:02.344,,collateral events(Make decision),0,Make decision_signed1,make decision,82,0,1
15,Perform checks,2023-09-29 17:14:52.875,Clerk-000001,,0,Perform checks,perform checks,-1,0,0
15,Make decision_signed1,2023-09-29 17:14:53.875,Clerk-000001,collateral events(Make decision),0,Make decision_signed1,make decision,83,0,1
15,Make decision,2023-09-29 17:22:07.416,Manager-000004,,0,Make decision,make decision,84,0,0
15,notify reject,2023-09-29 17:32:32.195,Manager-000006,,0,notify reject,notify reject,-1,0,0
15,Make decision_signed1,2023-09-29 17:32:32.995,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,85,0,1
15,time out,2023-09-29 17:39:23.547,,,0,time out,time out,-1,0,0
15,Make decision_signed1,2023-09-29 17:39:23.847,,collateral events(Make decision),0,Make decision_signed1,make decision,86,0,1
15,EVENT 13 END,2023-09-29 17:39:33.547,,,0,EVENT 13 END,event 13 end,-1,0,0
15,Make decision_signed1,2023-09-29 17:39:34.347,,collateral events(Make decision),0,Make decision_signed1,make decision,87,0,1
16,Check for completeness,2023-09-29 17:45:26.578,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
16,New online application received,2023-09-29 17:45:26.578,,,0,New online application received,new online application received,-1,0,0
16,Request info,2023-09-29 17:53:49.426,Manager-000001,,0,Request info,request info,-1,0,0
16,info received,2023-09-29 17:58:04.022,,,0,info received,info received,-1,0,0
16,Check for completeness,2023-09-29 17:58:14.022,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
16,Request info,2023-09-29 18:17:55.674,Manager-000002,,0,Request info,request info,-1,0,0
16,info received,2023-09-29 18:38:16.236,,,0,info received,info received,-1,0,0
16,Check for completeness,2023-09-29 18:38:26.236,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
16,Perform checks,2023-09-29 18:40:28.271,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
16,Make decision,2023-09-29 18:41:20.445,Manager-000003,,0,Make decision,make decision,-1,0,0
16,Notify accept,2023-09-29 18:49:29.967,Manager-000002,,0,Notify accept,notify accept,-1,0,0
16,Deliver card,2023-09-29 19:25:53.029,Manager-000005,,0,Deliver card,deliver card,-1,0,0
