Case,Activity,Timestamp,Resource,label
7,perform checks,2023-09-29 13:24:18.373,Clerk-000005,synonymous label('Perform checks')
7,make decision,2023-09-29 13:29:26.239,Manager-000005,
7,notify accept,2023-09-29 13:39:56.417,Manager-000006,
7,deliver card,2023-09-29 13:43:55.173,Manager-000001,
7,event 13 end,2023-09-29 13:58:02.645,,
8,check for completeness,2023-09-29 13:38:17.743,Clerk-000006,
8,new online application received,2023-09-29 13:38:17.743,,
8,request info,2023-09-29 13:43:58.067,Manager-000003,
8,info received,2023-09-29 13:45:28.311,,
8,check for completeness,2023-09-29 13:45:38.311,Clerk-000004,
8,perform checks,2023-09-29 13:59:58.042,Clerk-000005,
8,make decision,2023-09-29 14:00:04.900,Manager-000005,
8,notify reject,2023-09-29 14:15:21.082,Manager-000002,
8,review request received,2023-09-29 14:19:47.442,,
8,check for completeness,2023-09-29 14:19:57.442,Clerk-000006,
8,perform checks,2023-09-29 14:28:22.925,Clerk-000003,
8,make decision,2023-09-29 14:34:51.646,Manager-000004,
8,notify accept,2023-09-29 14:36:15.619,Manager-000005,
8,deliver card,2023-09-29 14:37:47.189,Manager-000006,
8,event 13 end,2023-09-29 14:52:19.738,,
9,check for completeness,2023-09-29 13:41:21.583,Clerk-000001,
9,new online application received,2023-09-29 13:41:21.583,,
9,request info,2023-09-29 14:01:14.504,Manager-000006,
9,info received,2023-09-29 14:19:00.830,,
9,check for completeness,2023-09-29 14:19:10.830,Clerk-000002,
9,request info,2023-09-29 14:27:41.671,Manager-000001,
9,info received,2023-09-29 14:33:09.099,,
9,check for completeness,2023-09-29 14:33:19.099,Clerk-000004,
9,request info,2023-09-29 15:08:59.285,Manager-000003,
9,info received,2023-09-29 15:23:23.408,,
9,check for completeness,2023-09-29 15:23:33.408,Clerk-000006,
9,perform checks,2023-09-29 15:33:37.833,Clerk-000003,
9,make decision,2023-09-29 15:34:38.869,Manager-000006,
9,notify reject,2023-09-29 15:54:24.867,Manager-000002,
9,time out,2023-09-29 16:12:43.247,,
9,event 13 end,2023-09-29 16:12:53.247,,
10,check for completeness,2023-09-29 14:47:37.938,Clerk-000005,
10,new online application received,2023-09-29 14:47:37.938,,
10,request info,2023-09-29 14:48:51.317,Manager-000002,
10,info received,2023-09-29 14:54:01.063,,
10,check for completeness,2023-09-29 14:54:11.063,Clerk-000001,
10,perform checks,2023-09-29 15:12:40.802,Clerk-000002,synonymous label('Perform checks')
10,make decision,2023-09-29 15:21:56.123,Manager-000001,
10,notify accept,2023-09-29 15:22:31.725,Manager-000004,
10,deliver card,2023-09-29 15:23:49.967,Manager-000005,
10,event 13 end,2023-09-29 15:36:59.534,,
11,check for completeness,2023-09-29 16:06:37.359,Clerk-000005,
11,new online application received,2023-09-29 16:06:37.359,,
11,perform checks,2023-09-29 16:11:54.846,Clerk-000001,synonymous label('Perform checks')
11,make decision,2023-09-29 16:25:06.284,Manager-000001,
11,notify reject,2023-09-29 16:26:23.405,Manager-000003,
11,time out,2023-09-29 16:29:27.938,,
11,event 13 end,2023-09-29 16:29:37.938,,
12,check for completeness,2023-09-29 16:07:28.415,Clerk-000004,
12,new online application received,2023-09-29 16:07:28.415,,
12,request info,2023-09-29 16:28:15.647,Manager-000005,
12,info received,2023-09-29 16:33:32.086,,
12,check for completeness,2023-09-29 16:33:42.086,Clerk-000003,
12,request info,2023-09-29 16:36:40.604,Manager-000002,
12,info received,2023-09-29 16:45:28.106,,
12,check for completeness,2023-09-29 16:45:38.106,Clerk-000005,
12,perform checks,2023-09-29 17:02:39.723,Clerk-000002,
12,make decision,2023-09-29 17:13:16.697,Manager-000003,
12,notify accept,2023-09-29 17:13:45.470,Manager-000005,
12,deliver card,2023-09-29 17:46:09.886,Manager-000004,
12,event 13 end,2023-09-29 17:47:16.773,,
13,check for completeness,2023-09-29 16:14:30.309,Clerk-000002,
13,new online application received,2023-09-29 16:14:30.309,,
13,perform checks,2023-09-29 16:27:34.755,Clerk-000006,synonymous label('Perform checks')
13,make decision,2023-09-29 16:28:03.056,Manager-000004,
13,notify reject,2023-09-29 16:34:55.454,Manager-000006,
13,review request received,2023-09-29 16:46:57.319,,
13,check for completeness,2023-09-29 16:47:07.319,Clerk-000001,
13,perform checks,2023-09-29 16:54:38.964,Clerk-000004,synonymous label('Perform checks')
13,make decision,2023-09-29 17:22:15.988,Manager-000002,
13,notify reject,2023-09-29 17:51:15.597,Manager-000006,
13,review request received,2023-09-29 18:02:09.808,,
13,check for completeness,2023-09-29 18:02:19.808,Clerk-000003,
13,request info,2023-09-29 18:09:51.649,Manager-000004,
13,info received,2023-09-29 18:14:41.199,,
13,check for completeness,2023-09-29 18:14:51.199,Clerk-000006,
13,request info,2023-09-29 18:26:33.083,Manager-000003,
13,info received,2023-09-29 18:37:59.483,,
13,check for completeness,2023-09-29 18:38:09.483,Clerk-000004,
13,perform checks,2023-09-29 19:01:11.416,Clerk-000006,synonymous label('Perform checks')
13,make decision,2023-09-29 19:08:51.860,Manager-000001,
13,notify reject,2023-09-29 19:22:36.736,Manager-000004,
13,review request received,2023-09-29 19:35:39.940,,
13,check for completeness,2023-09-29 19:35:49.940,Clerk-000003,
13,request info,2023-09-29 19:39:16.010,Manager-000002,
13,info received,2023-09-29 20:04:20.804,,
13,check for completeness,2023-09-29 20:04:30.804,Clerk-000002,
13,request info,2023-09-29 20:19:37.681,Manager-000003,
13,info received,2023-09-29 20:28:28.849,,
13,check for completeness,2023-09-29 20:28:38.849,Clerk-000006,
13,perform checks,2023-09-29 20:38:40.292,Clerk-000004,synonymous label('Perform checks')
13,make decision,2023-09-29 20:43:33.832,Manager-000002,
13,notify reject,2023-09-29 20:53:08.449,Manager-000005,
13,review request received,2023-09-29 21:03:06.372,,
13,check for completeness,2023-09-29 21:03:16.372,Clerk-000006,
13,perform checks,2023-09-29 21:20:39.128,Clerk-000003,synonymous label('Perform checks')
13,make decision,2023-09-29 21:22:46.639,Manager-000003,
13,notify reject,2023-09-29 21:23:32.611,Manager-000004,
13,time out,2023-09-29 21:33:15.823,,
13,event 13 end,2023-09-29 21:33:25.823,,
14,check for completeness,2023-09-29 16:51:09.691,Clerk-000002,
14,new online application received,2023-09-29 16:51:09.691,,
14,perform checks,2023-09-29 16:54:07.012,Clerk-000006,synonymous label('Perform checks')
14,make decision,2023-09-29 17:08:43.888,Manager-000001,
14,notify reject,2023-09-29 17:40:01.342,Manager-000003,
14,time out,2023-09-29 18:03:59.442,,
14,event 13 end,2023-09-29 18:04:09.442,,
15,check for completeness,2023-09-29 16:58:01.944,Clerk-000003,
15,new online application received,2023-09-29 16:58:01.944,,
15,perform checks,2023-09-29 17:14:52.875,Clerk-000001,synonymous label('Perform checks')
15,make decision,2023-09-29 17:22:07.416,Manager-000004,
15,notify reject,2023-09-29 17:32:32.195,Manager-000006,
15,time out,2023-09-29 17:39:23.547,,
15,event 13 end,2023-09-29 17:39:33.547,,
16,check for completeness,2023-09-29 17:45:26.578,Clerk-000005,
16,new online application received,2023-09-29 17:45:26.578,,
16,request info,2023-09-29 17:53:49.426,Manager-000001,
16,info received,2023-09-29 17:58:04.022,,
16,check for completeness,2023-09-29 17:58:14.022,Clerk-000002,
16,request info,2023-09-29 18:17:55.674,Manager-000002,
16,info received,2023-09-29 18:38:16.236,,
16,check for completeness,2023-09-29 18:38:26.236,Clerk-000002,
16,perform checks,2023-09-29 18:40:28.271,Clerk-000005,synonymous label('Perform checks')
16,make decision,2023-09-29 18:41:20.445,Manager-000003,
16,notify accept,2023-09-29 18:49:29.967,Manager-000002,
16,deliver card,2023-09-29 19:25:53.029,Manager-000005,
16,event 13 end,2023-09-29 19:31:06.291,,
17,check for completeness,2023-09-29 17:57:31.716,Clerk-000006,
17,new online application received,2023-09-29 17:57:31.716,,
17,perform checks,2023-09-29 18:05:01.489,Clerk-000001,
17,make decision,2023-09-29 18:09:25.830,Manager-000005,
17,notify reject,2023-09-29 18:27:15.122,Manager-000004,
17,time out,2023-09-29 18:50:25.809,,
17,event 13 end,2023-09-29 18:50:35.809,,
18,check for completeness,2023-09-29 18:06:16.258,Clerk-000004,
18,new online application received,2023-09-29 18:06:16.258,,
18,perform checks,2023-09-29 18:13:12.412,Clerk-000005,
18,make decision,2023-09-29 18:20:12.699,Manager-000001,
18,notify accept,2023-09-29 18:38:19.445,Manager-000005,
18,deliver card,2023-09-29 18:39:58.666,Manager-000006,
18,event 13 end,2023-09-29 18:51:28.231,,
19,check for completeness,2023-09-29 18:18:58.323,Clerk-000001,
19,new online application received,2023-09-29 18:18:58.323,,
19,request info,2023-09-29 18:22:09.871,Manager-000006,
19,info received,2023-09-29 18:32:28.853,,
19,check for completeness,2023-09-29 18:32:38.853,Clerk-000003,
19,perform checks,2023-09-29 18:48:41.778,Clerk-000001,
19,make decision,2023-09-29 19:12:46.678,Manager-000005,
19,notify reject,2023-09-29 19:12:59.418,Manager-000003,
19,review request received,2023-09-29 19:40:21.376,,
19,check for completeness,2023-09-29 19:40:31.376,Clerk-000004,
19,request info,2023-09-29 19:49:07.575,Manager-000005,
19,info received,2023-09-29 20:26:19.474,,
19,check for completeness,2023-09-29 20:26:29.474,Clerk-000003,
19,perform checks,2023-09-29 20:49:15.458,Clerk-000005,
19,make decision,2023-09-29 20:56:51.655,Manager-000003,
19,notify accept,2023-09-29 20:57:54.098,Manager-000004,
19,deliver card,2023-09-29 20:59:45.960,Manager-000001,
19,event 13 end,2023-09-29 21:07:11.091,,
20,check for completeness,2023-09-29 19:19:25.291,Clerk-000002,
20,new online application received,2023-09-29 19:19:25.291,,
20,request info,2023-09-29 19:23:40.250,Manager-000006,
20,info received,2023-09-29 19:27:24.092,,
20,check for completeness,2023-09-29 19:27:34.092,Clerk-000005,
20,request info,2023-09-29 19:39:11.217,Manager-000001,
20,info received,2023-09-29 19:45:50.472,,
20,check for completeness,2023-09-29 19:46:00.472,Clerk-000006,
20,request info,2023-09-29 19:46:31.227,Manager-000006,
20,info received,2023-09-29 19:48:39.020,,
20,check for completeness,2023-09-29 19:48:49.020,Clerk-000001,
20,perform checks,2023-09-29 20:11:57.183,Clerk-000005,synonymous label('Perform checks')
20,make decision,2023-09-29 20:13:50.754,Manager-000004,
20,notify accept,2023-09-29 20:41:11.134,Manager-000001,
20,deliver card,2023-09-29 20:41:45.634,Manager-000006,
20,event 13 end,2023-09-29 20:41:54.646,,
21,check for completeness,2023-09-29 20:41:51.439,Clerk-000001,
21,new online application received,2023-09-29 20:41:51.439,,
21,perform checks,2023-09-29 21:00:54.004,Clerk-000002,
21,make decision,2023-09-29 21:06:42.607,Manager-000006,
21,notify reject,2023-09-29 21:07:22.401,Manager-000002,
21,review request received,2023-09-29 21:42:51.560,,
21,check for completeness,2023-09-29 21:43:01.560,Clerk-000005,
21,request info,2023-09-29 21:51:47.651,Manager-000005,
21,info received,2023-09-29 21:52:47.742,,
21,check for completeness,2023-09-29 21:52:57.742,Clerk-000001,
21,request info,2023-09-29 21:56:52.475,Manager-000001,
21,info received,2023-09-29 22:13:45.867,,
21,check for completeness,2023-09-29 22:13:55.867,Clerk-000006,
21,perform checks,2023-09-29 22:15:28.052,Clerk-000003,
21,make decision,2023-09-29 22:17:11.249,Manager-000004,
21,notify reject,2023-09-29 22:18:43.086,Manager-000002,
21,time out,2023-09-29 22:23:17.465,,
21,event 13 end,2023-09-29 22:23:27.465,,
22,check for completeness,2023-09-29 21:09:37.104,Clerk-000004,
22,new online application received,2023-09-29 21:09:37.104,,
22,request info,2023-09-29 21:59:31.118,Manager-000006,
22,info received,2023-09-29 22:05:00.715,,
22,check for completeness,2023-09-29 22:05:10.715,Clerk-000002,
22,request info,2023-09-29 22:06:20.353,Manager-000003,
22,info received,2023-09-29 22:56:49.525,,
22,check for completeness,2023-09-29 22:56:59.525,Clerk-000005,
22,request info,2023-09-29 23:00:23.126,Manager-000005,
22,info received,2023-09-29 23:19:05.758,,
22,check for completeness,2023-09-29 23:19:15.758,Clerk-000001,
22,request info,2023-09-29 23:28:11.098,Manager-000006,
22,info received,2023-09-29 23:43:55.965,,
22,check for completeness,2023-09-29 23:44:05.965,Clerk-000004,
22,perform checks,2023-09-29 23:44:39.493,Clerk-000002,
22,make decision,2023-09-29 23:46:31.846,Manager-000001,
22,notify reject,2023-09-29 23:54:59.705,Manager-000004,
22,time out,2023-09-30 00:05:34.439,,
22,event 13 end,2023-09-30 00:05:44.439,,
23,check for completeness,2023-09-30 00:48:40.748,Clerk-000006,
23,new online application received,2023-09-30 00:48:40.748,,
23,perform checks,2023-09-30 00:52:31.910,Clerk-000003,
23,make decision,2023-09-30 00:56:22.936,Manager-000002,
23,notify reject,2023-09-30 01:03:41.846,Manager-000003,
23,review request received,2023-09-30 01:17:46.782,,
23,check for completeness,2023-09-30 01:17:56.782,Clerk-000005,
23,perform checks,2023-09-30 01:21:12.550,Clerk-000001,
23,make decision,2023-09-30 01:21:30.248,Manager-000005,
23,notify accept,2023-09-30 01:31:32.510,Manager-000006,
23,deliver card,2023-09-30 01:34:27.443,Manager-000001,
23,event 13 end,2023-09-30 01:38:10.107,,
24,check for completeness,2023-10-02 02:06:13.754,Clerk-000004,
24,new online application received,2023-10-02 02:06:13.754,,
24,perform checks,2023-10-02 02:09:30.924,Clerk-000002,
24,make decision,2023-10-02 02:18:57.364,Manager-000004,
24,notify accept,2023-10-02 02:19:56.113,Manager-000002,
24,deliver card,2023-10-02 02:21:26.326,Manager-000003,
24,event 13 end,2023-10-02 02:34:57.704,,
25,check for completeness,2023-10-02 02:15:15.496,Clerk-000006,
25,new online application received,2023-10-02 02:15:15.496,,
25,perform checks,2023-10-02 02:26:30.208,Clerk-000005,
25,make decision,2023-10-02 02:46:42.605,Manager-000006,
25,notify accept,2023-10-02 02:47:25.777,Manager-000001,
25,deliver card,2023-10-02 02:51:11.550,Manager-000002,
25,event 13 end,2023-10-02 03:05:45.673,,
26,check for completeness,2023-10-02 02:24:49.667,Clerk-000003,
26,new online application received,2023-10-02 02:24:49.667,,
26,request info,2023-10-02 02:35:50.122,Manager-000005,
26,info received,2023-10-02 02:59:33.495,,
26,check for completeness,2023-10-02 02:59:43.495,Clerk-000004,
26,request info,2023-10-02 03:04:34.145,Manager-000003,
26,info received,2023-10-02 03:04:42.705,,
26,check for completeness,2023-10-02 03:04:52.705,Clerk-000006,
26,request info,2023-10-02 03:13:27.857,Manager-000006,
26,info received,2023-10-02 03:21:03.579,,
26,check for completeness,2023-10-02 03:21:13.579,Clerk-000003,
26,perform checks,2023-10-02 03:31:33.795,Clerk-000004,synonymous label('Perform checks')
26,make decision,2023-10-02 03:50:25.984,Manager-000005,
26,notify reject,2023-10-02 03:57:26.426,Manager-000004,
26,review request received,2023-10-02 04:17:17.921,,
26,check for completeness,2023-10-02 04:17:27.921,Clerk-000004,
26,request info,2023-10-02 04:18:16.134,Manager-000006,
26,info received,2023-10-02 04:33:00.924,,
26,check for completeness,2023-10-02 04:33:10.924,Clerk-000006,
26,request info,2023-10-02 04:44:00.922,Manager-000005,
26,info received,2023-10-02 04:49:04.560,,
26,check for completeness,2023-10-02 04:49:14.560,Clerk-000002,
26,perform checks,2023-10-02 04:59:28.498,Clerk-000001,synonymous label('Perform checks')
26,make decision,2023-10-02 05:00:23.533,Manager-000004,
26,notify reject,2023-10-02 05:07:29.849,Manager-000003,
26,time out,2023-10-02 05:10:28.616,,
26,event 13 end,2023-10-02 05:10:38.616,,
27,check for completeness,2023-10-02 02:35:38.612,Clerk-000001,
27,new online application received,2023-10-02 02:35:38.612,,
27,request info,2023-10-02 02:47:52.422,Manager-000004,
27,info received,2023-10-02 03:03:20.832,,
27,check for completeness,2023-10-02 03:03:30.832,Clerk-000002,
27,request info,2023-10-02 03:15:57.436,Manager-000001,
27,info received,2023-10-02 03:21:38.352,,
27,check for completeness,2023-10-02 03:21:48.352,Clerk-000005,
27,perform checks,2023-10-02 03:25:16.538,Clerk-000001,
27,make decision,2023-10-02 04:05:20.438,Manager-000006,
27,notify accept,2023-10-02 04:09:21.023,Manager-000001,
27,deliver card,2023-10-02 04:10:02.043,Manager-000005,
27,event 13 end,2023-10-02 04:13:19.372,,
28,check for completeness,2023-10-02 03:49:49.031,Clerk-000006,
28,new online application received,2023-10-02 03:49:49.031,,
28,perform checks,2023-10-02 03:55:14.876,Clerk-000002,synonymous label('Perform checks')
28,make decision,2023-10-02 04:02:53.440,Manager-000003,
28,notify reject,2023-10-02 04:04:38.433,Manager-000002,
28,review request received,2023-10-02 04:12:29.466,,
28,check for completeness,2023-10-02 04:12:39.466,Clerk-000005,
28,perform checks,2023-10-02 04:13:22.011,Clerk-000003,synonymous label('Perform checks')
28,make decision,2023-10-02 04:16:26.207,Manager-000003,
28,notify accept,2023-10-02 04:21:12.631,Manager-000001,
28,deliver card,2023-10-02 04:31:16.152,Manager-000002,
28,event 13 end,2023-10-02 04:54:08.875,,
29,check for completeness,2023-10-02 05:24:14.094,Clerk-000005,
29,new online application received,2023-10-02 05:24:14.094,,
29,perform checks,2023-10-02 05:34:29.426,Clerk-000003,synonymous label('Perform checks')
29,make decision,2023-10-02 05:41:14.108,Manager-000001,
29,notify accept,2023-10-02 05:51:12.013,Manager-000006,
29,deliver card,2023-10-02 06:10:59.128,Manager-000004,
29,event 13 end,2023-10-02 06:15:00.259,,
30,check for completeness,2023-10-02 05:42:19.668,Clerk-000004,
30,new online application received,2023-10-02 05:42:19.668,,
30,request info,2023-10-02 05:52:35.453,Manager-000005,
30,info received,2023-10-02 05:57:42.363,,
30,check for completeness,2023-10-02 05:57:52.363,Clerk-000001,
30,perform checks,2023-10-02 05:58:43.926,Clerk-000005,synonymous label('Perform checks')
30,make decision,2023-10-02 06:07:16.031,Manager-000002,
30,notify reject,2023-10-02 06:33:37.019,Manager-000005,
30,review request received,2023-10-02 06:38:09.262,,
30,check for completeness,2023-10-02 06:38:19.262,Clerk-000003,
30,request info,2023-10-02 06:39:34.425,Manager-000006,
30,info received,2023-10-02 06:42:00.757,,
30,check for completeness,2023-10-02 06:42:10.757,Clerk-000004,
30,perform checks,2023-10-02 06:48:51.594,Clerk-000006,synonymous label('Perform checks')
30,make decision,2023-10-02 06:53:19.364,Manager-000003,
30,notify reject,2023-10-02 06:59:31.135,Manager-000004,
30,review request received,2023-10-02 07:05:03.394,,
30,check for completeness,2023-10-02 07:05:13.394,Clerk-000002,
30,perform checks,2023-10-02 07:08:21.739,Clerk-000003,synonymous label('Perform checks')
30,make decision,2023-10-02 07:26:14.396,Manager-000006,
30,notify accept,2023-10-02 07:28:17.295,Manager-000001,
30,deliver card,2023-10-02 07:29:48.995,Manager-000003,
30,event 13 end,2023-10-02 07:48:23.876,,
31,check for completeness,2023-10-02 05:48:39.561,Clerk-000006,
31,new online application received,2023-10-02 05:48:39.561,,
31,perform checks,2023-10-02 05:56:02.659,Clerk-000002,
31,make decision,2023-10-02 06:11:53.392,Manager-000003,
31,notify reject,2023-10-02 06:14:01.523,Manager-000001,
31,time out,2023-10-02 06:42:24.600,,
31,event 13 end,2023-10-02 06:42:34.600,,
32,check for completeness,2023-10-02 06:52:06.060,Clerk-000001,
32,new online application received,2023-10-02 06:52:06.060,,
32,perform checks,2023-10-02 07:03:28.738,Clerk-000005,synonymous label('Perform checks')
32,make decision,2023-10-02 07:04:09.558,Manager-000002,
32,notify accept,2023-10-02 07:18:17.428,Manager-000005,
32,deliver card,2023-10-02 07:57:29.408,Manager-000004,
32,event 13 end,2023-10-02 08:10:54.897,,
33,check for completeness,2023-10-02 07:48:55.859,Clerk-000004,
33,new online application received,2023-10-02 07:48:55.859,,
33,perform checks,2023-10-02 08:01:31.352,Clerk-000006,
33,make decision,2023-10-02 08:06:22.173,Manager-000002,
33,notify accept,2023-10-02 08:17:10.626,Manager-000006,
33,deliver card,2023-10-02 08:19:25.321,Manager-000001,
33,event 13 end,2023-10-02 08:19:37.157,,
34,check for completeness,2023-10-02 11:18:14.023,Clerk-000001,
34,new online application received,2023-10-02 11:18:14.023,,
34,perform checks,2023-10-02 11:18:27.536,Clerk-000005,
34,make decision,2023-10-02 11:41:33.904,Manager-000003,
34,notify accept,2023-10-02 11:51:27.177,Manager-000005,
34,deliver card,2023-10-02 11:52:37.583,Manager-000004,
34,event 13 end,2023-10-02 11:57:25.412,,
35,check for completeness,2023-10-02 12:27:24.477,Clerk-000002,
35,new online application received,2023-10-02 12:27:24.477,,
35,perform checks,2023-10-02 12:31:02.687,Clerk-000003,
35,make decision,2023-10-02 12:43:29.450,Manager-000002,
35,notify reject,2023-10-02 12:48:13.381,Manager-000006,
35,time out,2023-10-02 12:50:31.833,,
35,event 13 end,2023-10-02 12:50:41.833,,
36,check for completeness,2023-10-02 12:58:27.972,Clerk-000004,
36,new online application received,2023-10-02 12:58:27.972,,
36,request info,2023-10-02 13:07:43.351,Manager-000001,
36,info received,2023-10-02 13:14:11.813,,
36,check for completeness,2023-10-02 13:14:21.813,Clerk-000006,
36,perform checks,2023-10-02 13:19:25.821,Clerk-000001,
36,make decision,2023-10-02 13:23:39.609,Manager-000003,
36,notify reject,2023-10-02 13:32:34.595,Manager-000005,
36,review request received,2023-10-02 13:38:06.806,,
36,check for completeness,2023-10-02 13:38:16.806,Clerk-000002,
36,request info,2023-10-02 13:38:32.361,Manager-000004,
36,info received,2023-10-02 13:46:49.078,,
36,check for completeness,2023-10-02 13:46:59.078,Clerk-000006,
36,request info,2023-10-02 14:17:55.617,Manager-000005,
36,info received,2023-10-02 14:20:11.132,,
36,check for completeness,2023-10-02 14:20:21.132,Clerk-000001,
36,perform checks,2023-10-02 14:24:45.103,Clerk-000002,
36,make decision,2023-10-02 14:37:24.013,Manager-000002,
36,notify accept,2023-10-02 14:39:44.970,Manager-000004,
36,deliver card,2023-10-02 15:22:47.009,Manager-000003,
36,event 13 end,2023-10-02 15:31:43.408,,
37,check for completeness,2023-10-02 13:35:00.778,Clerk-000005,
37,new online application received,2023-10-02 13:35:00.778,,
37,request info,2023-10-02 13:39:43.208,Manager-000002,
37,info received,2023-10-02 13:39:56.760,,
37,check for completeness,2023-10-02 13:40:06.760,Clerk-000003,
37,perform checks,2023-10-02 13:43:29.856,Clerk-000004,
37,make decision,2023-10-02 13:50:11.398,Manager-000006,
37,notify accept,2023-10-02 14:13:21.042,Manager-000001,
37,deliver card,2023-10-02 14:17:07.689,Manager-000003,
37,event 13 end,2023-10-02 14:25:53.407,,
38,check for completeness,2023-10-02 14:52:34.683,Clerk-000005,
38,new online application received,2023-10-02 14:52:34.683,,
38,perform checks,2023-10-02 14:56:25.790,Clerk-000003,
38,make decision,2023-10-02 15:07:39.216,Manager-000006,
38,notify accept,2023-10-02 15:11:47.688,Manager-000001,
38,deliver card,2023-10-02 15:22:28.602,Manager-000005,
38,event 13 end,2023-10-02 15:28:07.560,,
39,check for completeness,2023-10-02 15:25:38.644,Clerk-000004,
39,new online application received,2023-10-02 15:25:38.644,,
39,request info,2023-10-02 15:29:04.369,Manager-000002,
39,info received,2023-10-02 15:42:11.883,,
39,check for completeness,2023-10-02 15:42:21.883,Clerk-000006,
39,perform checks,2023-10-02 15:48:55.790,Clerk-000001,
39,make decision,2023-10-02 15:55:27.674,Manager-000006,
39,notify accept,2023-10-02 16:18:53.473,Manager-000001,
39,deliver card,2023-10-02 16:30:31.646,Manager-000004,
39,event 13 end,2023-10-02 16:43:24.039,,
40,check for completeness,2023-10-02 16:19:34.365,Clerk-000002,
40,new online application received,2023-10-02 16:19:34.365,,
40,perform checks,2023-10-02 17:03:21.648,Clerk-000005,
40,make decision,2023-10-02 17:05:09.452,Manager-000005,
40,notify reject,2023-10-02 17:21:50.595,Manager-000003,
40,time out,2023-10-02 17:23:13.173,,
40,event 13 end,2023-10-02 17:23:23.173,,
41,check for completeness,2023-10-02 17:33:27.778,Clerk-000003,
41,new online application received,2023-10-02 17:33:27.778,,
41,request info,2023-10-02 17:47:34.996,Manager-000002,
41,info received,2023-10-02 17:47:49.995,,
41,check for completeness,2023-10-02 17:47:59.995,Clerk-000004,
41,request info,2023-10-02 17:49:49.135,Manager-000006,
41,info received,2023-10-02 18:11:34.682,,
41,check for completeness,2023-10-02 18:11:44.682,Clerk-000006,
41,perform checks,2023-10-02 18:13:41.791,Clerk-000001,
41,make decision,2023-10-02 18:15:28.237,Manager-000001,
41,notify accept,2023-10-02 18:50:30.119,Manager-000004,
41,deliver card,2023-10-02 18:54:08.391,Manager-000005,
41,event 13 end,2023-10-02 18:58:27.415,,
