190101 overage surcharge  a101 -> 190205 class 3b a205 (frequency = 5521, performance = 47.95)
days of rest - all spec.beh.kinderg.-reval. -> differential count automatically (frequency = 783, performance = 552.72)
hemoglobin photoelectric - urgent -> leucocyte counting -electronic- urgent (frequency = 771, performance = 1.00)
acceptance laboratory research -> blood group abo and rhesus factor (frequency = 758, performance = 1.00)
potassium potentiometric -> rhesusfactor d - centrifugeermethode - e (frequency = 757, performance = 1.01)
acceptance laboratory research -> administrative rate - first pol (frequency = 740, performance = 1.00)
hematocrit using centrifuge -> hemoglobin photoelectric (frequency = 730, performance = 1.00)
calcium -> creatinine (frequency = 679, performance = 1.01)
hemoglobin photoelectric -> order tariff (frequency = 660, performance = 1.03)
190021 clinical admission a002 -> 190205 class 3b a205 (frequency = 619, performance = 140.61)
order tariff -> potassium flame photometric - pitch (frequency = 615, performance = 1.00)
potassium potentiometric -> sgot - asat kinetisch (frequency = 614, performance = 1.00)
screening antibodies for erythrocytes -> sgot - asat kinetisch (frequency = 600, performance = 1.00)
1st outpatient consultation -> acceptance laboratory research (frequency = 563, performance = 3684.12)
sodium flame photometric -> 190101 overage surcharge  a101 (frequency = 546, performance = 87494.98)
bilirubin -conjugated -> blood group abo and rhesus factor (frequency = 543, performance = 1.00)
acceptance laboratory research -> counting platelets - urgent (frequency = 540, performance = 1.00)
creatinine -> crp c-reactive protein (frequency = 538, performance = 1.00)
counting platelets - urgent -> creatinine - spoed (frequency = 521, performance = 1.00)
acceptance laboratory research -> bacteriological examination with culture -nie (frequency = 512, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> order tariff (frequency = 506, performance = 1.02)
crp c-reactive protein -> days of rest - all spec.beh.kinderg.-reval. (frequency = 500, performance = 1.01)
administrative rate - first pol -> albumin (frequency = 498, performance = 1.00)
order tariff -> rhesusfactor d - centrifugeermethode - e (frequency = 496, performance = 1.01)
follow-up consultation on an outpatient basis -> hemoglobin photoelectric - urgent (frequency = 482, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> acceptance laboratory research (frequency = 476, performance = 830237.04)
potassium flame photometric - pitch -> sodium - flame photometric - pitch (frequency = 476, performance = 1.00)
follow-up consultation on an outpatient basis -> administrative rate - first pol (frequency = 473, performance = 18779852.51)
follow-up consultation on an outpatient basis -> hemoglobin photoelectric (frequency = 473, performance = 1.01)
acceptance laboratory research -> days of rest - all spec.beh.kinderg.-reval. (frequency = 460, performance = 1.03)
ca-125 mbv half -> calcium (frequency = 450, performance = 1.00)
counting platelets - urgent -> creatinine (frequency = 420, performance = 1.00)
190204 class 3a a204 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 408, performance = 1.00)
o2 saturation -> order tariff (frequency = 392, performance = 1.00)
magnesium  -aas -> order tariff (frequency = 383, performance = 1.00)
sodium flame photometric -> 190021 clinical admission a002 (frequency = 377, performance = 367819.97)
sodium flame photometric -> squamous cell carcinoma mbv eia (frequency = 373, performance = 1.00)
acceptance laboratory research -> ca-125 mbv half (frequency = 371, performance = 1.00)
blood group abo and rhesus factor -> ca-125 mbv half (frequency = 370, performance = 1.00)
urea -> 190101 overage surcharge  a101 (frequency = 370, performance = 94786.19)
1st outpatient consultation -> administrative rate - first pol (frequency = 368, performance = 1.02)
days of rest - all spec.beh.kinderg.-reval. -> filtered erythrocyte concentrate (frequency = 367, performance = 1.00)
thorax -> urea (frequency = 363, performance = 1.00)
190101 overage surcharge  a101 -> 190204 class 3a a204 (frequency = 360, performance = 1.00)
cea - tumormarker mbv meia -> creatinine (frequency = 342, performance = 1.00)
calcium -> cea - tumormarker mbv meia (frequency = 339, performance = 1.00)
crossmatch complete -three methods- -> days of rest - all spec.beh.kinderg.-reval. (frequency = 336, performance = 1.01)
creatinine -> gammaglutamyltranspeptidase (frequency = 313, performance = 1.01)
follow-up consultation on an outpatient basis -> gammaglutamyltranspeptidase (frequency = 308, performance = 1.00)
creatinine - spoed -> differential count automatically (frequency = 304, performance = 1.01)
sodium flame photometric -> 190205 class 3b a205 (frequency = 303, performance = 88098.81)
ca-125 mbv half -> creatinine (frequency = 288, performance = 1.01)
follow-up consultation on an outpatient basis -> acceptance laboratory research (frequency = 285, performance = 7175140.80)
sodium flame photometric -> thorax (frequency = 281, performance = 2153.29)
blood group abo and rhesus factor -> calcium (frequency = 278, performance = 1.03)
screening antibodies for erythrocytes -> 190101 overage surcharge  a101 (frequency = 275, performance = 86389.81)
order tariff -> 190101 overage surcharge  a101 (frequency = 273, performance = 86394.47)
follow-up consultation on an outpatient basis -> hematocrit using centrifuge (frequency = 269, performance = 1.00)
microscopic examination - colored and un -> order tariff (frequency = 269, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> follow-up consultation on an outpatient basis (frequency = 268, performance = 2788655.70)
days of rest - all spec.beh.kinderg.-reval. -> 190021 clinical admission a002 (frequency = 264, performance = 756980.11)
methemoglobine - sulfhemoglobine elk -> o2 saturation (frequency = 255, performance = 1.00)
gammaglutamyltranspeptidase -> hemoglobin photoelectric (frequency = 253, performance = 1.04)
leukocyte counting electronically -> magnesium  -aas (frequency = 252, performance = 1.00)
order tariff -> phosphate (frequency = 249, performance = 1.00)
follow-up consultation on an outpatient basis -> telephone consultation (frequency = 248, performance = 3917264.01)
190035 day care a007 -> day care - all spec.beh.kind.-rev. (frequency = 239, performance = 1.00)
urea -> 190205 class 3b a205 (frequency = 238, performance = 86382.49)
differential count automatically -> gammaglutamyltranspeptidase (frequency = 235, performance = 1.01)
blood group abo and rhesus factor -> days of rest - all spec.beh.kinderg.-reval. (frequency = 226, performance = 1.03)
acceptance laboratory research -> alkaline phosphatase -kinetic- (frequency = 225, performance = 1.04)
telephone consultation -> acceptance laboratory research (frequency = 225, performance = 6450047.84)
current pH - pco2 - standard bicarbonate -> days of rest - all spec.beh.kinderg.-reval. (frequency = 224, performance = 1.00)
creatinine -> follow-up consultation on an outpatient basis (frequency = 223, performance = 1.08)
telephone consultation -> follow-up consultation on an outpatient basis (frequency = 222, performance = 5916064.86)
screening antibodies for erythrocytes -> sodium flame photometric (frequency = 218, performance = 1.00)
190205 class 3b a205 -> Diet no (frequency = 216, performance = 1.00)
bacteriological examination with culture -nie -> days of rest - all spec.beh.kinderg.-reval. (frequency = 216, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> glucose (frequency = 216, performance = 1.02)
differential count automatically -> hemoglobin photoelectric (frequency = 204, performance = 1.02)
urine examination - qualitative -> 190101 overage surcharge  a101 (frequency = 204, performance = 86385.74)
differential count automatically -> hemoglobin photoelectric - urgent (frequency = 203, performance = 1.04)
acceptance laboratory research -> bicarbonate (frequency = 202, performance = 1.00)
190204 class 3a a204 -> acceptance laboratory research (frequency = 201, performance = 860.70)
follow-up consultation on an outpatient basis -> order tariff (frequency = 195, performance = 1.02)
glucose - rush -> hemoglobin photoelectric - urgent (frequency = 190, performance = 1.01)
potassium potentiometric -> prothrombin time (frequency = 187, performance = 1.00)
bilirubin -conjugated -> calcium (frequency = 181, performance = 1.01)
order tariff -> resistance determinations - 5 determinations (frequency = 178, performance = 1.00)
sodium flame photometric -> acceptance laboratory research (frequency = 176, performance = 1537025.75)
days of rest - all spec.beh.kinderg.-reval. -> gammaglutamyltranspeptidase (frequency = 174, performance = 1.01)
squamous cell carcinoma mbv eia -> thorax (frequency = 174, performance = 1.00)
urea -> 190021 clinical admission a002 (frequency = 172, performance = 993577.11)
follow-up consultation on an outpatient basis -> 190021 clinical admission a002 (frequency = 171, performance = 1275284.05)
order tariff -> paclitaxel (frequency = 167, performance = 1.00)
teletherapy - megavolt photon irradiation -> treatment time - unit t3 - megavolt (frequency = 167, performance = 1.00)
crossmatch complete -three methods- -> current pH - pco2 - standard bicarbonate (frequency = 166, performance = 1.00)
sodium flame photometric -> 190035 day care a007 (frequency = 166, performance = 369531.22)
phosphate -> platelet counting - electronically (frequency = 163, performance = 1.00)
creatinine -> crossmatch complete -three methods- (frequency = 162, performance = 1.00)
day care - all spec.beh.kind.-rev. -> paclitaxel (frequency = 160, performance = 1.00)
glucose -> hematocrit using centrifuge (frequency = 159, performance = 1.00)
blood group abo and rhesus factor -> creatinine (frequency = 155, performance = 1.04)
telephone consultation -> telephone consultation (frequency = 155, performance = 3604273.41)
days of rest - all spec.beh.kinderg.-reval. -> hepatitis B surface antigen confirmation (frequency = 151, performance = 1.03)
190035 day care a007 -> acceptance laboratory research (frequency = 149, performance = 10438.58)
sgot asat kinetic - speed -> sgpt alat kinetic - speed (frequency = 143, performance = 1.00)
creatinine - spoed -> days of rest - all spec.beh.kinderg.-reval. (frequency = 142, performance = 1.01)
sediment -> urine examination - qualitative (frequency = 142, performance = 1.00)
histological examination - major resection p -> immunopathological examination (frequency = 141, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 190204 class 3a a204 (frequency = 139, performance = 86398.81)
blood group abo and rhesus factor -> blood group antigens other than abo-rhesu (frequency = 138, performance = 1.00)
calcium -> cephalin time - coagulation (frequency = 138, performance = 1.01)
sgpt alat kinetic - speed -> sodium - flame photometric - pitch (frequency = 138, performance = 1.00)
bicarbonate -> calcium (frequency = 137, performance = 1.02)
obstetrics-gynaec. short card cost-out -> order tariff (frequency = 136, performance = 1.00)
blood group abo and rhesus factor -> crossmatch complete -three methods- (frequency = 135, performance = 1.01)
paclitaxel -> acceptance laboratory research (frequency = 135, performance = 1432317.27)
co-hb kwn. -> crossmatch complete -three methods- (frequency = 134, performance = 1.00)
squamous cell carcinoma mbv eia -> urea (frequency = 132, performance = 1.08)
albumin -> calcium (frequency = 131, performance = 1.02)
cytological examination - ascites - -> days of rest - all spec.beh.kinderg.-reval. (frequency = 130, performance = 1.00)
order tariff -> telephone consultation (frequency = 129, performance = 1787605.48)
ct abdomen -> ct thorax (frequency = 128, performance = 6750.98)
screening antibodies for erythrocytes -> 190205 class 3b a205 (frequency = 125, performance = 86390.73)
190205 class 3b a205 -> 1st consultation visit (frequency = 123, performance = 27396.09)
190205 class 3b a205 -> IV - insertion (frequency = 121, performance = 1.00)
brachytherapie - interstitieel - intensi -> days of rest - all spec.beh.kinderg.-reval. (frequency = 121, performance = 1.00)
sodium - flame photometric - pitch -> urea - urgent (frequency = 121, performance = 1.00)
differential count automatically -> hematocrit using centrifuge (frequency = 120, performance = 1.02)
days of rest - all spec.beh.kinderg.-reval. -> hemoglobin photoelectric - urgent (frequency = 119, performance = 1.01)
leukocyte counting electronically -> obstetrics-gynaec. short card cost-out (frequency = 119, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> e.c.g.      - electrocardiography (frequency = 118, performance = 1.00)
order tariff -> 190205 class 3b a205 (frequency = 116, performance = 91609.10)
Diet no -> days of rest - all spec.beh.kinderg.-reval. (frequency = 114, performance = 1.01)
sodium - flame photometric - pitch -> 190021 clinical admission a002 (frequency = 113, performance = 331062.90)
telephone consultation -> administrative rate - first pol (frequency = 113, performance = 14597777.00)
cephalin time - coagulation -> creatinine (frequency = 112, performance = 1.01)
Diet no -> acceptance laboratory research (frequency = 111, performance = 1.00)
bilirubin - total -> calcium (frequency = 111, performance = 1.02)
bilirubin -conjugated -> ca-125 mbv half (frequency = 111, performance = 1.05)
filtered erythrocyte concentrate -> order tariff (frequency = 109, performance = 1.00)
bicarbonate -> calcium - rush (frequency = 107, performance = 1.01)
hemoglobin photoelectric -> histological examination - major resection p (frequency = 106, performance = 1.00)
acceptance laboratory research -> albumin - rush (frequency = 105, performance = 1.00)
creatinine -> day care - all spec.beh.kind.-rev. (frequency = 105, performance = 1.01)
days of rest - all spec.beh.kinderg.-reval. -> hematocrit using centrifuge (frequency = 104, performance = 1.00)
hemoglobin photoelectric - urgent -> heparinebepaling - kaoline - cefalinetij (frequency = 103, performance = 1.00)
urine examination - qualitative -> 190205 class 3b a205 (frequency = 103, performance = 86385.78)
hepatitis B surface antigen confirmation -> order tariff (frequency = 102, performance = 1.04)
days of rest - all spec.beh.kinderg.-reval. -> glucose - rush (frequency = 101, performance = 1.00)
blood group antigens other than abo-rhesu -> cde phenotyping (frequency = 100, performance = 1.00)
urea -> ct abdomen (frequency = 100, performance = 484679.31)
190021 clinical admission a002 -> 190035 day care a007 (frequency = 99, performance = 1.00)
abdominal overview -> acceptance laboratory research (frequency = 99, performance = 1.00)
potassium flame photometric - pitch -> sgot asat kinetic - speed (frequency = 99, performance = 1.00)
IV - insertion -> acceptance laboratory research (frequency = 98, performance = 1.00)
alkaline phosphatase -kinetic- -> amylase (frequency = 98, performance = 1.00)
day care - all spec.beh.kind.-rev. -> days of rest - all spec.beh.kinderg.-reval. (frequency = 98, performance = 1.00)
telephone consultation -> 190021 clinical admission a002 (frequency = 98, performance = 1448522.31)
day care - all spec.beh.kind.-rev. -> differential count automatically (frequency = 97, performance = 1.00)
order tariff -> sediment (frequency = 97, performance = 1.01)
190205 class 3b a205 -> abdominal overview (frequency = 96, performance = 1.00)
bacteriological examination with culture -nie -> creatinine (frequency = 95, performance = 1.00)
ca-125 mbv half -> counting platelets - urgent (frequency = 95, performance = 1.00)
e.c.g.      - electrocardiography -> gammaglutamyltranspeptidase (frequency = 95, performance = 1.00)
hepatitis B surface antigen confirmation -> microscopic examination - colored and un (frequency = 95, performance = 1.02)
lactic acid enzymatic - urgent -> methemoglobine - sulfhemoglobine elk (frequency = 95, performance = 1.00)
hemoglobin photoelectric - urgent -> order tariff (frequency = 92, performance = 1.09)
chloride -> creatinine (frequency = 91, performance = 1.00)
urea -> mri abdomen (frequency = 91, performance = 530717.33)
simulator - use megavol before starting -> teletherapy - megavolt photon irradiation (frequency = 90, performance = 389760.30)
lactic acid enzymatic -> methemoglobine - sulfhemoglobine elk (frequency = 89, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> histological examination - biopsies nno (frequency = 88, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> histological examination - major resection p (frequency = 88, performance = 1.01)
hemoglobin photoelectric -> hepatitis B surface antigen confirmation (frequency = 88, performance = 1.00)
ca-125 mbv half -> cea - tumormarker mbv meia (frequency = 86, performance = 1.03)
leukocyte counting electronically -> microscopic examination - colored and un (frequency = 86, performance = 1.00)
potassium potentiometric -> resistance determinations - 5 determinations (frequency = 86, performance = 1.00)
urea -> urine examination - qualitative (frequency = 86, performance = 1.00)
lactic acid dehydrogenase - urgent -> leucocyte counting -electronic- urgent (frequency = 85, performance = 1.00)
calcium - rush -> co-hb kwn. (frequency = 84, performance = 1.00)
phosphate -> potassium potentiometric (frequency = 84, performance = 1.02)
ct abdomen -> acceptance laboratory research (frequency = 83, performance = 717224.10)
histological examination - biopsies nno -> immunopathological examination (frequency = 83, performance = 1.00)
obstetrics-gynaec.   annual pass cost-out -> administrative rate - first pol (frequency = 83, performance = 6527884.31)
acceptance laboratory research -> calcium (frequency = 82, performance = 1.04)
differential count automatically -> filtered erythrocyte concentrate (frequency = 82, performance = 1.02)
hemoglobin photoelectric - urgent -> histological examination - major resection p (frequency = 81, performance = 1.00)
paclitaxel -> platelet counting - electronically (frequency = 81, performance = 1.00)
prothrombin time -> rhesusfactor d - centrifugeermethode - e (frequency = 81, performance = 1.00)
acceptance laboratory research -> follow-up consultation on an outpatient basis (frequency = 80, performance = 1.04)
hematocrit - emergency -> hemoglobin photoelectric - urgent (frequency = 80, performance = 1.00)
mri abdomen -> 190021 clinical admission a002 (frequency = 80, performance = 998999.72)
alkaline phosphatase - kinetic - urgent -> bilirubin quantitative total or direct (frequency = 79, performance = 1.00)
bilirubin - total -> ca-125 mbv half (frequency = 78, performance = 1.05)
international normalised ratio mbv tromb -> order tariff (frequency = 78, performance = 1.00)
calcium -> chloride (frequency = 77, performance = 1.04)
resistance determinations - 5 determinations -> sediment (frequency = 77, performance = 1.00)
sodium - flame photometric - pitch -> 190101 overage surcharge  a101 (frequency = 77, performance = 86383.92)
albumin - rush -> alkaline phosphatase - kinetic - urgent (frequency = 74, performance = 1.00)
filtered erythrocyte concentrate -> hemoglobin photoelectric (frequency = 74, performance = 1.01)
190021 clinical admission a002 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 72, performance = 1.06)
sediment -> sodium flame photometric (frequency = 72, performance = 1.01)
calcium -> counting platelets - urgent (frequency = 71, performance = 1.01)
sodium flame photometric -> urine examination - qualitative (frequency = 71, performance = 1.00)
ca-125 mbv half -> follow-up consultation on an outpatient basis (frequency = 70, performance = 1.03)
ct abdomen -> follow-up consultation on an outpatient basis (frequency = 70, performance = 1093577.26)
hemoglobin photoelectric -> international normalised ratio mbv tromb (frequency = 70, performance = 1.01)
order tariff -> acceptance laboratory research (frequency = 69, performance = 3787822.29)
crp c-reactive protein -> current pH - pco2 - standard bicarbonate (frequency = 68, performance = 1.00)
sodium flame photometric -> follow-up consultation on an outpatient basis (frequency = 68, performance = 1955423.97)
urea -> telephone consultation (frequency = 67, performance = 804660.10)
1st consultation visit -> acceptance laboratory research (frequency = 66, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> paclitaxel (frequency = 66, performance = 7855.45)
urea -> coupe available for inspection (frequency = 66, performance = 217282.39)
anesthesia - when treated with radium -> brachytherapie - interstitieel - intensi (frequency = 65, performance = 1.00)
calcium -> co-hb kwn. (frequency = 65, performance = 1.00)
current pH - pco2 - standard bicarbonate -> cytological examination - ascites - (frequency = 65, performance = 1.00)
histological examination - major resection p -> lactic acid enzymatic (frequency = 65, performance = 1.02)
190021 clinical admission a002 -> 190204 class 3a a204 (frequency = 64, performance = 1.02)
alkaline phosphatase -kinetic- -> creatinine (frequency = 64, performance = 1.00)
urea -> acceptance laboratory research (frequency = 64, performance = 1763082.92)
alkaline phosphatase -kinetic- -> bacteriological examination with culture -nie (frequency = 63, performance = 1.00)
ct abdomen -> telephone consultation (frequency = 63, performance = 741942.89)
differential count automatically -> e.c.g.      - electrocardiography (frequency = 63, performance = 1.00)
lactic acid dehydrogenase -ldh- kinetic -> order tariff (frequency = 62, performance = 1.21)
crossmatch complete -three methods- -> crp c-reactive protein (frequency = 61, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 1st outpatient consultation (frequency = 61, performance = 1929126.20)
follow-up consultation on an outpatient basis -> histological examination - biopsies nno (frequency = 61, performance = 283279.62)
lactic acid dehydrogenase -ldh- kinetic -> leucocyte counting -electronic- urgent (frequency = 61, performance = 1.00)
potassium potentiometric -> sediment (frequency = 61, performance = 1.02)
sodium flame photometric -> telephone consultation (frequency = 61, performance = 508476.21)
blaas       - uretrocystoscopie nno -> days of rest - all spec.beh.kinderg.-reval. (frequency = 60, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> histological examination - minor resection (frequency = 60, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> teletherapy - megavolt photon irradiation (frequency = 60, performance = 37440.90)
hemoglobin photoelectric - urgent -> lactic acid dehydrogenase - urgent (frequency = 60, performance = 1.02)
sediment - speed -> urine examination - qualitative (frequency = 60, performance = 1.00)
sodium - flame photometric - pitch -> acceptance laboratory research (frequency = 60, performance = 993588.68)
potassium flame photometric - pitch -> prothrombin time -quick owen or modif.- (frequency = 59, performance = 1.00)
order tariff -> follow-up consultation on an outpatient basis (frequency = 58, performance = 3123803.14)
creatinine -> e.c.g.      - electrocardiography (frequency = 57, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> telephone consultation (frequency = 57, performance = 1749219.84)
hepatitis B surface antigen confirmation -> leukocyte counting electronically (frequency = 57, performance = 1.02)
urea -> follow-up consultation on an outpatient basis (frequency = 57, performance = 1881076.11)
cephalin time - coagulation -> chloride (frequency = 56, performance = 1.00)
ct abdomen -> 190021 clinical admission a002 (frequency = 56, performance = 1046057.04)
gamma glutamyl transpeptidase - urgent -> hemoglobin photoelectric - urgent (frequency = 56, performance = 1.02)
order tariff -> photoelectric settling rate (frequency = 56, performance = 1.00)
prothrombin time -> sodium flame photometric (frequency = 55, performance = 1.00)
sodium - flame photometric - pitch -> 190205 class 3b a205 (frequency = 55, performance = 86385.91)
190021 clinical admission a002 -> acceptance laboratory research (frequency = 54, performance = 1.11)
sodium - flame photometric - pitch -> 190035 day care a007 (frequency = 54, performance = 348789.65)
190035 day care a007 -> 190101 overage surcharge  a101 (frequency = 53, performance = 1.00)
190205 class 3b a205 -> brachytherapie - interstitieel - intensi (frequency = 53, performance = 1.04)
hemoglobin photoelectric -> histological examination - biopsies nno (frequency = 53, performance = 1.00)
immunopathological examination -> lactic acid enzymatic - urgent (frequency = 53, performance = 1.00)
thorax -> 190101 overage surcharge  a101 (frequency = 53, performance = 86389.98)
190205 class 3b a205 -> anesthesia - when treated with radium (frequency = 52, performance = 1.00)
amylase -> bilirubin - total (frequency = 52, performance = 1.00)
leukocyte counting electronically -> leukocyte differentiation - manual (frequency = 52, performance = 1.00)
190205 class 3b a205 -> 1st outpatient consultation (frequency = 51, performance = 16942.08)
cytological examination - vagina - -> follow-up consultation on an outpatient basis (frequency = 51, performance = 1.00)
follow-up consultation on an outpatient basis -> ct abdomen (frequency = 51, performance = 2817317.37)
glucose -> hemoglobin photoelectric - urgent (frequency = 51, performance = 1.02)
leucocyte counting -electronic- urgent -> magnesium  -aas (frequency = 51, performance = 1.00)
chloride -> co-hb kwn. (frequency = 50, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> international normalised ratio mbv tromb (frequency = 50, performance = 1.04)
leukocyte differentiation - manual -> order tariff (frequency = 50, performance = 1.00)
bacteriological examination with culture -nie -> bilirubin - total (frequency = 49, performance = 1.02)
blood group abo and rhesus factor -> counting platelets - urgent (frequency = 49, performance = 1.00)
creatinine -> ct abdomen (frequency = 49, performance = 1.00)
ct abdomen -> days of rest - all spec.beh.kinderg.-reval. (frequency = 49, performance = 1.00)
glucose -> order tariff (frequency = 49, performance = 1.00)
hemoglobin photoelectric - urgent -> lactic acid dehydrogenase -ldh- kinetic (frequency = 49, performance = 1.00)
prothrombin time -> sgot - asat kinetisch (frequency = 49, performance = 1.00)
sodium flame photometric -> total protein (frequency = 49, performance = 1.00)
creatinine -> hemoglobin photoelectric (frequency = 48, performance = 1.29)
crossmatch complete -three methods- -> day care - all spec.beh.kind.-rev. (frequency = 48, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> simulator - use megavol before starting (frequency = 48, performance = 61200.60)
telephone consultation -> ct abdomen (frequency = 48, performance = 2086199.83)
ultrasound - internal genitalia -> urea (frequency = 48, performance = 1.00)
administrative rate - first pol -> ca-125 mbv half (frequency = 47, performance = 1.00)
cde phenotyping -> days of rest - all spec.beh.kinderg.-reval. (frequency = 47, performance = 1.02)
creatinine - spoed -> crp c-reactive protein - rush (frequency = 47, performance = 1.00)
crp c-reactive protein - rush -> days of rest - all spec.beh.kinderg.-reval. (frequency = 47, performance = 1.00)
sodium flame photometric -> thorax - in the room (frequency = 47, performance = 1.00)
alkaline phosphatase -kinetic- -> calcium (frequency = 46, performance = 1.00)
bilirubin - total -> blood group abo and rhesus factor (frequency = 46, performance = 1.26)
ct thorax -> acceptance laboratory research (frequency = 46, performance = 625459.78)
magnesium bait - speed -> order tariff (frequency = 46, performance = 1.00)
mri abdomen -> telephone consultation (frequency = 46, performance = 713739.13)
acceptance laboratory research -> alkaline phosphatase - kinetic - urgent (frequency = 45, performance = 1.02)
acceptance laboratory research -> creatinine - spoed (frequency = 45, performance = 1.07)
albumin -> bilirubin - total (frequency = 45, performance = 1.29)
bacteriological examination with culture -nie -> bicarbonate (frequency = 45, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> leukocyte counting electronically (frequency = 45, performance = 1.13)
albumin -> bicarbonate (frequency = 44, performance = 1.00)
calcium - rush -> counting platelets - urgent (frequency = 44, performance = 1.00)
co-hb kwn. -> counting platelets - urgent (frequency = 44, performance = 1.00)
creatinine - spoed -> day care - all spec.beh.kind.-rev. (frequency = 44, performance = 1.00)
histological examination - major resection p -> lactic acid enzymatic - urgent (frequency = 44, performance = 1.02)
photoelectric settling rate -> platelet counting - electronically (frequency = 44, performance = 1.00)
sediment -> sgot - asat kinetisch (frequency = 44, performance = 1.00)
total protein -> urea (frequency = 44, performance = 1.00)
bacteriological examination with culture -nie -> blood group abo and rhesus factor (frequency = 43, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> frozen section (frequency = 43, performance = 1.00)
differential count automatically -> gamma glutamyl transpeptidase - urgent (frequency = 43, performance = 1.02)
follow-up consultation on an outpatient basis -> 190035 day care a007 (frequency = 43, performance = 1036799.79)
190035 day care a007 -> 190205 class 3b a205 (frequency = 42, performance = 1.00)
190101 overage surcharge  a101 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 42, performance = 2.00)
abdomen - staging laparotom.-oment -> acceptance laboratory research (frequency = 42, performance = 1.00)
bilirubin - total -> creatinine (frequency = 42, performance = 1.05)
order tariff -> phosphate - speed (frequency = 42, performance = 1.00)
phosphate - speed -> potassium flame photometric - pitch (frequency = 42, performance = 1.00)
sgot - asat kinetisch -> sodium flame photometric (frequency = 42, performance = 1.48)
Cito histological examination -> acceptance laboratory research (frequency = 41, performance = 1.00)
alkaline phosphatase -kinetic- -> ca-125 mbv half (frequency = 41, performance = 1.05)
