190101 overage surcharge  a101 -> 190205 class 3b a205 (frequency = 2873, performance = 1.00)
counting platelets - urgent -> creatinine - spoed (frequency = 534, performance = 1.00)
administrative rate - first pol -> albumin (frequency = 513, performance = 1.00)
190021 clinical admission a002 -> 190101 overage surcharge  a101 (frequency = 508, performance = 1.00)
creatinine -> days of rest - all spec.beh.kinderg.-reval. (frequency = 503, performance = 1.00)
order tariff -> potassium potentiometric (frequency = 499, performance = 1.00)
follow-up consultation on an outpatient basis -> hemoglobin photoelectric - urgent (frequency = 496, performance = 1.00)
acceptance laboratory research -> creatinine (frequency = 494, performance = 1.00)
potassium flame photometric - pitch -> sodium - flame photometric - pitch (frequency = 486, performance = 1.00)
follow-up consultation on an outpatient basis -> administrative rate - first pol (frequency = 484, performance = 18799854.19)
follow-up consultation on an outpatient basis -> hemoglobin photoelectric (frequency = 479, performance = 1.00)
ca-125 mbv half -> calcium (frequency = 462, performance = 1.00)
counting platelets - urgent -> creatinine (frequency = 424, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> hemoglobin photoelectric (frequency = 401, performance = 1.00)
sodium flame photometric -> 190021 clinical admission a002 (frequency = 390, performance = 356666.73)
acceptance laboratory research -> blood group abo and rhesus factor (frequency = 386, performance = 1.00)
blood group abo and rhesus factor -> ca-125 mbv half (frequency = 385, performance = 1.00)
sodium flame photometric -> squamous cell carcinoma mbv eia (frequency = 383, performance = 1.00)
thorax -> urea (frequency = 380, performance = 1.00)
1st outpatient consultation -> administrative rate - first pol (frequency = 366, performance = 1.00)
leucocyte counting -electronic- urgent -> order tariff (frequency = 358, performance = 1.00)
acceptance laboratory research -> administrative rate - first pol (frequency = 354, performance = 1.00)
acceptance laboratory research -> albumin (frequency = 354, performance = 1.00)
cea - tumormarker mbv meia -> creatinine (frequency = 354, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> differential count automatically (frequency = 354, performance = 1.00)
calcium -> cea - tumormarker mbv meia (frequency = 349, performance = 1.00)
hemoglobin photoelectric -> order tariff (frequency = 322, performance = 1.00)
creatinine -> gammaglutamyltranspeptidase (frequency = 321, performance = 1.00)
follow-up consultation on an outpatient basis -> gammaglutamyltranspeptidase (frequency = 317, performance = 1.00)
creatinine - spoed -> differential count automatically (frequency = 310, performance = 1.00)
ca-125 mbv half -> creatinine (frequency = 297, performance = 1.00)
sodium flame photometric -> thorax (frequency = 283, performance = 2138.07)
blood group abo and rhesus factor -> calcium (frequency = 280, performance = 1.00)
1st outpatient consultation -> acceptance laboratory research (frequency = 275, performance = 6912.99)
follow-up consultation on an outpatient basis -> hematocrit using centrifuge (frequency = 274, performance = 1.00)
sodium flame photometric -> 190101 overage surcharge  a101 (frequency = 267, performance = 86387.25)
methemoglobine - sulfhemoglobine elk -> o2 saturation (frequency = 265, performance = 1.00)
order tariff -> potassium flame photometric - pitch (frequency = 265, performance = 1.00)
acceptance laboratory research -> bacteriological examination with culture -nie (frequency = 263, performance = 1.00)
follow-up consultation on an outpatient basis -> telephone consultation (frequency = 257, performance = 3910860.19)
order tariff -> rhesusfactor d - centrifugeermethode - e (frequency = 256, performance = 1.00)
gammaglutamyltranspeptidase -> hemoglobin photoelectric (frequency = 255, performance = 1.00)
leukocyte counting electronically -> magnesium  -aas (frequency = 255, performance = 1.00)
190021 clinical admission a002 -> 190205 class 3b a205 (frequency = 251, performance = 1.00)
190035 day care a007 -> day care - all spec.beh.kind.-rev. (frequency = 244, performance = 1.00)
differential count automatically -> gammaglutamyltranspeptidase (frequency = 238, performance = 1.00)
acceptance laboratory research -> days of rest - all spec.beh.kinderg.-reval. (frequency = 234, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> order tariff (frequency = 234, performance = 1.00)
telephone consultation -> follow-up consultation on an outpatient basis (frequency = 226, performance = 5731454.86)
screening antibodies for erythrocytes -> sodium flame photometric (frequency = 225, performance = 1.00)
acceptance laboratory research -> counting platelets - urgent (frequency = 223, performance = 1.00)
crp c-reactive protein -> days of rest - all spec.beh.kinderg.-reval. (frequency = 220, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> acceptance laboratory research (frequency = 219, performance = 1024962.74)
creatinine -> follow-up consultation on an outpatient basis (frequency = 216, performance = 1.00)
differential count automatically -> hemoglobin photoelectric (frequency = 211, performance = 1.00)
differential count automatically -> hemoglobin photoelectric - urgent (frequency = 199, performance = 1.00)
potassium potentiometric -> prothrombin time (frequency = 194, performance = 1.00)
glucose - rush -> hemoglobin photoelectric - urgent (frequency = 192, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> filtered erythrocyte concentrate (frequency = 187, performance = 1.00)
squamous cell carcinoma mbv eia -> thorax (frequency = 186, performance = 1.00)
190204 class 3a a204 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 185, performance = 1.00)
bilirubin -conjugated -> calcium (frequency = 184, performance = 1.00)
o2 saturation -> order tariff (frequency = 181, performance = 1.00)
crossmatch complete -three methods- -> days of rest - all spec.beh.kinderg.-reval. (frequency = 177, performance = 1.00)
follow-up consultation on an outpatient basis -> 190021 clinical admission a002 (frequency = 177, performance = 1252555.77)
urea -> 190021 clinical admission a002 (frequency = 177, performance = 989916.21)
crossmatch complete -three methods- -> current pH - pco2 - standard bicarbonate (frequency = 173, performance = 1.00)
sodium flame photometric -> 190035 day care a007 (frequency = 172, performance = 368193.73)
teletherapy - megavolt photon irradiation -> treatment time - unit t3 - megavolt (frequency = 172, performance = 1.00)
urea -> 190101 overage surcharge  a101 (frequency = 170, performance = 91462.19)
creatinine -> crossmatch complete -three methods- (frequency = 169, performance = 1.00)
phosphate -> platelet counting - electronically (frequency = 166, performance = 1.00)
day care - all spec.beh.kind.-rev. -> paclitaxel (frequency = 162, performance = 1.00)
glucose -> hematocrit using centrifuge (frequency = 162, performance = 1.00)
190101 overage surcharge  a101 -> 190204 class 3a a204 (frequency = 159, performance = 1.00)
telephone consultation -> telephone consultation (frequency = 159, performance = 3421765.90)
acceptance laboratory research -> ca-125 mbv half (frequency = 154, performance = 1.00)
blood group abo and rhesus factor -> creatinine (frequency = 152, performance = 1.00)
screening antibodies for erythrocytes -> 190101 overage surcharge  a101 (frequency = 151, performance = 86389.89)
order tariff -> 190101 overage surcharge  a101 (frequency = 148, performance = 86394.48)
sediment -> urine examination - qualitative (frequency = 146, performance = 1.00)
calcium -> cephalin time - coagulation (frequency = 145, performance = 1.00)
sgot asat kinetic - speed -> sgpt alat kinetic - speed (frequency = 145, performance = 1.00)
histological examination - major resection p -> immunopathological examination (frequency = 144, performance = 1.00)
blood group abo and rhesus factor -> blood group antigens other than abo-rhesu (frequency = 142, performance = 1.00)
bicarbonate -> calcium (frequency = 140, performance = 1.00)
sgpt alat kinetic - speed -> sodium - flame photometric - pitch (frequency = 139, performance = 1.00)
blood group abo and rhesus factor -> crossmatch complete -three methods- (frequency = 137, performance = 1.00)
co-hb kwn. -> crossmatch complete -three methods- (frequency = 136, performance = 1.00)
magnesium  -aas -> order tariff (frequency = 134, performance = 1.00)
albumin -> calcium (frequency = 131, performance = 1.00)
ct abdomen -> ct thorax (frequency = 130, performance = 6647.14)
days of rest - all spec.beh.kinderg.-reval. -> follow-up consultation on an outpatient basis (frequency = 130, performance = 3053906.63)
days of rest - all spec.beh.kinderg.-reval. -> 190021 clinical admission a002 (frequency = 129, performance = 738081.91)
follow-up consultation on an outpatient basis -> acceptance laboratory research (frequency = 129, performance = 6796799.74)
microscopic examination - colored and un -> order tariff (frequency = 127, performance = 1.00)
telephone consultation -> acceptance laboratory research (frequency = 127, performance = 6428295.94)
squamous cell carcinoma mbv eia -> urea (frequency = 125, performance = 1.00)
sodium - flame photometric - pitch -> urea - urgent (frequency = 124, performance = 1.00)
differential count automatically -> hematocrit using centrifuge (frequency = 123, performance = 1.00)
leukocyte counting electronically -> obstetrics-gynaec. short card cost-out (frequency = 122, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> glucose (frequency = 118, performance = 1.00)
cephalin time - coagulation -> creatinine (frequency = 115, performance = 1.00)
sodium - flame photometric - pitch -> 190021 clinical admission a002 (frequency = 115, performance = 327559.01)
bacteriological examination with culture -nie -> days of rest - all spec.beh.kinderg.-reval. (frequency = 114, performance = 1.00)
urine examination - qualitative -> 190101 overage surcharge  a101 (frequency = 113, performance = 86385.46)
hemoglobin photoelectric -> histological examination - major resection p (frequency = 112, performance = 1.00)
telephone consultation -> administrative rate - first pol (frequency = 112, performance = 14573057.13)
bilirubin - total -> calcium (frequency = 111, performance = 1.00)
bilirubin -conjugated -> ca-125 mbv half (frequency = 109, performance = 1.00)
bicarbonate -> calcium - rush (frequency = 108, performance = 1.00)
creatinine -> day care - all spec.beh.kind.-rev. (frequency = 106, performance = 1.00)
blood group abo and rhesus factor -> days of rest - all spec.beh.kinderg.-reval. (frequency = 105, performance = 1.00)
hemoglobin photoelectric - urgent -> heparinebepaling - kaoline - cefalinetij (frequency = 105, performance = 1.00)
sodium flame photometric -> 190205 class 3b a205 (frequency = 105, performance = 86388.14)
current pH - pco2 - standard bicarbonate -> days of rest - all spec.beh.kinderg.-reval. (frequency = 104, performance = 1.00)
blood group antigens other than abo-rhesu -> cde phenotyping (frequency = 103, performance = 1.00)
urea -> ct abdomen (frequency = 103, performance = 484821.89)
potassium flame photometric - pitch -> sgot asat kinetic - speed (frequency = 102, performance = 1.00)
day care - all spec.beh.kind.-rev. -> differential count automatically (frequency = 101, performance = 1.00)
190021 clinical admission a002 -> 190035 day care a007 (frequency = 100, performance = 1.00)
190205 class 3b a205 -> Diet no (frequency = 100, performance = 1.00)
190204 class 3a a204 -> acceptance laboratory research (frequency = 99, performance = 1.00)
alkaline phosphatase -kinetic- -> amylase (frequency = 99, performance = 1.00)
bacteriological examination with culture -nie -> creatinine (frequency = 99, performance = 1.00)
follow-up consultation on an outpatient basis -> order tariff (frequency = 99, performance = 1.00)
ca-125 mbv half -> counting platelets - urgent (frequency = 98, performance = 1.00)
telephone consultation -> 190021 clinical admission a002 (frequency = 98, performance = 1459983.53)
acceptance laboratory research -> alkaline phosphatase -kinetic- (frequency = 97, performance = 1.00)
acceptance laboratory research -> bicarbonate (frequency = 97, performance = 1.00)
hepatitis B surface antigen confirmation -> microscopic examination - colored and un (frequency = 97, performance = 1.00)
lactic acid enzymatic - urgent -> methemoglobine - sulfhemoglobine elk (frequency = 97, performance = 1.00)
hemoglobin photoelectric -> hepatitis B surface antigen confirmation (frequency = 96, performance = 1.00)
order tariff -> resistance determinations - 5 determinations (frequency = 96, performance = 1.00)
e.c.g.      - electrocardiography -> gammaglutamyltranspeptidase (frequency = 95, performance = 1.00)
chloride -> creatinine (frequency = 94, performance = 1.00)
urea -> mri abdomen (frequency = 94, performance = 546868.22)
simulator - use megavol before starting -> teletherapy - megavolt photon irradiation (frequency = 93, performance = 387406.76)
lactic acid enzymatic -> methemoglobine - sulfhemoglobine elk (frequency = 91, performance = 1.00)
order tariff -> phosphate (frequency = 91, performance = 1.00)
leukocyte counting electronically -> microscopic examination - colored and un (frequency = 90, performance = 1.00)
urea -> 190205 class 3b a205 (frequency = 89, performance = 86382.49)
potassium potentiometric -> resistance determinations - 5 determinations (frequency = 88, performance = 1.00)
urea -> urine examination - qualitative (frequency = 88, performance = 1.00)
histological examination - biopsies nno -> immunopathological examination (frequency = 87, performance = 1.00)
calcium - rush -> co-hb kwn. (frequency = 86, performance = 1.00)
ca-125 mbv half -> cea - tumormarker mbv meia (frequency = 85, performance = 1.00)
lactic acid dehydrogenase - urgent -> leucocyte counting -electronic- urgent (frequency = 85, performance = 1.00)
hemoglobin photoelectric - urgent -> histological examination - major resection p (frequency = 84, performance = 1.00)
obstetrics-gynaec.   annual pass cost-out -> administrative rate - first pol (frequency = 84, performance = 6491314.26)
prothrombin time -> rhesusfactor d - centrifugeermethode - e (frequency = 84, performance = 1.00)
hematocrit - emergency -> hemoglobin photoelectric - urgent (frequency = 83, performance = 1.00)
paclitaxel -> platelet counting - electronically (frequency = 82, performance = 1.00)
phosphate -> potassium potentiometric (frequency = 82, performance = 1.00)
alkaline phosphatase - kinetic - urgent -> bilirubin quantitative total or direct (frequency = 81, performance = 1.00)
differential count automatically -> filtered erythrocyte concentrate (frequency = 80, performance = 1.00)
mri abdomen -> 190021 clinical admission a002 (frequency = 80, performance = 996839.78)
order tariff -> telephone consultation (frequency = 79, performance = 1723621.44)
resistance determinations - 5 determinations -> sediment (frequency = 79, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 190204 class 3a a204 (frequency = 78, performance = 86398.87)
calcium -> chloride (frequency = 77, performance = 1.00)
albumin - rush -> alkaline phosphatase - kinetic - urgent (frequency = 76, performance = 1.00)
bilirubin - total -> ca-125 mbv half (frequency = 76, performance = 1.00)
190205 class 3b a205 -> 1st consultation visit (frequency = 75, performance = 1.00)
filtered erythrocyte concentrate -> hemoglobin photoelectric (frequency = 75, performance = 1.00)
crp c-reactive protein -> current pH - pco2 - standard bicarbonate (frequency = 74, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> hepatitis B surface antigen confirmation (frequency = 74, performance = 1.00)
hemoglobin photoelectric -> international normalised ratio mbv tromb (frequency = 73, performance = 1.00)
order tariff -> paclitaxel (frequency = 73, performance = 1.00)
obstetrics-gynaec. short card cost-out -> order tariff (frequency = 72, performance = 1.00)
sediment -> sodium flame photometric (frequency = 72, performance = 1.00)
sodium flame photometric -> urine examination - qualitative (frequency = 72, performance = 1.00)
calcium -> counting platelets - urgent (frequency = 71, performance = 1.00)
ct abdomen -> follow-up consultation on an outpatient basis (frequency = 71, performance = 1080608.55)
ca-125 mbv half -> follow-up consultation on an outpatient basis (frequency = 70, performance = 1.00)
creatinine - spoed -> days of rest - all spec.beh.kinderg.-reval. (frequency = 70, performance = 1.00)
calcium -> co-hb kwn. (frequency = 68, performance = 1.00)
sodium flame photometric -> follow-up consultation on an outpatient basis (frequency = 68, performance = 2031659.53)
alkaline phosphatase -kinetic- -> creatinine (frequency = 67, performance = 1.00)
anesthesia - when treated with radium -> brachytherapie - interstitieel - intensi (frequency = 67, performance = 1.00)
current pH - pco2 - standard bicarbonate -> cytological examination - ascites - (frequency = 67, performance = 1.00)
urea -> coupe available for inspection (frequency = 67, performance = 228224.04)
urea -> telephone consultation (frequency = 67, performance = 787895.88)
190021 clinical admission a002 -> 190204 class 3a a204 (frequency = 66, performance = 1.00)
alkaline phosphatase -kinetic- -> bacteriological examination with culture -nie (frequency = 66, performance = 1.00)
cytological examination - ascites - -> days of rest - all spec.beh.kinderg.-reval. (frequency = 66, performance = 1.00)
histological examination - major resection p -> lactic acid enzymatic (frequency = 66, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> gammaglutamyltranspeptidase (frequency = 65, performance = 1.00)
follow-up consultation on an outpatient basis -> histological examination - biopsies nno (frequency = 65, performance = 265847.09)
crossmatch complete -three methods- -> crp c-reactive protein (frequency = 64, performance = 1.00)
ct abdomen -> telephone consultation (frequency = 64, performance = 718200.03)
differential count automatically -> e.c.g.      - electrocardiography (frequency = 63, performance = 1.00)
hepatitis B surface antigen confirmation -> order tariff (frequency = 63, performance = 1.00)
sodium flame photometric -> telephone consultation (frequency = 63, performance = 543076.62)
lactic acid dehydrogenase -ldh- kinetic -> leucocyte counting -electronic- urgent (frequency = 62, performance = 1.00)
potassium potentiometric -> sediment (frequency = 62, performance = 1.00)
potassium flame photometric - pitch -> prothrombin time -quick owen or modif.- (frequency = 61, performance = 1.00)
sediment - speed -> urine examination - qualitative (frequency = 60, performance = 1.00)
cephalin time - coagulation -> chloride (frequency = 59, performance = 1.00)
hemoglobin photoelectric - urgent -> lactic acid dehydrogenase - urgent (frequency = 59, performance = 1.00)
hepatitis B surface antigen confirmation -> leukocyte counting electronically (frequency = 59, performance = 1.00)
urea -> follow-up consultation on an outpatient basis (frequency = 59, performance = 1836347.32)
ct abdomen -> 190021 clinical admission a002 (frequency = 58, performance = 1038289.55)
prothrombin time -> sodium flame photometric (frequency = 58, performance = 1.00)
Diet no -> days of rest - all spec.beh.kinderg.-reval. (frequency = 57, performance = 1.00)
creatinine -> e.c.g.      - electrocardiography (frequency = 57, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> hemoglobin photoelectric - urgent (frequency = 57, performance = 1.00)
filtered erythrocyte concentrate -> order tariff (frequency = 57, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> hematocrit using centrifuge (frequency = 56, performance = 1.00)
screening antibodies for erythrocytes -> 190205 class 3b a205 (frequency = 56, performance = 86390.73)
sodium - flame photometric - pitch -> 190035 day care a007 (frequency = 56, performance = 347132.55)
days of rest - all spec.beh.kinderg.-reval. -> glucose - rush (frequency = 55, performance = 1.00)
follow-up consultation on an outpatient basis -> ct abdomen (frequency = 55, performance = 2749090.64)
gamma glutamyl transpeptidase - urgent -> hemoglobin photoelectric - urgent (frequency = 55, performance = 1.00)
190035 day care a007 -> acceptance laboratory research (frequency = 54, performance = 1.00)
amylase -> bilirubin - total (frequency = 54, performance = 1.00)
hemoglobin photoelectric -> histological examination - biopsies nno (frequency = 54, performance = 1.00)
immunopathological examination -> lactic acid enzymatic - urgent (frequency = 54, performance = 1.00)
sodium flame photometric -> acceptance laboratory research (frequency = 54, performance = 1211189.57)
brachytherapie - interstitieel - intensi -> days of rest - all spec.beh.kinderg.-reval. (frequency = 53, performance = 1.00)
cytological examination - vagina - -> follow-up consultation on an outpatient basis (frequency = 53, performance = 1.00)
leukocyte counting electronically -> leukocyte differentiation - manual (frequency = 53, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> histological examination - biopsies nno (frequency = 52, performance = 1.00)
glucose -> hemoglobin photoelectric - urgent (frequency = 52, performance = 1.00)
leucocyte counting -electronic- urgent -> magnesium  -aas (frequency = 52, performance = 1.00)
order tariff -> 190205 class 3b a205 (frequency = 52, performance = 86395.46)
sodium flame photometric -> total protein (frequency = 52, performance = 1.00)
crossmatch complete -three methods- -> day care - all spec.beh.kind.-rev. (frequency = 51, performance = 1.00)
blood group abo and rhesus factor -> counting platelets - urgent (frequency = 50, performance = 1.00)
chloride -> co-hb kwn. (frequency = 50, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> histological examination - major resection p (frequency = 50, performance = 1.00)
prothrombin time -> sgot - asat kinetisch (frequency = 50, performance = 1.00)
sodium flame photometric -> thorax - in the room (frequency = 50, performance = 1.00)
telephone consultation -> ct abdomen (frequency = 50, performance = 2059775.82)
administrative rate - first pol -> ca-125 mbv half (frequency = 49, performance = 1.00)
bacteriological examination with culture -nie -> bilirubin - total (frequency = 49, performance = 1.00)
creatinine -> ct abdomen (frequency = 49, performance = 1.00)
hemoglobin photoelectric - urgent -> lactic acid dehydrogenase -ldh- kinetic (frequency = 49, performance = 1.00)
mri abdomen -> telephone consultation (frequency = 49, performance = 703542.86)
total protein -> urea (frequency = 49, performance = 1.00)
ultrasound - internal genitalia -> urea (frequency = 49, performance = 1.00)
190205 class 3b a205 -> IV - insertion (frequency = 48, performance = 1.00)
bacteriological examination with culture -nie -> bicarbonate (frequency = 48, performance = 1.00)
creatinine - spoed -> crp c-reactive protein - rush (frequency = 48, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> e.c.g.      - electrocardiography (frequency = 48, performance = 1.00)
Diet no -> acceptance laboratory research (frequency = 47, performance = 1.00)
alkaline phosphatase -kinetic- -> calcium (frequency = 47, performance = 1.00)
acceptance laboratory research -> albumin - rush (frequency = 46, performance = 1.00)
order tariff -> sediment (frequency = 46, performance = 1.00)
sediment -> sgot - asat kinetisch (frequency = 46, performance = 1.00)
sodium - flame photometric - pitch -> 190101 overage surcharge  a101 (frequency = 46, performance = 86383.91)
albumin -> bicarbonate (frequency = 45, performance = 1.00)
bacteriological examination with culture -nie -> blood group abo and rhesus factor (frequency = 45, performance = 1.00)
follow-up consultation on an outpatient basis -> 1st outpatient consultation (frequency = 45, performance = 11276159.76)
hemoglobin photoelectric - urgent -> order tariff (frequency = 45, performance = 1.00)
histological examination - major resection p -> lactic acid enzymatic - urgent (frequency = 45, performance = 1.00)
calcium - rush -> counting platelets - urgent (frequency = 44, performance = 1.00)
co-hb kwn. -> counting platelets - urgent (frequency = 44, performance = 1.00)
creatinine - spoed -> day care - all spec.beh.kind.-rev. (frequency = 44, performance = 1.00)
photoelectric settling rate -> platelet counting - electronically (frequency = 44, performance = 1.00)
acceptance laboratory research -> follow-up consultation on an outpatient basis (frequency = 43, performance = 1.00)
clinical card - anesthesia -> co-hb kwn. (frequency = 43, performance = 1.00)
coupe available for inspection -> creatinine (frequency = 43, performance = 1.00)
mri abdomen -> follow-up consultation on an outpatient basis (frequency = 43, performance = 697227.60)
bacteriological examination with culture -nie -> follow-up consultation on an outpatient basis (frequency = 42, performance = 1.00)
bilirubin - total -> creatinine (frequency = 42, performance = 1.00)
day care - all spec.beh.kind.-rev. -> days of rest - all spec.beh.kinderg.-reval. (frequency = 42, performance = 1.00)
differential count automatically -> gamma glutamyl transpeptidase - urgent (frequency = 42, performance = 1.00)
follow-up consultation on an outpatient basis -> 190035 day care a007 (frequency = 42, performance = 1047085.50)
phosphate - speed -> potassium flame photometric - pitch (frequency = 42, performance = 1.00)
potassium flame photometric - pitch -> rhesusfactor d - centrifugeermethode - e (frequency = 42, performance = 1.00)
treatment time - unit t3 - megavolt -> 190021 clinical admission a002 (frequency = 42, performance = 551311.36)
follow-up consultation on an outpatient basis -> thorax (frequency = 41, performance = 37932.66)
paclitaxel -> acceptance laboratory research (frequency = 41, performance = 1365538.59)
sodium flame photometric -> ct abdomen (frequency = 41, performance = 1609977.29)
IV - insertion -> acceptance laboratory research (frequency = 40, performance = 1.00)
cytological examination - ectocervix - -> follow-up consultation on an outpatient basis (frequency = 40, performance = 82080.95)
follow-up consultation on an outpatient basis -> gamma glutamyl transpeptidase - urgent (frequency = 40, performance = 1.00)
immunopathological examination -> lactic acid enzymatic (frequency = 40, performance = 1.00)
leucocyte counting -electronic- urgent -> magnesium bait - speed (frequency = 40, performance = 1.00)
urine examination - qualitative -> 190205 class 3b a205 (frequency = 40, performance = 86385.40)
Cito histological examination -> coupe available for inspection (frequency = 39, performance = 1.00)
alkaline phosphatase -kinetic- -> ca-125 mbv half (frequency = 39, performance = 1.00)
co-hb kwn. -> current pH - pco2 - standard bicarbonate (frequency = 39, performance = 1.00)
creatinine -> hemoglobin photoelectric (frequency = 39, performance = 1.00)
ct abdomen -> acceptance laboratory research (frequency = 39, performance = 742153.85)
hemoglobin photoelectric - urgent -> hepatitis B surface antigen confirmation (frequency = 39, performance = 1.00)
urea -> 1st outpatient consultation (frequency = 39, performance = 715544.08)
bicarbonate -> bilirubin - total (frequency = 38, performance = 1.00)
cde phenotyping -> creatinine (frequency = 38, performance = 1.00)
creatinine -> cytological examination - ectocervix - (frequency = 38, performance = 1.00)
filtered erythrocyte concentrate -> follow-up consultation on an outpatient basis (frequency = 38, performance = 461558.42)
filtered erythrocyte concentrate -> glucose (frequency = 38, performance = 1.00)
histological examination - biopsies nno -> vagina - examination under anesthesia (frequency = 38, performance = 1.00)
histological examination - minor resection -> immunopathological examination (frequency = 38, performance = 1.00)
international normalised ratio mbv tromb -> leukocyte counting electronically (frequency = 38, performance = 1.00)
190021 clinical admission a002 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 37, performance = 1.00)
day care - all spec.beh.kind.-rev. -> filtered erythrocyte concentrate (frequency = 37, performance = 1.00)
platelet counting - electronically -> rhesusfactor d - centrifugeermethode - e (frequency = 37, performance = 1.00)
resistance determinations - 5 determinations -> sediment - speed (frequency = 37, performance = 1.00)
alpha-1-fetoprotein -> betasubunit bep. mbv. ria hcg (frequency = 36, performance = 1.00)
bilirubin - total -> blood group abo and rhesus factor (frequency = 36, performance = 1.00)
bilirubin quantitative total or direct -> calcium - rush (frequency = 36, performance = 1.00)
chloride - rush -> counting platelets - urgent (frequency = 36, performance = 1.00)
co-hb kwn. -> creatinine (frequency = 36, performance = 1.00)
order tariff -> follow-up consultation on an outpatient basis (frequency = 36, performance = 2851196.17)
190205 class 3b a205 -> abdominal overview (frequency = 35, performance = 1.00)
abdominal overview -> acceptance laboratory research (frequency = 35, performance = 1.00)
administrative rate - first pol -> obstetrics-gynaec. short card cost-out (frequency = 35, performance = 1.00)
filtered erythrocyte concentrate -> gammaglutamyltranspeptidase (frequency = 35, performance = 1.00)
gammaglutamyltranspeptidase -> hemoglobin photoelectric - urgent (frequency = 35, performance = 1.00)
telephone consultation -> 1st outpatient consultation (frequency = 35, performance = 2782079.49)
urine examination - qualitative -> 190021 clinical admission a002 (frequency = 35, performance = 572695.26)
acceptance laboratory research -> calcium (frequency = 34, performance = 1.00)
albumin -> bacteriological examination with culture -nie (frequency = 34, performance = 1.00)
bilirubin quantitative total or direct -> ca-125 mbv half (frequency = 34, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> paclitaxel (frequency = 34, performance = 15247.85)
gamma glutamyl transpeptidase - urgent -> glucose - rush (frequency = 34, performance = 1.00)
