Case,Timestamp,Resource,Activity,Activity_fixed,ishomonymous
3,2024-05-06 20:00:52,,EVENT 8 END,EVENT 8 END,0
4,2024-05-06 19:00:00,Waiter-000002,Take order,Take order,0
4,2024-05-06 19:00:00,,start,start,0
4,2024-05-06 19:01:14,Waiter-000003,Review order,Review order,0
4,2024-05-06 19:01:40,Cook helper-000003,Prepare starter,Prepare starter,0
4,2024-05-06 19:01:40,Barman-000003,prepare drinks,prepare drinks,0
4,2024-05-06 19:01:41,Cook-000002,Signal food complete,Signal food complete,0
4,2024-05-06 19:11:57,Barman-000002,Bring drinks,Bring drinks,0
4,2024-05-06 19:16:42,Waiter-000002,Review drinks,Review drinks,0
4,2024-05-06 19:29:56,Cook helper-000002,Bring food,Bring food,0
4,2024-05-06 19:32:28,Waiter-000004,Deliver to customer,Deliver to customer,0
4,2024-05-06 19:37:12,,EVENT 8 END,EVENT 8 END,0
5,2024-05-06 19:15:00,Waiter-000004,Take order,Take order,0
5,2024-05-06 19:15:00,,start,start,0
5,2024-05-06 19:16:14,Waiter-000005,Review order,Review order,0
5,2024-05-06 19:16:25,Cook-000003,Prepare main course,Prepare main course,0
5,2024-05-06 19:16:25,Barman-000001,prepare drinks,prepare drinks,0
5,2024-05-06 19:39:00,Barman-000003,Bring drinks,Bring drinks,0
5,2024-05-06 19:41:06,Waiter-000002,Review drinks,Review drinks,0
5,2024-05-06 19:57:21,Cook-000003,Signal food complete,Signal food complete,0
5,2024-05-06 20:07:38,Cook helper-000002,Bring food,Bring food,0
5,2024-05-06 20:09:58,Waiter-000005,Deliver to customer,Deliver to customer,0
5,2024-05-06 20:10:29,,EVENT 8 END,EVENT 8 END,0
6,2024-05-06 19:30:00,Waiter-000003,Take order,Take order,0
6,2024-05-06 19:30:00,,start,start,0
6,2024-05-06 19:30:01,Waiter-000001,Review order,Review order,0
6,2024-05-06 19:31:15,Cook-000002,Prepare main course,Prepare main course,0
6,2024-05-06 19:31:15,Barman-000003,prepare drinks,prepare drinks,0
6,2024-05-06 19:31:50,Barman-000002,Bring drinks,Bring drinks,0
6,2024-05-06 19:34:50,Waiter-000005,Review drinks,Review drinks,0
6,2024-05-06 19:37:16,Cook-000002,Signal food complete,Signal food complete,0
6,2024-05-06 20:34:05,Cook helper-000001,Bring food,Bring food,0
6,2024-05-06 20:34:19,Waiter-000002,Deliver to customer,Deliver to customer,0
6,2024-05-06 20:34:54,,EVENT 8 END,EVENT 8 END,0
7,2024-05-06 19:45:00,Waiter-000003,Take order,Take order,0
7,2024-05-06 19:45:00,,start,start,0
7,2024-05-06 19:51:43,Waiter-000001,Review order,Review order,0
7,2024-05-06 19:52:56,Barman-000002,prepare drinks,prepare drinks,0
7,2024-05-06 19:54:05,Barman-000001,Bring drinks,Bring drinks,0
7,2024-05-06 19:54:29,Waiter-000005,Review drinks,Review drinks,0
7,2024-05-06 19:56:37,Cook-000001,Prepare main course,Prepare main course,0
7,2024-05-06 21:28:27,Cook-000001,Signal food complete,Signal food complete,0
7,2024-05-06 21:54:49,Cook helper-000003,Bring food,Bring food,0
7,2024-05-06 21:56:07,Waiter-000001,Deliver to customer,Deliver to customer,0
7,2024-05-06 21:56:23,,EVENT 8 END,EVENT 8 END,0
8,2024-05-06 20:00:00,Waiter-000002,Take order,Take order,0
8,2024-05-06 20:00:00,,start,start,0
8,2024-05-06 20:00:01,Waiter-000003,Review order,Review order,0
8,2024-05-06 20:00:04,Cook helper-000003,Prepare starter,Prepare starter,0
8,2024-05-06 20:00:04,Barman-000003,prepare drinks,prepare drinks,0
8,2024-05-06 20:00:54,Barman-000002,Bring drinks,Bring drinks,0
8,2024-05-06 20:04:36,Waiter-000001,Review drinks,Review drinks,0
8,2024-05-06 20:07:38,Cook-000003,Prepare main course,Prepare main course,0
8,2024-05-06 20:16:46,Cook-000003,Signal food complete,Signal food complete,0
8,2024-05-06 20:55:46,Cook helper-000003,Bring food,Bring food,0
8,2024-05-06 21:00:10,Waiter-000002,Deliver to customer,Deliver to customer,0
8,2024-05-06 21:01:36,,EVENT 8 END,EVENT 8 END,0
9,2024-05-06 20:15:00,Waiter-000002,Take order,Take order,0
9,2024-05-06 20:15:00,,start,start,0
9,2024-05-06 20:17:11,Waiter-000003,Review order,Review order,0
9,2024-05-06 20:18:02,Barman-000001,prepare drinks,prepare drinks,0
9,2024-05-06 20:23:37,Barman-000003,Bring drinks,Bring drinks,0
9,2024-05-06 20:31:01,Waiter-000001,Review drinks,Review drinks,0
9,2024-05-06 20:34:05,Cook-000002,Prepare main course,Prepare main course,0
9,2024-05-06 21:00:06,Cook-000002,Signal food complete,Signal food complete,0
9,2024-05-06 21:07:06,Cook helper-000002,Bring food,Bring food,0
9,2024-05-06 21:20:25,Waiter-000001,Deliver to customer,Deliver to customer,0
9,2024-05-06 21:22:47,,EVENT 8 END,EVENT 8 END,0
10,2024-05-06 20:30:00,Waiter-000004,Take order,Take order,0
10,2024-05-06 20:30:00,,start,start,0
10,2024-05-06 20:31:21,Waiter-000005,Review order,Review order,0
10,2024-05-06 20:32:09,Barman-000002,prepare drinks,prepare drinks,0
10,2024-05-06 20:33:38,Barman-000001,Bring drinks,Bring drinks,0
10,2024-05-06 20:38:13,Waiter-000003,Review drinks,Review drinks,0
10,2024-05-06 20:40:22,Barman-000003,prepare drinks,prepare drinks,0
10,2024-05-06 20:53:19,Barman-000001,Bring drinks,Bring drinks,0
10,2024-05-06 20:54:46,Cook-000002,Prepare main course,Prepare main course,0
10,2024-05-06 21:02:35,Waiter-000004,Review drinks,Review drinks,0
10,2024-05-06 21:04:57,Cook-000003,Signal food complete,Signal food complete,0
10,2024-05-06 21:08:26,Cook helper-000001,Bring food,Bring food,0
10,2024-05-06 21:15:44,Waiter-000002,Deliver to customer,Deliver to customer,0
10,2024-05-06 21:17:36,,EVENT 8 END,EVENT 8 END,0
11,2024-05-06 20:45:00,Waiter-000004,Take order,Take order,0
11,2024-05-06 20:45:00,,start,start,0
11,2024-05-06 20:48:48,Waiter-000001,Review order,Review order,0
11,2024-05-06 20:48:56,Barman-000002,prepare drinks,prepare drinks,0
11,2024-05-06 20:55:46,Cook-000003,Prepare main course,Prepare main course,0
11,2024-05-06 21:06:31,Barman-000001,Bring drinks,Bring drinks,0
11,2024-05-06 21:07:36,Waiter-000001,Review drinks,Review drinks,0
11,2024-05-06 21:08:26,Cook-000003,Signal food complete,Signal food complete,0
11,2024-05-06 21:50:38,Cook helper-000002,Bring food,Bring food,0
11,2024-05-06 21:52:27,Waiter-000005,Deliver to customer,Deliver to customer,0
11,2024-05-06 21:52:55,,EVENT 8 END,EVENT 8 END,0
12,2024-05-06 21:00:00,Waiter-000005,Take order,Take order,0
12,2024-05-06 21:00:00,,start,start,0
12,2024-05-06 21:00:54,Waiter-000003,Review order,Review order,0
12,2024-05-06 21:01:31,Barman-000003,prepare drinks,prepare drinks,0
12,2024-05-06 21:07:06,Cook-000002,Prepare main course,Prepare main course,0
12,2024-05-06 21:14:58,Barman-000002,Bring drinks,Bring drinks,0
12,2024-05-06 21:17:57,Waiter-000004,Review drinks,Review drinks,0
12,2024-05-06 21:18:33,Barman-000003,prepare drinks,prepare drinks,0
12,2024-05-06 21:19:39,Cook-000002,Signal food complete,Signal food complete,0
12,2024-05-06 21:23:01,Barman-000001,Bring drinks,Bring drinks,0
12,2024-05-06 21:23:02,Cook helper-000003,Bring food,Bring food,0
12,2024-05-06 21:38:19,Waiter-000004,Review drinks,Review drinks,0
12,2024-05-06 21:39:34,Waiter-000005,Deliver to customer,Deliver to customer,0
12,2024-05-06 21:40:05,,EVENT 8 END,EVENT 8 END,0
13,2024-05-06 21:15:00,Waiter-000005,Take order,Take order,0
13,2024-05-06 21:15:00,,start,start,0
13,2024-05-06 21:15:07,Waiter-000003,Review order,Review order,0
13,2024-05-06 21:17:42,Barman-000001,prepare drinks,prepare drinks,0
13,2024-05-06 21:18:58,Cook-000002,Prepare main course,Prepare main course,0
13,2024-05-06 21:21:46,Barman-000002,Bring drinks,Bring drinks,0
13,2024-05-06 21:23:02,Cook-000002,Signal food complete,Signal food complete,0
13,2024-05-06 21:32:28,Waiter-000002,Review drinks,Review drinks,0
13,2024-05-06 22:21:02,Cook helper-000003,Bring food,Bring food,0
13,2024-05-06 22:32:42,Waiter-000002,Deliver to customer,Deliver to customer,0
13,2024-05-06 22:33:01,,EVENT 8 END,EVENT 8 END,0
14,2024-05-06 21:30:00,Waiter-000005,Take order,Take order,0
14,2024-05-06 21:30:00,,start,start,0
14,2024-05-06 21:32:44,Waiter-000003,Review order,Review order,0
14,2024-05-06 21:33:36,Cook helper-000001,Prepare starter,Prepare starter,0
14,2024-05-06 21:33:36,Barman-000003,prepare drinks,prepare drinks,0
14,2024-05-06 21:36:01,Barman-000002,Bring drinks,Bring drinks,0
14,2024-05-06 21:38:23,Waiter-000001,Review drinks,Review drinks,0
14,2024-05-06 21:50:38,Cook-000003,Signal food complete,Signal food complete,0
14,2024-05-06 22:04:41,Cook helper-000001,Bring food,Bring food,0
14,2024-05-06 22:11:26,Waiter-000004,Deliver to customer,Deliver to customer,0
14,2024-05-06 22:11:30,,EVENT 8 END,EVENT 8 END,0
15,2024-05-06 21:45:00,Waiter-000002,Take order,Take order,0
15,2024-05-06 21:45:00,,start,start,0
15,2024-05-06 21:46:56,Waiter-000003,Review order,Review order,0
15,2024-05-06 21:48:42,Barman-000003,prepare drinks,prepare drinks,0
15,2024-05-06 21:49:25,Barman-000001,Bring drinks,Bring drinks,0
15,2024-05-06 21:49:48,Waiter-000004,Review drinks,Review drinks,0
15,2024-05-06 21:54:49,Cook-000001,Prepare main course,Prepare main course,0
15,2024-05-06 21:56:19,Cook-000001,Signal food complete,Signal food complete,0
15,2024-05-06 22:25:55,Cook helper-000001,Bring food,Bring food,0
15,2024-05-06 22:26:03,Waiter-000004,Deliver to customer,Deliver to customer,0
15,2024-05-06 22:26:24,,EVENT 8 END,EVENT 8 END,0
16,2024-05-06 22:00:00,Waiter-000002,Take order,Take order,0
16,2024-05-06 22:00:00,,start,start,0
16,2024-05-06 22:01:39,Waiter-000003,Review order,Review order,0
16,2024-05-06 22:01:52,Barman-000002,prepare drinks,prepare drinks,0
16,2024-05-06 22:04:41,Cook-000003,Prepare main course,Prepare main course,0
16,2024-05-06 22:07:06,Barman-000003,Bring drinks,Bring drinks,0
16,2024-05-06 22:13:15,Waiter-000005,Review drinks,Review drinks,0
16,2024-05-06 22:13:28,Barman-000001,prepare drinks,prepare drinks,0
16,2024-05-06 22:19:26,Barman-000003,Bring drinks,Bring drinks,0
16,2024-05-06 22:27:58,Cook-000001,Signal food complete,Signal food complete,0
16,2024-05-06 22:50:01,Waiter-000005,Review drinks,Review drinks,0
16,2024-05-06 23:04:03,Cook helper-000003,Bring food,Bring food,0
16,2024-05-06 23:04:05,Waiter-000004,Deliver to customer,Deliver to customer,0
16,2024-05-06 23:05:18,,EVENT 8 END,EVENT 8 END,0
17,2024-05-06 22:15:00,Waiter-000001,Take order,Take order,0
17,2024-05-06 22:15:00,,start,start,0
17,2024-05-06 22:18:17,Waiter-000002,Review order,Review order,0
17,2024-05-06 22:18:27,Cook helper-000002,Prepare starter,Prepare starter,0
17,2024-05-06 22:18:27,Barman-000002,prepare drinks,prepare drinks,0
17,2024-05-06 22:20:05,Barman-000001,Bring drinks,Bring drinks,0
17,2024-05-06 22:21:02,Cook-000002,Prepare main course,Prepare main course,0
17,2024-05-06 22:23:30,Waiter-000003,Review drinks,Review drinks,0
17,2024-05-06 22:24:00,Cook-000002,Signal food complete,Signal food complete,0
17,2024-05-06 22:24:10,Barman-000002,prepare drinks,prepare drinks,0
17,2024-05-06 22:27:53,Barman-000001,Bring drinks,Bring drinks,0
17,2024-05-06 22:38:55,Cook helper-000002,Bring food,Bring food,0
17,2024-05-06 22:43:38,Waiter-000003,Review drinks,Review drinks,0
17,2024-05-06 22:44:19,Barman-000001,prepare drinks,prepare drinks,0
17,2024-05-06 22:44:19,Barman-000001,Bring drinks,Bring drinks,0
17,2024-05-06 22:45:06,Waiter-000005,Review drinks,Review drinks,0
17,2024-05-06 22:48:22,Waiter-000003,Deliver to customer,Deliver to customer,0
17,2024-05-06 22:49:12,,EVENT 8 END,EVENT 8 END,0
18,2024-05-06 22:30:00,Waiter-000005,Take order,Take order,0
18,2024-05-06 22:30:00,,start,start,0
18,2024-05-06 22:31:25,Waiter-000001,Review order,Review order,0
18,2024-05-06 22:35:16,Cook-000003,Prepare main course,Prepare main course,0
18,2024-05-06 22:35:16,Barman-000002,prepare drinks,prepare drinks,0
18,2024-05-06 22:37:13,Cook-000003,Signal food complete,Signal food complete,0
18,2024-05-06 22:43:24,Barman-000002,Bring drinks,Bring drinks,0
18,2024-05-06 22:45:51,Waiter-000002,Review drinks,Review drinks,0
18,2024-05-06 22:49:21,Barman-000002,prepare drinks,prepare drinks,0
18,2024-05-06 22:49:37,Barman-000002,Bring drinks,Bring drinks,0
18,2024-05-06 22:53:49,Waiter-000004,Review drinks,Review drinks,0
18,2024-05-06 22:53:52,Barman-000003,prepare drinks,prepare drinks,0
18,2024-05-06 23:01:16,Barman-000001,Bring drinks,Bring drinks,0
18,2024-05-06 23:02:20,Waiter-000002,Review drinks,Review drinks,0
18,2024-05-07 00:49:26,Cook helper-000002,Bring food,Bring food,0
18,2024-05-07 00:50:22,Waiter-000003,Deliver to customer,Deliver to customer,0
18,2024-05-07 00:52:51,,EVENT 8 END,EVENT 8 END,0
19,2024-05-06 22:45:00,Waiter-000004,Take order,Take order,0
19,2024-05-06 22:45:00,,start,start,0
19,2024-05-06 22:47:09,Waiter-000001,Review order,Review order,0
19,2024-05-06 22:48:51,Cook-000002,Prepare main course,Prepare main course,0
19,2024-05-06 22:48:51,Cook helper-000001,Prepare starter,Prepare starter,0
19,2024-05-06 22:48:51,Barman-000001,prepare drinks,prepare drinks,0
19,2024-05-06 22:54:43,Barman-000002,Bring drinks,Bring drinks,0
19,2024-05-06 22:54:54,Waiter-000001,Review drinks,Review drinks,0
19,2024-05-06 22:58:42,Barman-000001,prepare drinks,prepare drinks,0
19,2024-05-06 23:00:05,Barman-000002,Bring drinks,Bring drinks,0
19,2024-05-06 23:00:39,Cook-000002,Signal food complete,Signal food complete,0
19,2024-05-06 23:04:56,Waiter-000001,Review drinks,Review drinks,0
19,2024-05-07 00:05:51,Cook helper-000002,Bring food,Bring food,0
19,2024-05-07 00:11:19,Waiter-000004,Deliver to customer,Deliver to customer,0
19,2024-05-07 00:12:54,,EVENT 8 END,EVENT 8 END,0
20,2024-05-06 23:00:00,Waiter-000003,Take order,Take order,0
20,2024-05-06 23:00:00,,start,start,0
20,2024-05-06 23:03:47,Waiter-000005,Review order,Review order,0
20,2024-05-06 23:06:23,Cook-000001,Prepare main course,Prepare main course,0
20,2024-05-06 23:06:23,Cook helper-000002,Prepare starter,Prepare starter,0
20,2024-05-06 23:06:23,Barman-000003,prepare drinks,prepare drinks,0
20,2024-05-06 23:09:15,Barman-000001,Bring drinks,Bring drinks,0
20,2024-05-06 23:14:46,Waiter-000002,Review drinks,Review drinks,0
20,2024-05-06 23:15:22,Barman-000002,prepare drinks,prepare drinks,0
20,2024-05-06 23:19:45,Barman-000003,Bring drinks,Bring drinks,0
20,2024-05-06 23:22:43,Waiter-000004,Review drinks,Review drinks,0
20,2024-05-06 23:23:48,Barman-000001,prepare drinks,prepare drinks,0
20,2024-05-06 23:31:48,Barman-000003,Bring drinks,Bring drinks,0
20,2024-05-06 23:32:22,Waiter-000002,Review drinks,Review drinks,0
20,2024-05-06 23:50:55,Cook-000001,Signal food complete,Signal food complete,0
20,2024-05-06 23:53:21,Cook helper-000003,Bring food,Bring food,0
20,2024-05-06 23:56:29,Waiter-000003,Deliver to customer,Deliver to customer,0
20,2024-05-06 23:56:57,,EVENT 8 END,EVENT 8 END,0
21,2024-05-06 23:15:00,Waiter-000003,Take order,Take order,0
21,2024-05-06 23:15:00,,start,start,0
21,2024-05-06 23:23:54,Waiter-000001,Review order,Review order,0
21,2024-05-06 23:24:28,Cook helper-000001,Prepare starter,Prepare starter,0
21,2024-05-06 23:24:28,Barman-000002,prepare drinks,prepare drinks,0
21,2024-05-06 23:28:10,Cook-000001,Prepare main course,Prepare main course,0
21,2024-05-06 23:35:41,Barman-000003,Bring drinks,Bring drinks,0
21,2024-05-06 23:37:39,Waiter-000003,Review drinks,Review drinks,0
21,2024-05-07 00:05:51,Cook-000002,Signal food complete,Signal food complete,0
21,2024-05-07 00:11:39,Cook helper-000001,Bring food,Bring food,0
21,2024-05-07 00:18:09,Waiter-000002,Deliver to customer,Deliver to customer,0
21,2024-05-07 00:19:02,,EVENT 8 END,EVENT 8 END,0
22,2024-05-06 23:30:00,Waiter-000005,Take order,Take order,0
22,2024-05-06 23:30:00,,start,start,0
22,2024-05-06 23:33:22,Waiter-000004,Review order,Review order,0
22,2024-05-06 23:35:31,Barman-000001,prepare drinks,prepare drinks,0
22,2024-05-06 23:36:10,Barman-000002,Bring drinks,Bring drinks,0
22,2024-05-06 23:38:42,Waiter-000001,Review drinks,Review drinks,0
22,2024-05-06 23:53:21,Cook-000001,Prepare main course,Prepare main course,0
22,2024-05-07 00:11:39,Cook-000002,Signal food complete,Signal food complete,0
22,2024-05-07 00:49:40,Cook helper-000003,Bring food,Bring food,0
22,2024-05-07 00:49:59,Waiter-000004,Deliver to customer,Deliver to customer,0
22,2024-05-07 00:50:55,,EVENT 8 END,EVENT 8 END,0
23,2024-05-06 23:45:00,Waiter-000002,Take order,Take order,0
23,2024-05-06 23:45:00,,start,start,0
23,2024-05-06 23:45:02,Waiter-000005,Review order,Review order,0
23,2024-05-06 23:45:35,Barman-000001,prepare drinks,prepare drinks,0
23,2024-05-06 23:45:40,Barman-000003,Bring drinks,Bring drinks,0
23,2024-05-06 23:54:34,Cook-000001,Prepare main course,Prepare main course,0
23,2024-05-06 23:55:29,Waiter-000004,Review drinks,Review drinks,0
23,2024-05-07 00:50:42,Cook-000002,Signal food complete,Signal food complete,0
23,2024-05-07 00:57:15,Cook helper-000003,Bring food,Bring food,0
23,2024-05-07 00:58:26,Waiter-000002,Deliver to customer,Deliver to customer,0
23,2024-05-07 00:59:03,,EVENT 8 END,EVENT 8 END,0
24,2024-05-07 00:00:00,Waiter-000001,Take order,Take order,0
24,2024-05-07 00:00:00,,start,start,0
24,2024-05-07 00:01:17,Waiter-000002,Review order,Review order,0
24,2024-05-07 00:01:29,Barman-000002,prepare drinks,prepare drinks,0
24,2024-05-07 00:06:29,Barman-000001,Bring drinks,Bring drinks,0
24,2024-05-07 00:09:31,Waiter-000005,Review drinks,Review drinks,0
24,2024-05-07 00:35:41,Cook-000001,Prepare main course,Prepare main course,0
24,2024-05-07 01:24:49,Cook-000003,Signal food complete,Signal food complete,0
24,2024-05-07 01:50:36,Cook helper-000003,Bring food,Bring food,0
24,2024-05-07 01:53:30,Waiter-000003,Deliver to customer,Deliver to customer,0
24,2024-05-07 01:56:51,,EVENT 8 END,EVENT 8 END,0
25,2024-05-07 00:15:00,Waiter-000003,Take order,Take order,0
25,2024-05-07 00:15:00,,start,start,0
25,2024-05-07 00:15:43,Waiter-000001,Review order,Review order,0
25,2024-05-07 00:16:41,Cook helper-000003,Prepare starter,Prepare starter,0
25,2024-05-07 00:16:41,Barman-000003,prepare drinks,prepare drinks,0
25,2024-05-07 00:17:27,Barman-000002,Bring drinks,Bring drinks,0
25,2024-05-07 00:22:45,Waiter-000005,Review drinks,Review drinks,0
25,2024-05-07 00:49:26,Cook-000003,Signal food complete,Signal food complete,0
25,2024-05-07 01:23:38,Cook helper-000002,Bring food,Bring food,0
25,2024-05-07 01:27:32,Waiter-000003,Deliver to customer,Deliver to customer,0
25,2024-05-07 01:30:33,,EVENT 8 END,EVENT 8 END,0
26,2024-05-07 00:30:00,Waiter-000004,Take order,Take order,0
26,2024-05-07 00:30:00,,start,start,0
26,2024-05-07 00:31:43,Waiter-000003,Review order,Review order,0
26,2024-05-07 00:33:13,Barman-000001,prepare drinks,prepare drinks,0
26,2024-05-07 00:34:11,Barman-000003,Bring drinks,Bring drinks,0
26,2024-05-07 00:35:54,Waiter-000001,Review drinks,Review drinks,0
26,2024-05-07 00:49:40,Cook-000002,Prepare main course,Prepare main course,0
26,2024-05-07 01:17:31,Cook-000002,Signal food complete,Signal food complete,0
26,2024-05-07 01:32:09,Cook helper-000003,Bring food,Bring food,0
26,2024-05-07 01:32:47,Waiter-000001,Deliver to customer,Deliver to customer,0
26,2024-05-07 01:32:52,,EVENT 8 END,EVENT 8 END,0
27,2024-05-07 00:45:00,Waiter-000002,Take order,Take order,0
27,2024-05-07 00:45:00,,start,start,0
27,2024-05-07 00:49:21,Waiter-000005,Review order,Review order,0
27,2024-05-07 00:50:05,Cook helper-000001,Prepare starter,Prepare starter,0
27,2024-05-07 00:50:05,Barman-000002,prepare drinks,prepare drinks,0
27,2024-05-07 00:50:33,Barman-000001,Bring drinks,Bring drinks,0
27,2024-05-07 00:52:47,Waiter-000001,Review drinks,Review drinks,0
27,2024-05-07 00:56:56,Barman-000003,prepare drinks,prepare drinks,0
27,2024-05-07 00:57:15,Cook-000002,Prepare main course,Prepare main course,0
27,2024-05-07 01:08:03,Barman-000002,Bring drinks,Bring drinks,0
27,2024-05-07 01:10:01,Waiter-000001,Review drinks,Review drinks,0
27,2024-05-07 01:23:38,Cook-000003,Signal food complete,Signal food complete,0
27,2024-05-07 01:24:49,Cook helper-000001,Bring food,Bring food,0
27,2024-05-07 01:25:13,Waiter-000004,Deliver to customer,Deliver to customer,0
27,2024-05-07 01:32:04,,EVENT 8 END,EVENT 8 END,0
28,2024-05-07 01:00:00,Waiter-000005,Take order,Take order,0
28,2024-05-07 01:00:00,,start,start,0
28,2024-05-07 01:00:31,Waiter-000004,Review order,Review order,0
28,2024-05-07 01:01:52,Barman-000002,prepare drinks,prepare drinks,0
28,2024-05-07 01:03:06,Barman-000001,Bring drinks,Bring drinks,0
28,2024-05-07 01:04:25,Waiter-000003,Review drinks,Review drinks,0
28,2024-05-07 01:19:12,Cook-000001,Prepare main course,Prepare main course,0
28,2024-05-07 01:32:09,Cook-000002,Signal food complete,Signal food complete,0
28,2024-05-07 01:49:12,Cook helper-000002,Bring food,Bring food,0
28,2024-05-07 01:51:28,Waiter-000005,Deliver to customer,Deliver to customer,0
28,2024-05-07 01:53:44,,EVENT 8 END,EVENT 8 END,0
29,2024-05-07 01:15:00,Waiter-000002,Take order,Take order,0
29,2024-05-07 01:15:00,,start,start,0
29,2024-05-07 01:15:32,Waiter-000005,Review order,Review order,0
29,2024-05-07 01:15:52,Barman-000001,prepare drinks,prepare drinks,0
29,2024-05-07 01:20:36,Cook-000001,Prepare main course,Prepare main course,0
29,2024-05-07 01:31:50,Barman-000003,Bring drinks,Bring drinks,0
29,2024-05-07 01:32:37,Waiter-000005,Review drinks,Review drinks,0
29,2024-05-07 18:21:45,Cook-000001,Signal food complete,Signal food complete,0
29,2024-05-07 18:40:37,Cook helper-000001,Bring food,Bring food,0
29,2024-05-07 18:54:14,Waiter-000003,Deliver to customer,Deliver to customer,0
29,2024-05-07 18:58:35,,EVENT 8 END,EVENT 8 END,0
30,2024-05-07 01:30:00,Waiter-000001,Take order,Take order,0
30,2024-05-07 01:30:00,,start,start,0
30,2024-05-07 01:30:27,Waiter-000002,Review order,Review order,0
30,2024-05-07 01:32:11,Barman-000002,prepare drinks,prepare drinks,0
30,2024-05-07 01:34:54,Barman-000001,Bring drinks,Bring drinks,0
30,2024-05-07 01:37:02,Waiter-000003,Review drinks,Review drinks,0
30,2024-05-07 01:49:12,Cook-000002,Prepare main course,Prepare main course,0
30,2024-05-07 18:07:54,Cook-000003,Signal food complete,Signal food complete,0
30,2024-05-07 18:17:07,Cook helper-000002,Bring food,Bring food,0
30,2024-05-07 18:20:28,Waiter-000002,Deliver to customer,Deliver to customer,0
30,2024-05-07 18:25:08,,EVENT 8 END,EVENT 8 END,0
31,2024-05-07 01:45:00,Waiter-000004,Take order,Take order,0
31,2024-05-07 01:45:00,,start,start,0
31,2024-05-07 01:45:18,Waiter-000002,Review order,Review order,0
31,2024-05-07 01:45:35,Cook helper-000001,Prepare starter,Prepare starter,0
31,2024-05-07 01:45:35,Barman-000003,prepare drinks,prepare drinks,0
31,2024-05-07 01:47:23,Barman-000002,Bring drinks,Bring drinks,0
