Case,Activity,Timestamp,label
9,Bring drinks;Review drinks,2024-05-06 20:23:37.474,form-based events(2024-05-06 20:23:37.474)
9,Prepare main course,2024-05-06 20:34:05.125,
9,Signal food complete,2024-05-06 21:00:06.516,
9,Bring food,2024-05-06 21:07:06.622,
9,Deliver to customer,2024-05-06 21:20:25.348,
9,EVENT 8 END,2024-05-06 21:22:47.491,
10,Take order;start,2024-05-06 20:30:00.000,
10,Review order,2024-05-06 20:31:21.530,
10,prepare drinks,2024-05-06 20:32:09.910,
10,Bring drinks,2024-05-06 20:33:38.935,
10,Review drinks,2024-05-06 20:38:13.994,
10,prepare drinks,2024-05-06 20:40:22.120,
10,Bring drinks,2024-05-06 20:53:19.368,
10,Prepare main course,2024-05-06 20:54:46.925,
10,Review drinks,2024-05-06 21:02:35.065,
10,Signal food complete,2024-05-06 21:04:57.209,
10,Bring food,2024-05-06 21:08:26.519,
10,Deliver to customer,2024-05-06 21:15:44.921,
10,EVENT 8 END,2024-05-06 21:17:36.624,
11,Take order;start,2024-05-06 20:45:00.000,
11,Review order,2024-05-06 20:48:48.648,
11,prepare drinks,2024-05-06 20:48:56.785,
11,Prepare main course,2024-05-06 20:55:46.162,
11,Bring drinks,2024-05-06 21:06:31.469,
11,Review drinks,2024-05-06 21:07:36.392,
11,Signal food complete,2024-05-06 21:08:26.519,
11,Bring food,2024-05-06 21:50:38.153,
11,Deliver to customer,2024-05-06 21:52:27.104,
11,EVENT 8 END,2024-05-06 21:52:55.967,
12,Take order;start,2024-05-06 21:00:00.000,
12,Review order,2024-05-06 21:00:54.933,
12,prepare drinks,2024-05-06 21:01:31.654,
12,Prepare main course,2024-05-06 21:07:06.622,
12,Bring drinks,2024-05-06 21:14:58.877,
12,Review drinks,2024-05-06 21:17:57.534,
12,prepare drinks,2024-05-06 21:18:33.791,
12,Signal food complete,2024-05-06 21:19:39.650,
12,Bring drinks,2024-05-06 21:23:01.198,
12,Bring food,2024-05-06 21:23:02.711,
12,Review drinks,2024-05-06 21:38:19.096,
12,Deliver to customer,2024-05-06 21:39:34.892,
12,EVENT 8 END,2024-05-06 21:40:05.182,
13,Take order;start,2024-05-06 21:15:00.000,
13,Review order,2024-05-06 21:15:07.729,
13,prepare drinks,2024-05-06 21:17:42.504,
13,Prepare main course,2024-05-06 21:18:58.486,
13,Bring drinks,2024-05-06 21:21:46.446,
13,Signal food complete,2024-05-06 21:23:02.711,
13,Review drinks,2024-05-06 21:32:28.342,
13,Bring food,2024-05-06 22:21:02.434,
13,Deliver to customer,2024-05-06 22:32:42.832,
13,EVENT 8 END,2024-05-06 22:33:01.508,
14,Take order;start,2024-05-06 21:30:00.000,
14,Review order,2024-05-06 21:32:44.152,
14,Prepare starter;prepare drinks,2024-05-06 21:33:36.566,
14,Bring drinks,2024-05-06 21:36:01.242,
14,Review drinks,2024-05-06 21:38:23.082,
14,Signal food complete,2024-05-06 21:50:38.153,
14,Bring food,2024-05-06 22:04:41.356,
14,Deliver to customer,2024-05-06 22:11:26.879,
14,EVENT 8 END,2024-05-06 22:11:30.901,
15,Take order;start,2024-05-06 21:45:00.000,
15,Review order,2024-05-06 21:46:56.714,
15,prepare drinks,2024-05-06 21:48:42.298,
15,Bring drinks,2024-05-06 21:49:25.915,
15,Review drinks,2024-05-06 21:49:48.317,
15,Prepare main course,2024-05-06 21:54:49.690,
15,Signal food complete,2024-05-06 21:56:19.739,
15,Bring food,2024-05-06 22:25:55.240,
15,Deliver to customer,2024-05-06 22:26:03.883,
15,EVENT 8 END,2024-05-06 22:26:24.994,
16,Take order;start,2024-05-06 22:00:00.000,
16,Review order,2024-05-06 22:01:39.892,
16,prepare drinks,2024-05-06 22:01:52.609,
16,Prepare main course,2024-05-06 22:04:41.356,
16,Bring drinks,2024-05-06 22:07:06.853,
16,Review drinks,2024-05-06 22:13:15.226,
16,prepare drinks,2024-05-06 22:13:28.618,
16,Bring drinks,2024-05-06 22:19:26.861,
16,Signal food complete,2024-05-06 22:27:58.644,
16,Review drinks,2024-05-06 22:50:01.585,
16,Bring food,2024-05-06 23:04:03.859,
16,Deliver to customer,2024-05-06 23:04:05.187,
16,EVENT 8 END,2024-05-06 23:05:18.408,
17,Take order;start,2024-05-06 22:15:00.000,
17,Review order,2024-05-06 22:18:17.816,
17,Prepare starter;prepare drinks,2024-05-06 22:18:27.728,
17,Bring drinks,2024-05-06 22:20:05.368,
17,Prepare main course,2024-05-06 22:21:02.434,
17,Review drinks,2024-05-06 22:23:30.646,
17,Signal food complete,2024-05-06 22:24:00.774,
17,prepare drinks,2024-05-06 22:24:10.802,
17,Bring drinks,2024-05-06 22:27:53.879,
17,Bring food,2024-05-06 22:38:55.367,
17,Review drinks,2024-05-06 22:43:38.259,
17,prepare drinks,2024-05-06 22:44:19.303,
17,Bring drinks,2024-05-06 22:44:19.516,
17,Review drinks,2024-05-06 22:45:06.174,
17,Deliver to customer,2024-05-06 22:48:22.455,
17,EVENT 8 END,2024-05-06 22:49:12.192,
18,Take order;start,2024-05-06 22:30:00.000,
18,Review order,2024-05-06 22:31:25.044,
18,Prepare main course;prepare drinks,2024-05-06 22:35:16.569,
18,Signal food complete,2024-05-06 22:37:13.341,
18,Bring drinks;Review drinks,2024-05-06 22:43:24.354,form-based events(2024-05-06 22:43:24.354)
18,prepare drinks,2024-05-06 22:49:21.605,
18,Bring drinks;Review drinks,2024-05-06 22:49:37.255,form-based events(2024-05-06 22:49:37.255)
18,prepare drinks,2024-05-06 22:53:52.637,
18,Bring drinks;Review drinks,2024-05-06 23:01:16.851,form-based events(2024-05-06 23:01:16.851)
18,Bring food,2024-05-07 00:49:26.658,
18,Deliver to customer,2024-05-07 00:50:22.590,
18,EVENT 8 END,2024-05-07 00:52:51.532,
19,Take order;start,2024-05-06 22:45:00.000,
19,Review order,2024-05-06 22:47:09.415,
19,Prepare main course;Prepare starter;prepare drinks,2024-05-06 22:48:51.116,
19,Bring drinks,2024-05-06 22:54:43.596,
19,Review drinks,2024-05-06 22:54:54.868,
19,prepare drinks,2024-05-06 22:58:42.815,
19,Bring drinks,2024-05-06 23:00:05.070,
19,Signal food complete,2024-05-06 23:00:39.870,
19,Review drinks,2024-05-06 23:04:56.399,
19,Bring food,2024-05-07 00:05:51.169,
19,Deliver to customer,2024-05-07 00:11:19.104,
19,EVENT 8 END,2024-05-07 00:12:54.230,
20,Take order;start,2024-05-06 23:00:00.000,
20,Review order,2024-05-06 23:03:47.094,
20,Prepare main course;Prepare starter;prepare drinks,2024-05-06 23:06:23.195,
20,Bring drinks,2024-05-06 23:09:15.304,
20,Review drinks,2024-05-06 23:14:46.763,
20,prepare drinks,2024-05-06 23:15:22.781,
20,Bring drinks,2024-05-06 23:19:45.326,
20,Review drinks,2024-05-06 23:22:43.189,
20,prepare drinks,2024-05-06 23:23:48.832,
20,Bring drinks,2024-05-06 23:31:48.660,
20,Review drinks,2024-05-06 23:32:22.831,
20,Signal food complete,2024-05-06 23:50:55.024,
20,Bring food,2024-05-06 23:53:21.674,
20,Deliver to customer,2024-05-06 23:56:29.231,
20,EVENT 8 END,2024-05-06 23:56:57.902,
21,Take order;start,2024-05-06 23:15:00.000,
21,Review order,2024-05-06 23:23:54.205,
21,Prepare starter;prepare drinks,2024-05-06 23:24:28.828,
21,Prepare main course,2024-05-06 23:28:10.639,
21,Bring drinks;Review drinks,2024-05-06 23:35:41.397,form-based events(2024-05-06 23:35:41.397)
21,Signal food complete,2024-05-07 00:05:51.169,
21,Bring food,2024-05-07 00:11:39.543,
21,Deliver to customer,2024-05-07 00:18:09.360,
21,EVENT 8 END,2024-05-07 00:19:02.441,
22,Take order;start,2024-05-06 23:30:00.000,
22,Review order,2024-05-06 23:33:22.992,
22,prepare drinks,2024-05-06 23:35:31.581,
22,Bring drinks,2024-05-06 23:36:10.150,
22,Review drinks,2024-05-06 23:38:42.782,
22,Prepare main course,2024-05-06 23:53:21.674,
22,Signal food complete,2024-05-07 00:11:39.543,
22,Bring food,2024-05-07 00:49:40.496,
22,Deliver to customer,2024-05-07 00:49:59.800,
22,EVENT 8 END,2024-05-07 00:50:55.838,
23,Take order;start,2024-05-06 23:45:00.000,
23,Review order,2024-05-06 23:45:02.625,
23,prepare drinks,2024-05-06 23:45:35.434,
23,Bring drinks,2024-05-06 23:45:40.431,
23,Prepare main course,2024-05-06 23:54:34.040,
23,Review drinks,2024-05-06 23:55:29.634,
23,Signal food complete,2024-05-07 00:50:42.274,
23,Bring food,2024-05-07 00:57:15.158,
23,Deliver to customer,2024-05-07 00:58:26.910,
23,EVENT 8 END,2024-05-07 00:59:03.723,
24,Take order;start,2024-05-07 00:00:00.000,
24,Review order,2024-05-07 00:01:17.079,
24,prepare drinks,2024-05-07 00:01:29.424,
24,Bring drinks,2024-05-07 00:06:29.950,
24,Review drinks,2024-05-07 00:09:31.404,
24,Prepare main course,2024-05-07 00:35:41.446,
24,Signal food complete,2024-05-07 01:24:49.463,
24,Bring food,2024-05-07 01:50:36.923,
24,Deliver to customer,2024-05-07 01:53:30.010,
24,EVENT 8 END,2024-05-07 01:56:51.043,
25,Take order;start,2024-05-07 00:15:00.000,
25,Review order,2024-05-07 00:15:43.321,
25,Prepare starter;prepare drinks,2024-05-07 00:16:41.791,
25,Bring drinks,2024-05-07 00:17:27.116,
25,Review drinks,2024-05-07 00:22:45.498,
25,Signal food complete,2024-05-07 00:49:26.658,
25,Bring food,2024-05-07 01:23:38.710,
25,Deliver to customer,2024-05-07 01:27:32.263,
25,EVENT 8 END,2024-05-07 01:30:33.887,
26,Take order;start,2024-05-07 00:30:00.000,
26,Review order,2024-05-07 00:31:43.561,
26,prepare drinks,2024-05-07 00:33:13.475,
26,Bring drinks,2024-05-07 00:34:11.381,
26,Review drinks,2024-05-07 00:35:54.102,
26,Prepare main course,2024-05-07 00:49:40.496,
26,Signal food complete,2024-05-07 01:17:31.187,
26,Bring food,2024-05-07 01:32:09.144,
26,Deliver to customer,2024-05-07 01:32:47.662,
26,EVENT 8 END,2024-05-07 01:32:52.606,
27,Take order;start,2024-05-07 00:45:00.000,
27,Review order,2024-05-07 00:49:21.662,
27,Prepare starter;prepare drinks,2024-05-07 00:50:05.575,
27,Bring drinks,2024-05-07 00:50:33.504,
27,Review drinks,2024-05-07 00:52:47.015,
27,prepare drinks,2024-05-07 00:56:56.744,
27,Prepare main course,2024-05-07 00:57:15.158,
27,Bring drinks,2024-05-07 01:08:03.120,
27,Review drinks,2024-05-07 01:10:01.184,
27,Signal food complete,2024-05-07 01:23:38.710,
27,Bring food,2024-05-07 01:24:49.463,
27,Deliver to customer,2024-05-07 01:25:13.870,
27,EVENT 8 END,2024-05-07 01:32:04.645,
28,Take order;start,2024-05-07 01:00:00.000,
28,Review order,2024-05-07 01:00:31.077,
28,prepare drinks,2024-05-07 01:01:52.659,
28,Bring drinks;Review drinks,2024-05-07 01:03:06.308,form-based events(2024-05-07 01:03:06.308)
28,Prepare main course,2024-05-07 01:19:12.352,
28,Signal food complete,2024-05-07 01:32:09.144,
28,Bring food,2024-05-07 01:49:12.895,
28,Deliver to customer,2024-05-07 01:51:28.624,
28,EVENT 8 END,2024-05-07 01:53:44.678,
29,Take order;start,2024-05-07 01:15:00.000,
29,Review order,2024-05-07 01:15:32.092,
29,prepare drinks,2024-05-07 01:15:52.340,
29,Prepare main course,2024-05-07 01:20:36.257,
29,Bring drinks;Review drinks,2024-05-07 01:31:50.553,form-based events(2024-05-07 01:31:50.553)
29,Signal food complete,2024-05-07 18:21:45.630,
29,Bring food,2024-05-07 18:40:37.461,
29,Deliver to customer,2024-05-07 18:54:14.217,
29,EVENT 8 END,2024-05-07 18:58:35.264,
30,Take order;start,2024-05-07 01:30:00.000,
30,Review order,2024-05-07 01:30:27.482,
30,prepare drinks,2024-05-07 01:32:11.366,
30,Bring drinks,2024-05-07 01:34:54.751,
30,Review drinks,2024-05-07 01:37:02.549,
30,Prepare main course,2024-05-07 01:49:12.895,
30,Signal food complete,2024-05-07 18:07:54.748,
30,Bring food,2024-05-07 18:17:07.543,
30,Deliver to customer,2024-05-07 18:20:28.927,
30,EVENT 8 END,2024-05-07 18:25:08.823,
31,Take order;start,2024-05-07 01:45:00.000,
31,Review order,2024-05-07 01:45:18.174,
31,Prepare starter;prepare drinks,2024-05-07 01:45:35.382,
31,Bring drinks,2024-05-07 01:47:23.177,
31,Review drinks,2024-05-07 01:48:40.031,
31,Prepare main course,2024-05-07 01:50:36.923,
31,Signal food complete,2024-05-07 18:00:30.873,
31,Bring food,2024-05-07 18:07:54.748,
31,Deliver to customer,2024-05-07 18:10:42.292,
31,EVENT 8 END,2024-05-07 18:11:51.763,
32,start,2024-05-07 02:00:00.000,
32,Take order,2024-05-07 18:00:00.000,
32,Review order,2024-05-07 18:00:49.456,
32,prepare drinks,2024-05-07 18:02:00.345,
32,Bring drinks,2024-05-07 18:03:52.959,
32,Review drinks,2024-05-07 18:04:19.242,
32,Prepare main course,2024-05-07 18:07:28.679,
32,Signal food complete,2024-05-07 18:16:33.254,
32,Bring food,2024-05-07 18:34:29.798,
32,Deliver to customer,2024-05-07 18:45:42.527,
32,EVENT 8 END,2024-05-07 18:48:00.946,
33,Take order;start,2024-05-07 18:15:00.000,
33,Review order,2024-05-07 18:15:38.272,
33,Prepare main course;prepare drinks,2024-05-07 18:17:56.526,
33,Bring drinks,2024-05-07 18:21:22.273,
33,Signal food complete,2024-05-07 18:22:48.632,
33,Review drinks,2024-05-07 18:29:43.574,
33,Bring food,2024-05-07 19:03:29.344,
33,Deliver to customer,2024-05-07 19:07:38.867,
33,EVENT 8 END,2024-05-07 19:08:48.121,
34,Take order;start,2024-05-07 18:30:00.000,
34,Review order,2024-05-07 18:35:56.170,
34,Prepare main course;prepare drinks,2024-05-07 18:36:20.314,
34,Signal food complete,2024-05-07 18:44:45.959,
34,Bring food,2024-05-07 18:55:47.328,
34,Bring drinks,2024-05-07 19:00:02.900,
34,Review drinks,2024-05-07 19:05:19.235,
34,Deliver to customer,2024-05-07 19:05:23.021,
34,EVENT 8 END,2024-05-07 19:07:57.788,
35,Take order;start,2024-05-07 18:45:00.000,
35,Review order,2024-05-07 18:46:56.495,
35,Prepare main course;Prepare starter;prepare drinks,2024-05-07 18:47:51.586,
35,Bring drinks,2024-05-07 18:49:02.905,
35,Signal food complete,2024-05-07 18:49:50.930,
35,Review drinks,2024-05-07 18:50:00.157,
35,Bring food,2024-05-07 20:05:05.234,
35,Deliver to customer,2024-05-07 20:10:32.380,
35,EVENT 8 END,2024-05-07 20:11:11.160,
36,Take order;start,2024-05-07 19:00:00.000,
36,Review order,2024-05-07 19:00:10.624,
36,Prepare main course;prepare drinks,2024-05-07 19:02:05.026,
36,Bring drinks,2024-05-07 19:09:35.384,
36,Review drinks,2024-05-07 19:18:15.401,
36,Signal food complete,2024-05-07 19:19:00.179,
36,Bring food,2024-05-07 19:24:23.962,
36,Deliver to customer,2024-05-07 19:32:49.593,
36,EVENT 8 END,2024-05-07 19:33:45.919,
37,Take order;start,2024-05-07 19:15:00.000,
37,Review order,2024-05-07 19:15:30.919,
37,Prepare main course;prepare drinks,2024-05-07 19:16:39.325,
37,Bring drinks,2024-05-07 19:20:46.823,
37,Signal food complete,2024-05-07 19:41:42.479,
37,Bring food,2024-05-07 19:42:33.343,
37,Review drinks,2024-05-07 19:46:20.821,
37,prepare drinks,2024-05-07 19:46:24.535,
37,Bring drinks,2024-05-07 19:49:18.043,
37,Review drinks,2024-05-07 19:51:39.396,
37,Deliver to customer,2024-05-07 19:51:55.052,
37,EVENT 8 END,2024-05-07 19:53:08.138,
38,Take order;start,2024-05-07 19:30:00.000,
38,Review order,2024-05-07 19:30:00.900,
38,Prepare main course;prepare drinks,2024-05-07 19:31:10.392,
38,Bring drinks,2024-05-07 19:41:06.288,
38,Review drinks,2024-05-07 19:43:25.758,
38,Signal food complete,2024-05-07 19:52:24.593,
38,Bring food,2024-05-07 20:54:28.530,
38,Deliver to customer,2024-05-07 20:55:39.567,
38,EVENT 8 END,2024-05-07 20:58:21.392,
39,Take order;start,2024-05-07 19:45:00.000,
39,Review order,2024-05-07 19:45:50.069,
39,Prepare main course;Prepare starter;prepare drinks,2024-05-07 19:45:57.674,
39,Signal food complete,2024-05-07 19:53:45.140,
39,Bring drinks,2024-05-07 19:55:39.755,
39,Review drinks,2024-05-07 20:02:02.829,
39,Bring food,2024-05-07 20:06:36.362,
39,Deliver to customer,2024-05-07 20:12:35.388,
39,EVENT 8 END,2024-05-07 20:14:42.759,
40,Take order;start,2024-05-07 20:00:00.000,
40,Review order,2024-05-07 20:05:53.148,
40,Prepare starter;prepare drinks,2024-05-07 20:07:28.839,
40,Bring drinks,2024-05-07 20:09:16.941,
40,Signal food complete,2024-05-07 20:09:54.860,
40,Bring food,2024-05-07 20:14:23.101,
40,Review drinks,2024-05-07 20:31:38.339,
40,prepare drinks,2024-05-07 20:33:59.247,
40,Bring drinks;Review drinks,2024-05-07 20:37:48.724,form-based events(2024-05-07 20:37:48.724)
40,Deliver to customer,2024-05-07 20:40:44.292,
40,EVENT 8 END,2024-05-07 20:41:52.657,
41,Take order;start,2024-05-07 20:15:00.000,
41,Review order,2024-05-07 20:15:30.149,
41,Prepare main course;prepare drinks,2024-05-07 20:15:50.074,
41,Bring drinks,2024-05-07 20:26:02.672,
41,Review drinks,2024-05-07 20:28:03.267,
41,Signal food complete,2024-05-07 21:02:14.080,
41,Bring food,2024-05-07 21:33:53.869,
41,Deliver to customer,2024-05-07 21:37:11.057,
41,EVENT 8 END,2024-05-07 21:43:24.136,
42,Take order;start,2024-05-07 20:30:00.000,
42,Review order,2024-05-07 20:30:02.317,
42,Prepare main course;prepare drinks,2024-05-07 20:30:20.883,
42,Bring drinks,2024-05-07 20:31:43.668,
42,Review drinks,2024-05-07 20:32:08.687,
42,Signal food complete,2024-05-07 20:36:05.279,
42,Bring food,2024-05-07 20:49:11.531,
42,Deliver to customer,2024-05-07 20:52:38.281,
42,EVENT 8 END,2024-05-07 20:55:42.452,
43,Take order;start,2024-05-07 20:45:00.000,
43,Review order,2024-05-07 20:46:24.465,
43,prepare drinks,2024-05-07 20:46:54.682,
43,Prepare main course,2024-05-07 20:49:11.531,
43,Bring drinks,2024-05-07 21:10:01.213,
43,Review drinks,2024-05-07 21:11:18.960,
43,prepare drinks,2024-05-07 21:11:21.898,
43,Bring drinks,2024-05-07 21:13:47.037,
43,Review drinks,2024-05-07 21:16:31.588,
43,prepare drinks,2024-05-07 21:18:20.495,
43,Bring drinks,2024-05-07 21:23:13.438,
43,Review drinks,2024-05-07 21:29:41.375,
43,Signal food complete,2024-05-07 21:30:32.953,
43,Bring food,2024-05-07 21:51:21.311,
43,Deliver to customer,2024-05-07 22:07:45.789,
43,EVENT 8 END,2024-05-07 22:09:41.507,
44,Take order;start,2024-05-07 21:00:00.000,
44,Review order,2024-05-07 21:00:38.284,
44,Prepare main course;Prepare starter;prepare drinks,2024-05-07 21:01:37.145,
44,Bring drinks,2024-05-07 21:13:08.407,
44,Review drinks,2024-05-07 21:23:02.234,
44,prepare drinks,2024-05-07 21:24:49.786,
44,Bring drinks,2024-05-07 21:26:51.808,
44,Review drinks,2024-05-07 21:27:00.479,
44,Signal food complete,2024-05-07 21:27:51.415,
44,prepare drinks,2024-05-07 21:29:20.904,
44,Bring drinks,2024-05-07 21:29:31.321,
44,Review drinks,2024-05-07 21:32:13.116,
44,prepare drinks,2024-05-07 21:32:39.430,
44,Bring food,2024-05-07 21:33:44.526,
44,Bring drinks,2024-05-07 21:44:00.209,
44,Review drinks,2024-05-07 21:47:02.622,
44,Deliver to customer,2024-05-07 21:47:06.829,
44,EVENT 8 END,2024-05-07 21:48:48.729,
45,Take order;start,2024-05-07 21:15:00.000,
45,Review order,2024-05-07 21:15:49.474,
45,prepare drinks,2024-05-07 21:16:37.502,
45,Bring drinks,2024-05-07 21:16:38.253,
45,Review drinks,2024-05-07 21:17:23.866,
45,Prepare main course,2024-05-07 21:17:53.690,
45,Signal food complete,2024-05-07 21:33:44.526,
45,Bring food,2024-05-07 21:59:00.203,
45,Deliver to customer,2024-05-07 22:05:10.903,
45,EVENT 8 END,2024-05-07 22:06:30.760,
46,Take order;start,2024-05-07 21:30:00.000,
46,Review order,2024-05-07 21:32:04.273,
46,Prepare starter;prepare drinks,2024-05-07 21:32:23.620,
46,Signal food complete,2024-05-07 21:44:22.936,
46,Bring drinks;Review drinks,2024-05-07 21:49:50.734,form-based events(2024-05-07 21:49:50.734)
46,Bring food,2024-05-07 22:14:18.790,
46,Deliver to customer,2024-05-07 22:15:16.349,
46,EVENT 8 END,2024-05-07 22:15:35.203,
47,Take order;start,2024-05-07 21:45:00.000,
47,Review order,2024-05-07 21:45:46.889,
47,Prepare starter;prepare drinks,2024-05-07 21:46:38.647,
47,Bring drinks;Review drinks,2024-05-07 21:46:49.457,form-based events(2024-05-07 21:46:49.457)
47,prepare drinks,2024-05-07 21:50:32.263,
47,Signal food complete,2024-05-07 21:51:21.311,
47,Bring drinks;Review drinks,2024-05-07 21:55:04.803,form-based events(2024-05-07 21:55:04.803)
47,prepare drinks,2024-05-07 22:03:24.067,
47,Bring drinks;Review drinks,2024-05-07 22:04:55.351,form-based events(2024-05-07 22:04:55.351)
47,Bring food,2024-05-07 22:11:30.576,
47,Deliver to customer,2024-05-07 22:13:54.783,
47,EVENT 8 END,2024-05-07 22:18:08.494,
48,Take order;start,2024-05-07 22:00:00.000,
48,Review order,2024-05-07 22:04:26.452,
48,Prepare main course;Prepare starter;prepare drinks,2024-05-07 22:05:26.815,
48,Bring drinks,2024-05-07 22:12:30.759,
48,Review drinks,2024-05-07 22:14:50.245,
48,Signal food complete,2024-05-07 22:40:42.660,
48,Bring food,2024-05-07 22:47:22.568,
48,Deliver to customer,2024-05-07 22:50:03.798,
48,EVENT 8 END,2024-05-07 22:50:09.105,
49,Take order;start,2024-05-07 22:15:00.000,
49,Review order,2024-05-07 22:15:31.707,
49,Prepare main course;prepare drinks,2024-05-07 22:20:03.516,
49,Bring drinks,2024-05-07 22:39:21.725,
49,Signal food complete,2024-05-07 22:39:28.045,
49,Review drinks,2024-05-07 22:40:01.039,
49,Bring food,2024-05-07 22:52:06.734,
49,Deliver to customer,2024-05-07 23:00:01.097,
49,EVENT 8 END,2024-05-07 23:01:37.626,
50,Take order;start,2024-05-07 22:30:00.000,
50,Review order,2024-05-07 22:30:34.570,
50,Prepare main course;prepare drinks,2024-05-07 22:31:13.342,
50,Signal food complete,2024-05-07 22:32:37.021,
50,Bring drinks,2024-05-07 22:34:31.337,
50,Bring food,2024-05-07 22:39:55.230,
50,Review drinks,2024-05-07 22:41:46.198,
50,prepare drinks,2024-05-07 22:42:08.864,
50,Bring drinks;Review drinks,2024-05-07 22:49:57.078,form-based events(2024-05-07 22:49:57.078)
50,prepare drinks,2024-05-07 22:52:05.085,
50,Bring drinks;Review drinks,2024-05-07 22:55:54.770,form-based events(2024-05-07 22:55:54.770)
50,Deliver to customer,2024-05-07 22:57:18.464,
50,EVENT 8 END,2024-05-07 22:58:20.414,
51,Take order;start,2024-05-07 22:45:00.000,
51,Review order,2024-05-07 22:47:34.500,
51,Prepare main course;prepare drinks,2024-05-07 22:47:34.715,
