Case,Activity,Timestamp,Resource,Event,label,iscollateral,BaseActivity,ProcessedActivity,CollateralGroup,is_collateral_event,Activity_fixed
2840553,phase advice known,2010-11-25 20:54:02,560872,8783,,0,phase advice known,phase advice known,3091,0,phase advice known
2840553,creating environmental permit decision,2010-11-25 20:54:50,560872,8788,,0,creating environmental permit decision,creating environmental permit decision,3124,0,creating environmental permit decision
2840553,enter date publication decision environmental permit,2010-12-08 08:00:04,560872,8796,,0,enter date publication decision environmental permit,enter date publication decision environmental permit,2891,0,enter date publication decision environmental permit
2846764,phase advice known,2011-01-21 19:29:00,560890,8826,,0,phase advice known,phase advice known,3125,0,phase advice known
2847199,enter senddate procedure confirmation,2010-11-08 08:00:02,560872,8844,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,3093,0,enter senddate procedure confirmation
2847603,enter senddate procedure confirmation,2010-11-08 08:00:03,560912,8881,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,3094,0,enter senddate procedure confirmation
2847603,enter senddate decision environmental permit,2011-05-18 07:00:01,560890,8925,,0,enter senddate decision environmental permit,enter senddate decision environmental permit,2988,0,enter senddate decision environmental permit
2848063,register submission date request,2010-11-04 08:00:05,560872,8927,,0,register submission date request,register submission date request,3095,0,register submission date request
2848063,creating environmental permit decision,2010-12-24 20:26:01,560890,8958,,0,creating environmental permit decision,creating environmental permit decision,3096,0,creating environmental permit decision
2851738,enter senddate procedure confirmation,2010-12-21 08:00:01,1898401,8978,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,2989,0,enter senddate procedure confirmation
2851738,request complete,2010-12-21 22:25:43,1898401,8984,,0,request complete,request complete,3097,0,request complete
2854000,registrer date of publishing received request,2010-11-17 08:00:12,560912,9030,,0,registrer date of publishing received request,registrer date of publishing received request,2777,0,registrer date of publishing received request
2854000,enter senddate retrieve missing data,2010-12-07 08:00:06,560881,9039,,0,enter senddate retrieve missing data,enter senddate retrieve missing data,2897,0,enter senddate retrieve missing data
2857143,enter senddate procedure confirmation,2010-12-08 08:00:06,560881,9052,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,3098,0,enter senddate procedure confirmation
2857143,phase advice known,2010-12-14 17:20:43,560890,9067,,0,phase advice known,phase advice known,1653,0,phase advice known
2866083,enter senddate procedure confirmation,2010-11-18 08:00:05,560872,9080,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,2992,0,enter senddate procedure confirmation
2868276,registrer date of publishing received request,2010-12-01 08:00:02,560872,9109,,0,registrer date of publishing received request,registrer date of publishing received request,2993,0,registrer date of publishing received request
2868276,register date environmental permit decision,2010-12-06 08:00:10,560890,9110,,0,register date environmental permit decision,register date environmental permit decision,2009,0,register date environmental permit decision
2868714,register submission date request,2010-11-15 08:00:01,560872,9139,,0,register submission date request,register submission date request,2994,0,register submission date request
2868714,enter senddate procedure confirmation,2010-12-06 08:00:11,560890,9149,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,1511,0,enter senddate procedure confirmation
2868714,enter senddate retrieve missing data,2010-12-06 08:00:12,560881,9150,,0,enter senddate retrieve missing data,enter senddate retrieve missing data,2995,0,enter senddate retrieve missing data
2871542,phase advice known,2011-03-07 17:39:09,560872,9224,,0,phase advice known,phase advice known,-1,0,phase advice known
2871542,create draft environtmental permit,2011-03-07 17:39:10,560872,9226,,0,create draft environtmental permit,create draft environtmental permit,1804,0,create draft environtmental permit
2871542,generate draft decision environmental permit,2011-03-07 17:39:12,560872,9227,,0,generate draft decision environmental permit,generate draft decision environmental permit,-1,0,generate draft decision environmental permit
2871542,phase concept draft decision ready,2011-03-07 17:39:13,560872,9228,,0,phase concept draft decision ready,phase concept draft decision ready,2012,0,phase concept draft decision ready
2871542,publication date draft decision,2011-03-16 08:00:02,560872,9239,,0,publication date draft decision,publication date draft decision,-1,0,publication date draft decision
2871542,suspension ground applicable,2011-03-28 19:23:57,560872,9247,,0,suspension ground applicable,suspension ground applicable,1805,0,suspension ground applicable
2872584,enter senddate acknowledgement,2010-11-22 08:00:02,560872,9259,,0,enter senddate acknowledgement,enter senddate acknowledgement,2013,0,enter senddate acknowledgement
2872584,enter senddate confirmation request,2010-12-06 08:00:13,560872,9266,,0,enter senddate confirmation request,enter senddate confirmation request,-1,0,enter senddate confirmation request
2873491,enter senddate letter to competent authority,2010-11-22 08:00:04,560925,9284,,0,enter senddate letter to competent authority,enter senddate letter to competent authority,-1,0,enter senddate letter to competent authority
2873491,enter senddate letter to stakeholders,2010-11-22 08:00:05,560925,9285,,0,enter senddate letter to stakeholders,enter senddate letter to stakeholders,2014,0,enter senddate letter to stakeholders
2874224,enter senddate acknowledgement,2010-11-23 08:00:01,560912,9296,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
2874224,enter senddate procedure confirmation,2010-11-24 08:00:05,2670601,9300,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2874224,enter senddate procedure confirmation,2010-11-24 08:00:06,560912,9301,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2874224,registrer date of publishing received request,2010-12-01 08:00:06,560912,9307,,0,registrer date of publishing received request,registrer date of publishing received request,920,0,registrer date of publishing received request
2874224,enter senddate retrieve missing data,2010-12-21 08:00:02,2670601,9308,,0,enter senddate retrieve missing data,enter senddate retrieve missing data,2015,0,enter senddate retrieve missing data
2875758,enter senddate procedure confirmation,2010-11-25 08:00:01,560925,9338,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2875758,enter senddate procedure confirmation,2010-11-25 08:00:02,560894,9339,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2875758,registrer date of publishing received request,2010-12-01 08:00:07,560894,9344,,0,registrer date of publishing received request,registrer date of publishing received request,2016,0,registrer date of publishing received request
2875758,request complete,2011-01-11 21:54:59,560894,9354,,0,request complete,request complete,-1,0,request complete
2875758,enter date publication decision environmental permit,2011-01-19 08:00:01,560894,9373,,0,enter date publication decision environmental permit,enter date publication decision environmental permit,-1,0,enter date publication decision environmental permit
2876753,enter senddate acknowledgement,2010-11-23 08:00:03,560872,9374,,0,enter senddate acknowledgement,enter senddate acknowledgement,922,0,enter senddate acknowledgement
2879904,register submission date request,2010-11-18 08:00:10,560912,9380,,0,register submission date request,register submission date request,-1,0,register submission date request
2879904,enter senddate procedure confirmation,2011-01-19 08:00:02,560912,9381,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,2017,0,enter senddate procedure confirmation
2883285,register submission date request,2010-10-19 07:00:04,560872,9389,,0,register submission date request,register submission date request,-1,0,register submission date request
2883285,register date environmental permit decision,2010-11-09 08:00:06,560872,9391,,0,register date environmental permit decision,register date environmental permit decision,-1,0,register date environmental permit decision
2883285,enter senddate decision environmental permit,2010-11-15 08:00:02,560872,9392,,0,enter senddate decision environmental permit,enter senddate decision environmental permit,923,0,enter senddate decision environmental permit
2883285,enter senddate procedure confirmation,2010-11-15 08:00:03,560872,9393,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2883285,phase advice known,2010-11-25 20:41:25,560872,9417,,0,phase advice known,phase advice known,-1,0,phase advice known
2883285,creating environmental permit decision,2011-01-07 19:38:10,560872,9422,,0,creating environmental permit decision,creating environmental permit decision,-1,0,creating environmental permit decision
2883285,set phase: phase permitting irrevocable,2011-01-07 19:42:21,560872,9429,,0,set phase: phase permitting irrevocable,set phase: phase permitting irrevocable,924,0,set phase: phase permitting irrevocable
2884070,enter senddate decision procedure term extension,2011-03-29 07:00:01,3273854,9437,,0,enter senddate decision procedure term extension,enter senddate decision procedure term extension,-1,0,enter senddate decision procedure term extension
2884070,register number of days extension period,2011-03-29 22:31:50,3273854,9442,,0,register number of days extension period,register number of days extension period,-1,0,register number of days extension period
2884070,request complete,2011-05-12 18:04:54,3273854,9455,,0,request complete,request complete,-1,0,request complete
2884070,phase advice known,2011-05-12 18:07:05,3273854,9464,,0,phase advice known,phase advice known,925,0,phase advice known
2884070,creating environmental permit decision,2011-05-12 18:10:00,3273854,9469,,0,creating environmental permit decision,creating environmental permit decision,-1,0,creating environmental permit decision
2884070,enter senddate decision environmental permit,2011-05-13 07:00:01,560890,9471,,0,enter senddate decision environmental permit,enter senddate decision environmental permit,-1,0,enter senddate decision environmental permit
2884070,register date environmental permit decision,2011-05-13 07:00:02,560890,9470,,0,register date environmental permit decision,register date environmental permit decision,-1,0,register date environmental permit decision
2884070,enter date publication decision environmental permit,2011-05-25 07:00:01,560890,9475,,0,enter date publication decision environmental permit,enter date publication decision environmental permit,-1,0,enter date publication decision environmental permit
2887729,register submission date request,2010-11-23 08:00:05,560925,9476,,0,register submission date request,register submission date request,-1,0,register submission date request
2887729,enter senddate acknowledgement,2010-11-29 08:00:01,560925,9477,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
2887729,registrer date of publishing received request,2011-01-05 08:00:02,3273854,9478,,0,registrer date of publishing received request,registrer date of publishing received request,-1,0,registrer date of publishing received request
2887729,activities regular procedure,2011-10-28 18:03:17,560890,9486,,0,activities regular procedure,activities regular procedure,-1,0,activities regular procedure
2887729,detailed procedure applies,2011-10-28 18:03:18,560890,9487,,0,detailed procedure applies,detailed procedure applies,-1,0,detailed procedure applies
2887729,forward to the competent authority,2011-10-28 18:03:19,560890,9483,,0,forward to the competent authority,forward to the competent authority,-1,0,forward to the competent authority
2887729,phase application received,2011-10-28 18:03:20,560890,9489,,0,phase application received,phase application received,-1,0,phase application received
2887729,reception through OLO,2011-10-28 18:03:21,560890,9482,,0,reception through OLO,reception through olo,-1,0,reception through OLO
2887729,registrer date of publishing received request,2011-10-28 18:03:22,560890,9491,,0,registrer date of publishing received request,registrer date of publishing received request,-1,0,registrer date of publishing received request
2887729,regular procedure without MER,2011-10-28 18:03:23,560890,9484,,0,regular procedure without MER,regular procedure without mer,-1,0,regular procedure without MER
2887729,send confirmation receipt,2011-10-28 18:03:24,560890,9493,,0,send confirmation receipt,send confirmation receipt,-1,0,send confirmation receipt
2887729,send procedure confirmation,2011-10-28 18:03:25,560890,9488,,0,send procedure confirmation,send procedure confirmation,-1,0,send procedure confirmation
2887729,subcases completeness completed,2011-10-28 18:03:26,560890,9492,,0,subcases completeness completed,subcases completeness completed,-1,0,subcases completeness completed
2887729,treat subcases completeness,2011-10-28 18:03:27,560890,9490,,0,treat subcases completeness,treat subcases completeness,-1,0,treat subcases completeness
2887729,WAW permit aspect,2011-10-28 18:03:28,560890,9498,,0,WAW permit aspect,waw permit aspect,-1,0,WAW permit aspect
2887729,applicant is stakeholder,2011-10-28 18:03:29,560890,9494,,0,applicant is stakeholder,applicant is stakeholder,-1,0,applicant is stakeholder
2887729,article 34  WABO applies,2011-10-28 18:03:30,560890,9499,,0,article 34  WABO applies,article 34 wabo applies,-1,0,article 34  WABO applies
2887729,assessment of content completed,2011-10-28 18:03:31,560890,9505,,0,assessment of content completed,assessment of content completed,-1,0,assessment of content completed
2887729,completed subcases content,2011-10-28 18:03:32,560890,9502,,0,completed subcases content,completed subcases content,-1,0,completed subcases content
2887729,create draft environtmental permit,2011-10-28 18:03:33,560890,9501,,0,create draft environtmental permit,create draft environtmental permit,-1,0,create draft environtmental permit
2887729,extend procedure term,2011-10-28 18:03:34,560890,9496,,0,extend procedure term,extend procedure term,-1,0,extend procedure term
2887729,grounds for refusal,2011-10-28 18:03:35,560890,9500,,0,grounds for refusal,grounds for refusal,-1,0,grounds for refusal
2887729,phase advice known,2011-10-28 18:03:36,560890,9503,,0,phase advice known,phase advice known,-1,0,phase advice known
2887729,phase application receptive,2011-10-28 18:03:37,560890,9506,,0,phase application receptive,phase application receptive,-1,0,phase application receptive
2887729,request complete,2011-10-28 18:03:38,560890,9497,,0,request complete,request complete,-1,0,request complete
2887729,terminate on request,2011-10-28 18:03:39,560890,9495,,0,terminate on request,terminate on request,-1,0,terminate on request
2887729,treat subcases content,2011-10-28 18:03:40,560890,9504,,0,treat subcases content,treat subcases content,-1,0,treat subcases content
2887729,generate draft decision environmental permit,2011-10-28 18:03:41,560890,9507,,0,generate draft decision environmental permit,generate draft decision environmental permit,-1,0,generate draft decision environmental permit
2887729,phase concept draft decision ready,2011-10-28 18:03:42,560890,9508,,0,phase concept draft decision ready,phase concept draft decision ready,-1,0,phase concept draft decision ready
2887729,enter date draft decisionenvironmental permit,2011-10-28 18:04:08,560890,9511,,0,enter date draft decisionenvironmental permit,enter date draft decisionenvironmental permit,-1,0,enter date draft decisionenvironmental permit
2887729,publish official draft decision,2011-10-28 18:07:04,560890,9516,,0,publish official draft decision,publish official draft decision,-1,0,publish official draft decision
2887729,send design decision to stakeholders,2011-10-28 18:07:12,560890,9518,,0,send design decision to stakeholders,send design decision to stakeholders,-1,0,send design decision to stakeholders
2887943,register submission date request,2010-11-26 08:00:02,560872,9531,,0,register submission date request,register submission date request,-1,0,register submission date request
2887943,enter senddate acknowledgement,2010-11-29 08:00:02,560872,9532,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
2887943,enter senddate procedure confirmation,2010-12-03 08:00:01,560881,9538,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2887943,enter senddate procedure confirmation,2010-12-03 08:00:02,560872,9540,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2887943,registrer date of publishing received request,2010-12-03 08:00:03,560881,9539,,0,registrer date of publishing received request,registrer date of publishing received request,-1,0,registrer date of publishing received request
2887943,enter senddate retrieve missing data,2010-12-23 08:00:03,560881,9543,,0,enter senddate retrieve missing data,enter senddate retrieve missing data,-1,0,enter senddate retrieve missing data
2887943,enter receipt of additional data,2011-01-26 08:00:02,560881,9555,,0,enter receipt of additional data,enter receipt of additional data,-1,0,enter receipt of additional data
2887943,request complete,2011-02-15 21:58:06,560881,9563,,0,request complete,request complete,-1,0,request complete
2887943,phase advice known,2011-02-15 21:58:18,560881,9569,,0,phase advice known,phase advice known,-1,0,phase advice known
2887943,creating environmental permit decision,2011-02-16 20:30:21,560881,9576,,0,creating environmental permit decision,creating environmental permit decision,-1,0,creating environmental permit decision
2887943,register date environmental permit decision,2011-02-23 08:00:01,560894,9578,,0,register date environmental permit decision,register date environmental permit decision,-1,0,register date environmental permit decision
2890437,register submission date request,2010-11-23 08:00:06,560925,9584,,0,register submission date request,register submission date request,-1,0,register submission date request
2890437,enter senddate acknowledgement,2010-11-30 08:00:05,560925,9585,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
2890437,registrer date of publishing received request,2010-12-01 08:00:08,560894,9589,,0,registrer date of publishing received request,registrer date of publishing received request,-1,0,registrer date of publishing received request
2890437,enter senddate procedure confirmation,2010-12-06 08:00:16,560894,9590,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2890437,enter senddate procedure confirmation,2010-12-06 08:00:17,560894,9591,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2891205,register submission date request,2010-11-18 08:00:11,560925,9604,,0,register submission date request,register submission date request,-1,0,register submission date request
2891205,enter senddate acknowledgement,2010-11-30 08:00:06,560925,9605,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
2891205,registrer date of publishing received request,2010-12-01 08:00:09,560872,9609,,0,registrer date of publishing received request,registrer date of publishing received request,-1,0,registrer date of publishing received request
2891205,enter senddate procedure confirmation,2010-12-13 08:00:01,560872,9610,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2891205,enter date decision procedure term extension,2011-01-12 08:00:01,2670601,9615,,0,enter date decision procedure term extension,enter date decision procedure term extension,-1,0,enter date decision procedure term extension
2891205,enter senddate decision procedure term extension,2011-01-12 08:00:02,2670601,9616,,0,enter senddate decision procedure term extension,enter senddate decision procedure term extension,-1,0,enter senddate decision procedure term extension
2891205,enter senddate procedure confirmation,2011-02-07 08:00:01,560890,9623,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2891205,register date environmental permit decision,2011-05-24 07:00:01,560890,9624,,0,register date environmental permit decision,register date environmental permit decision,-1,0,register date environmental permit decision
2891205,request complete,2011-05-24 19:33:06,560890,9635,,0,request complete,request complete,-1,0,request complete
2891205,phase advice known,2011-05-24 19:33:20,560890,9642,,0,phase advice known,phase advice known,-1,0,phase advice known
2891205,creating environmental permit decision,2011-05-24 19:33:53,560890,9647,,0,creating environmental permit decision,creating environmental permit decision,-1,0,creating environmental permit decision
2891205,enter date publication decision environmental permit,2011-06-01 07:00:01,560890,9652,,0,enter date publication decision environmental permit,enter date publication decision environmental permit,-1,0,enter date publication decision environmental permit
2891719,register submission date request,2010-11-30 08:00:07,560925,9653,,0,register submission date request,register submission date request,-1,0,register submission date request
2891719,enter senddate acknowledgement,2010-12-02 08:00:01,560925,9654,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
2891719,registrer date of publishing received request,2010-12-15 08:00:04,560872,9658,,0,registrer date of publishing received request,registrer date of publishing received request,-1,0,registrer date of publishing received request
2891719,enter senddate procedure confirmation,2010-12-21 08:00:03,560890,9664,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2891719,register date environmental permit decision,2011-01-24 08:00:01,560890,9665,,0,register date environmental permit decision,register date environmental permit decision,-1,0,register date environmental permit decision
2891719,request complete,2011-01-24 19:39:29,560890,9674,,0,request complete,request complete,-1,0,request complete
2891719,phase advice known,2011-01-24 19:39:45,560890,9680,,0,phase advice known,phase advice known,-1,0,phase advice known
2891719,enter senddate decision environmental permit,2011-01-28 08:00:01,560890,9691,,0,enter senddate decision environmental permit,enter senddate decision environmental permit,-1,0,enter senddate decision environmental permit
2891719,enter date publication decision environmental permit,2011-02-02 08:00:01,560890,9692,,0,enter date publication decision environmental permit,enter date publication decision environmental permit,-1,0,enter date publication decision environmental permit
2899336,register submission date request,2010-11-30 08:00:08,560872,9693,,0,register submission date request,register submission date request,-1,0,register submission date request
2899336,enter senddate acknowledgement,2010-12-02 08:00:02,560872,9695,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
2899336,enter senddate procedure confirmation,2010-12-02 08:00:03,560881,9694,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2899336,enter senddate procedure confirmation,2010-12-06 08:00:18,560872,9701,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2899336,enter senddate procedure confirmation,2010-12-06 08:00:19,560881,9702,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2899336,registrer date of publishing received request,2010-12-15 08:00:05,560872,9705,,0,registrer date of publishing received request,registrer date of publishing received request,-1,0,registrer date of publishing received request
2899336,enter senddate retrieve missing data,2010-12-23 08:00:04,560881,9706,,0,enter senddate retrieve missing data,enter senddate retrieve missing data,-1,0,enter senddate retrieve missing data
2899336,request complete,2011-02-21 20:52:49,560881,9725,,0,request complete,request complete,-1,0,request complete
2899336,phase advice known,2011-02-21 20:52:58,560881,9731,,0,phase advice known,phase advice known,-1,0,phase advice known
2899336,enter senddate decision environmental permit,2011-02-23 08:00:02,560894,9740,,0,enter senddate decision environmental permit,enter senddate decision environmental permit,-1,0,enter senddate decision environmental permit
2899336,register date environmental permit decision,2011-02-23 08:00:03,560894,9739,,0,register date environmental permit decision,register date environmental permit decision,-1,0,register date environmental permit decision
2899336,enter date publication decision environmental permit,2011-03-02 08:00:01,560894,9745,,0,enter date publication decision environmental permit,enter date publication decision environmental permit,-1,0,enter date publication decision environmental permit
2900428,register submission date request,2010-11-18 08:00:12,560872,9746,,0,register submission date request,register submission date request,-1,0,register submission date request
2900428,enter senddate acknowledgement,2010-12-03 08:00:04,560872,9747,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
2900428,send procedure confirmation,2011-07-08 19:10:45,2670601,9754,,0,send procedure confirmation,send procedure confirmation,-1,0,send procedure confirmation
2901823,register submission date request,2010-11-30 08:00:09,560872,9755,,0,register submission date request,register submission date request,-1,0,register submission date request
2901823,enter senddate acknowledgement,2010-12-03 08:00:05,560872,9756,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
2902319,register submission date request,2010-11-29 08:00:03,560872,9761,,0,register submission date request,register submission date request,-1,0,register submission date request
2902319,enter senddate acknowledgement,2010-12-03 08:00:06,560872,9762,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
2902319,enter senddate procedure confirmation,2010-12-06 08:00:20,560872,9767,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2902319,enter senddate procedure confirmation,2010-12-06 08:00:21,560881,9768,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2902319,enter senddate procedure confirmation,2010-12-06 08:00:22,560881,9769,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,-1,0,enter senddate procedure confirmation
2902319,registrer date of publishing received request,2010-12-15 08:00:06,560872,9773,,0,registrer date of publishing received request,registrer date of publishing received request,-1,0,registrer date of publishing received request
2902319,enter senddate retrieve missing data,2010-12-23 08:00:05,560881,9774,,0,enter senddate retrieve missing data,enter senddate retrieve missing data,-1,0,enter senddate retrieve missing data
2902319,enter receipt of additional data,2011-01-24 08:00:02,560881,9785,,0,enter receipt of additional data,enter receipt of additional data,-1,0,enter receipt of additional data
2902319,request complete,2011-02-08 18:07:21,560881,9793,,0,request complete,request complete,-1,0,request complete
2902319,phase advice known,2011-02-08 18:07:35,560881,9799,,0,phase advice known,phase advice known,-1,0,phase advice known
2902319,extend procedure term,2011-02-08 18:07:50,560881,9805,,0,extend procedure term,extend procedure term,-1,0,extend procedure term
2902319,enter senddate decision environmental permit,2011-02-15 08:00:01,560890,9807,,0,enter senddate decision environmental permit,enter senddate decision environmental permit,-1,0,enter senddate decision environmental permit
2902319,register date environmental permit decision,2011-02-15 08:00:02,560890,9808,,0,register date environmental permit decision,register date environmental permit decision,-1,0,register date environmental permit decision
2902319,enter date publication decision environmental permit,2011-02-23 08:00:04,560890,9813,,0,enter date publication decision environmental permit,enter date publication decision environmental permit,-1,0,enter date publication decision environmental permit
2902671,register submission date request,2010-11-26 08:00:03,560872,9814,,0,register submission date request,register submission date request,-1,0,register submission date request
2902671,enter senddate acknowledgement,2010-12-03 08:00:07,560872,9815,,0,enter senddate acknowledgement,enter senddate acknowledgement,-1,0,enter senddate acknowledgement
