Case,Timestamp,original_activity,Activity_fixed,label
4495310,2012-01-30 23:22:32,Grounds for refusal,grounds for refusal,distorted label(UpLow)
4499247,2012-01-20 16:32:37,send procedure ocnfirmation,enter senddate procedure confirmation,distorted label(Interchange)
4557918,2012-03-22 08:00:01,Enter senddate decision environmental permit,enter senddate decision environmental permit,distorted label(UpLow)
4565008,2013-08-29 07:00:12,term for submiting updated plan,term for submitting updated plan,distorted label(Skip)
4589612,2012-03-23 19:30:37,Send letter in progress,send letter in progress,distorted label(UpLow)
4604206,2012-02-09 23:57:32,phase application rexeived,phase application received,distorted label(Proximity)
4604206,2012-02-10 08:00:05,enter esnddate procedure confirmation,enter senddate procedure confirmation,distorted label(Interchange)
4640117,2012-02-13 08:00:08,register submission ate request,register submission date request,distorted label(Skip)
4772933,2012-03-22 19:40:51,Send confirmation receipt,send confirmation receipt,distorted label(UpLow)
4775758,2012-04-17 20:51:36,request coplete,request complete,distorted label(Skip)
4775758,2012-04-17 20:51:48,reating environmental permit decision,enter senddate decision environmental permit,distorted label(Skip)
4809047,2012-04-18 22:51:05,procedure chnge,procedure change,distorted label(Skip)
4811268,2013-08-26 07:00:15,send letter in progess,send letter in progress,distorted label(Skip)
4821209,2012-03-30 19:48:27,creatign environmental permit decision,enter senddate decision environmental permit,distorted label(Interchange)
4833387,2012-04-03 17:05:58,send proecdure confirmation,enter senddate procedure confirmation,distorted label(Interchange)
4863262,2012-04-12 16:46:51,send confirmation rrceipt,send confirmation receipt,distorted label(Proximity)
4958200,2012-05-03 18:00:34,phaseR application received,phase application received,distorted label(Insert)
4958200,2012-09-04 21:08:47,assessment of ontent completed,assessment of content completed,distorted label(Skip)
4963153,2012-05-31 19:03:32,assessment of content competed,assessment of content completed,distorted label(Skip)
5019310,2012-05-14 19:49:33,start WABOprocedpure,start WABOprocedure,distorted label(Insert)
5019310,2012-06-07 23:31:25,Creating environmental permit decision,enter senddate decision environmental permit,distorted label(UpLow)
5028918,2012-05-15 20:53:07,Send confirmation receipt,send confirmation receipt,distorted label(UpLow)
5051625,2012-05-22 21:19:11,send confirmation eceipt,send confirmation receipt,distorted label(Skip)
5069099,2012-07-11 22:35:40,start WAHOprocedure,start WABOprocedure,distorted label(Proximity)
5069099,2013-03-07 08:00:01,date draft decision f;r inspection,date decision for inspection,distorted label(Proximity)
5069099,2013-04-22 16:02:50,Register date environmental permit decision,enter senddate decision environmental permit,distorted label(UpLow)
5073249,2012-05-25 20:21:28,regulark procedure without MER,regular procedure without MER,distorted label(Insert)
5105222,2012-06-04 21:15:50,Phase application received,phase application received,distorted label(UpLow)
5220444,2012-06-26 07:00:07,enter senddate procedure c;nfirmation,enter senddate procedure confirmation,distorted label(Proximity)
5220444,2012-07-23 22:34:57,Completed subcases content,treat subcases content,distorted label(UpLow)
5288872,2012-07-12 16:43:36,start WABOpocedure,start WABOprocedure,distorted label(Skip)
5288872,2013-05-06 07:00:40,send decision swuspension,enter senddate decision,distorted label(Insert)
5288872,2013-05-13 07:00:04,generatin decision environmental permit,enter senddate decision environmental permit,distorted label(Skip)
5327966,2012-09-17 18:15:45,completed subcases contnet,treat subcases content,distorted label(Interchange)
5367672,2012-10-01 17:07:52,objection to permabent suspension received,objection to permanent suspension received,distorted label(Proximity)
5736755,2012-10-19 15:17:01,transcript decision environmental prrmit to stakeholders,transcript decision environmental permit to stakeholders,distorted label(Proximity)
5790328,2012-08-30 07:00:04,register submission date Nrequest,register submission date request,distorted label(Insert)
5792647,2012-09-04 21:39:32,send procedure cohfirmation,enter senddate procedure confirmation,distorted label(Proximity)
5805909,2012-10-02 22:14:45,enter senddate decision envronmental permit,enter senddate decision environmental permit,distorted label(Skip)
5805909,2012-10-11 07:00:02,Date decision for inspection,date decision for inspection,distorted label(UpLow)
5808114,2012-09-06 19:23:55,phase zpplication received,phase application received,distorted label(Proximity)
5808114,2012-09-06 19:26:00,regular procedure without EMR,regular procedure without MER,distorted label(Interchange)
5808114,2012-12-10 17:53:04,Phase decision taken,phase decision sent,distorted label(UpLow)
5910758,2012-10-01 16:18:44,regular procedure withou MER,regular procedure without MER,distorted label(Skip)
5910758,2012-11-12 20:18:39,Request complete,request complete,distorted label(UpLow)
5912784,2012-10-01 16:48:49,send confirmatiob receipt,send confirmation receipt,distorted label(Proximity)
5912784,2012-10-01 16:50:51,Send procedure confirmation,enter senddate procedure confirmation,distorted label(UpLow)
5956048,2012-10-11 20:08:22,send confirmahion receipt,send confirmation receipt,distorted label(Proximity)
5956048,2012-10-11 20:12:48,regjlar procedure without MER,regular procedure without MER,distorted label(Proximity)
5961714,2012-10-12 16:33:13,sen procedure confirmation,enter senddate procedure confirmation,distorted label(Skip)
5962738,2012-10-11 07:00:06,egister submission date request,register submission date request,distorted label(Skip)
5965990,2012-10-31 01:03:29,Suspension ground applicable,suspension ground applicable,distorted label(UpLow)
6009005,2012-10-25 18:14:35,phase applicaton received,phase application received,distorted label(Skip)
6196539,2012-11-27 18:56:35,phaseu advice known,phase advice known,distorted label(Insert)
6196539,2012-11-27 18:56:45,Creating environmental permit decision,enter senddate decision environmental permit,distorted label(UpLow)
6224787,2012-11-22 19:45:18,regular uprocedure without MER,regular procedure without MER,distorted label(Insert)
6224787,2013-10-15 07:00:13,phase decision atken,phase decision sent,distorted label(Interchange)
6270958,2012-11-26 08:00:03,Register submission date request,register submission date request,distorted label(UpLow)
6270958,2012-11-29 16:46:37,send ocnfirmation receipt,send confirmation receipt,distorted label(Interchange)
6289142,2013-04-11 22:52:59,requfst complete,request complete,distorted label(Proximity)
6289142,2013-04-16 23:32:04,sbumit decision,submit decision,distorted label(Interchange)
6364598,2014-02-13 08:00:40,send eltter in progress,send letter in progress,distorted label(Interchange)
6364598,2014-02-27 08:00:01,set decision phase inspection of decision permittign,phase decision sent,distorted label(Interchange)
6453499,2013-02-18 08:00:05,start decision phase extension garnted,start decision phase extension granted,distorted label(Interchange)
6641576,2013-03-15 17:08:11,transcript decision environmental permit to stskeholders,transcript decision environmental permit to stakeholders,distorted label(Proximity)
6641576,2013-03-15 17:08:23,phase decisi;n sent,phase decision sent,distorted label(Proximity)
6656063,2013-02-08 19:24:04,start WABOproceduer,start WABOprocedure,distorted label(Interchange)
6728358,2013-04-02 19:29:32,gronuds for refusal,grounds for refusal,distorted label(Interchange)
6728358,2013-04-08 16:55:33,subcade art. 33 WABO completed,subcase art. 33 WABO completed,distorted label(Proximity)
6934897,2013-03-11 19:03:04,rceate procedure confirmation,enter senddate procedure confirmation,distorted label(Interchange)
6934897,2013-04-26 16:24:59,submit deciion,submit decision,distorted label(Skip)
6941059,2013-04-15 07:00:06,start decsiion phase decision permitting sent,phase decision sent,distorted label(Interchange)
6969255,2013-05-23 07:00:29,decision keiep permanently suspended,keep permanently suspended,distorted label(Insert)
6969255,2013-05-23 07:00:33,Set decision status,set decision status,distorted label(UpLow)
7033413,2013-03-21 22:15:34,phase applicztion received,phase application received,distorted label(Proximity)
7071988,2013-05-14 07:00:26,requesti complete,request complete,distorted label(Insert)
7071988,2013-08-05 07:00:04,ask stakebolders views,ask stakeholders views,distorted label(Proximity)
7071988,2013-08-05 07:00:09,creating environmegtal permit decision,enter senddate decision environmental permit,distorted label(Proximity)
7071988,2013-08-05 07:00:12,enter enddate of susension,enter enddate of suspension,distorted label(Skip)
7071988,2013-08-05 07:00:14,enher senddate decision suspension,enter senddate decision,distorted label(Proximity)
7071988,2013-08-05 07:00:21,procedure hange,procedure change,distorted label(Skip)
7071988,2013-08-06 07:00:18,phase decision aken,phase decision sent,distorted label(Skip)
7077803,2013-06-14 07:00:05,Receive additional information,receive additional information,distorted label(UpLow)
7077803,2013-06-25 07:00:10,Decision date prior to decision,decision date prior to decision,distorted label(UpLow)
7077803,2013-06-25 07:00:16,pgase decision sent,phase decision sent,distorted label(Proximity)
7163104,2013-05-23 07:01:00,assessment of content coYmpleted,assessment of content completed,distorted label(Insert)
7163104,2013-05-23 07:01:01,bu law,bu law,distorted label(Proximity)
7166516,2013-05-23 07:01:24,creahe publication document,create publication document,distorted label(Proximity)
7166516,2013-05-24 07:00:55,phase decision readu,phase decision sent,distorted label(Proximity)
7209451,2013-05-21 07:01:38,retrieve missing daat,retrieve missing data,distorted label(Interchange)
7209451,2013-07-05 07:00:03,start decision sphase extension granted,start decision phase extension granted,distorted label(Insert)
7258136,2013-04-22 20:02:00,phase application receivevd,phase application received,distorted label(Insert)
7258136,2013-08-26 07:00:50,enter senddate decision envirogmental permit,enter senddate decision environmental permit,distorted label(Proximity)
7258136,2013-11-07 08:00:17,Decision date prior to decision,decision date prior to decision,distorted label(UpLow)
7258136,2013-11-07 08:00:41,send letter in pfogress,send letter in progress,distorted label(Proximity)
7358567,2013-06-24 07:00:44,coordknation of application,coordination of application,distorted label(Proximity)
7358567,2013-06-24 07:00:48,enter senddatr decision,enter senddate decision,distorted label(Proximity)
7398246,2013-05-13 07:00:49,create publicwtion document,create publication document,distorted label(Proximity)
7398246,2013-05-24 07:01:01,article 34  WABO spplies,article 34  WABO applies,distorted label(Proximity)
7398246,2013-05-24 07:01:07,create subcasew completeness,treat subcases content,distorted label(Proximity)
7398246,2013-08-16 07:00:11,read publication date filed,read publication date field,distorted label(Interchange)
7398246,2013-08-16 07:00:12,stop lal running subcases 2b,stop all running subcases 2b,distorted label(Interchange)
7436427,2013-05-16 07:00:31,LLO messaging active,OLO messaging active,distorted label(Proximity)
7436427,2013-06-13 07:00:37,procedure cphange,procedure change,distorted label(Insert)
7469823,2013-05-22 07:00:21,forward ot the competent authority,forward to the competent authority,distorted label(Interchange)
7469823,2013-12-06 08:00:03,assessment of conent completed,assessment of content completed,distorted label(Skip)
7469823,2013-12-06 08:00:07,create proceure confirmation,enter senddate procedure confirmation,distorted label(Skip)
7469823,2013-12-06 08:00:11,Enter date advice on treatment of environmental permit,enter date advice on treatment of environmental permit,distorted label(UpLow)
7469823,2013-12-06 08:00:26,tread field phased application,read field phased application,distorted label(Insert)
7469823,2013-12-06 08:00:27,regular proceduer without MER,regular procedure without MER,distorted label(Interchange)
7469823,2013-12-06 08:00:28,rquest complete,request complete,distorted label(Skip)
7469823,2013-12-06 08:00:31,set drcision status,set decision status,distorted label(Proximity)
7469823,2014-06-02 07:00:05,Decision date prior to decision,decision date prior to decision,distorted label(UpLow)
7469823,2014-06-02 07:00:13,hpase decision taken,phase decision sent,distorted label(Interchange)
7469823,2014-08-04 07:00:07,reaAd publication date field,read publication date field,distorted label(Insert)
7491439,2013-06-25 07:01:24,Generating decision environmental permit,enter senddate decision environmental permit,distorted label(UpLow)
7491439,2013-06-25 07:01:25,Grounds for refusal,grounds for refusal,distorted label(UpLow)
7603415,2013-06-07 07:02:18,OLO messaglng active,OLO messaging active,distorted label(Proximity)
7603415,2013-06-10 07:00:33,Enter senddate acknowledgement,enter senddate acknowledgement,distorted label(UpLow)
7603415,2013-07-02 07:00:15,enter senddate decision environmentxl permit,enter senddate decision environmental permit,distorted label(Proximity)
7603415,2013-07-02 07:00:27,Request complete,request complete,distorted label(UpLow)
7611323,2013-07-05 07:00:19,enter senddate decisione nvironmental permit,enter senddate decision environmental permit,distorted label(Interchange)
7611323,2013-07-05 07:00:23,startH decision phase decision permitting sent,phase decision sent,distorted label(Insert)
7641047,2013-06-13 07:01:04,OLOH messaging active,OLO messaging active,distorted label(Insert)
7641047,2013-06-13 07:01:07,Forward to the competent authority,forward to the competent authority,distorted label(UpLow)
7641047,2013-08-05 07:00:37,assNessment of content completed,assessment of content completed,distorted label(Insert)
7641047,2013-08-05 07:00:48,phase application receptivXe,phase application received,distorted label(Insert)
7716906,2013-07-09 07:00:29,phasw decision taken,phase decision sent,distorted label(Proximity)
7716906,2013-07-09 07:00:38,sumit decision,submit decision,distorted label(Skip)
7760025,2013-08-13 07:00:05,creating cover letter dcision,creating cover letter decision,distorted label(Skip)
7835964,2013-07-08 07:00:42,Create procedure confirmation,enter senddate procedure confirmation,distorted label(UpLow)
7835964,2013-10-07 07:00:05,assessment of content xompleted,assessment of content completed,distorted label(Proximity)
7835964,2013-10-07 07:00:14,segd confirmation receipt,send confirmation receipt,distorted label(Proximity)
7835964,2013-10-29 08:00:05,generate draft decision environmenthal permit,enter senddate decision environmental permit,distorted label(Insert)
7835964,2013-11-04 08:00:05,egter date draft decisionenvironmental permit,enter senddate decision environmental permit,distorted label(Proximity)
7835964,2013-12-17 08:00:23,enter senddateR decision,enter senddate decision,distorted label(Insert)
7857775,2013-07-11 07:00:10,send confirmation reciept,send confirmation receipt,distorted label(Interchange)
7874918,2013-07-17 07:00:03,forward to the competegt authority,forward to the competent authority,distorted label(Proximity)
7874918,2013-08-28 07:00:02,article 34  WABO ap;lies,article 34  WABO applies,distorted label(Proximity)
7874918,2013-08-28 07:00:16,phase concept decpision ready,phase decision sent,distorted label(Insert)
7874918,2013-08-28 07:00:19,procdeure change after completeness,procedure change after completeness,distorted label(Interchange)
7882529,2013-07-18 07:00:13,OLO messagNing active,OLO messaging active,distorted label(Insert)
7882529,2013-07-18 07:00:22,start WAOBprocedure,start WABOprocedure,distorted label(Interchange)
7882529,2013-08-20 07:00:59,phase acvice known,phase advice known,distorted label(Proximity)
7948785,2013-11-11 08:00:40,Transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,distorted label(UpLow)
7987079,2013-08-28 07:00:31,Coordination of application,coordination of application,distorted label(UpLow)
8164167,2013-10-04 07:00:45,article 34  WABI applies,article 34  WABO applies,distorted label(Proximity)
8164167,2013-10-04 07:00:57,Enter senddate decision environmental permit,enter senddate decision environmental permit,distorted label(UpLow)
8198371,2013-10-11 07:00:14,treat subcases cotntent,treat subcases content,distorted label(Insert)
8198371,2013-10-22 07:00:07,assessment of ontent completed,assessment of content completed,distorted label(Skip)
8198371,2013-10-22 07:00:17,pqhase advice known,phase advice known,distorted label(Insert)
8219345,2013-10-08 07:00:16,Create publication document,create publication document,distorted label(UpLow)
8238071,2013-09-09 07:01:05,Forward to the competent authority,forward to the competent authority,distorted label(UpLow)
8238071,2013-10-15 07:02:27,Ask stakeholders views,ask stakeholders views,distorted label(UpLow)
8238071,2013-10-15 07:02:36,Creating environmental permit decision,enter senddate decision environmental permit,distorted label(UpLow)
8238071,2013-10-15 07:02:44,Phase procedure extended,phase procedure extended,distorted label(UpLow)
8238071,2013-10-15 07:02:53,Start decision phase extension granted,start decision phase extension granted,distorted label(UpLow)
8238071,2013-11-04 08:00:16,phase edcision ready,phase decision sent,distorted label(Interchange)
8238071,2013-11-05 08:00:02,enter senddate deciison environmental permit,enter senddate decision environmental permit,distorted label(Interchange)
8319149,2013-11-22 08:00:02,receive additional informadtion,receive additional information,distorted label(Insert)
8319149,2013-12-10 08:00:03,start demcision phase extension granted,start decision phase extension granted,distorted label(Insert)
8320951,2013-09-19 07:00:50,OLO messagQing active,OLO messaging active,distorted label(Insert)
8320951,2013-09-19 07:00:54,phase application receive,phase application received,distorted label(Skip)
8320951,2013-09-19 07:00:57,sedn confirmation receipt,send confirmation receipt,distorted label(Interchange)
8320951,2013-10-14 07:01:10,suspension ground applicab/e,suspension ground applicable,distorted label(Proximity)
8369265,2013-11-01 08:00:41,phase decision snet,phase decision sent,distorted label(Interchange)
8420841,2013-10-07 07:01:02,sctart WABOprocedure,start WABOprocedure,distorted label(Insert)
8420841,2013-10-31 08:00:24,creating cover lettxer decision,creating cover letter decision,distorted label(Insert)
8420841,2013-11-05 08:00:09,set decision phase decision prmitting decided,phase decision sent,distorted label(Skip)
8476182,2013-10-11 07:00:23,OLO messagijg active,OLO messaging active,distorted label(Proximity)
8476182,2013-11-04 08:00:40,etner receipt of additional data,enter receipt of additional data,distorted label(Interchange)
8539501,2013-10-21 07:00:24,create porcedure confirmation,enter senddate procedure confirmation,distorted label(Interchange)
8539501,2013-10-21 07:00:27,phagse application received,phase application received,distorted label(Insert)
8598168,2013-12-09 08:00:34,by lw,by lw,distorted label(Skip)
8598168,2013-12-10 08:00:05,creatin gcover letter decision,creating cover letter decision,distorted label(Interchange)
8598168,2013-12-10 08:00:10,Record date of decision environmental permit,enter senddate decision environmental permit,distorted label(UpLow)
8598168,2013-12-10 08:00:11,register objetion and appeal periods,register objection and appeal periods,distorted label(Skip)
8726860,2014-01-30 08:00:36,phaae archived case,phase archived case,distorted label(Proximity)
8758363,2013-11-26 08:00:11,creating ocver letter decision,creating cover letter decision,distorted label(Interchange)
8758363,2013-11-26 08:00:19,start decision phaUse decision permitting sent,phase decision sent,distorted label(Insert)
8860525,2013-12-02 08:00:26,Retrieve missing data,retrieve missing data,distorted label(UpLow)
8860525,2014-01-15 08:00:09,kphase additional information received,receive additional information,distorted label(Insert)
8860525,2014-04-14 07:00:02,assessment of cotent completed,assessment of content completed,distorted label(Skip)
8860525,2014-04-14 07:00:08,generating decsiion environmental permit,enter senddate decision environmental permit,distorted label(Interchange)
8860525,2014-04-14 07:00:09,grounds Kfor refusal,grounds for refusal,distorted label(Insert)
8860525,2014-04-14 07:00:16,Send letter in progress,send letter in progress,distorted label(UpLow)
8909682,2014-01-23 08:00:31,decision date prior to deQcision,decision date prior to decision,distorted label(Insert)
8909682,2014-01-23 08:00:46,Start decisionphase draft decision - permitting decided,phase decision sent,distorted label(UpLow)
9011176,2013-12-16 08:00:41,regular procedure withoutMER,regular procedure without MER,distorted label(Skip)
9011176,2013-12-16 08:00:43,send confirmatpion receipt,send confirmation receipt,distorted label(Insert)
9011176,2014-01-21 08:00:21,Retrieve missing data,retrieve missing data,distorted label(UpLow)
9011176,2014-03-04 08:00:03,assessment if content completed,assessment of content completed,distorted label(Proximity)
9011176,2014-03-04 08:00:11,grounds forr efusal,grounds for refusal,distorted label(Interchange)
9173797,2014-01-22 08:00:16,phase asked addiitonal information,receive additional information,distorted label(Interchange)
9173797,2014-02-18 08:00:33,Creating cover letter decision,creating cover letter decision,distorted label(UpLow)
9173797,2014-02-18 08:00:35,enter senddate decision environmental eprmit,enter senddate decision environmental permit,distorted label(Interchange)
9173797,2014-02-18 08:00:38,record date of decision environmentalpermit,enter senddate decision environmental permit,distorted label(Skip)
9173797,2014-02-18 08:00:42,transcript decision environmntal permit to stakeholders,transcript decision environmental permit to stakeholders,distorted label(Skip)
9179654,2014-01-16 08:00:50,foraard to the competent authority,forward to the competent authority,distorted label(Proximity)
9179654,2014-09-18 07:00:30,phased raft decision made,phase decision sent,distorted label(Interchange)
9296294,2014-02-24 08:00:07,dompleted subcases content,treat subcases content,distorted label(Proximity)
9385395,2014-02-03 08:00:28,regisfration date publication,registration date publication,distorted label(Proximity)
9385395,2014-02-03 08:00:30,send confirmatiokn receipt,send confirmation receipt,distorted label(Insert)
9385395,2014-03-31 07:00:17,assessment of content copleted,assessment of content completed,distorted label(Skip)
9539245,2014-02-26 08:00:33,Send confirmation receipt,send confirmation receipt,distorted label(UpLow)
9539245,2014-05-20 07:00:01,creating cover letteNr decision,creating cover letter decision,distorted label(Insert)
9619198,2014-02-28 08:01:16,send confirmaton receipt,send confirmation receipt,distorted label(Skip)
9619198,2014-04-11 07:00:13,ask stakehoUlders views,ask stakeholders views,distorted label(Insert)
9619198,2014-04-11 07:00:17,corodination of application,coordination of application,distorted label(Interchange)
9619198,2014-08-01 07:00:08,registratikn date publication,registration date publication,distorted label(Proximity)
9622266,2014-02-28 08:01:27,send confirmation receiot,send confirmation receipt,distorted label(Proximity)
9622266,2014-04-18 07:00:13,Start decision phase extension granted,start decision phase extension granted,distorted label(UpLow)
9622266,2014-04-29 07:00:21,creating cover tletter decision,creating cover letter decision,distorted label(Insert)
9634805,2014-03-03 08:00:09,MEG present,MEG present,distorted label(Proximity)
9634805,2014-03-03 08:00:12,create procedure confIirmation,enter senddate procedure confirmation,distorted label(Insert)
9634805,2014-09-02 07:00:21,phase decision rezdy,phase decision sent,distorted label(Proximity)
9634805,2014-09-02 07:00:24,erad publication date field,read publication date field,distorted label(Interchange)
9800628,2014-03-25 08:00:20,create procedure confirmaton,enter senddate procedure confirmation,distorted label(Skip)
9800628,2014-06-02 07:00:39,Decision keep permanently suspended,keep permanently suspended,distorted label(UpLow)
9819575,2014-03-20 08:00:53,regiLster submission date request,register submission date request,distorted label(Insert)
9819575,2014-03-24 08:00:20,create aubcases completeness,treat subcases content,distorted label(Proximity)
9819575,2014-03-24 08:00:23,investigat BAG objects,investigate BAG objects,distorted label(Skip)
9819575,2014-05-22 07:00:55,Decision date prior to decision,decision date prior to decision,distorted label(UpLow)
9819575,2014-05-22 07:01:00,phase dceision ready,phase decision sent,distorted label(Interchange)
9819575,2014-05-22 07:01:03,request ocmplete,request ocmplete,distorted label(Interchange)
9819575,2014-05-27 07:00:33,Phase decision taken,phase decision sent,distorted label(UpLow)
9819575,2014-05-27 07:00:37,strt decision phase decision permitting sent,phase decision sent,distorted label(Skip)
9843323,2014-05-13 07:01:11,article34  WABO applies,article 34  WABO applies,distorted label(Skip)
9843323,2014-05-13 07:01:17,Create monitoring case,create monitoring case,distorted label(UpLow)
9863829,2014-04-08 07:00:35,phase appiication received,phase application received,distorted label(Proximity)
9863829,2014-04-08 07:00:36,phased application,read field phased application,distorted label(Interchange)
9863829,2014-09-23 07:00:10,grounds for refusaql,grounds for refusal,distorted label(Insert)
9863829,2014-11-18 08:00:09,Phase decision taken,phase decision sent,distorted label(UpLow)
9863829,2014-11-26 08:00:03,date decision for inspectwion,date decision for inspection,distorted label(Insert)
9888564,2014-03-31 07:00:59,senNd confirmation receipt,send confirmation receipt,distorted label(Insert)
9888564,2014-05-09 07:00:45,phase pFrocedure extended,phase procedure extended,distorted label(Insert)
9888564,2014-07-03 07:00:25,start decision pase decision permitting sent,phase decision sent,distorted label(Skip)
9928031,2014-05-21 07:00:11,creatixng cover letter decision,creating cover letter decision,distorted label(Insert)
