Case,Activity,Activity_fixed,Timestamp,Resource,label
7,New online application received,New online application received,2023-09-29 13:24:12,,
7,Make decision_signed1,Make decision_signed1,2023-09-29 13:24:12,Clerk-000004,collateral events(Make decision)
7,Perform checks,Perform checks,2023-09-29 13:24:18,Clerk-000005,
7,Make decision_signed1,Make decision_signed1,2023-09-29 13:24:18,Clerk-000005,collateral events(Make decision)
7,Make decision_signed2,Make decision_signed2,2023-09-29 13:24:19,Clerk-000005,collateral events(Make decision)
7,Make decision,Make decision,2023-09-29 13:29:26,Manager-000005,
7,Notify accept,Notify accept,2023-09-29 13:39:56,Manager-000006,
7,Make decision_signed1,Make decision_signed1,2023-09-29 13:39:56,Manager-000006,collateral events(Make decision)
7,Make decision_signed2,Make decision_signed2,2023-09-29 13:39:57,Manager-000006,collateral events(Make decision)
7,Deliver card,Deliver card,2023-09-29 13:43:55,Manager-000001,
7,Make decision_signed1,Make decision_signed1,2023-09-29 13:43:55,Manager-000001,collateral events(Make decision)
7,Make decision_signed2,Make decision_signed2,2023-09-29 13:43:56,Manager-000001,collateral events(Make decision)
7,EVENT 13 END,EVENT 13 END,2023-09-29 13:58:02,,
7,Make decision_signed1,Make decision_signed1,2023-09-29 13:58:03,,collateral events(Make decision)
7,Make decision_signed2,Make decision_signed2,2023-09-29 13:58:03,,collateral events(Make decision)
8,Check for completeness,Check for completeness,2023-09-29 13:38:17,Clerk-000006,
8,New online application received,New online application received,2023-09-29 13:38:17,,
8,Make decision_signed1,Make decision_signed1,2023-09-29 13:38:17,Clerk-000006,collateral events(Make decision)
8,Request info,Request info,2023-09-29 13:43:58,Manager-000003,
8,Make decision_signed1,Make decision_signed1,2023-09-29 13:43:58,Manager-000003,collateral events(Make decision)
8,Make decision_signed2,Make decision_signed2,2023-09-29 13:43:58,Manager-000003,collateral events(Make decision)
8,info received,info received,2023-09-29 13:45:28,,
8,Make decision_signed1,Make decision_signed1,2023-09-29 13:45:29,,collateral events(Make decision)
8,Make decision_signed2,Make decision_signed2,2023-09-29 13:45:29,,collateral events(Make decision)
8,Check for completeness,Check for completeness,2023-09-29 13:45:38,Clerk-000004,
8,Make decision_signed1,Make decision_signed1,2023-09-29 13:45:38,Clerk-000004,collateral events(Make decision)
8,Make decision_signed2,Make decision_signed2,2023-09-29 13:45:38,Clerk-000004,collateral events(Make decision)
8,Perform checks,Perform checks,2023-09-29 13:59:58,Clerk-000005,
8,Make decision_signed1,Make decision_signed1,2023-09-29 13:59:58,Clerk-000005,collateral events(Make decision)
8,Make decision_signed2,Make decision_signed2,2023-09-29 13:59:58,Clerk-000005,collateral events(Make decision)
8,Make decision,Make decision,2023-09-29 14:00:04,Manager-000005,
8,notify reject,notify reject,2023-09-29 14:15:21,Manager-000002,
8,Make decision_signed1,Make decision_signed1,2023-09-29 14:15:21,Manager-000002,collateral events(Make decision)
8,Make decision_signed2,Make decision_signed2,2023-09-29 14:15:22,Manager-000002,collateral events(Make decision)
8,review request received,review request received,2023-09-29 14:19:47,,
8,Make decision_signed1,Make decision_signed1,2023-09-29 14:19:48,,collateral events(Make decision)
8,Make decision_signed2,Make decision_signed2,2023-09-29 14:19:48,,collateral events(Make decision)
8,Check for completeness,Check for completeness,2023-09-29 14:19:57,Clerk-000006,
8,Make decision_signed1,Make decision_signed1,2023-09-29 14:19:57,Clerk-000006,collateral events(Make decision)
8,Make decision_signed2,Make decision_signed2,2023-09-29 14:19:57,Clerk-000006,collateral events(Make decision)
8,Perform checks,Perform checks,2023-09-29 14:28:22,Clerk-000003,
8,Make decision_signed1,Make decision_signed1,2023-09-29 14:28:23,Clerk-000003,collateral events(Make decision)
8,Make decision_signed2,Make decision_signed2,2023-09-29 14:28:23,Clerk-000003,collateral events(Make decision)
8,Make decision,Make decision,2023-09-29 14:34:51,Manager-000004,
8,Notify accept,Notify accept,2023-09-29 14:36:15,Manager-000005,
8,Make decision_signed1,Make decision_signed1,2023-09-29 14:36:15,Manager-000005,collateral events(Make decision)
8,Make decision_signed2,Make decision_signed2,2023-09-29 14:36:15,Manager-000005,collateral events(Make decision)
8,Deliver card,Deliver card,2023-09-29 14:37:47,Manager-000006,
8,Make decision_signed1,Make decision_signed1,2023-09-29 14:37:47,Manager-000006,collateral events(Make decision)
8,Make decision_signed2,Make decision_signed2,2023-09-29 14:37:48,Manager-000006,collateral events(Make decision)
8,EVENT 13 END,EVENT 13 END,2023-09-29 14:52:19,,
8,Make decision_signed1,Make decision_signed1,2023-09-29 14:52:19,,collateral events(Make decision)
8,Make decision_signed2,Make decision_signed2,2023-09-29 14:52:20,,collateral events(Make decision)
9,Check for completeness,Check for completeness,2023-09-29 13:41:21,Clerk-000001,
9,New online application received,New online application received,2023-09-29 13:41:21,,
9,Request info,Request info,2023-09-29 14:01:14,Manager-000006,
9,info received,info received,2023-09-29 14:19:00,,
9,Check for completeness,Check for completeness,2023-09-29 14:19:10,Clerk-000002,
9,Request info,Request info,2023-09-29 14:27:41,Manager-000001,
9,info received,info received,2023-09-29 14:33:09,,
9,Check for completeness,Check for completeness,2023-09-29 14:33:19,Clerk-000004,
9,Request info,Request info,2023-09-29 15:08:59,Manager-000003,
9,info received,info received,2023-09-29 15:23:23,,
9,Check for completeness,Check for completeness,2023-09-29 15:23:33,Clerk-000006,
9,Perform checks,Perform checks,2023-09-29 15:33:37,Clerk-000003,
9,Make decision,Make decision,2023-09-29 15:34:38,Manager-000006,
9,notify reject,notify reject,2023-09-29 15:54:24,Manager-000002,
9,time out,time out,2023-09-29 16:12:43,,
9,EVENT 13 END,EVENT 13 END,2023-09-29 16:12:53,,
10,Check for completeness,Check for completeness,2023-09-29 14:47:37,Clerk-000005,
10,New online application received,New online application received,2023-09-29 14:47:37,,
10,Request info,Request info,2023-09-29 14:48:51,Manager-000002,
10,info received,info received,2023-09-29 14:54:01,,
10,Check for completeness,Check for completeness,2023-09-29 14:54:11,Clerk-000001,
10,Perform checks,Perform checks,2023-09-29 15:12:40,Clerk-000002,
10,Make decision,Make decision,2023-09-29 15:21:56,Manager-000001,
10,Notify accept,Notify accept,2023-09-29 15:22:31,Manager-000004,
10,Deliver card,Deliver card,2023-09-29 15:23:49,Manager-000005,
10,EVENT 13 END,EVENT 13 END,2023-09-29 15:36:59,,
11,Check for completeness,Check for completeness,2023-09-29 16:06:37,Clerk-000005,
11,New online application received,New online application received,2023-09-29 16:06:37,,
11,Perform checks,Perform checks,2023-09-29 16:11:54,Clerk-000001,
11,Make decision,Make decision,2023-09-29 16:25:06,Manager-000001,
11,notify reject,notify reject,2023-09-29 16:26:23,Manager-000003,
11,time out,time out,2023-09-29 16:29:27,,
11,EVENT 13 END,EVENT 13 END,2023-09-29 16:29:37,,
12,Check for completeness,Check for completeness,2023-09-29 16:07:28,Clerk-000004,
12,New online application received,New online application received,2023-09-29 16:07:28,,
12,Make decision_signed1,Make decision_signed1,2023-09-29 16:07:28,Clerk-000004,collateral events(Make decision)
12,Request info,Request info,2023-09-29 16:28:15,Manager-000005,
12,Make decision_signed1,Make decision_signed1,2023-09-29 16:28:16,Manager-000005,collateral events(Make decision)
12,Make decision_signed2,Make decision_signed2,2023-09-29 16:28:16,Manager-000005,collateral events(Make decision)
12,info received,info received,2023-09-29 16:33:32,,
12,Make decision_signed1,Make decision_signed1,2023-09-29 16:33:32,,collateral events(Make decision)
12,Make decision_signed2,Make decision_signed2,2023-09-29 16:33:32,,collateral events(Make decision)
12,Check for completeness,Check for completeness,2023-09-29 16:33:42,Clerk-000003,
12,Make decision_signed1,Make decision_signed1,2023-09-29 16:33:42,Clerk-000003,collateral events(Make decision)
12,Make decision_signed2,Make decision_signed2,2023-09-29 16:33:43,Clerk-000003,collateral events(Make decision)
12,Request info,Request info,2023-09-29 16:36:40,Manager-000002,
12,Make decision_signed1,Make decision_signed1,2023-09-29 16:36:40,Manager-000002,collateral events(Make decision)
12,Make decision_signed2,Make decision_signed2,2023-09-29 16:36:40,Manager-000002,collateral events(Make decision)
12,info received,info received,2023-09-29 16:45:28,,
12,Make decision_signed1,Make decision_signed1,2023-09-29 16:45:28,,collateral events(Make decision)
12,Make decision_signed2,Make decision_signed2,2023-09-29 16:45:29,,collateral events(Make decision)
12,Check for completeness,Check for completeness,2023-09-29 16:45:38,Clerk-000005,
12,Make decision_signed1,Make decision_signed1,2023-09-29 16:45:38,Clerk-000005,collateral events(Make decision)
12,Make decision_signed2,Make decision_signed2,2023-09-29 16:45:38,Clerk-000005,collateral events(Make decision)
12,Perform checks,Perform checks,2023-09-29 17:02:39,Clerk-000002,
12,Make decision_signed1,Make decision_signed1,2023-09-29 17:02:40,Clerk-000002,collateral events(Make decision)
12,Make decision_signed2,Make decision_signed2,2023-09-29 17:02:40,Clerk-000002,collateral events(Make decision)
12,Make decision,Make decision,2023-09-29 17:13:16,Manager-000003,
12,Notify accept,Notify accept,2023-09-29 17:13:45,Manager-000005,
12,Make decision_signed1,Make decision_signed1,2023-09-29 17:13:45,Manager-000005,collateral events(Make decision)
12,Make decision_signed2,Make decision_signed2,2023-09-29 17:13:46,Manager-000005,collateral events(Make decision)
12,Deliver card,Deliver card,2023-09-29 17:46:09,Manager-000004,
12,Make decision_signed1,Make decision_signed1,2023-09-29 17:46:10,Manager-000004,collateral events(Make decision)
12,Make decision_signed2,Make decision_signed2,2023-09-29 17:46:11,Manager-000004,collateral events(Make decision)
12,EVENT 13 END,EVENT 13 END,2023-09-29 17:47:16,,
12,Make decision_signed1,Make decision_signed1,2023-09-29 17:47:17,,collateral events(Make decision)
12,Make decision_signed2,Make decision_signed2,2023-09-29 17:47:17,,collateral events(Make decision)
13,Check for completeness,Check for completeness,2023-09-29 16:14:30,Clerk-000002,
13,New online application received,New online application received,2023-09-29 16:14:30,,
13,Make decision_signed1,Make decision_signed1,2023-09-29 16:14:30,Clerk-000002,collateral events(Make decision)
13,Perform checks,Perform checks,2023-09-29 16:27:34,Clerk-000006,
13,Make decision_signed1,Make decision_signed1,2023-09-29 16:27:34,Clerk-000006,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 16:27:35,Clerk-000006,collateral events(Make decision)
13,Make decision,Make decision,2023-09-29 16:28:03,Manager-000004,
13,notify reject,notify reject,2023-09-29 16:34:55,Manager-000006,
13,Make decision_signed1,Make decision_signed1,2023-09-29 16:34:56,Manager-000006,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 16:34:56,Manager-000006,collateral events(Make decision)
13,review request received,review request received,2023-09-29 16:46:57,,
13,Make decision_signed1,Make decision_signed1,2023-09-29 16:46:57,,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 16:46:57,,collateral events(Make decision)
13,Check for completeness,Check for completeness,2023-09-29 16:47:07,Clerk-000001,
13,Make decision_signed1,Make decision_signed1,2023-09-29 16:47:08,Clerk-000001,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 16:47:08,Clerk-000001,collateral events(Make decision)
13,Perform checks,Perform checks,2023-09-29 16:54:38,Clerk-000004,
13,Make decision_signed1,Make decision_signed1,2023-09-29 16:54:39,Clerk-000004,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 16:54:39,Clerk-000004,collateral events(Make decision)
13,Make decision,Make decision,2023-09-29 17:22:15,Manager-000002,
13,notify reject,notify reject,2023-09-29 17:51:15,Manager-000006,
13,Make decision_signed1,Make decision_signed1,2023-09-29 17:51:15,Manager-000006,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 17:51:16,Manager-000006,collateral events(Make decision)
13,review request received,review request received,2023-09-29 18:02:09,,
13,Make decision_signed1,Make decision_signed1,2023-09-29 18:02:10,,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 18:02:11,,collateral events(Make decision)
13,Check for completeness,Check for completeness,2023-09-29 18:02:19,Clerk-000003,
13,Make decision_signed1,Make decision_signed1,2023-09-29 18:02:20,Clerk-000003,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 18:02:21,Clerk-000003,collateral events(Make decision)
13,Request info,Request info,2023-09-29 18:09:51,Manager-000004,
13,Make decision_signed1,Make decision_signed1,2023-09-29 18:09:52,Manager-000004,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 18:09:53,Manager-000004,collateral events(Make decision)
13,info received,info received,2023-09-29 18:14:41,,
13,Make decision_signed1,Make decision_signed1,2023-09-29 18:14:42,,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 18:14:43,,collateral events(Make decision)
13,Check for completeness,Check for completeness,2023-09-29 18:14:51,Clerk-000006,
13,Make decision_signed1,Make decision_signed1,2023-09-29 18:14:51,Clerk-000006,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 18:14:51,Clerk-000006,collateral events(Make decision)
13,Request info,Request info,2023-09-29 18:26:33,Manager-000003,
13,Make decision_signed1,Make decision_signed1,2023-09-29 18:26:33,Manager-000003,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 18:26:34,Manager-000003,collateral events(Make decision)
13,info received,info received,2023-09-29 18:37:59,,
13,Make decision_signed1,Make decision_signed1,2023-09-29 18:38:00,,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 18:38:00,,collateral events(Make decision)
13,Check for completeness,Check for completeness,2023-09-29 18:38:09,Clerk-000004,
13,Make decision_signed1,Make decision_signed1,2023-09-29 18:38:10,Clerk-000004,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 18:38:10,Clerk-000004,collateral events(Make decision)
13,Perform checks,Perform checks,2023-09-29 19:01:11,Clerk-000006,
13,Make decision_signed1,Make decision_signed1,2023-09-29 19:01:12,Clerk-000006,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 19:01:12,Clerk-000006,collateral events(Make decision)
13,Make decision,Make decision,2023-09-29 19:08:51,Manager-000001,
13,notify reject,notify reject,2023-09-29 19:22:36,Manager-000004,
13,Make decision_signed1,Make decision_signed1,2023-09-29 19:22:37,Manager-000004,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 19:22:37,Manager-000004,collateral events(Make decision)
13,review request received,review request received,2023-09-29 19:35:39,,
13,Make decision_signed1,Make decision_signed1,2023-09-29 19:35:40,,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 19:35:41,,collateral events(Make decision)
13,Check for completeness,Check for completeness,2023-09-29 19:35:49,Clerk-000003,
13,Make decision_signed1,Make decision_signed1,2023-09-29 19:35:49,Clerk-000003,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 19:35:49,Clerk-000003,collateral events(Make decision)
13,Request info,Request info,2023-09-29 19:39:16,Manager-000002,
13,Make decision_signed1,Make decision_signed1,2023-09-29 19:39:16,Manager-000002,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 19:39:16,Manager-000002,collateral events(Make decision)
13,info received,info received,2023-09-29 20:04:20,,
13,Make decision_signed1,Make decision_signed1,2023-09-29 20:04:21,,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 20:04:22,,collateral events(Make decision)
13,Check for completeness,Check for completeness,2023-09-29 20:04:30,Clerk-000002,
13,Make decision_signed1,Make decision_signed1,2023-09-29 20:04:31,Clerk-000002,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 20:04:32,Clerk-000002,collateral events(Make decision)
13,Request info,Request info,2023-09-29 20:19:37,Manager-000003,
13,Make decision_signed1,Make decision_signed1,2023-09-29 20:19:38,Manager-000003,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 20:19:39,Manager-000003,collateral events(Make decision)
13,info received,info received,2023-09-29 20:28:28,,
13,Make decision_signed1,Make decision_signed1,2023-09-29 20:28:29,,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 20:28:29,,collateral events(Make decision)
13,Check for completeness,Check for completeness,2023-09-29 20:28:38,Clerk-000006,
13,Make decision_signed1,Make decision_signed1,2023-09-29 20:28:39,Clerk-000006,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 20:28:39,Clerk-000006,collateral events(Make decision)
13,Perform checks,Perform checks,2023-09-29 20:38:40,Clerk-000004,
13,Make decision_signed1,Make decision_signed1,2023-09-29 20:38:41,Clerk-000004,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 20:38:41,Clerk-000004,collateral events(Make decision)
13,Make decision,Make decision,2023-09-29 20:43:33,Manager-000002,
13,notify reject,notify reject,2023-09-29 20:53:08,Manager-000005,
13,Make decision_signed1,Make decision_signed1,2023-09-29 20:53:09,Manager-000005,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 20:53:10,Manager-000005,collateral events(Make decision)
13,review request received,review request received,2023-09-29 21:03:06,,
13,Make decision_signed1,Make decision_signed1,2023-09-29 21:03:06,,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 21:03:06,,collateral events(Make decision)
13,Check for completeness,Check for completeness,2023-09-29 21:03:16,Clerk-000006,
13,Make decision_signed1,Make decision_signed1,2023-09-29 21:03:16,Clerk-000006,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 21:03:16,Clerk-000006,collateral events(Make decision)
13,Perform checks,Perform checks,2023-09-29 21:20:39,Clerk-000003,
13,Make decision_signed1,Make decision_signed1,2023-09-29 21:20:39,Clerk-000003,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 21:20:40,Clerk-000003,collateral events(Make decision)
13,Make decision,Make decision,2023-09-29 21:22:46,Manager-000003,
13,notify reject,notify reject,2023-09-29 21:23:32,Manager-000004,
13,Make decision_signed1,Make decision_signed1,2023-09-29 21:23:33,Manager-000004,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 21:23:33,Manager-000004,collateral events(Make decision)
13,time out,time out,2023-09-29 21:33:15,,
13,Make decision_signed1,Make decision_signed1,2023-09-29 21:33:16,,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 21:33:16,,collateral events(Make decision)
13,EVENT 13 END,EVENT 13 END,2023-09-29 21:33:25,,
13,Make decision_signed1,Make decision_signed1,2023-09-29 21:33:26,,collateral events(Make decision)
13,Make decision_signed2,Make decision_signed2,2023-09-29 21:33:27,,collateral events(Make decision)
14,Check for completeness,Check for completeness,2023-09-29 16:51:09,Clerk-000002,
14,New online application received,New online application received,2023-09-29 16:51:09,,
14,Perform checks,Perform checks,2023-09-29 16:54:07,Clerk-000006,
14,Make decision,Make decision,2023-09-29 17:08:43,Manager-000001,
14,notify reject,notify reject,2023-09-29 17:40:01,Manager-000003,
14,time out,time out,2023-09-29 18:03:59,,
14,EVENT 13 END,EVENT 13 END,2023-09-29 18:04:09,,
15,Check for completeness,Check for completeness,2023-09-29 16:58:01,Clerk-000003,
15,New online application received,New online application received,2023-09-29 16:58:01,,
15,Make decision_signed1,Make decision_signed1,2023-09-29 16:58:02,,collateral events(Make decision)
15,Perform checks,Perform checks,2023-09-29 17:14:52,Clerk-000001,
15,Make decision_signed1,Make decision_signed1,2023-09-29 17:14:53,Clerk-000001,collateral events(Make decision)
15,Make decision_signed2,Make decision_signed2,2023-09-29 17:14:54,Clerk-000001,collateral events(Make decision)
15,Make decision,Make decision,2023-09-29 17:22:07,Manager-000004,
15,notify reject,notify reject,2023-09-29 17:32:32,Manager-000006,
15,Make decision_signed1,Make decision_signed1,2023-09-29 17:32:32,Manager-000006,collateral events(Make decision)
15,Make decision_signed2,Make decision_signed2,2023-09-29 17:32:33,Manager-000006,collateral events(Make decision)
15,time out,time out,2023-09-29 17:39:23,,
15,Make decision_signed1,Make decision_signed1,2023-09-29 17:39:23,,collateral events(Make decision)
15,Make decision_signed2,Make decision_signed2,2023-09-29 17:39:24,,collateral events(Make decision)
15,EVENT 13 END,EVENT 13 END,2023-09-29 17:39:33,,
15,Make decision_signed1,Make decision_signed1,2023-09-29 17:39:34,,collateral events(Make decision)
15,Make decision_signed2,Make decision_signed2,2023-09-29 17:39:34,,collateral events(Make decision)
16,Check for completeness,Check for completeness,2023-09-29 17:45:26,Clerk-000005,
16,New online application received,New online application received,2023-09-29 17:45:26,,
16,Request info,Request info,2023-09-29 17:53:49,Manager-000001,
16,info received,info received,2023-09-29 17:58:04,,
16,Check for completeness,Check for completeness,2023-09-29 17:58:14,Clerk-000002,
16,Request info,Request info,2023-09-29 18:17:55,Manager-000002,
16,info received,info received,2023-09-29 18:38:16,,
16,Check for completeness,Check for completeness,2023-09-29 18:38:26,Clerk-000002,
16,Perform checks,Perform checks,2023-09-29 18:40:28,Clerk-000005,
16,Make decision,Make decision,2023-09-29 18:41:20,Manager-000003,
16,Notify accept,Notify accept,2023-09-29 18:49:29,Manager-000002,
16,Deliver card,Deliver card,2023-09-29 19:25:53,Manager-000005,
16,EVENT 13 END,EVENT 13 END,2023-09-29 19:31:06,,
17,Check for completeness,Check for completeness,2023-09-29 17:57:31,Clerk-000006,
17,New online application received,New online application received,2023-09-29 17:57:31,,
17,Perform checks,Perform checks,2023-09-29 18:05:01,Clerk-000001,
17,Make decision,Make decision,2023-09-29 18:09:25,Manager-000005,
17,notify reject,notify reject,2023-09-29 18:27:15,Manager-000004,
17,time out,time out,2023-09-29 18:50:25,,
17,EVENT 13 END,EVENT 13 END,2023-09-29 18:50:35,,
18,Check for completeness,Check for completeness,2023-09-29 18:06:16,Clerk-000004,
18,New online application received,New online application received,2023-09-29 18:06:16,,
18,Make decision_signed1,Make decision_signed1,2023-09-29 18:06:16,Clerk-000004,collateral events(Make decision)
18,Perform checks,Perform checks,2023-09-29 18:13:12,Clerk-000005,
18,Make decision_signed1,Make decision_signed1,2023-09-29 18:13:13,Clerk-000005,collateral events(Make decision)
18,Make decision_signed2,Make decision_signed2,2023-09-29 18:13:13,Clerk-000005,collateral events(Make decision)
18,Make decision,Make decision,2023-09-29 18:20:12,Manager-000001,
18,Notify accept,Notify accept,2023-09-29 18:38:19,Manager-000005,
