Case,Timestamp,Activity,Activity_fixed,label,Resource
8,2023-09-29 13:59:58,Perform checks,Perform checks,,Clerk-000005
8,2023-09-29 13:59:58,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000005
8,2023-09-29 13:59:58,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000005
8,2023-09-29 14:00:04,Make decision,Make decision,,Manager-000005
8,2023-09-29 14:15:21,notify reject,notify reject,,Manager-000002
8,2023-09-29 14:15:21,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000002
8,2023-09-29 14:15:22,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000002
8,2023-09-29 14:19:47,review request received,review request received,,
8,2023-09-29 14:19:48,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
8,2023-09-29 14:19:48,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
8,2023-09-29 14:19:57,Check for completeness,Check for completeness,,Clerk-000006
8,2023-09-29 14:19:57,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000006
8,2023-09-29 14:19:57,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000006
8,2023-09-29 14:28:22,Perform checks,Perform checks,,Clerk-000003
8,2023-09-29 14:28:23,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000003
8,2023-09-29 14:28:23,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000003
8,2023-09-29 14:34:51,Make decision,Make decision,,Manager-000004
8,2023-09-29 14:36:15,Notify accept,Notify accept,,Manager-000005
8,2023-09-29 14:36:15,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000005
8,2023-09-29 14:36:15,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000005
8,2023-09-29 14:37:47,Deliver card,Deliver card,,Manager-000006
8,2023-09-29 14:37:47,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000006
8,2023-09-29 14:37:48,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000006
8,2023-09-29 14:52:19,EVENT 13 END,EVENT 13 END,,
8,2023-09-29 14:52:19,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
8,2023-09-29 14:52:20,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
9,2023-09-29 13:41:21,Check for completeness,Check for completeness,,Clerk-000001
9,2023-09-29 13:41:21,New online application received,New online application received,,
9,2023-09-29 14:01:14,Request info,Request info,,Manager-000006
9,2023-09-29 14:19:00,info received,info received,,
9,2023-09-29 14:19:10,Check for completeness,Check for completeness,,Clerk-000002
9,2023-09-29 14:27:41,Request info,Request info,,Manager-000001
9,2023-09-29 14:33:09,info received,info received,,
9,2023-09-29 14:33:19,Check for completeness,Check for completeness,,Clerk-000004
9,2023-09-29 15:08:59,Request info,Request info,,Manager-000003
9,2023-09-29 15:23:23,info received,info received,,
9,2023-09-29 15:23:33,Check for completeness,Check for completeness,,Clerk-000006
9,2023-09-29 15:33:37,Perform checks,Perform checks,,Clerk-000003
9,2023-09-29 15:34:38,Make decision,Make decision,,Manager-000006
9,2023-09-29 15:54:24,notify reject,notify reject,,Manager-000002
9,2023-09-29 16:12:43,time out,time out,,
9,2023-09-29 16:12:53,EVENT 13 END,EVENT 13 END,,
10,2023-09-29 14:47:37,Check for completeness,Check for completeness,,Clerk-000005
10,2023-09-29 14:47:37,New online application received,New online application received,,
10,2023-09-29 14:48:51,Request info,Request info,,Manager-000002
10,2023-09-29 14:54:01,info received,info received,,
10,2023-09-29 14:54:11,Check for completeness,Check for completeness,,Clerk-000001
10,2023-09-29 15:12:40,Perform checks,Perform checks,,Clerk-000002
10,2023-09-29 15:21:56,Make decision,Make decision,,Manager-000001
10,2023-09-29 15:22:31,Notify accept,Notify accept,,Manager-000004
10,2023-09-29 15:23:49,Deliver card,Deliver card,,Manager-000005
10,2023-09-29 15:36:59,EVENT 13 END,EVENT 13 END,,
11,2023-09-29 16:06:37,Check for completeness,Check for completeness,,Clerk-000005
11,2023-09-29 16:06:37,New online application received,New online application received,,
11,2023-09-29 16:11:54,Perform checks,Perform checks,,Clerk-000001
11,2023-09-29 16:25:06,Make decision,Make decision,,Manager-000001
11,2023-09-29 16:26:23,notify reject,notify reject,,Manager-000003
11,2023-09-29 16:29:27,time out,time out,,
11,2023-09-29 16:29:37,EVENT 13 END,EVENT 13 END,,
12,2023-09-29 16:07:28,Check for completeness,Check for completeness,,Clerk-000004
12,2023-09-29 16:07:28,New online application received,New online application received,,
12,2023-09-29 16:07:28,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000004
12,2023-09-29 16:28:15,Request info,Request info,,Manager-000005
12,2023-09-29 16:28:16,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000005
12,2023-09-29 16:28:16,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000005
12,2023-09-29 16:33:32,info received,info received,,
12,2023-09-29 16:33:32,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
12,2023-09-29 16:33:32,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
12,2023-09-29 16:33:42,Check for completeness,Check for completeness,,Clerk-000003
12,2023-09-29 16:33:42,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000003
12,2023-09-29 16:33:43,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000003
12,2023-09-29 16:36:40,Request info,Request info,,Manager-000002
12,2023-09-29 16:36:40,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000002
12,2023-09-29 16:36:40,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000002
12,2023-09-29 16:45:28,info received,info received,,
12,2023-09-29 16:45:28,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
12,2023-09-29 16:45:29,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
12,2023-09-29 16:45:38,Check for completeness,Check for completeness,,Clerk-000005
12,2023-09-29 16:45:38,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000005
12,2023-09-29 16:45:38,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000005
12,2023-09-29 17:02:39,Perform checks,Perform checks,,Clerk-000002
12,2023-09-29 17:02:40,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000002
12,2023-09-29 17:02:40,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000002
12,2023-09-29 17:13:16,Make decision,Make decision,,Manager-000003
12,2023-09-29 17:13:45,Notify accept,Notify accept,,Manager-000005
12,2023-09-29 17:13:45,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000005
12,2023-09-29 17:13:46,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000005
12,2023-09-29 17:46:09,Deliver card,Deliver card,,Manager-000004
12,2023-09-29 17:46:10,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000004
12,2023-09-29 17:46:11,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000004
12,2023-09-29 17:47:16,EVENT 13 END,EVENT 13 END,,
12,2023-09-29 17:47:17,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
12,2023-09-29 17:47:17,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
13,2023-09-29 16:14:30,Check for completeness,Check for completeness,,Clerk-000002
13,2023-09-29 16:14:30,New online application received,New online application received,,
13,2023-09-29 16:14:30,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000002
13,2023-09-29 16:27:34,Perform checks,Perform checks,,Clerk-000006
13,2023-09-29 16:27:34,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000006
13,2023-09-29 16:27:35,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000006
13,2023-09-29 16:28:03,Make decision,Make decision,,Manager-000004
13,2023-09-29 16:34:55,notify reject,notify reject,,Manager-000006
13,2023-09-29 16:34:56,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000006
13,2023-09-29 16:34:56,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000006
13,2023-09-29 16:46:57,review request received,review request received,,
13,2023-09-29 16:46:57,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
13,2023-09-29 16:46:57,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
13,2023-09-29 16:47:07,Check for completeness,Check for completeness,,Clerk-000001
13,2023-09-29 16:47:08,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000001
13,2023-09-29 16:47:08,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000001
13,2023-09-29 16:54:38,Perform checks,Perform checks,,Clerk-000004
13,2023-09-29 16:54:39,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000004
13,2023-09-29 16:54:39,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000004
13,2023-09-29 17:22:15,Make decision,Make decision,,Manager-000002
13,2023-09-29 17:51:15,notify reject,notify reject,,Manager-000006
13,2023-09-29 17:51:15,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000006
13,2023-09-29 17:51:16,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000006
13,2023-09-29 18:02:09,review request received,review request received,,
13,2023-09-29 18:02:10,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
13,2023-09-29 18:02:11,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
13,2023-09-29 18:02:19,Check for completeness,Check for completeness,,Clerk-000003
13,2023-09-29 18:02:20,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000003
13,2023-09-29 18:02:21,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000003
13,2023-09-29 18:09:51,Request info,Request info,,Manager-000004
13,2023-09-29 18:09:52,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000004
13,2023-09-29 18:09:53,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000004
13,2023-09-29 18:14:41,info received,info received,,
13,2023-09-29 18:14:42,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
13,2023-09-29 18:14:43,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
13,2023-09-29 18:14:51,Check for completeness,Check for completeness,,Clerk-000006
13,2023-09-29 18:14:51,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000006
13,2023-09-29 18:14:51,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000006
13,2023-09-29 18:26:33,Request info,Request info,,Manager-000003
13,2023-09-29 18:26:33,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000003
13,2023-09-29 18:26:34,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000003
13,2023-09-29 18:37:59,info received,info received,,
13,2023-09-29 18:38:00,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
13,2023-09-29 18:38:00,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
13,2023-09-29 18:38:09,Check for completeness,Check for completeness,,Clerk-000004
13,2023-09-29 18:38:10,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000004
13,2023-09-29 18:38:10,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000004
13,2023-09-29 19:01:11,Perform checks,Perform checks,,Clerk-000006
13,2023-09-29 19:01:12,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000006
13,2023-09-29 19:01:12,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000006
13,2023-09-29 19:08:51,Make decision,Make decision,,Manager-000001
13,2023-09-29 19:22:36,notify reject,notify reject,,Manager-000004
13,2023-09-29 19:22:37,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000004
13,2023-09-29 19:22:37,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000004
13,2023-09-29 19:35:39,review request received,review request received,,
13,2023-09-29 19:35:40,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
13,2023-09-29 19:35:41,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
13,2023-09-29 19:35:49,Check for completeness,Check for completeness,,Clerk-000003
13,2023-09-29 19:35:49,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000003
13,2023-09-29 19:35:49,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000003
13,2023-09-29 19:39:16,Request info,Request info,,Manager-000002
13,2023-09-29 19:39:16,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000002
13,2023-09-29 19:39:16,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000002
13,2023-09-29 20:04:20,info received,info received,,
13,2023-09-29 20:04:21,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
13,2023-09-29 20:04:22,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
13,2023-09-29 20:04:30,Check for completeness,Check for completeness,,Clerk-000002
13,2023-09-29 20:04:31,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000002
13,2023-09-29 20:04:32,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000002
13,2023-09-29 20:19:37,Request info,Request info,,Manager-000003
13,2023-09-29 20:19:38,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000003
13,2023-09-29 20:19:39,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000003
13,2023-09-29 20:28:28,info received,info received,,
13,2023-09-29 20:28:29,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
13,2023-09-29 20:28:29,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
13,2023-09-29 20:28:38,Check for completeness,Check for completeness,,Clerk-000006
13,2023-09-29 20:28:39,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000006
13,2023-09-29 20:28:39,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000006
13,2023-09-29 20:38:40,Perform checks,Perform checks,,Clerk-000004
13,2023-09-29 20:38:41,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000004
13,2023-09-29 20:38:41,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000004
13,2023-09-29 20:43:33,Make decision,Make decision,,Manager-000002
13,2023-09-29 20:53:08,notify reject,notify reject,,Manager-000005
13,2023-09-29 20:53:09,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000005
13,2023-09-29 20:53:10,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000005
13,2023-09-29 21:03:06,review request received,review request received,,
13,2023-09-29 21:03:06,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
13,2023-09-29 21:03:06,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
13,2023-09-29 21:03:16,Check for completeness,Check for completeness,,Clerk-000006
13,2023-09-29 21:03:16,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000006
13,2023-09-29 21:03:16,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000006
13,2023-09-29 21:20:39,Perform checks,Perform checks,,Clerk-000003
13,2023-09-29 21:20:39,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000003
13,2023-09-29 21:20:40,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000003
13,2023-09-29 21:22:46,Make decision,Make decision,,Manager-000003
13,2023-09-29 21:23:32,notify reject,notify reject,,Manager-000004
13,2023-09-29 21:23:33,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000004
13,2023-09-29 21:23:33,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000004
13,2023-09-29 21:33:15,time out,time out,,
13,2023-09-29 21:33:16,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
13,2023-09-29 21:33:16,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
13,2023-09-29 21:33:25,EVENT 13 END,EVENT 13 END,,
13,2023-09-29 21:33:26,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
13,2023-09-29 21:33:27,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
14,2023-09-29 16:51:09,Check for completeness,Check for completeness,,Clerk-000002
14,2023-09-29 16:51:09,New online application received,New online application received,,
14,2023-09-29 16:54:07,Perform checks,Perform checks,,Clerk-000006
14,2023-09-29 17:08:43,Make decision,Make decision,,Manager-000001
14,2023-09-29 17:40:01,notify reject,notify reject,,Manager-000003
14,2023-09-29 18:03:59,time out,time out,,
14,2023-09-29 18:04:09,EVENT 13 END,EVENT 13 END,,
15,2023-09-29 16:58:01,Check for completeness,Check for completeness,,Clerk-000003
15,2023-09-29 16:58:01,New online application received,New online application received,,
15,2023-09-29 16:58:02,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
15,2023-09-29 17:14:52,Perform checks,Perform checks,,Clerk-000001
15,2023-09-29 17:14:53,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000001
15,2023-09-29 17:14:54,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000001
15,2023-09-29 17:22:07,Make decision,Make decision,,Manager-000004
15,2023-09-29 17:32:32,notify reject,notify reject,,Manager-000006
15,2023-09-29 17:32:32,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000006
15,2023-09-29 17:32:33,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000006
15,2023-09-29 17:39:23,time out,time out,,
15,2023-09-29 17:39:23,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
15,2023-09-29 17:39:24,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
15,2023-09-29 17:39:33,EVENT 13 END,EVENT 13 END,,
15,2023-09-29 17:39:34,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
15,2023-09-29 17:39:34,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
16,2023-09-29 17:45:26,Check for completeness,Check for completeness,,Clerk-000005
16,2023-09-29 17:45:26,New online application received,New online application received,,
16,2023-09-29 17:53:49,Request info,Request info,,Manager-000001
16,2023-09-29 17:58:04,info received,info received,,
16,2023-09-29 17:58:14,Check for completeness,Check for completeness,,Clerk-000002
16,2023-09-29 18:17:55,Request info,Request info,,Manager-000002
16,2023-09-29 18:38:16,info received,info received,,
16,2023-09-29 18:38:26,Check for completeness,Check for completeness,,Clerk-000002
16,2023-09-29 18:40:28,Perform checks,Perform checks,,Clerk-000005
16,2023-09-29 18:41:20,Make decision,Make decision,,Manager-000003
16,2023-09-29 18:49:29,Notify accept,Notify accept,,Manager-000002
16,2023-09-29 19:25:53,Deliver card,Deliver card,,Manager-000005
16,2023-09-29 19:31:06,EVENT 13 END,EVENT 13 END,,
17,2023-09-29 17:57:31,Check for completeness,Check for completeness,,Clerk-000006
17,2023-09-29 17:57:31,New online application received,New online application received,,
17,2023-09-29 18:05:01,Perform checks,Perform checks,,Clerk-000001
17,2023-09-29 18:09:25,Make decision,Make decision,,Manager-000005
17,2023-09-29 18:27:15,notify reject,notify reject,,Manager-000004
17,2023-09-29 18:50:25,time out,time out,,
17,2023-09-29 18:50:35,EVENT 13 END,EVENT 13 END,,
18,2023-09-29 18:06:16,Check for completeness,Check for completeness,,Clerk-000004
18,2023-09-29 18:06:16,New online application received,New online application received,,
18,2023-09-29 18:06:16,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000004
18,2023-09-29 18:13:12,Perform checks,Perform checks,,Clerk-000005
18,2023-09-29 18:13:13,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000005
18,2023-09-29 18:13:13,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000005
18,2023-09-29 18:20:12,Make decision,Make decision,,Manager-000001
18,2023-09-29 18:38:19,Notify accept,Notify accept,,Manager-000005
18,2023-09-29 18:38:19,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000005
18,2023-09-29 18:38:20,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000005
18,2023-09-29 18:39:58,Deliver card,Deliver card,,Manager-000006
