Case,Timestamp,Activity,Resource,label,Activity_fixed
13,2023-09-29 19:08:51,Make decision,Manager-000001,,Make decision
13,2023-09-29 19:22:36,notify reject,Manager-000004,,notify reject
13,2023-09-29 19:22:37,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
13,2023-09-29 19:35:39,review request received,,,review request received
13,2023-09-29 19:35:40,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
13,2023-09-29 19:35:49,Check for completeness,Clerk-000003,,Check for completeness
13,2023-09-29 19:35:49,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
13,2023-09-29 19:39:16,Request info,Manager-000002,,Request info
13,2023-09-29 19:39:16,Make decision_signed1,Manager-000002,collateral events(Make decision),Make decision_signed1
13,2023-09-29 20:04:20,info received,,,info received
13,2023-09-29 20:04:21,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
13,2023-09-29 20:04:30,Check for completeness,Clerk-000002,,Check for completeness
13,2023-09-29 20:04:31,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
13,2023-09-29 20:19:37,Request info,Manager-000003,,Request info
13,2023-09-29 20:19:38,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
13,2023-09-29 20:28:28,info received,,,info received
13,2023-09-29 20:28:29,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
13,2023-09-29 20:28:38,Check for completeness,Clerk-000006,,Check for completeness
13,2023-09-29 20:28:39,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
13,2023-09-29 20:38:40,Perform checks,Clerk-000004,,Perform checks
13,2023-09-29 20:38:41,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
13,2023-09-29 20:43:33,Make decision,Manager-000002,,Make decision
13,2023-09-29 20:53:08,notify reject,Manager-000005,,notify reject
13,2023-09-29 20:53:09,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
13,2023-09-29 21:03:06,review request received,,,review request received
13,2023-09-29 21:03:06,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
13,2023-09-29 21:03:16,Check for completeness,Clerk-000006,,Check for completeness
13,2023-09-29 21:03:16,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
13,2023-09-29 21:20:39,Perform checks,Clerk-000003,,Perform checks
13,2023-09-29 21:20:39,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
13,2023-09-29 21:22:46,Make decision,Manager-000003,,Make decision
13,2023-09-29 21:23:32,notify reject,Manager-000004,,notify reject
13,2023-09-29 21:23:33,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
13,2023-09-29 21:33:15,time out,,,time out
13,2023-09-29 21:33:16,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
13,2023-09-29 21:33:25,EVENT 13 END,,,EVENT 13 END
13,2023-09-29 21:33:26,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
14,2023-09-29 16:51:09,Check for completeness,Clerk-000002,,Check for completeness
14,2023-09-29 16:51:09,New online application received,,,New online application received
14,2023-09-29 16:54:07,Perform checks,Clerk-000006,,Perform checks
14,2023-09-29 17:08:43,Make decision,Manager-000001,,Make decision
14,2023-09-29 17:40:01,notify reject,Manager-000003,,notify reject
14,2023-09-29 18:03:59,time out,,,time out
14,2023-09-29 18:04:09,EVENT 13 END,,,EVENT 13 END
15,2023-09-29 16:58:01,Check for completeness,Clerk-000003,,Check for completeness
15,2023-09-29 16:58:01,New online application received,,,New online application received
15,2023-09-29 16:58:02,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
15,2023-09-29 17:14:52,Perform checks,Clerk-000001,,Perform checks
15,2023-09-29 17:14:53,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
15,2023-09-29 17:22:07,Make decision,Manager-000004,,Make decision
15,2023-09-29 17:32:32,notify reject,Manager-000006,,notify reject
15,2023-09-29 17:32:32,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
15,2023-09-29 17:39:23,time out,,,time out
15,2023-09-29 17:39:23,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
15,2023-09-29 17:39:33,EVENT 13 END,,,EVENT 13 END
15,2023-09-29 17:39:34,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
16,2023-09-29 17:45:26,Check for completeness,Clerk-000005,,Check for completeness
16,2023-09-29 17:45:26,New online application received,,,New online application received
16,2023-09-29 17:53:49,Request info,Manager-000001,,Request info
16,2023-09-29 17:58:04,info received,,,info received
16,2023-09-29 17:58:14,Check for completeness,Clerk-000002,,Check for completeness
16,2023-09-29 18:17:55,Request info,Manager-000002,,Request info
16,2023-09-29 18:38:16,info received,,,info received
16,2023-09-29 18:38:26,Check for completeness,Clerk-000002,,Check for completeness
16,2023-09-29 18:40:28,Perform checks,Clerk-000005,,Perform checks
16,2023-09-29 18:41:20,Make decision,Manager-000003,,Make decision
16,2023-09-29 18:49:29,Notify accept,Manager-000002,,Notify accept
16,2023-09-29 19:25:53,Deliver card,Manager-000005,,Deliver card
16,2023-09-29 19:31:06,EVENT 13 END,,,EVENT 13 END
17,2023-09-29 17:57:31,Check for completeness,Clerk-000006,,Check for completeness
17,2023-09-29 17:57:31,New online application received,,,New online application received
17,2023-09-29 18:05:01,Perform checks,Clerk-000001,,Perform checks
17,2023-09-29 18:09:25,Make decision,Manager-000005,,Make decision
17,2023-09-29 18:27:15,notify reject,Manager-000004,,notify reject
17,2023-09-29 18:50:25,time out,,,time out
17,2023-09-29 18:50:35,EVENT 13 END,,,EVENT 13 END
18,2023-09-29 18:06:16,Check for completeness,Clerk-000004,,Check for completeness
18,2023-09-29 18:06:16,New online application received,,,New online application received
18,2023-09-29 18:06:16,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
18,2023-09-29 18:13:12,Perform checks,Clerk-000005,,Perform checks
18,2023-09-29 18:13:13,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
18,2023-09-29 18:20:12,Make decision,Manager-000001,,Make decision
18,2023-09-29 18:38:19,Notify accept,Manager-000005,,Notify accept
18,2023-09-29 18:38:19,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
18,2023-09-29 18:39:58,Deliver card,Manager-000006,,Deliver card
18,2023-09-29 18:39:58,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
18,2023-09-29 18:51:28,EVENT 13 END,,,EVENT 13 END
18,2023-09-29 18:51:29,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
19,2023-09-29 18:18:58,Check for completeness,Clerk-000001,,Check for completeness
19,2023-09-29 18:18:58,New online application received,,,New online application received
19,2023-09-29 18:18:58,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
19,2023-09-29 18:22:09,Request info,Manager-000006,,Request info
19,2023-09-29 18:22:10,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
19,2023-09-29 18:32:28,info received,,,info received
19,2023-09-29 18:32:29,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
19,2023-09-29 18:32:38,Check for completeness,Clerk-000003,,Check for completeness
19,2023-09-29 18:32:39,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
19,2023-09-29 18:48:41,Perform checks,Clerk-000001,,Perform checks
19,2023-09-29 18:48:42,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
19,2023-09-29 19:12:46,Make decision,Manager-000005,,Make decision
19,2023-09-29 19:12:59,notify reject,Manager-000003,,notify reject
19,2023-09-29 19:12:59,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
19,2023-09-29 19:40:21,review request received,,,review request received
19,2023-09-29 19:40:21,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
19,2023-09-29 19:40:31,Check for completeness,Clerk-000004,,Check for completeness
19,2023-09-29 19:40:31,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
19,2023-09-29 19:49:07,Request info,Manager-000005,,Request info
19,2023-09-29 19:49:07,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
19,2023-09-29 20:26:19,info received,,,info received
19,2023-09-29 20:26:19,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
19,2023-09-29 20:26:29,Check for completeness,Clerk-000003,,Check for completeness
19,2023-09-29 20:26:30,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
19,2023-09-29 20:49:15,Perform checks,Clerk-000005,,Perform checks
19,2023-09-29 20:49:16,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
19,2023-09-29 20:56:51,Make decision,Manager-000003,,Make decision
19,2023-09-29 20:57:54,Notify accept,Manager-000004,,Notify accept
19,2023-09-29 20:57:54,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
19,2023-09-29 20:59:45,Deliver card,Manager-000001,,Deliver card
19,2023-09-29 20:59:46,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
19,2023-09-29 21:07:11,EVENT 13 END,,,EVENT 13 END
19,2023-09-29 21:07:11,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
20,2023-09-29 19:19:25,Check for completeness,Clerk-000002,,Check for completeness
20,2023-09-29 19:19:25,New online application received,,,New online application received
20,2023-09-29 19:23:40,Request info,Manager-000006,,Request info
20,2023-09-29 19:27:24,info received,,,info received
20,2023-09-29 19:27:34,Check for completeness,Clerk-000005,,Check for completeness
20,2023-09-29 19:39:11,Request info,Manager-000001,,Request info
20,2023-09-29 19:45:50,info received,,,info received
20,2023-09-29 19:46:00,Check for completeness,Clerk-000006,,Check for completeness
20,2023-09-29 19:46:31,Request info,Manager-000006,,Request info
20,2023-09-29 19:48:39,info received,,,info received
20,2023-09-29 19:48:49,Check for completeness,Clerk-000001,,Check for completeness
20,2023-09-29 20:11:57,Perform checks,Clerk-000005,,Perform checks
20,2023-09-29 20:13:50,Make decision,Manager-000004,,Make decision
20,2023-09-29 20:41:11,Notify accept,Manager-000001,,Notify accept
20,2023-09-29 20:41:45,Deliver card,Manager-000006,,Deliver card
20,2023-09-29 20:41:54,EVENT 13 END,,,EVENT 13 END
21,2023-09-29 20:41:51,Check for completeness,Clerk-000001,,Check for completeness
21,2023-09-29 20:41:51,New online application received,,,New online application received
21,2023-09-29 20:41:51,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
21,2023-09-29 21:00:54,Perform checks,Clerk-000002,,Perform checks
21,2023-09-29 21:00:54,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
21,2023-09-29 21:06:42,Make decision,Manager-000006,,Make decision
21,2023-09-29 21:07:22,notify reject,Manager-000002,,notify reject
21,2023-09-29 21:07:23,Make decision_signed1,Manager-000002,collateral events(Make decision),Make decision_signed1
21,2023-09-29 21:42:51,review request received,,,review request received
21,2023-09-29 21:42:52,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
21,2023-09-29 21:43:01,Check for completeness,Clerk-000005,,Check for completeness
21,2023-09-29 21:43:02,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
21,2023-09-29 21:51:47,Request info,Manager-000005,,Request info
21,2023-09-29 21:51:48,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
21,2023-09-29 21:52:47,info received,,,info received
21,2023-09-29 21:52:47,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
21,2023-09-29 21:52:57,Check for completeness,Clerk-000001,,Check for completeness
21,2023-09-29 21:52:58,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
21,2023-09-29 21:56:52,Request info,Manager-000001,,Request info
21,2023-09-29 21:56:52,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
21,2023-09-29 22:13:45,info received,,,info received
21,2023-09-29 22:13:46,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
21,2023-09-29 22:13:55,Check for completeness,Clerk-000006,,Check for completeness
21,2023-09-29 22:13:56,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
21,2023-09-29 22:15:28,Perform checks,Clerk-000003,,Perform checks
21,2023-09-29 22:15:28,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
21,2023-09-29 22:17:11,Make decision,Manager-000004,,Make decision
21,2023-09-29 22:18:43,notify reject,Manager-000002,,notify reject
21,2023-09-29 22:18:43,Make decision_signed1,Manager-000002,collateral events(Make decision),Make decision_signed1
21,2023-09-29 22:23:17,time out,,,time out
21,2023-09-29 22:23:18,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
21,2023-09-29 22:23:27,EVENT 13 END,,,EVENT 13 END
21,2023-09-29 22:23:27,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
22,2023-09-29 21:09:37,Check for completeness,Clerk-000004,,Check for completeness
22,2023-09-29 21:09:37,New online application received,,,New online application received
22,2023-09-29 21:59:31,Request info,Manager-000006,,Request info
22,2023-09-29 22:05:00,info received,,,info received
22,2023-09-29 22:05:10,Check for completeness,Clerk-000002,,Check for completeness
22,2023-09-29 22:06:20,Request info,Manager-000003,,Request info
22,2023-09-29 22:56:49,info received,,,info received
