Case,Activity,Timestamp,Resource,Event,label,original_activity,isdistorted,BaseActivity,ProcessedActivity,canonical_activity,is_distorted,Activity_fixed
3130787,enter senddate procedure confitmation,2011-02-22 08:00:17,560881,12562,distorted label(Proximity),enter senddate procedure confitmation,0,enter senddate procedure confitmation,enter senddate procedure confitmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
3130787,regDister deadline,2011-05-09 07:00:01,560464,12607,distorted label(Insert),regDister deadline,0,regDister deadlin,regdister deadlin,register deadlin,1,register deadlin
3151204,enter senddate cknowledgement,2011-02-14 08:00:15,560912,12815,distorted label(Skip),enter senddate cknowledgement,0,enter senddate cknowledgemen,enter senddate cknowledgemen,enter senddate acknowledgemen,1,enter senddate acknowledgemen
3151204,Enter senddate procedure confirmation,2011-03-16 08:00:15,560881,12822,distorted label(UpLow),Enter senddate procedure confirmation,0,Enter senddate procedure confirmation,enter senddate procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
3197502,enter date publication decision environmmental permit,2011-04-06 07:00:06,560890,13413,distorted label(Insert),enter date publication decision environmmental permit,0,enter date publication decision environmmental perm,enter date publication decision environmmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
3207862,enter senddate procedure confirmstion,2011-04-13 07:00:10,2670601,13519,distorted label(Proximity),enter senddate procedure confirmstion,0,enter senddate procedure confirmstion,enter senddate procedure confirmstion,enter senddate procedure confirmation,1,enter senddate procedure confirmation
3225456,register submission dater equest,2011-02-18 08:00:04,560872,13635,distorted label(Interchange),register submission dater equest,0,register submission dater equ,register submission dater equ,register submission date requ,1,register submission date requ
3232189,Register date decision terminate on request,2012-03-28 07:00:01,560894,13689,distorted label(UpLow),Register date decision terminate on request,0,Register date decision terminate on requ,register date decision terminate on requ,register date decision terminate on requ,1,register date decision terminate on requ
3256221,read field phased app/ication,2013-11-25 08:00:05,560462,13887,distorted label(Proximity),read field phased app/ication,0,read field phased app/ication,read field phased appication,read field phased application,1,read field phased application
3262171,enter senddate decision procedure term exFtension,2011-05-03 07:00:07,3273854,13991,distorted label(Insert),enter senddate decision procedure term exFtension,0,enter senddate decision procedure term exFtension,enter senddate decision procedure term exftension,enter senddate decision procedure term extension,1,enter senddate decision procedure term extension
3265011,suspension ground applicablse,2011-03-30 18:37:13,3273854,14084,distorted label(Insert),suspension ground applicablse,0,suspension ground applicabl,suspension ground applicabl,suspension ground applicabl,0,suspension ground applicabl
3265011,enter date publicationd ecision environmental permit,2011-04-13 07:00:13,560890,14092,distorted label(Interchange),enter date publicationd ecision environmental permit,0,enter date publicationd ecision environmental perm,enter date publicationd ecision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
3292122,rqeuest complete,2011-04-19 23:01:19,560890,14320,distorted label(Interchange),rqeuest complete,0,rqeuest compl,rqeuest compl,request compl,1,request compl
3330161,enter senddate procedure confirmoation,2011-04-22 07:00:01,3273854,14861,distorted label(Insert),enter senddate procedure confirmoation,0,enter senddate procedure confirmoation,enter senddate procedure confirmoation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
3356696,enter senddate acknow/edgement,2011-04-21 07:00:14,560872,15034,distorted label(Proximity),enter senddate acknow/edgement,0,enter senddate acknow/edgemen,enter senddate acknowedgemen,enter senddate acknowledgemen,1,enter senddate acknowledgemen
3407887,bg law,2011-05-23 15:20:32,3273854,15696,distorted label(Proximity),bg law,0,bg law,bg law,bg law,0,bg law
3438592,register submbission date request,2011-05-11 07:00:05,560872,15941,distorted label(Insert),register submbission date request,0,register submbission date requ,register submbission date requ,register submission date requ,1,register submission date requ
3456494,enter senddate acknowledgemnt,2011-05-26 07:00:07,560872,16371,distorted label(Skip),enter senddate acknowledgemnt,0,enter senddate acknowledgemn,enter senddate acknowledgemn,enter senddate acknowledgemen,1,enter senddate acknowledgemen
3458528,enter senddatae decision environmental permit,2011-06-21 07:00:12,560890,16508,distorted label(Insert),enter senddatae decision environmental permit,0,enter senddatae decision environmental perm,enter senddatae decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
3459618,By law,2011-06-06 16:57:48,3273854,16572,distorted label(UpLow),By law,0,By law,by law,by law,1,by law
3460499,Register submission date request,2011-05-23 07:00:06,560872,16580,distorted label(UpLow),Register submission date request,0,Register submission date requ,register submission date requ,register submission date requ,1,register submission date requ
3460499,Suspension ground applicable,2011-06-24 16:27:12,3273854,16611,distorted label(UpLow),Suspension ground applicable,0,Suspension ground applicabl,suspension ground applicabl,suspension ground applicabl,1,suspension ground applicabl
3537750,genrate publication document decision environmental permit,2011-08-04 21:01:02,2670601,17559,distorted label(Skip),genrate publication document decision environmental permit,0,genrate publication document decision environmental perm,genrate publication document decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
3598533,no pHermit needed or only notification needed,2011-07-29 18:53:38,2670601,17944,distorted label(Insert),no pHermit needed or only notification needed,0,no pHermit needed or only notification n,no phermit needed or only notification n,no permit needed or only notification n,1,no permit needed or only notification n
3601105,send procecure confirmation,2011-07-08 16:58:07,560872,18008,distorted label(Proximity),send procecure confirmation,0,send procecure confirmation,send procecure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
3604677,creating environmental permit deciRsion,2012-03-20 18:38:31,3273854,18065,distorted label(Insert),creating environmental permit deciRsion,0,creating environmental permit deciRsion,creating environmental permit decirsion,enter senddate decision environmental perm,1,enter senddate decision environmental perm
3622039,completed Nsubcases content,2011-08-26 22:55:13,3273854,18449,distorted label(Insert),completed Nsubcases content,0,completed Nsubcases conten,completed nsubcases conten,treat subcases conten,1,treat subcases conten
3642802,pmhase application received,2011-10-28 23:15:20,560462,18688,distorted label(Insert),pmhase application received,0,pmhase application receiv,pmhase application receiv,phase application receiv,1,phase application receiv
3693886,send confirmation recei;t,2011-09-15 22:53:08,2670601,19225,distorted label(Proximity),send confirmation recei;t,0,send confirmation recei;,send confirmation recei,send confirmation receip,1,send confirmation receip
3693886,send letter in progresws,2011-09-29 22:04:00,3273854,19238,distorted label(Insert),send letter in progresws,0,send letter in progresw,send letter in progresw,send letter in prog,1,send letter in prog
3748812,enter senddzate procedure confirmation,2011-08-19 07:00:02,560872,20167,distorted label(Insert),enter senddzate procedure confirmation,0,enter senddzate procedure confirmation,enter senddzate procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
3748812,groudns for refusal,2011-09-12 18:43:18,3273854,20186,distorted label(Interchange),groudns for refusal,0,groudns for refusal,groudns for refusal,grounds for refusal,1,grounds for refusal
3755625,creating environmental permitd ecision,2011-08-29 17:53:23,560872,20365,distorted label(Interchange),creating environmental permitd ecision,0,creating environmental permitd ecision,creating environmental permitd ecision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
3833062,sehd confirmation receipt,2011-09-20 00:02:19,3273854,20635,distorted label(Proximity),sehd confirmation receipt,0,sehd confirmation receip,sehd confirmation receip,send confirmation receip,1,send confirmation receip
3833062,Transcript decision environmental permit to stakeholders,2011-10-28 15:42:51,560890,20670,distorted label(UpLow),Transcript decision environmental permit to stakeholders,0,Transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,1,transcript decision environmental permit to stakehol
3833827,creatin genvironmental permit decision,2011-11-04 00:59:58,2670601,20716,distorted label(Interchange),creatin genvironmental permit decision,0,creatin genvironmental permit decision,creatin genvironmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
3837125,assessment of cohtent completed,2011-09-13 20:22:43,3273854,20764,distorted label(Proximity),assessment of cohtent completed,0,assessment of cohtent compl,assessment of cohtent compl,assessment of content compl,1,assessment of content compl
3852444,creating environmental prmit decision,2011-10-04 20:15:44,3273854,21016,distorted label(Skip),creating environmental prmit decision,0,creating environmental prmit decision,creating environmental prmit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
3853149,registBration date publication,2011-09-28 07:00:08,560872,21037,distorted label(Insert),registBration date publication,0,registBration date publication,registbration date publication,registration date publication,1,registration date publication
3853149,phase advice .nown,2011-10-13 21:56:14,3273854,21053,distorted label(Proximity),phase advice .nown,0,phase advice .nown,phase advice nown,phase advice known,1,phase advice known
3930617,Register submission date request,2011-10-04 07:00:08,560872,21658,distorted label(UpLow),Register submission date request,0,Register submission date requ,register submission date requ,register submission date requ,1,register submission date requ
3944991,phase advice nkown,2011-10-24 17:56:26,3273854,21851,distorted label(Interchange),phase advice nkown,0,phase advice nkown,phase advice nkown,phase advice known,1,phase advice known
4024862,regular procedure ithout MER,2011-10-31 17:51:37,560872,22578,distorted label(Skip),regular procedure ithout MER,0,regular procedure ithout MER,regular procedure ithout mer,regular procedure without MER,1,regular procedure without MER
4242727,enter senddate deciison procedure term extension,2012-02-01 08:00:06,2670601,24057,distorted label(Interchange),enter senddate deciison procedure term extension,0,enter senddate deciison procedure term extension,enter senddate deciison procedure term extension,enter senddate decision procedure term extension,1,enter senddate decision procedure term extension
4336128,register submisison date request,2011-12-23 08:00:09,560872,24798,distorted label(Interchange),register submisison date request,0,register submisison date requ,register submisison date requ,register submission date requ,1,register submission date requ
4495310,register submiGssion date request,2012-01-16 08:00:01,560925,25480,distorted label(Insert),register submiGssion date request,0,register submiGssion date requ,register submigssion date requ,register submission date requ,1,register submission date requ
4495310,Grounds for refusal,2012-01-30 23:22:32,3273854,25505,distorted label(UpLow),Grounds for refusal,0,Grounds for refusal,grounds for refusal,grounds for refusal,1,grounds for refusal
4499247,send procedure ocnfirmation,2012-01-20 16:32:37,560872,25527,distorted label(Interchange),send procedure ocnfirmation,0,send procedure ocnfirmation,send procedure ocnfirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
4557918,Enter senddate decision environmental permit,2012-03-22 08:00:01,560890,25923,distorted label(UpLow),Enter senddate decision environmental permit,0,Enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
4565008,term for submiting updated plan,2013-08-29 07:00:12,560950,26089,distorted label(Skip),term for submiting updated plan,0,term for submiting updated plan,term for submiting updated plan,term for submitting updated plan,1,term for submitting updated plan
4589612,Send letter in progress,2012-03-23 19:30:37,2670601,26365,distorted label(UpLow),Send letter in progress,0,Send letter in prog,send letter in prog,send letter in prog,1,send letter in prog
4604206,phase application rexeived,2012-02-09 23:57:32,560872,26649,distorted label(Proximity),phase application rexeived,0,phase application rexeiv,phase application rexeiv,phase application receiv,1,phase application receiv
4604206,enter esnddate procedure confirmation,2012-02-10 08:00:05,560872,26657,distorted label(Interchange),enter esnddate procedure confirmation,0,enter esnddate procedure confirmation,enter esnddate procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
4640117,register submission ate request,2012-02-13 08:00:08,560872,27181,distorted label(Skip),register submission ate request,0,register submission ate requ,register submission ate requ,register submission date requ,1,register submission date requ
4772933,Send confirmation receipt,2012-03-22 19:40:51,560872,28081,distorted label(UpLow),Send confirmation receipt,0,Send confirmation receip,send confirmation receip,send confirmation receip,1,send confirmation receip
4775758,request coplete,2012-04-17 20:51:36,2670601,28163,distorted label(Skip),request coplete,0,request copl,request copl,request compl,1,request compl
4775758,reating environmental permit decision,2012-04-17 20:51:48,2670601,28176,distorted label(Skip),reating environmental permit decision,0,reating environmental permit decision,reating environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
4809047,procedure chnge,2012-04-18 22:51:05,2670601,28375,distorted label(Skip),procedure chnge,0,procedure chng,procedure chng,procedure chang,1,procedure chang
4811268,send letter in progess,2013-08-26 07:00:15,560890,28417,distorted label(Skip),send letter in progess,0,send letter in prog,send letter in prog,send letter in prog,0,send letter in prog
4821209,creatign environmental permit decision,2012-03-30 19:48:27,560872,28651,distorted label(Interchange),creatign environmental permit decision,0,creatign environmental permit decision,creatign environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
4833387,send proecdure confirmation,2012-04-03 17:05:58,560912,28834,distorted label(Interchange),send proecdure confirmation,0,send proecdure confirmation,send proecdure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
4863262,send confirmation rrceipt,2012-04-12 16:46:51,560872,28926,distorted label(Proximity),send confirmation rrceipt,0,send confirmation rrceip,send confirmation rrceip,send confirmation receip,1,send confirmation receip
4958200,phaseR application received,2012-05-03 18:00:34,560872,29514,distorted label(Insert),phaseR application received,0,phaseR application receiv,phaser application receiv,phase application receiv,1,phase application receiv
4958200,assessment of ontent completed,2012-09-04 21:08:47,3273854,29545,distorted label(Skip),assessment of ontent completed,0,assessment of ontent compl,assessment of ontent compl,assessment of content compl,1,assessment of content compl
4963153,assessment of content competed,2012-05-31 19:03:32,3273854,29687,distorted label(Skip),assessment of content competed,0,assessment of content comp,assessment of content comp,assessment of content compl,1,assessment of content compl
5019310,start WABOprocedpure,2012-05-14 19:49:33,560912,29860,distorted label(Insert),start WABOprocedpure,0,start WABOprocedpu,start waboprocedpu,start WABOprocedu,1,start WABOprocedu
5019310,Creating environmental permit decision,2012-06-07 23:31:25,3273854,29885,distorted label(UpLow),Creating environmental permit decision,0,Creating environmental permit decision,creating environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
5028918,Send confirmation receipt,2012-05-15 20:53:07,560912,30059,distorted label(UpLow),Send confirmation receipt,0,Send confirmation receip,send confirmation receip,send confirmation receip,1,send confirmation receip
5051625,send confirmation eceipt,2012-05-22 21:19:11,560925,30338,distorted label(Skip),send confirmation eceipt,0,send confirmation eceip,send confirmation eceip,send confirmation receip,1,send confirmation receip
5069099,start WAHOprocedure,2012-07-11 22:35:40,2670601,30519,distorted label(Proximity),start WAHOprocedure,0,start WAHOprocedu,start wahoprocedu,start WABOprocedu,1,start WABOprocedu
5069099,date draft decision f;r inspection,2013-03-07 08:00:01,560890,30545,distorted label(Proximity),date draft decision f;r inspection,0,date draft decision f;r inspection,date draft decision fr inspection,date decision for inspection,1,date decision for inspection
5069099,Register date environmental permit decision,2013-04-22 16:02:50,560890,30550,distorted label(UpLow),Register date environmental permit decision,0,Register date environmental permit decision,register date environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
5073249,regulark procedure without MER,2012-05-25 20:21:28,560872,30569,distorted label(Insert),regulark procedure without MER,0,regulark procedure without MER,regulark procedure without mer,regular procedure without MER,1,regular procedure without MER
5105222,Phase application received,2012-06-04 21:15:50,560912,30864,distorted label(UpLow),Phase application received,0,Phase application receiv,phase application receiv,phase application receiv,1,phase application receiv
5220444,enter senddate procedure c;nfirmation,2012-06-26 07:00:07,560872,31827,distorted label(Proximity),enter senddate procedure c;nfirmation,0,enter senddate procedure c;nfirmation,enter senddate procedure cnfirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
5220444,Completed subcases content,2012-07-23 22:34:57,3273854,31836,distorted label(UpLow),Completed subcases content,0,Completed subcases conten,completed subcases conten,treat subcases conten,1,treat subcases conten
5288872,start WABOpocedure,2012-07-12 16:43:36,560872,32419,distorted label(Skip),start WABOpocedure,0,start WABOpocedu,start wabopocedu,start WABOprocedu,1,start WABOprocedu
5288872,send decision swuspension,2013-05-06 07:00:40,3273854,32465,distorted label(Insert),send decision swuspension,0,send decision swuspension,send decision swuspension,phase decision sen,1,phase decision sen
5288872,generatin decision environmental permit,2013-05-13 07:00:04,560890,32474,distorted label(Skip),generatin decision environmental permit,0,generatin decision environmental perm,generatin decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
5327966,completed subcases contnet,2012-09-17 18:15:45,3273854,33123,distorted label(Interchange),completed subcases contnet,0,completed subcases contn,completed subcases contn,treat subcases conten,1,treat subcases conten
5367672,objection to permabent suspension received,2012-10-01 17:07:52,3273854,33349,distorted label(Proximity),objection to permabent suspension received,0,objection to permabent suspension receiv,objection to permabent suspension receiv,objection to permanent suspension receiv,1,objection to permanent suspension receiv
5736755,transcript decision environmental prrmit to stakeholders,2012-10-19 15:17:01,560890,33587,distorted label(Proximity),transcript decision environmental prrmit to stakeholders,0,transcript decision environmental prrmit to stakehol,transcript decision environmental prrmit to stakehol,transcript decision environmental permit to stakehol,1,transcript decision environmental permit to stakehol
5790328,register submission date Nrequest,2012-08-30 07:00:04,560925,33816,distorted label(Insert),register submission date Nrequest,0,register submission date Nrequ,register submission date nrequ,register submission date requ,1,register submission date requ
5792647,send procedure cohfirmation,2012-09-04 21:39:32,560912,33899,distorted label(Proximity),send procedure cohfirmation,0,send procedure cohfirmation,send procedure cohfirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
5805909,enter senddate decision envronmental permit,2012-10-02 22:14:45,560890,34006,distorted label(Skip),enter senddate decision envronmental permit,0,enter senddate decision envronmental perm,enter senddate decision envronmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
5805909,Date decision for inspection,2012-10-11 07:00:02,560890,34009,distorted label(UpLow),Date decision for inspection,0,Date decision for inspection,date decision for inspection,date decision for inspection,1,date decision for inspection
5808114,phase zpplication received,2012-09-06 19:23:55,560872,34012,distorted label(Proximity),phase zpplication received,0,phase zpplication receiv,phase zpplication receiv,phase application receiv,1,phase application receiv
5808114,regular procedure without EMR,2012-09-06 19:26:00,560872,34017,distorted label(Interchange),regular procedure without EMR,0,regular procedure without EMR,regular procedure without emr,regular procedure without MER,1,regular procedure without MER
5808114,Phase decision taken,2012-12-10 17:53:04,560890,34058,distorted label(UpLow),Phase decision taken,0,Phase decision taken,phase decision taken,phase decision sen,1,phase decision sen
5910758,regular procedure withou MER,2012-10-01 16:18:44,560872,34845,distorted label(Skip),regular procedure withou MER,0,regular procedure withou MER,regular procedure withou mer,regular procedure without MER,1,regular procedure without MER
5910758,Request complete,2012-11-12 20:18:39,2670601,34853,distorted label(UpLow),Request complete,0,Request compl,request compl,request compl,1,request compl
5912784,send confirmatiob receipt,2012-10-01 16:48:49,560872,34886,distorted label(Proximity),send confirmatiob receipt,0,send confirmatiob receip,send confirmatiob receip,send confirmation receip,1,send confirmation receip
5912784,Send procedure confirmation,2012-10-01 16:50:51,560872,34892,distorted label(UpLow),Send procedure confirmation,0,Send procedure confirmation,send procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
5956048,send confirmahion receipt,2012-10-11 20:08:22,560872,35191,distorted label(Proximity),send confirmahion receipt,0,send confirmahion receip,send confirmahion receip,send confirmation receip,1,send confirmation receip
5956048,regjlar procedure without MER,2012-10-11 20:12:48,560872,35195,distorted label(Proximity),regjlar procedure without MER,0,regjlar procedure without MER,regjlar procedure without mer,regular procedure without MER,1,regular procedure without MER
5961714,sen procedure confirmation,2012-10-12 16:33:13,560872,35285,distorted label(Skip),sen procedure confirmation,0,sen procedure confirmation,sen procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
5962738,egister submission date request,2012-10-11 07:00:06,560872,35318,distorted label(Skip),egister submission date request,0,egister submission date requ,egister submission date requ,register submission date requ,1,register submission date requ
5965990,Suspension ground applicable,2012-10-31 01:03:29,3273854,35400,distorted label(UpLow),Suspension ground applicable,0,Suspension ground applicabl,suspension ground applicabl,suspension ground applicabl,1,suspension ground applicabl
6009005,phase applicaton received,2012-10-25 18:14:35,560872,35706,distorted label(Skip),phase applicaton received,0,phase applicaton receiv,phase applicaton receiv,phase application receiv,1,phase application receiv
6196539,phaseu advice known,2012-11-27 18:56:35,3273854,36258,distorted label(Insert),phaseu advice known,0,phaseu advice known,phaseu advice known,phase advice known,1,phase advice known
6196539,Creating environmental permit decision,2012-11-27 18:56:45,3273854,36264,distorted label(UpLow),Creating environmental permit decision,0,Creating environmental permit decision,creating environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
6224787,regular uprocedure without MER,2012-11-22 19:45:18,560872,36500,distorted label(Insert),regular uprocedure without MER,0,regular uprocedure without MER,regular uprocedure without mer,regular procedure without MER,1,regular procedure without MER
6224787,phase decision atken,2013-10-15 07:00:13,560890,36568,distorted label(Interchange),phase decision atken,0,phase decision atken,phase decision atken,phase decision sen,1,phase decision sen
6270958,Register submission date request,2012-11-26 08:00:03,560872,36809,distorted label(UpLow),Register submission date request,0,Register submission date requ,register submission date requ,register submission date requ,1,register submission date requ
6270958,send ocnfirmation receipt,2012-11-29 16:46:37,560872,36813,distorted label(Interchange),send ocnfirmation receipt,0,send ocnfirmation receip,send ocnfirmation receip,send confirmation receip,1,send confirmation receip
6289142,requfst complete,2013-04-11 22:52:59,2670601,37073,distorted label(Proximity),requfst complete,0,requfst compl,requfst compl,request compl,1,request compl
6289142,sbumit decision,2013-04-16 23:32:04,2670601,37093,distorted label(Interchange),sbumit decision,0,sbumit decision,sbumit decision,submit decision,1,submit decision
6364598,send eltter in progress,2014-02-13 08:00:40,560950,37373,distorted label(Interchange),send eltter in progress,0,send eltter in prog,send eltter in prog,send letter in prog,1,send letter in prog
6364598,set decision phase inspection of decision permittign,2014-02-27 08:00:01,560950,37428,distorted label(Interchange),set decision phase inspection of decision permittign,0,set decision phase inspection of decision permittign,set decision phase inspection of decision permittign,phase decision sen,1,phase decision sen
6453499,start decision phase extension garnted,2013-02-18 08:00:05,2670601,37905,distorted label(Interchange),start decision phase extension garnted,0,start decision phase extension garn,start decision phase extension garn,start decision phase extension gran,1,start decision phase extension gran
6641576,transcript decision environmental permit to stskeholders,2013-03-15 17:08:11,560890,38766,distorted label(Proximity),transcript decision environmental permit to stskeholders,0,transcript decision environmental permit to stskehol,transcript decision environmental permit to stskehol,transcript decision environmental permit to stakehol,1,transcript decision environmental permit to stakehol
6641576,phase decisi;n sent,2013-03-15 17:08:23,560890,38768,distorted label(Proximity),phase decisi;n sent,0,phase decisi;n sen,phase decisin sen,phase decision sen,1,phase decision sen
6656063,start WABOproceduer,2013-02-08 19:24:04,2670601,38778,distorted label(Interchange),start WABOproceduer,0,start WABOprocedu,start waboprocedu,start WABOprocedu,0,start WABOprocedu
6728358,gronuds for refusal,2013-04-02 19:29:32,3273854,39126,distorted label(Interchange),gronuds for refusal,0,gronuds for refusal,gronuds for refusal,grounds for refusal,1,grounds for refusal
6728358,subcade art. 33 WABO completed,2013-04-08 16:55:33,3273854,39142,distorted label(Proximity),subcade art. 33 WABO completed,0,subcade art. 33 WABO compl,subcade art 33 wabo compl,subcase art. 33 WABO compl,1,subcase art. 33 WABO compl
6934897,rceate procedure confirmation,2013-03-11 19:03:04,560872,39625,distorted label(Interchange),rceate procedure confirmation,0,rceate procedure confirmation,rceate procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
6934897,submit deciion,2013-04-26 16:24:59,2670601,39651,distorted label(Skip),submit deciion,0,submit deciion,submit deciion,submit decision,1,submit decision
6941059,start decsiion phase decision permitting sent,2013-04-15 07:00:06,560872,39710,distorted label(Interchange),start decsiion phase decision permitting sent,0,start decsiion phase decision permitting sen,start decsiion phase decision permitting sen,phase decision sen,1,phase decision sen
6969255,decision keiep permanently suspended,2013-05-23 07:00:29,2670601,39870,distorted label(Insert),decision keiep permanently suspended,0,decision keiep permanently suspen,decision keiep permanently suspen,keep permanently suspen,1,keep permanently suspen
6969255,Set decision status,2013-05-23 07:00:33,2670601,39867,distorted label(UpLow),Set decision status,0,Set decision statu,set decision statu,set decision statu,1,set decision statu
7033413,phase applicztion received,2013-03-21 22:15:34,560872,40288,distorted label(Proximity),phase applicztion received,0,phase applicztion receiv,phase applicztion receiv,phase application receiv,1,phase application receiv
7071988,requesti complete,2013-05-14 07:00:26,3273854,40546,distorted label(Insert),requesti complete,0,requesti compl,requesti compl,request compl,1,request compl
7071988,ask stakebolders views,2013-08-05 07:00:04,3273854,40567,distorted label(Proximity),ask stakebolders views,0,ask stakebolders view,ask stakebolders view,ask stakeholders view,1,ask stakeholders view
7071988,creating environmegtal permit decision,2013-08-05 07:00:09,3273854,40576,distorted label(Proximity),creating environmegtal permit decision,0,creating environmegtal permit decision,creating environmegtal permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
7071988,enter enddate of susension,2013-08-05 07:00:12,3273854,40573,distorted label(Skip),enter enddate of susension,0,enter enddate of susension,enter enddate of susension,enter enddate of suspension,1,enter enddate of suspension
7071988,enher senddate decision suspension,2013-08-05 07:00:14,3273854,40589,distorted label(Proximity),enher senddate decision suspension,0,enher senddate decision suspension,enher senddate decision suspension,phase decision sen,1,phase decision sen
