Case,Activity,Timestamp,Resource,Event,label,Activity_fixed
2831567,enter date publication decision environmental permit,2010-12-15 08:00:02,560890,8559,,enter date publication decision environmental permit
2832460,register submission date request,2010-11-01 08:00:03,560912,8560,,register submission date request
2832460,enter senddate procedure confirmation,2010-11-02 08:00:02,560912,8561,,enter senddate procedure confirmation
2832460,registrer date of publishing received request,2010-11-10 08:00:02,560912,8568,,registrer date of publishing received request
2832460,request complete,2011-01-26 02:59:40,2670601,8584,,request complete
2832460,phase advice known,2011-01-26 03:01:00,2670601,8590,,phase advice known
2832460,register date environmental permit decision,2011-02-01 08:00:01,560890,8596,,register date environmental permit decision
2832460,decision extension procedure term irrevocable,2011-02-01 23:18:04,560890,8600,,decision extension procedure term irrevocable
2833073,register submission date request,2010-10-25 07:00:03,560912,8607,,register submission date request
2833073,enter senddate procedure confirmation,2010-11-02 08:00:03,560912,8608,,enter senddate procedure confirmation
2833073,registrer date of publishing received request,2010-11-10 08:00:03,560912,8615,,registrer date of publishing received request
2833073,enter senddate procedure confirmation,2010-12-08 08:00:01,560881,8616,,enter senddate procedure confirmation
2833073,request complete,2010-12-09 01:10:24,560881,8622,,request complete
2838476,register submission date request,2010-10-26 07:00:02,560925,8642,,register submission date request
2838476,enter senddate procedure confirmation,2010-11-04 08:00:01,560925,8643,,enter senddate procedure confirmation
2838476,registrer date of publishing received request,2010-11-17 08:00:02,560925,8653,,registrer date of publishing received request
2838476,request complete,2010-12-13 21:05:08,2670601,8660,,request complete
2838476,phase advice known,2010-12-13 21:05:25,2670601,8667,,phase advice known
2838476,creating environmental permit decision,2010-12-14 21:07:28,560890,8672,,creating environmental permit decision
2838476,register date environmental permit decision,2010-12-16 08:00:01,560890,8676,,register date environmental permit decision
2839858,register submission date request,2010-11-02 08:00:04,560925,8677,,register submission date request
2839858,enter senddate procedure confirmation,2010-11-04 08:00:02,560925,8678,,enter senddate procedure confirmation
2839858,registrer date of publishing received request,2010-11-17 08:00:03,560925,8689,,registrer date of publishing received request
2839858,request complete,2010-11-29 19:38:14,560872,8694,,request complete
2839858,phase advice known,2010-11-29 19:38:47,560872,8701,,phase advice known
2839858,creating environmental permit decision,2010-11-29 19:39:11,560872,8706,,creating environmental permit decision
2839858,enter senddate procedure confirmation,2010-11-30 08:00:01,560872,8711,,enter senddate procedure confirmation
2839858,register date environmental permit decision,2010-11-30 08:00:02,560872,8712,,register date environmental permit decision
2839858,enter senddate decision environmental permit,2010-12-06 08:00:05,560872,8713,,enter senddate decision environmental permit
2839858,enter date publication decision environmental permit,2010-12-08 08:00:02,560872,8714,,enter date publication decision environmental permit
2839858,set phase: phase permitting irrevocable,2011-01-21 17:09:21,560872,8716,,set phase: phase permitting irrevocable
2840219,register submission date request,2010-11-02 08:00:05,560925,8718,,register submission date request
2840219,enter senddate procedure confirmation,2010-11-04 08:00:03,560925,8719,,enter senddate procedure confirmation
2840219,registrer date of publishing received request,2010-11-17 08:00:04,560925,8728,,registrer date of publishing received request
2840219,request complete,2010-11-26 00:11:35,560872,8735,,request complete
2840219,phase advice known,2010-11-26 00:11:51,560872,8741,,phase advice known
2840219,creating environmental permit decision,2010-11-26 00:12:12,560872,8747,,creating environmental permit decision
2840219,register date environmental permit decision,2010-11-30 08:00:03,560872,8752,,register date environmental permit decision
2840219,enter senddate decision environmental permit,2010-12-06 08:00:06,560872,8753,,enter senddate decision environmental permit
2840219,enter senddate procedure confirmation,2010-12-06 08:00:07,560872,8754,,enter senddate procedure confirmation
2840219,enter date publication decision environmental permit,2010-12-08 08:00:03,560872,8755,,enter date publication decision environmental permit
2840219,set phase: phase permitting irrevocable,2011-01-21 17:13:11,560872,8757,,set phase: phase permitting irrevocable
2840553,register submission date request,2010-11-02 08:00:06,560925,8759,,register submission date request
2840553,enter senddate procedure confirmation,2010-11-04 08:00:04,560925,8760,,enter senddate procedure confirmation
2840553,registrer date of publishing received request,2010-11-17 08:00:05,560925,8769,,registrer date of publishing received request
2840553,request complete,2010-11-25 20:53:44,560872,8776,,request complete
2840553,phase advice known,2010-11-25 20:54:02,560872,8783,,phase advice known
2840553,creating environmental permit decision,2010-11-25 20:54:50,560872,8788,,creating environmental permit decision
2840553,register date environmental permit decision,2010-11-30 08:00:04,560872,8793,,register date environmental permit decision
2840553,enter senddate decision environmental permit,2010-12-06 08:00:08,560872,8794,,enter senddate decision environmental permit
2840553,enter senddate procedure confirmation,2010-12-06 08:00:09,560872,8795,,enter senddate procedure confirmation
2840553,enter date publication decision environmental permit,2010-12-08 08:00:04,560872,8796,,enter date publication decision environmental permit
2846764,register submission date request,2010-11-03 08:00:02,560872,8800,,register submission date request
2846764,registrer date of publishing received request,2010-11-17 08:00:06,560872,8813,,registrer date of publishing received request
2846764,request complete,2010-12-21 20:04:53,560881,8818,,request complete
2846764,phase advice known,2011-01-21 19:29:00,560890,8826,,phase advice known
2847199,register submission date request,2010-11-03 08:00:03,560872,8842,,register submission date request
2847199,enter senddate procedure confirmation,2010-11-08 08:00:01,560872,8843,,enter senddate procedure confirmation
2847199,enter senddate procedure confirmation,2010-11-08 08:00:02,560872,8844,,enter senddate procedure confirmation
2847199,registrer date of publishing received request,2010-11-17 08:00:07,560872,8859,,registrer date of publishing received request
2847199,phase advice known,2010-11-23 21:39:37,560890,8867,,phase advice known
2847199,enter senddate decision environmental permit,2010-11-26 08:00:01,560890,8878,,enter senddate decision environmental permit
2847603,register submission date request,2010-11-02 08:00:07,560912,8880,,register submission date request
2847603,enter senddate procedure confirmation,2010-11-08 08:00:03,560912,8881,,enter senddate procedure confirmation
2847603,registrer date of publishing received request,2010-11-17 08:00:08,560912,8888,,registrer date of publishing received request
2847603,enter senddate procedure confirmation,2010-12-08 08:00:05,560881,8889,,enter senddate procedure confirmation
2847603,enter date decision procedure term extension,2010-12-23 08:00:01,560890,8900,,enter date decision procedure term extension
2847603,enter senddate decision procedure term extension,2010-12-23 08:00:02,560890,8901,,enter senddate decision procedure term extension
2847603,extend procedure term,2010-12-23 19:20:54,560890,8902,,extend procedure term
2847603,grounds for refusal,2011-05-17 21:00:25,3273854,8916,,grounds for refusal
2847603,suspension ground applicable,2011-05-17 21:00:26,3273854,8918,,suspension ground applicable
2847603,by law,2011-05-17 21:00:27,3273854,8919,,by law
2847603,creating environmental permit decision,2011-05-17 21:00:28,3273854,8920,,creating environmental permit decision
2847603,enter senddate decision environmental permit,2011-05-18 07:00:01,560890,8925,,enter senddate decision environmental permit
2848063,register submission date request,2010-11-04 08:00:05,560872,8927,,register submission date request
2848063,enter senddate procedure confirmation,2010-11-08 08:00:04,560872,8928,,enter senddate procedure confirmation
2848063,enter senddate procedure confirmation,2010-11-10 08:00:04,560890,8935,,enter senddate procedure confirmation
2848063,registrer date of publishing received request,2010-11-17 08:00:09,560872,8936,,registrer date of publishing received request
2848063,request complete,2010-12-24 20:25:12,560890,8943,,request complete
2848063,phase advice known,2010-12-24 20:25:46,560890,8952,,phase advice known
2848063,creating environmental permit decision,2010-12-24 20:26:01,560890,8958,,creating environmental permit decision
2851738,register submission date request,2010-11-04 08:00:06,560912,8965,,register submission date request
2851738,enter senddate procedure confirmation,2010-11-09 08:00:01,560912,8966,,enter senddate procedure confirmation
2851738,registrer date of publishing received request,2010-11-17 08:00:10,560912,8973,,registrer date of publishing received request
2851738,enter senddate procedure confirmation,2010-12-21 08:00:01,1898401,8978,,enter senddate procedure confirmation
2851738,request complete,2010-12-21 22:25:43,1898401,8984,,request complete
2851738,phase advice known,2011-01-26 20:22:02,560881,8991,,phase advice known
2851738,register date environmental permit decision,2011-03-08 08:00:02,560890,9005,,register date environmental permit decision
2852274,register submission date request,2010-11-04 08:00:07,560912,9012,,register submission date request
2852274,enter senddate procedure confirmation,2010-11-09 08:00:02,560912,9013,,enter senddate procedure confirmation
2852274,registrer date of publishing received request,2010-11-17 08:00:11,560912,9020,,registrer date of publishing received request
2854000,enter senddate procedure confirmation,2010-11-09 08:00:03,560881,9022,,enter senddate procedure confirmation
2854000,enter senddate procedure confirmation,2010-11-09 08:00:04,560912,9023,,enter senddate procedure confirmation
2854000,registrer date of publishing received request,2010-11-17 08:00:12,560912,9030,,registrer date of publishing received request
2854000,enter senddate retrieve missing data,2010-12-07 08:00:06,560881,9039,,enter senddate retrieve missing data
2857143,register submission date request,2010-11-09 08:00:05,560925,9043,,register submission date request
2857143,registrer date of publishing received request,2010-11-24 08:00:03,560872,9051,,registrer date of publishing received request
2857143,enter senddate procedure confirmation,2010-12-08 08:00:06,560881,9052,,enter senddate procedure confirmation
2857143,request complete,2010-12-08 22:51:02,560881,9058,,request complete
2857143,phase advice known,2010-12-14 17:20:43,560890,9067,,phase advice known
2857143,register date environmental permit decision,2010-12-16 08:00:02,560890,9077,,register date environmental permit decision
2866083,register submission date request,2010-11-11 08:00:01,560872,9078,,register submission date request
2866083,enter senddate procedure confirmation,2010-11-18 08:00:04,560881,9079,,enter senddate procedure confirmation
2866083,enter senddate procedure confirmation,2010-11-18 08:00:05,560872,9080,,enter senddate procedure confirmation
2866083,registrer date of publishing received request,2010-12-01 08:00:01,560872,9087,,registrer date of publishing received request
2866083,request complete,2010-12-06 21:02:18,560881,9093,,request complete
2866083,enter date termination request received,2011-01-05 08:00:01,560912,9095,,enter date termination request received
2866083,enter senddate confirmation request,2011-01-25 08:00:01,560912,9100,,enter senddate confirmation request
2868276,enter senddate procedure confirmation,2010-11-18 08:00:06,560872,9102,,enter senddate procedure confirmation
2868276,registrer date of publishing received request,2010-12-01 08:00:02,560872,9109,,registrer date of publishing received request
2868276,register date environmental permit decision,2010-12-06 08:00:10,560890,9110,,register date environmental permit decision
2868276,enter senddate procedure confirmation,2010-12-07 08:00:07,560881,9111,,enter senddate procedure confirmation
2868276,request complete,2010-12-07 18:37:59,560881,9117,,request complete
2868276,creating environmental permit decision,2010-12-07 19:47:04,560890,9132,,creating environmental permit decision
2868276,enter senddate decision environmental permit,2010-12-10 08:00:01,560890,9137,,enter senddate decision environmental permit
2868276,enter date publication decision environmental permit,2010-12-15 08:00:03,560890,9138,,enter date publication decision environmental permit
2868714,register submission date request,2010-11-15 08:00:01,560872,9139,,register submission date request
2868714,enter senddate procedure confirmation,2010-11-18 08:00:07,560872,9140,,enter senddate procedure confirmation
2868714,enter senddate procedure confirmation,2010-11-18 08:00:08,560881,9141,,enter senddate procedure confirmation
2868714,registrer date of publishing received request,2010-12-01 08:00:03,560872,9148,,registrer date of publishing received request
2868714,enter senddate procedure confirmation,2010-12-06 08:00:11,560890,9149,,enter senddate procedure confirmation
2868714,enter senddate retrieve missing data,2010-12-06 08:00:12,560881,9150,,enter senddate retrieve missing data
2868714,enter receipt of additional data,2010-12-29 08:00:01,560912,9159,,enter receipt of additional data
2868714,request complete,2011-01-18 22:57:17,560890,9170,,request complete
2868714,phase advice known,2011-01-18 22:59:56,560890,9177,,phase advice known
2871542,register submission date request,2010-11-16 08:00:01,560872,9190,,register submission date request
2871542,enter senddate acknowledgement,2010-11-22 08:00:01,560872,9191,,enter senddate acknowledgement
2871542,registrer date of publishing received request,2010-12-01 08:00:04,560872,9192,,registrer date of publishing received request
2871542,request complete,2011-03-07 17:38:46,560872,9215,,request complete
2871542,phase advice known,2011-03-07 17:39:09,560872,9224,,phase advice known
2871542,create draft environtmental permit,2011-03-07 17:39:10,560872,9226,,create draft environtmental permit
2871542,grounds for refusal,2011-03-07 17:39:11,560872,9225,,grounds for refusal
2871542,generate draft decision environmental permit,2011-03-07 17:39:12,560872,9227,,generate draft decision environmental permit
2871542,phase concept draft decision ready,2011-03-07 17:39:13,560872,9228,,phase concept draft decision ready
2871542,publish official draft decision,2011-03-07 17:39:53,560872,9233,,publish official draft decision
2871542,enter date advice on treatment of environmental permit,2011-03-08 08:00:03,560872,9236,,enter date advice on treatment of environmental permit
2871542,enter date draft decisionenvironmental permit,2011-03-08 08:00:04,560872,9237,,enter date draft decisionenvironmental permit
2871542,date draft decision for inspection,2011-03-16 08:00:01,560872,9238,,date draft decision for inspection
2871542,publication date draft decision,2011-03-16 08:00:02,560872,9239,,publication date draft decision
2871542,suspension ground applicable,2011-03-28 19:23:57,560872,9247,,suspension ground applicable
2871542,set phase: phase permitting irrevocable,2011-05-13 18:24:24,560872,9256,,set phase: phase permitting irrevocable
2872584,register submission date request,2010-11-17 08:00:13,560872,9258,,register submission date request
2872584,enter senddate acknowledgement,2010-11-22 08:00:02,560872,9259,,enter senddate acknowledgement
2872584,registrer date of publishing received request,2010-12-01 08:00:05,560872,9264,,registrer date of publishing received request
2872584,enter senddate confirmation request,2010-12-06 08:00:13,560872,9266,,enter senddate confirmation request
2872584,enter senddate procedure confirmation,2010-12-06 08:00:14,560872,9267,,enter senddate procedure confirmation
2872584,register date decision terminate on request,2010-12-06 08:00:15,560872,9268,,register date decision terminate on request
2872584,stop process after terminate on request,2010-12-07 00:40:41,560872,9279,,stop process after terminate on request
2873491,register submission date request,2010-11-16 08:00:02,560925,9283,,register submission date request
2873491,enter senddate acknowledgement,2010-11-22 08:00:03,560925,9286,,enter senddate acknowledgement
2873491,enter senddate letter to competent authority,2010-11-22 08:00:04,560925,9284,,enter senddate letter to competent authority
2873491,enter senddate letter to stakeholders,2010-11-22 08:00:05,560925,9285,,enter senddate letter to stakeholders
2874224,register submission date request,2010-11-18 08:00:09,560925,9295,,register submission date request
2874224,enter senddate acknowledgement,2010-11-23 08:00:01,560912,9296,,enter senddate acknowledgement
2874224,enter senddate procedure confirmation,2010-11-24 08:00:04,2670601,9299,,enter senddate procedure confirmation
2874224,enter senddate procedure confirmation,2010-11-24 08:00:05,2670601,9300,,enter senddate procedure confirmation
2874224,enter senddate procedure confirmation,2010-11-24 08:00:06,560912,9301,,enter senddate procedure confirmation
2874224,registrer date of publishing received request,2010-12-01 08:00:06,560912,9307,,registrer date of publishing received request
2874224,enter senddate retrieve missing data,2010-12-21 08:00:02,2670601,9308,,enter senddate retrieve missing data
2874224,enter receipt of additional data,2010-12-24 08:00:01,2670601,9311,,enter receipt of additional data
2875758,enter senddate acknowledgement,2010-11-23 08:00:02,560925,9335,,enter senddate acknowledgement
2875758,enter senddate procedure confirmation,2010-11-25 08:00:01,560925,9338,,enter senddate procedure confirmation
2875758,enter senddate procedure confirmation,2010-11-25 08:00:02,560894,9339,,enter senddate procedure confirmation
2875758,registrer date of publishing received request,2010-12-01 08:00:07,560894,9344,,registrer date of publishing received request
2875758,request complete,2011-01-11 21:54:59,560894,9354,,request complete
2875758,phase advice known,2011-01-11 21:55:39,560894,9361,,phase advice known
2875758,creating environmental permit decision,2011-01-11 21:56:06,560894,9366,,creating environmental permit decision
2875758,register date environmental permit decision,2011-01-13 08:00:01,560894,9371,,register date environmental permit decision
2875758,enter date publication decision environmental permit,2011-01-19 08:00:01,560894,9373,,enter date publication decision environmental permit
2876753,enter senddate acknowledgement,2010-11-23 08:00:03,560872,9374,,enter senddate acknowledgement
2876753,register submission date request,2010-11-23 08:00:04,560925,9375,,register submission date request
2879904,register submission date request,2010-11-18 08:00:10,560912,9380,,register submission date request
2879904,enter senddate procedure confirmation,2011-01-19 08:00:02,560912,9381,,enter senddate procedure confirmation
2879904,registrer date of publishing received request,2011-01-26 08:00:01,560912,9388,,registrer date of publishing received request
2883285,register submission date request,2010-10-19 07:00:04,560872,9389,,register submission date request
2883285,register date environmental permit decision,2010-11-09 08:00:06,560872,9391,,register date environmental permit decision
2883285,enter senddate decision environmental permit,2010-11-15 08:00:02,560872,9392,,enter senddate decision environmental permit
2883285,enter senddate procedure confirmation,2010-11-15 08:00:03,560872,9393,,enter senddate procedure confirmation
2883285,enter date publication decision environmental permit,2010-11-17 08:00:14,560872,9394,,enter date publication decision environmental permit
2883285,registrer date of publishing received request,2010-11-17 08:00:15,560872,9395,,registrer date of publishing received request
2883285,phase advice known,2010-11-25 20:41:25,560872,9417,,phase advice known
2883285,creating environmental permit decision,2011-01-07 19:38:10,560872,9422,,creating environmental permit decision
2883285,set phase: phase permitting irrevocable,2011-01-07 19:42:21,560872,9429,,set phase: phase permitting irrevocable
2884070,enter senddate decision procedure term extension,2011-03-29 07:00:01,3273854,9437,,enter senddate decision procedure term extension
2884070,enter senddate procedure confirmation,2011-03-29 07:00:02,3273854,9439,,enter senddate procedure confirmation
2884070,register number of days extension period,2011-03-29 22:31:50,3273854,9442,,register number of days extension period
2884070,request complete,2011-05-12 18:04:54,3273854,9455,,request complete
2884070,phase advice known,2011-05-12 18:07:05,3273854,9464,,phase advice known
2884070,grounds for refusal,2011-05-12 18:07:07,3273854,9465,,grounds for refusal
2884070,creating environmental permit decision,2011-05-12 18:10:00,3273854,9469,,creating environmental permit decision
2884070,enter senddate decision environmental permit,2011-05-13 07:00:01,560890,9471,,enter senddate decision environmental permit
2884070,register date environmental permit decision,2011-05-13 07:00:02,560890,9470,,register date environmental permit decision
2884070,enter date publication decision environmental permit,2011-05-25 07:00:01,560890,9475,,enter date publication decision environmental permit
2887729,register submission date request,2010-11-23 08:00:05,560925,9476,,register submission date request
2887729,enter senddate acknowledgement,2010-11-29 08:00:01,560925,9477,,enter senddate acknowledgement
2887729,registrer date of publishing received request,2011-01-05 08:00:02,3273854,9478,,registrer date of publishing received request
2887729,activities regular procedure,2011-10-28 18:03:17,560890,9486,,activities regular procedure
2887729,detailed procedure applies,2011-10-28 18:03:18,560890,9487,,detailed procedure applies
2887729,forward to the competent authority,2011-10-28 18:03:19,560890,9483,,forward to the competent authority
2887729,phase application received,2011-10-28 18:03:20,560890,9489,,phase application received
2887729,reception through OLO,2011-10-28 18:03:21,560890,9482,,reception through OLO
2887729,registrer date of publishing received request,2011-10-28 18:03:22,560890,9491,,registrer date of publishing received request
2887729,regular procedure without MER,2011-10-28 18:03:23,560890,9484,,regular procedure without MER
2887729,send confirmation receipt,2011-10-28 18:03:24,560890,9493,,send confirmation receipt
2887729,send procedure confirmation,2011-10-28 18:03:25,560890,9488,,send procedure confirmation
2887729,subcases completeness completed,2011-10-28 18:03:26,560890,9492,,subcases completeness completed
2887729,treat subcases completeness,2011-10-28 18:03:27,560890,9490,,treat subcases completeness
2887729,WAW permit aspect,2011-10-28 18:03:28,560890,9498,,WAW permit aspect
2887729,applicant is stakeholder,2011-10-28 18:03:29,560890,9494,,applicant is stakeholder
2887729,article 34  WABO applies,2011-10-28 18:03:30,560890,9499,,article 34  WABO applies
2887729,assessment of content completed,2011-10-28 18:03:31,560890,9505,,assessment of content completed
2887729,completed subcases content,2011-10-28 18:03:32,560890,9502,,completed subcases content
2887729,create draft environtmental permit,2011-10-28 18:03:33,560890,9501,,create draft environtmental permit
2887729,extend procedure term,2011-10-28 18:03:34,560890,9496,,extend procedure term
2887729,grounds for refusal,2011-10-28 18:03:35,560890,9500,,grounds for refusal
2887729,phase advice known,2011-10-28 18:03:36,560890,9503,,phase advice known
2887729,phase application receptive,2011-10-28 18:03:37,560890,9506,,phase application receptive
2887729,request complete,2011-10-28 18:03:38,560890,9497,,request complete
2887729,terminate on request,2011-10-28 18:03:39,560890,9495,,terminate on request
2887729,treat subcases content,2011-10-28 18:03:40,560890,9504,,treat subcases content
2887729,generate draft decision environmental permit,2011-10-28 18:03:41,560890,9507,,generate draft decision environmental permit
2887729,phase concept draft decision ready,2011-10-28 18:03:42,560890,9508,,phase concept draft decision ready
2887729,enter date draft decisionenvironmental permit,2011-10-28 18:04:08,560890,9511,,enter date draft decisionenvironmental permit
2887729,publish official draft decision,2011-10-28 18:07:04,560890,9516,,publish official draft decision
2887729,send design decision to stakeholders,2011-10-28 18:07:12,560890,9518,,send design decision to stakeholders
2887943,register submission date request,2010-11-26 08:00:02,560872,9531,,register submission date request
2887943,enter senddate acknowledgement,2010-11-29 08:00:02,560872,9532,,enter senddate acknowledgement
2887943,enter senddate procedure confirmation,2010-12-03 08:00:01,560881,9538,,enter senddate procedure confirmation
2887943,enter senddate procedure confirmation,2010-12-03 08:00:02,560872,9540,,enter senddate procedure confirmation
2887943,registrer date of publishing received request,2010-12-03 08:00:03,560881,9539,,registrer date of publishing received request
2887943,enter senddate retrieve missing data,2010-12-23 08:00:03,560881,9543,,enter senddate retrieve missing data
2887943,enter receipt of additional data,2011-01-26 08:00:02,560881,9555,,enter receipt of additional data
2887943,request complete,2011-02-15 21:58:06,560881,9563,,request complete
2887943,phase advice known,2011-02-15 21:58:18,560881,9569,,phase advice known
2887943,creating environmental permit decision,2011-02-16 20:30:21,560881,9576,,creating environmental permit decision
2887943,register date environmental permit decision,2011-02-23 08:00:01,560894,9578,,register date environmental permit decision
2890437,register submission date request,2010-11-23 08:00:06,560925,9584,,register submission date request
2890437,enter senddate acknowledgement,2010-11-30 08:00:05,560925,9585,,enter senddate acknowledgement
2890437,registrer date of publishing received request,2010-12-01 08:00:08,560894,9589,,registrer date of publishing received request
2890437,enter senddate procedure confirmation,2010-12-06 08:00:16,560894,9590,,enter senddate procedure confirmation
2890437,enter senddate procedure confirmation,2010-12-06 08:00:17,560894,9591,,enter senddate procedure confirmation
2891205,register submission date request,2010-11-18 08:00:11,560925,9604,,register submission date request
2891205,enter senddate acknowledgement,2010-11-30 08:00:06,560925,9605,,enter senddate acknowledgement
2891205,registrer date of publishing received request,2010-12-01 08:00:09,560872,9609,,registrer date of publishing received request
2891205,enter senddate procedure confirmation,2010-12-13 08:00:01,560872,9610,,enter senddate procedure confirmation
2891205,enter date decision procedure term extension,2011-01-12 08:00:01,2670601,9615,,enter date decision procedure term extension
2891205,enter senddate decision procedure term extension,2011-01-12 08:00:02,2670601,9616,,enter senddate decision procedure term extension
2891205,enter senddate procedure confirmation,2011-02-07 08:00:01,560890,9623,,enter senddate procedure confirmation
2891205,register date environmental permit decision,2011-05-24 07:00:01,560890,9624,,register date environmental permit decision
2891205,request complete,2011-05-24 19:33:06,560890,9635,,request complete
