Case,Timestamp,Resource,Activity,Activity_fixed,ishomonymous,label
4,2023-09-29 12:54:48,Clerk-000003,Perform checks,Perform checks,0,
4,2023-09-29 13:08:52,Manager-000003,Make decision,Make decision,0,
4,2023-09-29 13:20:24,Manager-000002,Notify accept,Notify accept,0,
4,2023-09-29 13:31:16,Manager-000004,Deliver card,Deliver card,0,
4,2023-09-29 13:33:29,,EVENT 13 END,EVENT 13 END,0,
5,2023-09-29 11:58:51,Clerk-000005,Check for completeness,Check for completeness,0,
5,2023-09-29 11:58:51,,New online application received,New online application received,0,
5,2023-09-29 11:59:56,Clerk-000006,Perform checks,Perform checks,0,
5,2023-09-29 12:06:54,Manager-000005,Make decision,Make decision,0,
5,2023-09-29 12:13:00,Manager-000004,Notify accept,Notify accept,0,
5,2023-09-29 12:15:13,Manager-000006,Deliver card,Deliver card,0,
5,2023-09-29 12:16:48,,EVENT 13 END,EVENT 13 END,0,
6,2023-09-29 13:17:49,Clerk-000002,Check for completeness,Check for completeness,0,
6,2023-09-29 13:17:49,,New online application received,New online application received,0,
6,2023-09-29 13:41:22,Clerk-000003,Perform checks,Perform checks,0,
6,2023-09-29 13:45:49,Manager-000002,Make decision,Make decision,0,
6,2023-09-29 13:46:40,Manager-000004,Notify accept,Notify accept,0,
6,2023-09-29 14:12:17,Manager-000003,Deliver card,Deliver card,0,
6,2023-09-29 14:25:51,,EVENT 13 END,EVENT 13 END,0,
7,2023-09-29 13:24:12,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
7,2023-09-29 13:24:12,,New online application received,New online application received,0,
7,2023-09-29 13:24:18,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
7,2023-09-29 13:29:26,Manager-000005,Make decision,Make decision,0,
7,2023-09-29 13:39:56,Manager-000006,Notify accept,Notify accept,0,
7,2023-09-29 13:43:55,Manager-000001,Deliver card,Deliver card,0,
7,2023-09-29 13:58:02,,EVENT 13 END,EVENT 13 END,0,
8,2023-09-29 13:38:17,Clerk-000006,Check for completeness,Check for completeness,0,
8,2023-09-29 13:38:17,,New online application received,New online application received,0,
8,2023-09-29 13:43:58,Manager-000003,Request info,Request info,0,
8,2023-09-29 13:45:28,,info received,info received,0,
8,2023-09-29 13:45:38,Clerk-000004,Check for completeness,Check for completeness,0,
8,2023-09-29 13:59:58,Clerk-000005,Perform checks,Perform checks,0,
8,2023-09-29 14:00:04,Manager-000005,Make decision,Make decision,0,
8,2023-09-29 14:15:21,Manager-000002,notify reject,notify reject,0,
8,2023-09-29 14:19:47,,review request received,review request received,0,
8,2023-09-29 14:19:57,Clerk-000006,Check for completeness,Check for completeness,0,
8,2023-09-29 14:28:22,Clerk-000003,Perform checks,Perform checks,0,
8,2023-09-29 14:34:51,Manager-000004,Make decision,Make decision,0,
8,2023-09-29 14:36:15,Manager-000005,Notify accept,Notify accept,0,
8,2023-09-29 14:37:47,Manager-000006,Deliver card,Deliver card,0,
8,2023-09-29 14:52:19,,EVENT 13 END,EVENT 13 END,0,
9,2023-09-29 13:41:21,Clerk-000001,Check for completeness,Check for completeness,0,
9,2023-09-29 13:41:21,,New online application received,New online application received,0,
9,2023-09-29 14:01:14,Manager-000006,Request info,Request info,0,
9,2023-09-29 14:19:00,,info received,info received,0,
9,2023-09-29 14:19:10,Clerk-000002,Check for completeness,Check for completeness,0,
9,2023-09-29 14:27:41,Manager-000001,Request info,Request info,0,
9,2023-09-29 14:33:09,,info received,info received,0,
9,2023-09-29 14:33:19,Clerk-000004,Check for completeness,Check for completeness,0,
9,2023-09-29 15:08:59,Manager-000003,Request info,Request info,0,
9,2023-09-29 15:23:23,,info received,info received,0,
9,2023-09-29 15:23:33,Clerk-000006,Check for completeness,Check for completeness,0,
9,2023-09-29 15:33:37,Clerk-000003,Perform checks,Perform checks,0,
9,2023-09-29 15:34:38,Manager-000006,Make decision,Make decision,0,
9,2023-09-29 15:54:24,Manager-000002,notify reject,notify reject,0,
9,2023-09-29 16:12:43,,time out,time out,0,
9,2023-09-29 16:12:53,,EVENT 13 END,EVENT 13 END,0,
10,2023-09-29 14:47:37,Clerk-000005,Check for completeness,Check for completeness,0,
10,2023-09-29 14:47:37,,New online application received,New online application received,0,
10,2023-09-29 14:48:51,Manager-000002,Request info,Request info,0,
10,2023-09-29 14:54:01,,info received,info received,0,
10,2023-09-29 14:54:11,Clerk-000001,Check for completeness,Check for completeness,0,
10,2023-09-29 15:12:40,Clerk-000002,Perform checks,Perform checks,0,
10,2023-09-29 15:21:56,Manager-000001,Make decision,Make decision,0,
10,2023-09-29 15:22:31,Manager-000004,Notify accept,Notify accept,0,
10,2023-09-29 15:23:49,Manager-000005,Deliver card,Deliver card,0,
10,2023-09-29 15:36:59,,EVENT 13 END,EVENT 13 END,0,
11,2023-09-29 16:06:37,Clerk-000005,Check for completeness,Check for completeness,0,
11,2023-09-29 16:06:37,,New online application received,New online application received,0,
11,2023-09-29 16:11:54,Clerk-000001,Perform checks,Perform checks,0,
11,2023-09-29 16:25:06,Manager-000001,Make decision,Make decision,0,
11,2023-09-29 16:26:23,Manager-000003,notify reject,notify reject,0,
11,2023-09-29 16:29:27,,time out,time out,0,
11,2023-09-29 16:29:37,,EVENT 13 END,EVENT 13 END,0,
12,2023-09-29 16:07:28,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
12,2023-09-29 16:07:28,,New online application received,New online application received,0,
12,2023-09-29 16:28:15,Manager-000005,Request info,Request info,0,
12,2023-09-29 16:33:32,,info received,info received,0,
12,2023-09-29 16:33:42,Clerk-000003,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
12,2023-09-29 16:36:40,Manager-000002,Request info,Request info,0,
12,2023-09-29 16:45:28,,info received,info received,0,
12,2023-09-29 16:45:38,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
12,2023-09-29 17:02:39,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
12,2023-09-29 17:13:16,Manager-000003,Make decision,Make decision,0,
12,2023-09-29 17:13:45,Manager-000005,Notify accept,Notify accept,0,
12,2023-09-29 17:46:09,Manager-000004,Deliver card,Deliver card,0,
12,2023-09-29 17:47:16,,EVENT 13 END,EVENT 13 END,0,
13,2023-09-29 16:14:30,Clerk-000002,Check for completeness,Check for completeness,0,
13,2023-09-29 16:14:30,,New online application received,New online application received,0,
13,2023-09-29 16:27:34,Clerk-000006,Perform checks,Perform checks,0,
13,2023-09-29 16:28:03,Manager-000004,Make decision,Make decision,0,
13,2023-09-29 16:34:55,Manager-000006,notify reject,notify reject,0,
13,2023-09-29 16:46:57,,review request received,review request received,0,
13,2023-09-29 16:47:07,Clerk-000001,Check for completeness,Check for completeness,0,
13,2023-09-29 16:54:38,Clerk-000004,Perform checks,Perform checks,0,
13,2023-09-29 17:22:15,Manager-000002,Make decision,Make decision,0,
13,2023-09-29 17:51:15,Manager-000006,notify reject,notify reject,0,
13,2023-09-29 18:02:09,,review request received,review request received,0,
13,2023-09-29 18:02:19,Clerk-000003,Check for completeness,Check for completeness,0,
13,2023-09-29 18:09:51,Manager-000004,Request info,Request info,0,
13,2023-09-29 18:14:41,,info received,info received,0,
13,2023-09-29 18:14:51,Clerk-000006,Check for completeness,Check for completeness,0,
13,2023-09-29 18:26:33,Manager-000003,Request info,Request info,0,
13,2023-09-29 18:37:59,,info received,info received,0,
13,2023-09-29 18:38:09,Clerk-000004,Check for completeness,Check for completeness,0,
13,2023-09-29 19:01:11,Clerk-000006,Perform checks,Perform checks,0,
13,2023-09-29 19:08:51,Manager-000001,Make decision,Make decision,0,
13,2023-09-29 19:22:36,Manager-000004,notify reject,notify reject,0,
13,2023-09-29 19:35:39,,review request received,review request received,0,
13,2023-09-29 19:35:49,Clerk-000003,Check for completeness,Check for completeness,0,
13,2023-09-29 19:39:16,Manager-000002,Request info,Request info,0,
13,2023-09-29 20:04:20,,info received,info received,0,
13,2023-09-29 20:04:30,Clerk-000002,Check for completeness,Check for completeness,0,
13,2023-09-29 20:19:37,Manager-000003,Request info,Request info,0,
13,2023-09-29 20:28:28,,info received,info received,0,
13,2023-09-29 20:28:38,Clerk-000006,Check for completeness,Check for completeness,0,
13,2023-09-29 20:38:40,Clerk-000004,Perform checks,Perform checks,0,
13,2023-09-29 20:43:33,Manager-000002,Make decision,Make decision,0,
13,2023-09-29 20:53:08,Manager-000005,notify reject,notify reject,0,
13,2023-09-29 21:03:06,,review request received,review request received,0,
13,2023-09-29 21:03:16,Clerk-000006,Check for completeness,Check for completeness,0,
13,2023-09-29 21:20:39,Clerk-000003,Perform checks,Perform checks,0,
13,2023-09-29 21:22:46,Manager-000003,Make decision,Make decision,0,
13,2023-09-29 21:23:32,Manager-000004,notify reject,notify reject,0,
13,2023-09-29 21:33:15,,time out,time out,0,
13,2023-09-29 21:33:25,,EVENT 13 END,EVENT 13 END,0,
14,2023-09-29 16:51:09,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
14,2023-09-29 16:51:09,,New online application received,New online application received,0,
14,2023-09-29 16:54:07,Clerk-000006,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
14,2023-09-29 17:08:43,Manager-000001,Make decision,Make decision,0,
14,2023-09-29 17:40:01,Manager-000003,notify reject,notify reject,0,
14,2023-09-29 18:03:59,,time out,time out,0,
14,2023-09-29 18:04:09,,EVENT 13 END,EVENT 13 END,0,
15,2023-09-29 16:58:01,Clerk-000003,Check for completeness,Check for completeness,0,
15,2023-09-29 16:58:01,,New online application received,New online application received,0,
15,2023-09-29 17:14:52,Clerk-000001,Perform checks,Perform checks,0,
15,2023-09-29 17:22:07,Manager-000004,Make decision,Make decision,0,
15,2023-09-29 17:32:32,Manager-000006,notify reject,notify reject,0,
15,2023-09-29 17:39:23,,time out,time out,0,
15,2023-09-29 17:39:33,,EVENT 13 END,EVENT 13 END,0,
16,2023-09-29 17:45:26,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
16,2023-09-29 17:45:26,,New online application received,New online application received,0,
16,2023-09-29 17:53:49,Manager-000001,Request info,Request info,0,
16,2023-09-29 17:58:04,,info received,info received,0,
16,2023-09-29 17:58:14,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
16,2023-09-29 18:17:55,Manager-000002,Request info,Request info,0,
16,2023-09-29 18:38:16,,info received,info received,0,
16,2023-09-29 18:38:26,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
16,2023-09-29 18:40:28,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
16,2023-09-29 18:41:20,Manager-000003,Make decision,Make decision,0,
16,2023-09-29 18:49:29,Manager-000002,Notify accept,Notify accept,0,
16,2023-09-29 19:25:53,Manager-000005,Deliver card,Deliver card,0,
16,2023-09-29 19:31:06,,EVENT 13 END,EVENT 13 END,0,
17,2023-09-29 17:57:31,Clerk-000006,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
17,2023-09-29 17:57:31,,New online application received,New online application received,0,
17,2023-09-29 18:05:01,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
17,2023-09-29 18:09:25,Manager-000005,Make decision,Make decision,0,
17,2023-09-29 18:27:15,Manager-000004,notify reject,notify reject,0,
17,2023-09-29 18:50:25,,time out,time out,0,
17,2023-09-29 18:50:35,,EVENT 13 END,EVENT 13 END,0,
18,2023-09-29 18:06:16,Clerk-000004,Check for completeness,Check for completeness,0,
18,2023-09-29 18:06:16,,New online application received,New online application received,0,
18,2023-09-29 18:13:12,Clerk-000005,Perform checks,Perform checks,0,
18,2023-09-29 18:20:12,Manager-000001,Make decision,Make decision,0,
18,2023-09-29 18:38:19,Manager-000005,Notify accept,Notify accept,0,
18,2023-09-29 18:39:58,Manager-000006,Deliver card,Deliver card,0,
18,2023-09-29 18:51:28,,EVENT 13 END,EVENT 13 END,0,
19,2023-09-29 18:18:58,Clerk-000001,Check for completeness,Check for completeness,0,
19,2023-09-29 18:18:58,,New online application received,New online application received,0,
19,2023-09-29 18:22:09,Manager-000006,Request info,Request info,0,
19,2023-09-29 18:32:28,,info received,info received,0,
19,2023-09-29 18:32:38,Clerk-000003,Check for completeness,Check for completeness,0,
19,2023-09-29 18:48:41,Clerk-000001,Perform checks,Perform checks,0,
19,2023-09-29 19:12:46,Manager-000005,Make decision,Make decision,0,
19,2023-09-29 19:12:59,Manager-000003,notify reject,notify reject,0,
19,2023-09-29 19:40:21,,review request received,review request received,0,
19,2023-09-29 19:40:31,Clerk-000004,Check for completeness,Check for completeness,0,
19,2023-09-29 19:49:07,Manager-000005,Request info,Request info,0,
19,2023-09-29 20:26:19,,info received,info received,0,
19,2023-09-29 20:26:29,Clerk-000003,Check for completeness,Check for completeness,0,
19,2023-09-29 20:49:15,Clerk-000005,Perform checks,Perform checks,0,
19,2023-09-29 20:56:51,Manager-000003,Make decision,Make decision,0,
19,2023-09-29 20:57:54,Manager-000004,Notify accept,Notify accept,0,
19,2023-09-29 20:59:45,Manager-000001,Deliver card,Deliver card,0,
19,2023-09-29 21:07:11,,EVENT 13 END,EVENT 13 END,0,
20,2023-09-29 19:19:25,Clerk-000002,Check for completeness,Check for completeness,0,
20,2023-09-29 19:19:25,,New online application received,New online application received,0,
20,2023-09-29 19:23:40,Manager-000006,Request info,Request info,0,
20,2023-09-29 19:27:24,,info received,info received,0,
20,2023-09-29 19:27:34,Clerk-000005,Check for completeness,Check for completeness,0,
20,2023-09-29 19:39:11,Manager-000001,Request info,Request info,0,
20,2023-09-29 19:45:50,,info received,info received,0,
20,2023-09-29 19:46:00,Clerk-000006,Check for completeness,Check for completeness,0,
20,2023-09-29 19:46:31,Manager-000006,Request info,Request info,0,
20,2023-09-29 19:48:39,,info received,info received,0,
20,2023-09-29 19:48:49,Clerk-000001,Check for completeness,Check for completeness,0,
20,2023-09-29 20:11:57,Clerk-000005,Perform checks,Perform checks,0,
20,2023-09-29 20:13:50,Manager-000004,Make decision,Make decision,0,
20,2023-09-29 20:41:11,Manager-000001,Notify accept,Notify accept,0,
20,2023-09-29 20:41:45,Manager-000006,Deliver card,Deliver card,0,
20,2023-09-29 20:41:54,,EVENT 13 END,EVENT 13 END,0,
21,2023-09-29 20:41:51,Clerk-000001,Check for completeness,Check for completeness,0,
21,2023-09-29 20:41:51,,New online application received,New online application received,0,
21,2023-09-29 21:00:54,Clerk-000002,Perform checks,Perform checks,0,
21,2023-09-29 21:06:42,Manager-000006,Make decision,Make decision,0,
21,2023-09-29 21:07:22,Manager-000002,notify reject,notify reject,0,
21,2023-09-29 21:42:51,,review request received,review request received,0,
21,2023-09-29 21:43:01,Clerk-000005,Check for completeness,Check for completeness,0,
21,2023-09-29 21:51:47,Manager-000005,Request info,Request info,0,
21,2023-09-29 21:52:47,,info received,info received,0,
21,2023-09-29 21:52:57,Clerk-000001,Check for completeness,Check for completeness,0,
21,2023-09-29 21:56:52,Manager-000001,Request info,Request info,0,
21,2023-09-29 22:13:45,,info received,info received,0,
21,2023-09-29 22:13:55,Clerk-000006,Check for completeness,Check for completeness,0,
21,2023-09-29 22:15:28,Clerk-000003,Perform checks,Perform checks,0,
21,2023-09-29 22:17:11,Manager-000004,Make decision,Make decision,0,
21,2023-09-29 22:18:43,Manager-000002,notify reject,notify reject,0,
21,2023-09-29 22:23:17,,time out,time out,0,
21,2023-09-29 22:23:27,,EVENT 13 END,EVENT 13 END,0,
22,2023-09-29 21:09:37,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
22,2023-09-29 21:09:37,,New online application received,New online application received,0,
22,2023-09-29 21:59:31,Manager-000006,Request info,Request info,0,
22,2023-09-29 22:05:00,,info received,info received,0,
22,2023-09-29 22:05:10,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
22,2023-09-29 22:06:20,Manager-000003,Request info,Request info,0,
22,2023-09-29 22:56:49,,info received,info received,0,
22,2023-09-29 22:56:59,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
22,2023-09-29 23:00:23,Manager-000005,Request info,Request info,0,
22,2023-09-29 23:19:05,,info received,info received,0,
22,2023-09-29 23:19:15,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
22,2023-09-29 23:28:11,Manager-000006,Request info,Request info,0,
22,2023-09-29 23:43:55,,info received,info received,0,
22,2023-09-29 23:44:05,Clerk-000004,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
22,2023-09-29 23:44:39,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
22,2023-09-29 23:46:31,Manager-000001,Make decision,Make decision,0,
22,2023-09-29 23:54:59,Manager-000004,notify reject,notify reject,0,
22,2023-09-30 00:05:34,,time out,time out,0,
22,2023-09-30 00:05:44,,EVENT 13 END,EVENT 13 END,0,
23,2023-09-30 00:48:40,Clerk-000006,Check for completeness,Check for completeness,0,
23,2023-09-30 00:48:40,,New online application received,New online application received,0,
23,2023-09-30 00:52:31,Clerk-000003,Perform checks,Perform checks,0,
23,2023-09-30 00:56:22,Manager-000002,Make decision,Make decision,0,
23,2023-09-30 01:03:41,Manager-000003,notify reject,notify reject,0,
23,2023-09-30 01:17:46,,review request received,review request received,0,
23,2023-09-30 01:17:56,Clerk-000005,Check for completeness,Check for completeness,0,
23,2023-09-30 01:21:12,Clerk-000001,Perform checks,Perform checks,0,
23,2023-09-30 01:21:30,Manager-000005,Make decision,Make decision,0,
23,2023-09-30 01:31:32,Manager-000006,Notify accept,Notify accept,0,
23,2023-09-30 01:34:27,Manager-000001,Deliver card,Deliver card,0,
23,2023-09-30 01:38:10,,EVENT 13 END,EVENT 13 END,0,
24,2023-10-02 02:06:13,Clerk-000004,Check for completeness,Check for completeness,0,
24,2023-10-02 02:06:13,,New online application received,New online application received,0,
24,2023-10-02 02:09:30,Clerk-000002,Perform checks,Perform checks,0,
24,2023-10-02 02:18:57,Manager-000004,Make decision,Make decision,0,
24,2023-10-02 02:19:56,Manager-000002,Notify accept,Notify accept,0,
24,2023-10-02 02:21:26,Manager-000003,Deliver card,Deliver card,0,
24,2023-10-02 02:34:57,,EVENT 13 END,EVENT 13 END,0,
25,2023-10-02 02:15:15,Clerk-000006,Check for completeness,Check for completeness,0,
25,2023-10-02 02:15:15,,New online application received,New online application received,0,
25,2023-10-02 02:26:30,Clerk-000005,Perform checks,Perform checks,0,
25,2023-10-02 02:46:42,Manager-000006,Make decision,Make decision,0,
25,2023-10-02 02:47:25,Manager-000001,Notify accept,Notify accept,0,
25,2023-10-02 02:51:11,Manager-000002,Deliver card,Deliver card,0,
25,2023-10-02 03:05:45,,EVENT 13 END,EVENT 13 END,0,
26,2023-10-02 02:24:49,Clerk-000003,Check for completeness,Check for completeness,0,
26,2023-10-02 02:24:49,,New online application received,New online application received,0,
26,2023-10-02 02:35:50,Manager-000005,Request info,Request info,0,
26,2023-10-02 02:59:33,,info received,info received,0,
26,2023-10-02 02:59:43,Clerk-000004,Check for completeness,Check for completeness,0,
26,2023-10-02 03:04:34,Manager-000003,Request info,Request info,0,
26,2023-10-02 03:04:42,,info received,info received,0,
26,2023-10-02 03:04:52,Clerk-000006,Check for completeness,Check for completeness,0,
26,2023-10-02 03:13:27,Manager-000006,Request info,Request info,0,
26,2023-10-02 03:21:03,,info received,info received,0,
26,2023-10-02 03:21:13,Clerk-000003,Check for completeness,Check for completeness,0,
26,2023-10-02 03:31:33,Clerk-000004,Perform checks,Perform checks,0,
26,2023-10-02 03:50:25,Manager-000005,Make decision,Make decision,0,
26,2023-10-02 03:57:26,Manager-000004,notify reject,notify reject,0,
26,2023-10-02 04:17:17,,review request received,review request received,0,
26,2023-10-02 04:17:27,Clerk-000004,Check for completeness,Check for completeness,0,
26,2023-10-02 04:18:16,Manager-000006,Request info,Request info,0,
26,2023-10-02 04:33:00,,info received,info received,0,
26,2023-10-02 04:33:10,Clerk-000006,Check for completeness,Check for completeness,0,
26,2023-10-02 04:44:00,Manager-000005,Request info,Request info,0,
26,2023-10-02 04:49:04,,info received,info received,0,
26,2023-10-02 04:49:14,Clerk-000002,Check for completeness,Check for completeness,0,
26,2023-10-02 04:59:28,Clerk-000001,Perform checks,Perform checks,0,
26,2023-10-02 05:00:23,Manager-000004,Make decision,Make decision,0,
26,2023-10-02 05:07:29,Manager-000003,notify reject,notify reject,0,
26,2023-10-02 05:10:28,,time out,time out,0,
26,2023-10-02 05:10:38,,EVENT 13 END,EVENT 13 END,0,
27,2023-10-02 02:35:38,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
27,2023-10-02 02:35:38,,New online application received,New online application received,0,
27,2023-10-02 02:47:52,Manager-000004,Request info,Request info,0,
27,2023-10-02 03:03:20,,info received,info received,0,
27,2023-10-02 03:03:30,Clerk-000002,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
27,2023-10-02 03:15:57,Manager-000001,Request info,Request info,0,
27,2023-10-02 03:21:38,,info received,info received,0,
27,2023-10-02 03:21:48,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
27,2023-10-02 03:25:16,Clerk-000001,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
27,2023-10-02 04:05:20,Manager-000006,Make decision,Make decision,0,
27,2023-10-02 04:09:21,Manager-000001,Notify accept,Notify accept,0,
27,2023-10-02 04:10:02,Manager-000005,Deliver card,Deliver card,0,
27,2023-10-02 04:13:19,,EVENT 13 END,EVENT 13 END,0,
28,2023-10-02 03:49:49,Clerk-000006,Check for completeness,Check for completeness,0,
28,2023-10-02 03:49:49,,New online application received,New online application received,0,
28,2023-10-02 03:55:14,Clerk-000002,Perform checks,Perform checks,0,
28,2023-10-02 04:02:53,Manager-000003,Make decision,Make decision,0,
28,2023-10-02 04:04:38,Manager-000002,notify reject,notify reject,0,
28,2023-10-02 04:12:29,,review request received,review request received,0,
28,2023-10-02 04:12:39,Clerk-000005,Check for completeness,Check for completeness,0,
28,2023-10-02 04:13:22,Clerk-000003,Perform checks,Perform checks,0,
28,2023-10-02 04:16:26,Manager-000003,Make decision,Make decision,0,
28,2023-10-02 04:21:12,Manager-000001,Notify accept,Notify accept,0,
28,2023-10-02 04:31:16,Manager-000002,Deliver card,Deliver card,0,
28,2023-10-02 04:54:08,,EVENT 13 END,EVENT 13 END,0,
29,2023-10-02 05:24:14,Clerk-000005,Check:homonymous,Check,1,homonymous Label(Activity:'Check for completeness')
29,2023-10-02 05:24:14,,New online application received,New online application received,0,
29,2023-10-02 05:34:29,Clerk-000003,Check:homonymous,Check,1,homonymous Label(Activity:'Perform checks')
29,2023-10-02 05:41:14,Manager-000001,Make decision,Make decision,0,
29,2023-10-02 05:51:12,Manager-000006,Notify accept,Notify accept,0,
29,2023-10-02 06:10:59,Manager-000004,Deliver card,Deliver card,0,
29,2023-10-02 06:15:00,,EVENT 13 END,EVENT 13 END,0,
30,2023-10-02 05:42:19,Clerk-000004,Check for completeness,Check for completeness,0,
30,2023-10-02 05:42:19,,New online application received,New online application received,0,
30,2023-10-02 05:52:35,Manager-000005,Request info,Request info,0,
30,2023-10-02 05:57:42,,info received,info received,0,
30,2023-10-02 05:57:52,Clerk-000001,Check for completeness,Check for completeness,0,
30,2023-10-02 05:58:43,Clerk-000005,Perform checks,Perform checks,0,
30,2023-10-02 06:07:16,Manager-000002,Make decision,Make decision,0,
30,2023-10-02 06:33:37,Manager-000005,notify reject,notify reject,0,
30,2023-10-02 06:38:09,,review request received,review request received,0,
30,2023-10-02 06:38:19,Clerk-000003,Check for completeness,Check for completeness,0,
30,2023-10-02 06:39:34,Manager-000006,Request info,Request info,0,
30,2023-10-02 06:42:00,,info received,info received,0,
30,2023-10-02 06:42:10,Clerk-000004,Check for completeness,Check for completeness,0,
30,2023-10-02 06:48:51,Clerk-000006,Perform checks,Perform checks,0,
30,2023-10-02 06:53:19,Manager-000003,Make decision,Make decision,0,
30,2023-10-02 06:59:31,Manager-000004,notify reject,notify reject,0,
30,2023-10-02 07:05:03,,review request received,review request received,0,
30,2023-10-02 07:05:13,Clerk-000002,Check for completeness,Check for completeness,0,
30,2023-10-02 07:08:21,Clerk-000003,Perform checks,Perform checks,0,
30,2023-10-02 07:26:14,Manager-000006,Make decision,Make decision,0,
30,2023-10-02 07:28:17,Manager-000001,Notify accept,Notify accept,0,
30,2023-10-02 07:29:48,Manager-000003,Deliver card,Deliver card,0,
30,2023-10-02 07:48:23,,EVENT 13 END,EVENT 13 END,0,
31,2023-10-02 05:48:39,Clerk-000006,Check for completeness,Check for completeness,0,
31,2023-10-02 05:48:39,,New online application received,New online application received,0,
31,2023-10-02 05:56:02,Clerk-000002,Perform checks,Perform checks,0,
31,2023-10-02 06:11:53,Manager-000003,Make decision,Make decision,0,
31,2023-10-02 06:14:01,Manager-000001,notify reject,notify reject,0,
31,2023-10-02 06:42:24,,time out,time out,0,
31,2023-10-02 06:42:34,,EVENT 13 END,EVENT 13 END,0,
