Case,Activity,Timestamp,Resource,label,iscollateral,BaseActivity,ProcessedActivity,CollateralGroup,is_collateral_event,y_true,Activity_fixed
3,EVENT 13 END,2023-09-29 11:55:34,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
4,Check for completeness,2023-09-29 11:34:38,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
4,New online application received,2023-09-29 11:34:38,,,0,New online application received,new online application received,-1,0,0,New online application received
4,Request info,2023-09-29 11:42:14,Manager-000001,,0,Request info,request info,-1,0,0,Request info
4,info received,2023-09-29 12:28:45,,,0,info received,info received,-1,0,0,info received
4,Check for completeness,2023-09-29 12:28:55,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
4,Perform checks,2023-09-29 12:54:48,Clerk-000003,,0,Perform checks,perform checks,-1,0,0,Perform checks
4,Make decision,2023-09-29 13:08:52,Manager-000003,,0,Make decision,make decision,-1,0,0,Make decision
4,Notify accept,2023-09-29 13:20:24,Manager-000002,,0,Notify accept,notify accept,-1,0,0,Notify accept
4,Deliver card,2023-09-29 13:31:16,Manager-000004,,0,Deliver card,deliver card,-1,0,0,Deliver card
4,EVENT 13 END,2023-09-29 13:33:29,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
5,Check for completeness,2023-09-29 11:58:51,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
5,New online application received,2023-09-29 11:58:51,,,0,New online application received,new online application received,-1,0,0,New online application received
5,Perform checks,2023-09-29 11:59:56,Clerk-000006,,0,Perform checks,perform checks,-1,0,0,Perform checks
5,Make decision,2023-09-29 12:06:54,Manager-000005,,0,Make decision,make decision,-1,0,0,Make decision
5,Notify accept,2023-09-29 12:13:00,Manager-000004,,0,Notify accept,notify accept,-1,0,0,Notify accept
5,Deliver card,2023-09-29 12:15:13,Manager-000006,,0,Deliver card,deliver card,-1,0,0,Deliver card
5,EVENT 13 END,2023-09-29 12:16:48,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
6,Check for completeness,2023-09-29 13:17:49,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
6,New online application received,2023-09-29 13:17:49,,,0,New online application received,new online application received,-1,0,0,New online application received
6,Make decision_signed1,2023-09-29 13:17:50,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,6,0,1,Make decision_signed1
6,Perform checks,2023-09-29 13:41:22,Clerk-000003,,0,Perform checks,perform checks,-1,0,0,Perform checks
6,Make decision_signed1,2023-09-29 13:41:23,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,7,0,1,Make decision_signed1
6,Make decision,2023-09-29 13:45:49,Manager-000002,,0,Make decision,make decision,8,0,0,Make decision
6,Notify accept,2023-09-29 13:46:40,Manager-000004,,0,Notify accept,notify accept,-1,0,0,Notify accept
6,Make decision_signed1,2023-09-29 13:46:41,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,9,0,1,Make decision_signed1
6,Deliver card,2023-09-29 14:12:17,Manager-000003,,0,Deliver card,deliver card,-1,0,0,Deliver card
6,Make decision_signed1,2023-09-29 14:12:17,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,10,0,1,Make decision_signed1
6,EVENT 13 END,2023-09-29 14:25:51,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
6,Make decision_signed1,2023-09-29 14:25:52,,collateral events(Make decision),0,Make decision_signed1,make decision,11,0,1,Make decision_signed1
7,Check for completeness,2023-09-29 13:24:12,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
7,New online application received,2023-09-29 13:24:12,,,0,New online application received,new online application received,-1,0,0,New online application received
7,Make decision_signed1,2023-09-29 13:24:12,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,12,0,1,Make decision_signed1
7,Perform checks,2023-09-29 13:24:18,Clerk-000005,,0,Perform checks,perform checks,-1,0,0,Perform checks
7,Make decision_signed1,2023-09-29 13:24:18,Clerk-000005,collateral events(Make decision),0,Make decision_signed1,make decision,13,0,1,Make decision_signed1
7,Make decision,2023-09-29 13:29:26,Manager-000005,,0,Make decision,make decision,14,0,0,Make decision
7,Notify accept,2023-09-29 13:39:56,Manager-000006,,0,Notify accept,notify accept,-1,0,0,Notify accept
7,Make decision_signed1,2023-09-29 13:39:56,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,15,0,1,Make decision_signed1
7,Deliver card,2023-09-29 13:43:55,Manager-000001,,0,Deliver card,deliver card,-1,0,0,Deliver card
7,Make decision_signed1,2023-09-29 13:43:55,Manager-000001,collateral events(Make decision),0,Make decision_signed1,make decision,16,0,1,Make decision_signed1
7,EVENT 13 END,2023-09-29 13:58:02,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
7,Make decision_signed1,2023-09-29 13:58:03,,collateral events(Make decision),0,Make decision_signed1,make decision,17,0,1,Make decision_signed1
8,Check for completeness,2023-09-29 13:38:17,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
8,New online application received,2023-09-29 13:38:17,,,0,New online application received,new online application received,-1,0,0,New online application received
8,Make decision_signed1,2023-09-29 13:38:17,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,18,0,1,Make decision_signed1
8,Request info,2023-09-29 13:43:58,Manager-000003,,0,Request info,request info,-1,0,0,Request info
8,Make decision_signed1,2023-09-29 13:43:58,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,19,0,1,Make decision_signed1
8,info received,2023-09-29 13:45:28,,,0,info received,info received,-1,0,0,info received
8,Make decision_signed1,2023-09-29 13:45:29,,collateral events(Make decision),0,Make decision_signed1,make decision,20,0,1,Make decision_signed1
8,Check for completeness,2023-09-29 13:45:38,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
8,Make decision_signed1,2023-09-29 13:45:38,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,21,0,1,Make decision_signed1
8,Perform checks,2023-09-29 13:59:58,Clerk-000005,,0,Perform checks,perform checks,-1,0,0,Perform checks
8,Make decision_signed1,2023-09-29 13:59:58,Clerk-000005,collateral events(Make decision),0,Make decision_signed1,make decision,22,0,1,Make decision_signed1
8,Make decision,2023-09-29 14:00:04,Manager-000005,,0,Make decision,make decision,23,0,0,Make decision
8,notify reject,2023-09-29 14:15:21,Manager-000002,,0,notify reject,notify reject,-1,0,0,notify reject
8,Make decision_signed1,2023-09-29 14:15:21,Manager-000002,collateral events(Make decision),0,Make decision_signed1,make decision,24,0,1,Make decision_signed1
8,review request received,2023-09-29 14:19:47,,,0,review request received,review request received,-1,0,0,review request received
8,Make decision_signed1,2023-09-29 14:19:48,,collateral events(Make decision),0,Make decision_signed1,make decision,25,0,1,Make decision_signed1
8,Check for completeness,2023-09-29 14:19:57,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
8,Make decision_signed1,2023-09-29 14:19:57,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,26,0,1,Make decision_signed1
8,Perform checks,2023-09-29 14:28:22,Clerk-000003,,0,Perform checks,perform checks,-1,0,0,Perform checks
8,Make decision_signed1,2023-09-29 14:28:23,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,27,0,1,Make decision_signed1
8,Make decision,2023-09-29 14:34:51,Manager-000004,,0,Make decision,make decision,28,0,0,Make decision
8,Notify accept,2023-09-29 14:36:15,Manager-000005,,0,Notify accept,notify accept,-1,0,0,Notify accept
8,Make decision_signed1,2023-09-29 14:36:15,Manager-000005,collateral events(Make decision),0,Make decision_signed1,make decision,29,0,1,Make decision_signed1
8,Deliver card,2023-09-29 14:37:47,Manager-000006,,0,Deliver card,deliver card,-1,0,0,Deliver card
8,Make decision_signed1,2023-09-29 14:37:47,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,30,0,1,Make decision_signed1
8,EVENT 13 END,2023-09-29 14:52:19,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
8,Make decision_signed1,2023-09-29 14:52:19,,collateral events(Make decision),0,Make decision_signed1,make decision,31,0,1,Make decision_signed1
9,Check for completeness,2023-09-29 13:41:21,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
9,New online application received,2023-09-29 13:41:21,,,0,New online application received,new online application received,-1,0,0,New online application received
9,Request info,2023-09-29 14:01:14,Manager-000006,,0,Request info,request info,-1,0,0,Request info
9,info received,2023-09-29 14:19:00,,,0,info received,info received,-1,0,0,info received
9,Check for completeness,2023-09-29 14:19:10,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
9,Request info,2023-09-29 14:27:41,Manager-000001,,0,Request info,request info,-1,0,0,Request info
9,info received,2023-09-29 14:33:09,,,0,info received,info received,-1,0,0,info received
9,Check for completeness,2023-09-29 14:33:19,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
9,Request info,2023-09-29 15:08:59,Manager-000003,,0,Request info,request info,-1,0,0,Request info
9,info received,2023-09-29 15:23:23,,,0,info received,info received,-1,0,0,info received
9,Check for completeness,2023-09-29 15:23:33,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
9,Perform checks,2023-09-29 15:33:37,Clerk-000003,,0,Perform checks,perform checks,-1,0,0,Perform checks
9,Make decision,2023-09-29 15:34:38,Manager-000006,,0,Make decision,make decision,-1,0,0,Make decision
9,notify reject,2023-09-29 15:54:24,Manager-000002,,0,notify reject,notify reject,-1,0,0,notify reject
9,time out,2023-09-29 16:12:43,,,0,time out,time out,-1,0,0,time out
9,EVENT 13 END,2023-09-29 16:12:53,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
10,Check for completeness,2023-09-29 14:47:37,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
10,New online application received,2023-09-29 14:47:37,,,0,New online application received,new online application received,-1,0,0,New online application received
10,Request info,2023-09-29 14:48:51,Manager-000002,,0,Request info,request info,-1,0,0,Request info
10,info received,2023-09-29 14:54:01,,,0,info received,info received,-1,0,0,info received
10,Check for completeness,2023-09-29 14:54:11,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
10,Perform checks,2023-09-29 15:12:40,Clerk-000002,,0,Perform checks,perform checks,-1,0,0,Perform checks
10,Make decision,2023-09-29 15:21:56,Manager-000001,,0,Make decision,make decision,-1,0,0,Make decision
10,Notify accept,2023-09-29 15:22:31,Manager-000004,,0,Notify accept,notify accept,-1,0,0,Notify accept
10,Deliver card,2023-09-29 15:23:49,Manager-000005,,0,Deliver card,deliver card,-1,0,0,Deliver card
10,EVENT 13 END,2023-09-29 15:36:59,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
11,Check for completeness,2023-09-29 16:06:37,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
11,New online application received,2023-09-29 16:06:37,,,0,New online application received,new online application received,-1,0,0,New online application received
11,Perform checks,2023-09-29 16:11:54,Clerk-000001,,0,Perform checks,perform checks,-1,0,0,Perform checks
11,Make decision,2023-09-29 16:25:06,Manager-000001,,0,Make decision,make decision,-1,0,0,Make decision
11,notify reject,2023-09-29 16:26:23,Manager-000003,,0,notify reject,notify reject,-1,0,0,notify reject
11,time out,2023-09-29 16:29:27,,,0,time out,time out,-1,0,0,time out
11,EVENT 13 END,2023-09-29 16:29:37,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
12,Check for completeness,2023-09-29 16:07:28,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
12,New online application received,2023-09-29 16:07:28,,,0,New online application received,new online application received,-1,0,0,New online application received
12,Make decision_signed1,2023-09-29 16:07:28,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,32,0,1,Make decision_signed1
12,Request info,2023-09-29 16:28:15,Manager-000005,,0,Request info,request info,-1,0,0,Request info
12,Make decision_signed1,2023-09-29 16:28:16,Manager-000005,collateral events(Make decision),0,Make decision_signed1,make decision,33,0,1,Make decision_signed1
12,info received,2023-09-29 16:33:32,,,0,info received,info received,-1,0,0,info received
12,Make decision_signed1,2023-09-29 16:33:32,,collateral events(Make decision),0,Make decision_signed1,make decision,34,0,1,Make decision_signed1
12,Check for completeness,2023-09-29 16:33:42,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
12,Make decision_signed1,2023-09-29 16:33:42,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,35,0,1,Make decision_signed1
12,Request info,2023-09-29 16:36:40,Manager-000002,,0,Request info,request info,-1,0,0,Request info
12,Make decision_signed1,2023-09-29 16:36:40,Manager-000002,collateral events(Make decision),0,Make decision_signed1,make decision,36,0,1,Make decision_signed1
12,info received,2023-09-29 16:45:28,,,0,info received,info received,-1,0,0,info received
12,Make decision_signed1,2023-09-29 16:45:28,,collateral events(Make decision),0,Make decision_signed1,make decision,37,0,1,Make decision_signed1
12,Check for completeness,2023-09-29 16:45:38,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
12,Make decision_signed1,2023-09-29 16:45:38,Clerk-000005,collateral events(Make decision),0,Make decision_signed1,make decision,38,0,1,Make decision_signed1
12,Perform checks,2023-09-29 17:02:39,Clerk-000002,,0,Perform checks,perform checks,-1,0,0,Perform checks
12,Make decision_signed1,2023-09-29 17:02:40,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,39,0,1,Make decision_signed1
12,Make decision,2023-09-29 17:13:16,Manager-000003,,0,Make decision,make decision,40,0,0,Make decision
12,Notify accept,2023-09-29 17:13:45,Manager-000005,,0,Notify accept,notify accept,-1,0,0,Notify accept
12,Make decision_signed1,2023-09-29 17:13:45,Manager-000005,collateral events(Make decision),0,Make decision_signed1,make decision,41,0,1,Make decision_signed1
12,Deliver card,2023-09-29 17:46:09,Manager-000004,,0,Deliver card,deliver card,-1,0,0,Deliver card
12,Make decision_signed1,2023-09-29 17:46:10,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,42,0,1,Make decision_signed1
12,EVENT 13 END,2023-09-29 17:47:16,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
12,Make decision_signed1,2023-09-29 17:47:17,,collateral events(Make decision),0,Make decision_signed1,make decision,43,0,1,Make decision_signed1
13,Check for completeness,2023-09-29 16:14:30,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
13,New online application received,2023-09-29 16:14:30,,,0,New online application received,new online application received,-1,0,0,New online application received
13,Make decision_signed1,2023-09-29 16:14:30,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,44,0,1,Make decision_signed1
13,Perform checks,2023-09-29 16:27:34,Clerk-000006,,0,Perform checks,perform checks,-1,0,0,Perform checks
13,Make decision_signed1,2023-09-29 16:27:34,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,45,0,1,Make decision_signed1
13,Make decision,2023-09-29 16:28:03,Manager-000004,,0,Make decision,make decision,46,0,0,Make decision
13,notify reject,2023-09-29 16:34:55,Manager-000006,,0,notify reject,notify reject,-1,0,0,notify reject
13,Make decision_signed1,2023-09-29 16:34:56,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,47,0,1,Make decision_signed1
13,review request received,2023-09-29 16:46:57,,,0,review request received,review request received,-1,0,0,review request received
13,Make decision_signed1,2023-09-29 16:46:57,,collateral events(Make decision),0,Make decision_signed1,make decision,48,0,1,Make decision_signed1
13,Check for completeness,2023-09-29 16:47:07,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
13,Make decision_signed1,2023-09-29 16:47:08,Clerk-000001,collateral events(Make decision),0,Make decision_signed1,make decision,49,0,1,Make decision_signed1
13,Perform checks,2023-09-29 16:54:38,Clerk-000004,,0,Perform checks,perform checks,-1,0,0,Perform checks
13,Make decision_signed1,2023-09-29 16:54:39,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,50,0,1,Make decision_signed1
13,Make decision,2023-09-29 17:22:15,Manager-000002,,0,Make decision,make decision,51,0,0,Make decision
13,notify reject,2023-09-29 17:51:15,Manager-000006,,0,notify reject,notify reject,-1,0,0,notify reject
13,Make decision_signed1,2023-09-29 17:51:15,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,52,0,1,Make decision_signed1
13,review request received,2023-09-29 18:02:09,,,0,review request received,review request received,-1,0,0,review request received
13,Make decision_signed1,2023-09-29 18:02:10,,collateral events(Make decision),0,Make decision_signed1,make decision,53,0,1,Make decision_signed1
13,Check for completeness,2023-09-29 18:02:19,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
13,Make decision_signed1,2023-09-29 18:02:20,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,54,0,1,Make decision_signed1
13,Request info,2023-09-29 18:09:51,Manager-000004,,0,Request info,request info,-1,0,0,Request info
13,Make decision_signed1,2023-09-29 18:09:52,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,55,0,1,Make decision_signed1
13,info received,2023-09-29 18:14:41,,,0,info received,info received,-1,0,0,info received
13,Make decision_signed1,2023-09-29 18:14:42,,collateral events(Make decision),0,Make decision_signed1,make decision,56,0,1,Make decision_signed1
13,Check for completeness,2023-09-29 18:14:51,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
13,Make decision_signed1,2023-09-29 18:14:51,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,57,0,1,Make decision_signed1
13,Request info,2023-09-29 18:26:33,Manager-000003,,0,Request info,request info,-1,0,0,Request info
13,Make decision_signed1,2023-09-29 18:26:33,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,58,0,1,Make decision_signed1
13,info received,2023-09-29 18:37:59,,,0,info received,info received,-1,0,0,info received
13,Make decision_signed1,2023-09-29 18:38:00,,collateral events(Make decision),0,Make decision_signed1,make decision,59,0,1,Make decision_signed1
13,Check for completeness,2023-09-29 18:38:09,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
13,Make decision_signed1,2023-09-29 18:38:10,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,60,0,1,Make decision_signed1
13,Perform checks,2023-09-29 19:01:11,Clerk-000006,,0,Perform checks,perform checks,-1,0,0,Perform checks
13,Make decision_signed1,2023-09-29 19:01:12,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,61,0,1,Make decision_signed1
13,Make decision,2023-09-29 19:08:51,Manager-000001,,0,Make decision,make decision,62,0,0,Make decision
13,notify reject,2023-09-29 19:22:36,Manager-000004,,0,notify reject,notify reject,-1,0,0,notify reject
13,Make decision_signed1,2023-09-29 19:22:37,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,63,0,1,Make decision_signed1
13,review request received,2023-09-29 19:35:39,,,0,review request received,review request received,-1,0,0,review request received
13,Make decision_signed1,2023-09-29 19:35:40,,collateral events(Make decision),0,Make decision_signed1,make decision,64,0,1,Make decision_signed1
13,Check for completeness,2023-09-29 19:35:49,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
13,Make decision_signed1,2023-09-29 19:35:49,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,65,0,1,Make decision_signed1
13,Request info,2023-09-29 19:39:16,Manager-000002,,0,Request info,request info,-1,0,0,Request info
13,Make decision_signed1,2023-09-29 19:39:16,Manager-000002,collateral events(Make decision),0,Make decision_signed1,make decision,66,0,1,Make decision_signed1
13,info received,2023-09-29 20:04:20,,,0,info received,info received,-1,0,0,info received
13,Make decision_signed1,2023-09-29 20:04:21,,collateral events(Make decision),0,Make decision_signed1,make decision,67,0,1,Make decision_signed1
13,Check for completeness,2023-09-29 20:04:30,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
13,Make decision_signed1,2023-09-29 20:04:31,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,68,0,1,Make decision_signed1
13,Request info,2023-09-29 20:19:37,Manager-000003,,0,Request info,request info,-1,0,0,Request info
13,Make decision_signed1,2023-09-29 20:19:38,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,69,0,1,Make decision_signed1
13,info received,2023-09-29 20:28:28,,,0,info received,info received,-1,0,0,info received
13,Make decision_signed1,2023-09-29 20:28:29,,collateral events(Make decision),0,Make decision_signed1,make decision,70,0,1,Make decision_signed1
13,Check for completeness,2023-09-29 20:28:38,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
13,Make decision_signed1,2023-09-29 20:28:39,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,71,0,1,Make decision_signed1
13,Perform checks,2023-09-29 20:38:40,Clerk-000004,,0,Perform checks,perform checks,-1,0,0,Perform checks
13,Make decision_signed1,2023-09-29 20:38:41,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,72,0,1,Make decision_signed1
13,Make decision,2023-09-29 20:43:33,Manager-000002,,0,Make decision,make decision,73,0,0,Make decision
13,notify reject,2023-09-29 20:53:08,Manager-000005,,0,notify reject,notify reject,-1,0,0,notify reject
13,Make decision_signed1,2023-09-29 20:53:09,Manager-000005,collateral events(Make decision),0,Make decision_signed1,make decision,74,0,1,Make decision_signed1
13,review request received,2023-09-29 21:03:06,,,0,review request received,review request received,-1,0,0,review request received
13,Make decision_signed1,2023-09-29 21:03:06,,collateral events(Make decision),0,Make decision_signed1,make decision,75,0,1,Make decision_signed1
13,Check for completeness,2023-09-29 21:03:16,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
13,Make decision_signed1,2023-09-29 21:03:16,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,76,0,1,Make decision_signed1
13,Perform checks,2023-09-29 21:20:39,Clerk-000003,,0,Perform checks,perform checks,-1,0,0,Perform checks
13,Make decision_signed1,2023-09-29 21:20:39,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,77,0,1,Make decision_signed1
13,Make decision,2023-09-29 21:22:46,Manager-000003,,0,Make decision,make decision,78,0,0,Make decision
13,notify reject,2023-09-29 21:23:32,Manager-000004,,0,notify reject,notify reject,-1,0,0,notify reject
13,Make decision_signed1,2023-09-29 21:23:33,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,79,0,1,Make decision_signed1
13,time out,2023-09-29 21:33:15,,,0,time out,time out,-1,0,0,time out
13,Make decision_signed1,2023-09-29 21:33:16,,collateral events(Make decision),0,Make decision_signed1,make decision,80,0,1,Make decision_signed1
13,EVENT 13 END,2023-09-29 21:33:25,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
13,Make decision_signed1,2023-09-29 21:33:26,,collateral events(Make decision),0,Make decision_signed1,make decision,81,0,1,Make decision_signed1
14,Check for completeness,2023-09-29 16:51:09,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
14,New online application received,2023-09-29 16:51:09,,,0,New online application received,new online application received,-1,0,0,New online application received
14,Perform checks,2023-09-29 16:54:07,Clerk-000006,,0,Perform checks,perform checks,-1,0,0,Perform checks
14,Make decision,2023-09-29 17:08:43,Manager-000001,,0,Make decision,make decision,-1,0,0,Make decision
14,notify reject,2023-09-29 17:40:01,Manager-000003,,0,notify reject,notify reject,-1,0,0,notify reject
14,time out,2023-09-29 18:03:59,,,0,time out,time out,-1,0,0,time out
14,EVENT 13 END,2023-09-29 18:04:09,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
15,Check for completeness,2023-09-29 16:58:01,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
