Case,Timestamp,Resource,Activity,Activity_fixed,label
156,2024-05-11 01:16:43,Barman-000003,bring drinks,Bring drinks,distorted label(UpLow)
156,2024-05-13 19:56:02,Cook helper-000003,Brig food,Brig food,distorted label(Skip)
156,2024-05-13 19:56:40,Waiter-000003,Delive to customer,Delive to customer,distorted label(Skip)
1567,2024-07-12 01:51:08,Waiter-000005,Review drikns,Review drinks,distorted label(Interchange)
1570,2024-07-19 19:44:13,Waiter-000005,deliver to customer,Deliver to customer,distorted label(UpLow)
1572,2024-07-12 19:14:27,Waiter-000003,Rveiew drinks,Rveiew drinks,distorted label(Interchange)
1573,2024-07-12 19:27:38,Waiter-000005,review drinks,Review drinks,distorted label(UpLow)
1573,2024-07-16 23:37:54,Cook-000003,prepare main course,Prepare main course,distorted label(UpLow)
1580,2024-07-19 22:40:44,Waiter-000003,DeliveYr to customer,DeliveYr to customer,distorted label(Insert)
1581,2024-07-17 01:15:05,Cook-000001,PrepaYre main course,PrepaYre main course,distorted label(Insert)
1588,2024-07-12 23:02:15,Waiter-000004,review order,Review order,distorted label(UpLow)
1590,2024-07-12 23:30:00,,starf,starf,distorted label(Proximity)
1594,2024-07-13 00:49:48,Waiter-000004,eRview drinks,eRview drinks,distorted label(Interchange)
1597,2024-07-13 01:39:50,Waiter-000002,Reiew drinks,Reiew drinks,distorted label(Skip)
1597,2024-07-20 01:40:12,,EVENT 8 EDND,EVENT 8 ED,distorted label(Insert)
160,2024-05-13 18:57:38,Cook-000001,Prepare main coursr,Prepare main course,distorted label(Proximity)
160,2024-05-13 20:28:54,Cook-000001,signal food complete,Signal food complete,distorted label(UpLow)
1600,2024-07-17 21:22:10,Cook-000001,prepare main course,Prepare main course,distorted label(UpLow)
1603,2024-07-15 18:45:36,Waiter-000005,Review ordr,Review order,distorted label(Skip)
1603,2024-07-15 18:46:26,Barman-000001,Nring drinks,Bring drinks,distorted label(Proximity)
1609,2024-07-17 23:06:40,Cook-000001,Prepar main course,Prepar main course,distorted label(Skip)
1617,2024-07-15 22:15:00,Waiter-000003,PTake order,PTake order,distorted label(Insert)
1617,2024-07-18 18:42:01,,hEVENT 8 END,EVENT 8 END,distorted label(Insert)
1638,2024-07-16 19:52:04,Barman-000002,QBring drinks,Bring drinks,distorted label(Insert)
1640,2024-07-16 20:00:50,Waiter-000002,Review ordre,Review order,distorted label(Interchange)
1649,2024-07-23 22:35:28,Waiter-000005,Deliger to customer,Deliger to customer,distorted label(Proximity)
1652,2024-07-23 23:00:12,Cook helper-000003,bring food,Bring food,distorted label(UpLow)
1654,2024-07-16 23:33:41,Barman-000002,Brin gdrinks,Brin gdrinks,distorted label(Interchange)
1666,2024-07-17 18:32:03,Barman-000001,prepare drinkq,prepare drinks,distorted label(Proximity)
1677,2024-07-17 21:15:00,Waiter-000005,Take orded,Take order,distorted label(Proximity)
1691,2024-07-18 00:57:26,Waiter-000005,Review drinkbs,Review drinks,distorted label(Insert)
1698,2024-07-18 18:33:02,Barman-000001,preare drinks,preare drinks,distorted label(Skip)
17,2024-05-06 22:49:12,,EVEJT 8 END,EVEJT 8 END,distorted label(Proximity)
1700,2024-07-18 19:08:21,Waiter-000003,Revie drinks,Revie drinks,distorted label(Skip)
1703,2024-07-18 19:45:00,Waiter-000001,Tuake order,Tuake order,distorted label(Insert)
1704,2024-07-23 00:50:45,Cook-000002,Prepare mani course,Prepare mani course,distorted label(Interchange)
1707,2024-07-18 20:45:00,,Start,start,distorted label(UpLow)
1711,2024-07-25 23:58:21,Waiter-000003,Delivre to customer,Delivre to customer,distorted label(Interchange)
174,2024-05-14 00:44:28,Cook-000003,Signal food complete,Signal food complete,distorted label(Interchange)
1745,2024-07-19 22:15:00,Waiter-000003,Take orzder,Take orzder,distorted label(Insert)
1748,2024-07-19 23:00:00,Waiter-000004,take order,Take order,distorted label(UpLow)
1749,2024-07-19 23:15:33,Waiter-000003,review order,Review order,distorted label(UpLow)
1759,2024-07-20 01:57:58,Waiter-000005,Reivew drinks,Reivew drinks,distorted label(Interchange)
176,2024-05-13 22:03:06,Waiter-000004,review order,Review order,distorted label(UpLow)
176,2024-05-13 22:04:12,Barman-000001,pzrepare drinks,prepare drinks,distorted label(Insert)
1766,2024-07-22 19:30:00,,satrt,satrt,distorted label(Interchange)
1766,2024-07-22 19:33:56,Waiter-000003,Review rdinks,Review rdinks,distorted label(Interchange)
177,2024-05-13 22:15:00,,tart,tart,distorted label(Skip)
1770,2024-07-22 20:43:08,Barman-000001,Prepare drinks,prepare drinks,distorted label(UpLow)
1771,2024-07-22 20:45:00,,ztart,ztart,distorted label(Proximity)
1771,2024-07-24 23:50:43,Cook-000001,prepare main course,Prepare main course,distorted label(UpLow)
1780,2024-07-22 23:00:00,Waiter-000005,Take ogder,Take ogder,distorted label(Proximity)
1781,2024-07-22 23:15:54,Waiter-000004,Revikew order,Revikew order,distorted label(Insert)
1781,2024-07-30 21:43:18,Cook-000003,Signal foo dcomplete,Signal foo dcomplete,distorted label(Interchange)
1787,2024-07-23 00:55:56,Waiter-000003,Review drhinks,Review drhinks,distorted label(Insert)
1790,2024-07-23 01:51:09,Waiter-000003,Revicew drinks,Revicew drinks,distorted label(Insert)
1790,2024-07-23 18:17:52,Barman-000002,Birng drinks,Birng drinks,distorted label(Interchange)
1794,2024-07-25 23:49:33,Cook-000001,Prepare ain course,Prepare ain course,distorted label(Skip)
1794,2024-07-31 01:49:58,Cook-000003,JSignal food complete,Signal food complete,distorted label(Insert)
1805,2024-07-23 21:15:00,Waiter-000005,Take eorder,Take order,distorted label(Insert)
1813,2024-07-23 23:31:52,Waiter-000001,Rview drinks,eRview drinks,distorted label(Skip)
1813,2024-07-26 19:50:19,,EVNET 8 END,EVNET 8 END,distorted label(Interchange)
1816,2024-07-24 00:10:27,Barman-000001,Prepare drinks,prepare drinks,distorted label(UpLow)
1825,2024-07-27 01:08:34,Cook-000001,Prepare tmain course,Prepare tmain course,distorted label(Insert)
1825,2024-08-01 00:29:59,Cook helper-000001,Bringfood,Bringf ood,distorted label(Skip)
1829,2024-07-24 19:39:25,Waiter-000004,Review driks,Review drinks,distorted label(Skip)
1829,2024-08-01 18:12:54,Cook-000003,Sifnal food complete,Sifnal food complete,distorted label(Proximity)
183,2024-05-13 23:49:16,Barman-000001,ring drinks,Bring drinks,distorted label(Skip)
183,2024-05-14 20:04:27,Cook helper-000001,Bring ood,Bring ood,distorted label(Skip)
1847,2024-07-24 23:45:00,Waiter-000002,TFake order,TFake order,distorted label(Insert)
1847,2024-07-30 01:34:56,Cook-000002,Signal food complgete,Signal food complete,distorted label(Insert)
1855,2024-07-25 01:45:00,Waiter-000001,Tke order,Tke order,distorted label(Skip)
1855,2024-07-25 01:58:12,Waiter-000005,Reviea drinks,Reviea drinks,distorted label(Proximity)
1859,2024-07-25 18:48:25,Barman-000001,prepare drinsk,prepare drinks,distorted label(Interchange)
1862,2024-07-25 19:41:13,Barman-000001,Prepare drinks,prepare drinks,distorted label(UpLow)
1866,2024-08-02 19:38:16,Waiter-000003,Deliver to custoemr,Deliver to customer,distorted label(Interchange)
1874,2024-07-25 22:48:44,Barman-000001,bring drinks,Bring drinks,distorted label(UpLow)
1884,2024-07-26 01:01:06,Waiter-000003,review order,Review order,distorted label(UpLow)
1890,2024-07-26 18:42:57,Waiter-000002,Review drinWks,Review drinks,distorted label(Insert)
1890,2024-07-26 18:43:45,Barman-000001,prepare driks,prepare drinks,distorted label(Skip)
1896,2024-07-26 20:03:54,Barman-000001,BriOng drinks,BriOng drinks,distorted label(Insert)
1901,2024-08-05 19:09:20,Cook-000002,Signal food ocmplete,Signal food ocmplete,distorted label(Interchange)
1909,2024-07-26 23:15:15,Waiter-000005,Review ordsr,Review order,distorted label(Proximity)
1914,2024-07-27 00:36:43,Waiter-000003,Revifw drinks,Revifw drinks,distorted label(Proximity)
1921,2024-07-29 18:21:59,Cook helper-000003,Preare starter,Preare starter,distorted label(Skip)
1930,2024-07-29 20:40:10,Barman-000001,Bring drinkc,Bring drinks,distorted label(Proximity)
1930,2024-08-06 01:59:24,,EVEHT 8 END,EVEHT 8 END,distorted label(Proximity)
1932,2024-07-29 21:27:12,Waiter-000005,Review drlinks,Review drlinks,distorted label(Insert)
1932,2024-08-06 19:19:36,Cook helper-000002,Bring f;od,Bring food,distorted label(Proximity)
1932,2024-08-06 19:27:48,,EVENT 8 EN,EVENT 8 END,distorted label(Skip)
1943,2024-07-29 23:48:23,Barman-000002,prepare Qdrinks,prepare Qdrinks,distorted label(Insert)
1944,2024-07-30 00:09:21,Waiter-000001,Review drVinks,Review drVinks,distorted label(Insert)
1946,2024-08-06 21:41:33,Cook-000003,signal food complete,Signal food complete,distorted label(UpLow)
1948,2024-07-30 01:08:49,Barman-000001,Bring drinka,Bring drinks,distorted label(Proximity)
1957,2024-07-30 19:35:41,Barman-000001,Prepare drinks,prepare drinks,distorted label(UpLow)
1961,2024-07-30 20:37:37,Waiter-000004,review drinks,Review drinks,distorted label(UpLow)
1964,2024-07-30 21:00:00,,strt,strt,distorted label(Skip)
1967,2024-08-02 19:08:33,Cook-000002,Prepare main coruse,Prepare main course,distorted label(Interchange)
1969,2024-07-30 22:39:22,Barman-000003,Bring erinks,Bring erinks,distorted label(Proximity)
197,2024-05-14 19:17:36,Barman-000002,Bting drinks,Bting drinks,distorted label(Proximity)
197,2024-05-14 19:30:36,Waiter-000005,Review drBinks,Review drBinks,distorted label(Insert)
197,2024-05-15 00:16:21,,eVENT 8 END,EVENT 8 END,distorted label(UpLow)
1974,2024-07-30 23:33:45,Barman-000001,prepare dirinks,prepare dirinks,distorted label(Insert)
1988,2024-08-08 21:13:52,Waiter-000001,Delive to customer,Delive to customer,distorted label(Skip)
201,2024-05-14 20:29:46,Waiter-000003,Reivew drinks,Reivew drinks,distorted label(Interchange)
2010,2024-08-09 18:02:07,,EVENF 8 END,EVENF 8 END,distorted label(Proximity)
2019,2024-08-01 18:47:00,Barman-000001,pepare drinks,prepare drinks,distorted label(Skip)
2035,2024-08-01 22:46:39,Barman-000002,repare drinks,prepare drinks,distorted label(Skip)
2041,2024-08-02 00:18:38,Barman-000003,prpare drinks,prpare drinks,distorted label(Skip)
2041,2024-08-06 23:22:54,Cook-000001,Prepare main courpse,Prepare main course,distorted label(Insert)
2044,2024-08-02 01:00:00,Waiter-000004,take order,Take order,distorted label(UpLow)
2044,2024-08-12 18:26:08,Cook helper-000002,bring food,Bring food,distorted label(UpLow)
2047,2024-08-02 01:45:00,,stazrt,stazrt,distorted label(Insert)
205,2024-05-14 21:17:11,Waiter-000002,Review otder,Review order,distorted label(Proximity)
205,2024-05-14 21:18:52,Cook helper-000003,Prepae starter,Prepae starter,distorted label(Skip)
205,2024-05-15 18:51:40,Cook-000003,Signal food coomplete,Signal food complete,distorted label(Insert)
2062,2024-08-13 01:05:06,Cook-000002,Signal food compleet,Signal food complete,distorted label(Interchange)
2079,2024-08-05 18:11:44,Barman-000001,Bring drCinks,Bring drCinks,distorted label(Insert)
2082,2024-08-13 21:50:31,Cook helper-000003,bring food,Bring food,distorted label(UpLow)
2082,2024-08-13 21:58:59,Waiter-000005,Delier to customer,Delier to customer,distorted label(Skip)
2084,2024-08-05 19:05:42,Cook helper-000001,Prepare satrter,Prepare satrter,distorted label(Interchange)
2085,2024-08-05 19:25:07,Barman-000001,BringK drinks,BringK drinks,distorted label(Insert)
2085,2024-08-08 23:29:55,Cook-000003,Prepare amin course,Prepare amin course,distorted label(Interchange)
210,2024-05-14 22:30:00,Waiter-000004,Takle order,Takle order,distorted label(Insert)
210,2024-05-14 22:31:35,Barman-000002,orepare drinks,prepare drinks,distorted label(Proximity)
2100,2024-08-14 19:45:11,Waiter-000005,Deliver to ucstomer,Deliver to ucstomer,distorted label(Interchange)
2104,2024-08-14 20:36:05,,EVENT 8 fEND,EVENT 8 fEND,distorted label(Insert)
2108,2024-08-14 21:59:26,Waiter-000001,Delicer to customer,Delicer to customer,distorted label(Proximity)
211,2024-05-14 22:45:00,Waiter-000004,Take orde,Take order,distorted label(Skip)
211,2024-05-14 22:53:15,Barman-000003,prpare drinks,prpare drinks,distorted label(Skip)
2112,2024-08-14 22:20:17,Cook helper-000001,Bring tood,Bring ood,distorted label(Proximity)
2114,2024-08-06 18:32:06,Waiter-000005,Revew order,Revew order,distorted label(Skip)
2114,2024-08-14 22:36:16,,EDENT 8 END,EDENT 8 END,distorted label(Proximity)
212,2024-05-15 20:36:35,Cook helper-000003,Brig food,Brig food,distorted label(Skip)
2120,2024-08-06 20:01:34,Cook helper-000001,Prepare Istarter,Prepare Istarter,distorted label(Insert)
2137,2024-08-10 01:31:38,Cook-000002,Perpare main course,Perpare main course,distorted label(Interchange)
2138,2024-08-10 01:35:02,Cook-000003,prepare main course,Prepare main course,distorted label(UpLow)
2138,2024-08-15 21:04:55,Cook helper-000003,Bring flod,Bring food,distorted label(Proximity)
215,2024-05-15 00:11:12,Barman-000001,Brinn drinks,Brinn drinks,distorted label(Proximity)
2151,2024-08-16 01:29:16,Waiter-000001,deliver to customer,Deliver to customer,distorted label(UpLow)
2156,2024-08-07 21:02:03,Barman-000001,preapre drinks,preapre drinks,distorted label(Interchange)
2156,2024-08-16 01:51:53,Cook-000001,Signal foodc omplete,Signal foodc omplete,distorted label(Interchange)
2156,2024-08-16 01:54:45,Cook helper-000001,BrinWg food,BrinWg food,distorted label(Insert)
2163,2024-08-07 22:48:49,Barman-000002,prepare drinkis,prepare drinks,distorted label(Insert)
218,2024-05-15 00:32:45,Barman-000001,Prepare drinks,prepare drinks,distorted label(UpLow)
218,2024-05-15 19:55:52,Cook-000002,PrepFare main course,PrepFare main course,distorted label(Insert)
2180,2024-08-08 19:00:00,,star,start,distorted label(Skip)
2180,2024-08-17 00:14:00,Waiter-000001,Deliver to customee,Deliver to customer,distorted label(Proximity)
2190,2024-08-08 21:30:00,,tart,tart,distorted label(Skip)
