Case,Activity,Timestamp,Resource,label,Activity_fixed
2832460,enter senddate procedure confirmation,2010-11-02 08:00:02,560912,,enter senddate procedure confirmation
2832460,registrer date of publishing received request,2010-11-10 08:00:02,560912,,registrer date of publishing received request
2832460,request complete,2011-01-26 02:59:40,2670601,,request complete
2832460,phase advice known,2011-01-26 03:01:00,2670601,,phase advice known
2832460,register date environmental permit decision,2011-02-01 08:00:01,560890,,register date environmental permit decision
2832460,decision extension procedure term irrevocable,2011-02-01 23:18:04,560890,,decision extension procedure term irrevocable
2833073,register submission date request,2010-10-25 07:00:03,560912,,register submission date request
2833073,enter senddate procedure confirmation,2010-11-02 08:00:03,560912,,enter senddate procedure confirmation
2833073,registrer date of publishing received request,2010-11-10 08:00:03,560912,,registrer date of publishing received request
2833073,enter senddate procedure confirmation,2010-12-08 08:00:01,560881,,enter senddate procedure confirmation
2833073,request complete,2010-12-09 01:10:24,560881,,request complete
2838476,register submission date request,2010-10-26 07:00:02,560925,,register submission date request
2838476,enter senddate procedure confirmation,2010-11-04 08:00:01,560925,,enter senddate procedure confirmation
2838476,registrer date of publishing received request,2010-11-17 08:00:02,560925,,registrer date of publishing received request
2838476,request complete,2010-12-13 21:05:08,2670601,,request complete
2838476,phase advice known,2010-12-13 21:05:25,2670601,,phase advice known
2838476,creating environmental permit decision,2010-12-14 21:07:28,560890,,creating environmental permit decision
2838476,register date environmental permit decision,2010-12-16 08:00:01,560890,,register date environmental permit decision
2839858,register submission date request,2010-11-02 08:00:04,560925,,register submission date request
2839858,enter senddate procedure confirmation,2010-11-04 08:00:02,560925,,enter senddate procedure confirmation
2839858,registrer date of publishing received request,2010-11-17 08:00:03,560925,,registrer date of publishing received request
2839858,request complete,2010-11-29 19:38:14,560872,,request complete
2839858,phase advice known,2010-11-29 19:38:47,560872,,phase advice known
2839858,creating environmental permit decision,2010-11-29 19:39:11,560872,,creating environmental permit decision
2839858,enter senddate procedure confirmation,2010-11-30 08:00:01,560872,,enter senddate procedure confirmation
2839858,register date environmental permit decision,2010-11-30 08:00:02,560872,,register date environmental permit decision
2839858,enter senddate decision environmental permit,2010-12-06 08:00:05,560872,,enter senddate decision environmental permit
2839858,enter date publication decision environmental permit,2010-12-08 08:00:02,560872,,enter date publication decision environmental permit
2839858,set phase: phase permitting irrevocable,2011-01-21 17:09:21,560872,,set phase: phase permitting irrevocable
2840219,register submission date request,2010-11-02 08:00:05,560925,,register submission date request
2840219,enter senddate procedure confirmation,2010-11-04 08:00:03,560925,,enter senddate procedure confirmation
2840219,registrer date of publishing received request,2010-11-17 08:00:04,560925,,registrer date of publishing received request
2840219,request complete,2010-11-26 00:11:35,560872,,request complete
2840219,phase advice known,2010-11-26 00:11:51,560872,,phase advice known
2840219,creating environmental permit decision,2010-11-26 00:12:12,560872,,creating environmental permit decision
2840219,register date environmental permit decision,2010-11-30 08:00:03,560872,,register date environmental permit decision
2840219,enter senddate decision environmental permit,2010-12-06 08:00:06,560872,,enter senddate decision environmental permit
2840219,enter senddate procedure confirmation,2010-12-06 08:00:07,560872,,enter senddate procedure confirmation
2840219,enter date publication decision environmental permit,2010-12-08 08:00:03,560872,,enter date publication decision environmental permit
2840219,set phase: phase permitting irrevocable,2011-01-21 17:13:11,560872,,set phase: phase permitting irrevocable
2840553,register submission date request,2010-11-02 08:00:06,560925,,register submission date request
2840553,enter senddate procedure confirmation,2010-11-04 08:00:04,560925,,enter senddate procedure confirmation
2840553,registrer date of publishing received request,2010-11-17 08:00:05,560925,,registrer date of publishing received request
2840553,request complete,2010-11-25 20:53:44,560872,,request complete
2840553,phase advice known,2010-11-25 20:54:02,560872,,phase advice known
2840553,creating environmental permit decision,2010-11-25 20:54:50,560872,,creating environmental permit decision
2840553,register date environmental permit decision,2010-11-30 08:00:04,560872,,register date environmental permit decision
2840553,enter senddate decision environmental permit,2010-12-06 08:00:08,560872,,enter senddate decision environmental permit
2840553,enter senddate procedure confirmation,2010-12-06 08:00:09,560872,,enter senddate procedure confirmation
2840553,enter date publication decision environmental permit,2010-12-08 08:00:04,560872,,enter date publication decision environmental permit
2846764,register submission date request,2010-11-03 08:00:02,560872,,register submission date request
2846764,registrer date of publishing received request,2010-11-17 08:00:06,560872,,registrer date of publishing received request
2846764,request complete,2010-12-21 20:04:53,560881,,request complete
2846764,phase advice known,2011-01-21 19:29:00,560890,,phase advice known
2847199,register submission date request,2010-11-03 08:00:03,560872,,register submission date request
2847199,enter senddate procedure confirmation,2010-11-08 08:00:01,560872,,enter senddate procedure confirmation
2847199,registrer date of publishing received request,2010-11-17 08:00:07,560872,,registrer date of publishing received request
2847199,phase advice known,2010-11-23 21:39:37,560890,,phase advice known
2847199,enter senddate decision environmental permit,2010-11-26 08:00:01,560890,,enter senddate decision environmental permit
2847603,register submission date request,2010-11-02 08:00:07,560912,,register submission date request
2847603,enter senddate procedure confirmation,2010-11-08 08:00:03,560912,,enter senddate procedure confirmation
2847603,registrer date of publishing received request,2010-11-17 08:00:08,560912,,registrer date of publishing received request
2847603,enter senddate procedure confirmation,2010-12-08 08:00:05,560881,,enter senddate procedure confirmation
2847603,enter date decision procedure term extension,2010-12-23 08:00:01,560890,,enter date decision procedure term extension
2847603,enter senddate decision procedure term extension,2010-12-23 08:00:02,560890,,enter senddate decision procedure term extension
2847603,extend procedure term,2010-12-23 19:20:54,560890,,extend procedure term
2847603,grounds for refusal,2011-05-17 21:00:25,3273854,,grounds for refusal
2847603,suspension ground applicable,2011-05-17 21:00:26,3273854,,suspension ground applicable
2847603,by law,2011-05-17 21:00:27,3273854,,by law
2847603,creating environmental permit decision,2011-05-17 21:00:28,3273854,,creating environmental permit decision
2847603,enter senddate decision environmental permit,2011-05-18 07:00:01,560890,,enter senddate decision environmental permit
2848063,register submission date request,2010-11-04 08:00:05,560872,,register submission date request
2848063,enter senddate procedure confirmation,2010-11-08 08:00:04,560872,,enter senddate procedure confirmation
2848063,enter senddate procedure confirmation,2010-11-10 08:00:04,560890,,enter senddate procedure confirmation
2848063,registrer date of publishing received request,2010-11-17 08:00:09,560872,,registrer date of publishing received request
2848063,request complete,2010-12-24 20:25:12,560890,,request complete
2848063,phase advice known,2010-12-24 20:25:46,560890,,phase advice known
2848063,creating environmental permit decision,2010-12-24 20:26:01,560890,,creating environmental permit decision
2851738,register submission date request,2010-11-04 08:00:06,560912,,register submission date request
2851738,enter senddate procedure confirmation,2010-11-09 08:00:01,560912,,enter senddate procedure confirmation
2851738,registrer date of publishing received request,2010-11-17 08:00:10,560912,,registrer date of publishing received request
2851738,enter senddate procedure confirmation,2010-12-21 08:00:01,1898401,,enter senddate procedure confirmation
2851738,request complete,2010-12-21 22:25:43,1898401,,request complete
2851738,phase advice known,2011-01-26 20:22:02,560881,,phase advice known
2851738,register date environmental permit decision,2011-03-08 08:00:02,560890,,register date environmental permit decision
2852274,register submission date request,2010-11-04 08:00:07,560912,,register submission date request
2852274,enter senddate procedure confirmation,2010-11-09 08:00:02,560912,,enter senddate procedure confirmation
2852274,registrer date of publishing received request,2010-11-17 08:00:11,560912,,registrer date of publishing received request
2854000,enter senddate procedure confirmation,2010-11-09 08:00:03,560881,,enter senddate procedure confirmation
2854000,registrer date of publishing received request,2010-11-17 08:00:12,560912,,registrer date of publishing received request
2854000,enter senddate retrieve missing data,2010-12-07 08:00:06,560881,,enter senddate retrieve missing data
2857143,register submission date request,2010-11-09 08:00:05,560925,,register submission date request
2857143,registrer date of publishing received request,2010-11-24 08:00:03,560872,,registrer date of publishing received request
2857143,enter senddate procedure confirmation,2010-12-08 08:00:06,560881,,enter senddate procedure confirmation
2857143,request complete,2010-12-08 22:51:02,560881,,request complete
2857143,phase advice known,2010-12-14 17:20:43,560890,,phase advice known
2857143,register date environmental permit decision,2010-12-16 08:00:02,560890,,register date environmental permit decision
2866083,register submission date request,2010-11-11 08:00:01,560872,,register submission date request
2866083,enter senddate procedure confirmation,2010-11-18 08:00:04,560881,,enter senddate procedure confirmation
2866083,registrer date of publishing received request,2010-12-01 08:00:01,560872,,registrer date of publishing received request
2866083,request complete,2010-12-06 21:02:18,560881,,request complete
2866083,enter date termination request received,2011-01-05 08:00:01,560912,,enter date termination request received
2866083,enter senddate confirmation request,2011-01-25 08:00:01,560912,,enter senddate confirmation request
2868276,enter senddate procedure confirmation,2010-11-18 08:00:06,560872,,enter senddate procedure confirmation
2868276,registrer date of publishing received request,2010-12-01 08:00:02,560872,,registrer date of publishing received request
2868276,register date environmental permit decision,2010-12-06 08:00:10,560890,,register date environmental permit decision
2868276,enter senddate procedure confirmation,2010-12-07 08:00:07,560881,,enter senddate procedure confirmation
2868276,request complete,2010-12-07 18:37:59,560881,,request complete
2868276,creating environmental permit decision,2010-12-07 19:47:04,560890,,creating environmental permit decision
2868276,enter senddate decision environmental permit,2010-12-10 08:00:01,560890,,enter senddate decision environmental permit
2868276,enter date publication decision environmental permit,2010-12-15 08:00:03,560890,,enter date publication decision environmental permit
2868714,register submission date request,2010-11-15 08:00:01,560872,,register submission date request
2868714,enter senddate procedure confirmation,2010-11-18 08:00:07,560872,,enter senddate procedure confirmation
2868714,registrer date of publishing received request,2010-12-01 08:00:03,560872,,registrer date of publishing received request
2868714,enter senddate procedure confirmation,2010-12-06 08:00:11,560890,,enter senddate procedure confirmation
2868714,enter senddate retrieve missing data,2010-12-06 08:00:12,560881,,enter senddate retrieve missing data
2868714,enter receipt of additional data,2010-12-29 08:00:01,560912,,enter receipt of additional data
2868714,request complete,2011-01-18 22:57:17,560890,,request complete
2868714,phase advice known,2011-01-18 22:59:56,560890,,phase advice known
2871542,register submission date request,2010-11-16 08:00:01,560872,,register submission date request
2871542,enter senddate acknowledgement,2010-11-22 08:00:01,560872,,enter senddate acknowledgement
2871542,registrer date of publishing received request,2010-12-01 08:00:04,560872,,registrer date of publishing received request
2871542,request complete,2011-03-07 17:38:46,560872,,request complete
2871542,phase advice known,2011-03-07 17:39:09,560872,,phase advice known
2871542,create draft environtmental permit,2011-03-07 17:39:10,560872,,create draft environtmental permit
2871542,grounds for refusal,2011-03-07 17:39:11,560872,,grounds for refusal
2871542,generate draft decision environmental permit,2011-03-07 17:39:12,560872,,generate draft decision environmental permit
2871542,phase concept draft decision ready,2011-03-07 17:39:13,560872,,phase concept draft decision ready
2871542,publish official draft decision,2011-03-07 17:39:53,560872,,publish official draft decision
2871542,enter date advice on treatment of environmental permit,2011-03-08 08:00:03,560872,,enter date advice on treatment of environmental permit
2871542,enter date draft decisionenvironmental permit,2011-03-08 08:00:04,560872,,enter date draft decisionenvironmental permit
2871542,date draft decision for inspection,2011-03-16 08:00:01,560872,,date draft decision for inspection
2871542,publication date draft decision,2011-03-16 08:00:02,560872,,publication date draft decision
2871542,suspension ground applicable,2011-03-28 19:23:57,560872,,suspension ground applicable
2871542,set phase: phase permitting irrevocable,2011-05-13 18:24:24,560872,,set phase: phase permitting irrevocable
2872584,register submission date request,2010-11-17 08:00:13,560872,,register submission date request
2872584,enter senddate acknowledgement,2010-11-22 08:00:02,560872,,enter senddate acknowledgement
2872584,registrer date of publishing received request,2010-12-01 08:00:05,560872,,registrer date of publishing received request
2872584,enter senddate confirmation request,2010-12-06 08:00:13,560872,,enter senddate confirmation request
2872584,enter senddate procedure confirmation,2010-12-06 08:00:14,560872,,enter senddate procedure confirmation
2872584,register date decision terminate on request,2010-12-06 08:00:15,560872,,register date decision terminate on request
2872584,stop process after terminate on request,2010-12-07 00:40:41,560872,,stop process after terminate on request
2873491,register submission date request,2010-11-16 08:00:02,560925,,register submission date request
2873491,enter senddate acknowledgement,2010-11-22 08:00:03,560925,,enter senddate acknowledgement
2873491,enter senddate letter to competent authority,2010-11-22 08:00:04,560925,,enter senddate letter to competent authority
2873491,enter senddate letter to stakeholders,2010-11-22 08:00:05,560925,,enter senddate letter to stakeholders
2874224,register submission date request,2010-11-18 08:00:09,560925,,register submission date request
2874224,enter senddate acknowledgement,2010-11-23 08:00:01,560912,,enter senddate acknowledgement
2874224,enter senddate procedure confirmation,2010-11-24 08:00:04,2670601,,enter senddate procedure confirmation
2874224,registrer date of publishing received request,2010-12-01 08:00:06,560912,,registrer date of publishing received request
2874224,enter senddate retrieve missing data,2010-12-21 08:00:02,2670601,,enter senddate retrieve missing data
2874224,enter receipt of additional data,2010-12-24 08:00:01,2670601,,enter receipt of additional data
2875758,enter senddate acknowledgement,2010-11-23 08:00:02,560925,,enter senddate acknowledgement
2875758,enter senddate procedure confirmation,2010-11-25 08:00:01,560925,,enter senddate procedure confirmation
2875758,registrer date of publishing received request,2010-12-01 08:00:07,560894,,registrer date of publishing received request
2875758,request complete,2011-01-11 21:54:59,560894,,request complete
2875758,phase advice known,2011-01-11 21:55:39,560894,,phase advice known
2875758,creating environmental permit decision,2011-01-11 21:56:06,560894,,creating environmental permit decision
2875758,register date environmental permit decision,2011-01-13 08:00:01,560894,,register date environmental permit decision
2875758,enter date publication decision environmental permit,2011-01-19 08:00:01,560894,,enter date publication decision environmental permit
2876753,enter senddate acknowledgement,2010-11-23 08:00:03,560872,,enter senddate acknowledgement
2876753,register submission date request,2010-11-23 08:00:04,560925,,register submission date request
2879904,register submission date request,2010-11-18 08:00:10,560912,,register submission date request
2879904,enter senddate procedure confirmation,2011-01-19 08:00:02,560912,,enter senddate procedure confirmation
2879904,registrer date of publishing received request,2011-01-26 08:00:01,560912,,registrer date of publishing received request
2883285,register submission date request,2010-10-19 07:00:04,560872,,register submission date request
2883285,register date environmental permit decision,2010-11-09 08:00:06,560872,,register date environmental permit decision
2883285,enter senddate decision environmental permit,2010-11-15 08:00:02,560872,,enter senddate decision environmental permit
2883285,enter senddate procedure confirmation,2010-11-15 08:00:03,560872,,enter senddate procedure confirmation
2883285,enter date publication decision environmental permit,2010-11-17 08:00:14,560872,,enter date publication decision environmental permit
2883285,registrer date of publishing received request,2010-11-17 08:00:15,560872,,registrer date of publishing received request
2883285,phase advice known,2010-11-25 20:41:25,560872,,phase advice known
2883285,creating environmental permit decision,2011-01-07 19:38:10,560872,,creating environmental permit decision
2883285,set phase: phase permitting irrevocable,2011-01-07 19:42:21,560872,,set phase: phase permitting irrevocable
2884070,enter senddate decision procedure term extension,2011-03-29 07:00:01,3273854,,enter senddate decision procedure term extension
2884070,enter senddate procedure confirmation,2011-03-29 07:00:02,3273854,,enter senddate procedure confirmation
2884070,register number of days extension period,2011-03-29 22:31:50,3273854,,register number of days extension period
2884070,request complete,2011-05-12 18:04:54,3273854,,request complete
2884070,phase advice known,2011-05-12 18:07:05,3273854,,phase advice known
2884070,grounds for refusal,2011-05-12 18:07:07,3273854,,grounds for refusal
2884070,creating environmental permit decision,2011-05-12 18:10:00,3273854,,creating environmental permit decision
2884070,enter senddate decision environmental permit,2011-05-13 07:00:01,560890,,enter senddate decision environmental permit
2884070,register date environmental permit decision,2011-05-13 07:00:02,560890,,register date environmental permit decision
2884070,enter date publication decision environmental permit,2011-05-25 07:00:01,560890,,enter date publication decision environmental permit
2887729,register submission date request,2010-11-23 08:00:05,560925,,register submission date request
2887729,enter senddate acknowledgement,2010-11-29 08:00:01,560925,,enter senddate acknowledgement
2887729,registrer date of publishing received request,2011-01-05 08:00:02,3273854,,registrer date of publishing received request
2887729,activities regular procedure,2011-10-28 18:03:17,560890,,activities regular procedure
2887729,detailed procedure applies,2011-10-28 18:03:18,560890,,detailed procedure applies
2887729,forward to the competent authority,2011-10-28 18:03:19,560890,,forward to the competent authority
2887729,phase application received,2011-10-28 18:03:20,560890,,phase application received
2887729,reception through OLO,2011-10-28 18:03:21,560890,,reception through OLO
2887729,registrer date of publishing received request,2011-10-28 18:03:22,560890,,registrer date of publishing received request
2887729,regular procedure without MER,2011-10-28 18:03:23,560890,,regular procedure without MER
2887729,send confirmation receipt,2011-10-28 18:03:24,560890,,send confirmation receipt
2887729,send procedure confirmation,2011-10-28 18:03:25,560890,,send procedure confirmation
2887729,subcases completeness completed,2011-10-28 18:03:26,560890,,subcases completeness completed
2887729,treat subcases completeness,2011-10-28 18:03:27,560890,,treat subcases completeness
2887729,WAW permit aspect,2011-10-28 18:03:28,560890,,WAW permit aspect
2887729,applicant is stakeholder,2011-10-28 18:03:29,560890,,applicant is stakeholder
2887729,article 34  WABO applies,2011-10-28 18:03:30,560890,,article 34  WABO applies
2887729,assessment of content completed,2011-10-28 18:03:31,560890,,assessment of content completed
2887729,completed subcases content,2011-10-28 18:03:32,560890,,completed subcases content
2887729,create draft environtmental permit,2011-10-28 18:03:33,560890,,create draft environtmental permit
2887729,extend procedure term,2011-10-28 18:03:34,560890,,extend procedure term
2887729,grounds for refusal,2011-10-28 18:03:35,560890,,grounds for refusal
2887729,phase advice known,2011-10-28 18:03:36,560890,,phase advice known
2887729,phase application receptive,2011-10-28 18:03:37,560890,,phase application receptive
2887729,request complete,2011-10-28 18:03:38,560890,,request complete
2887729,terminate on request,2011-10-28 18:03:39,560890,,terminate on request
2887729,treat subcases content,2011-10-28 18:03:40,560890,,treat subcases content
2887729,generate draft decision environmental permit,2011-10-28 18:03:41,560890,,generate draft decision environmental permit
2887729,phase concept draft decision ready,2011-10-28 18:03:42,560890,,phase concept draft decision ready
2887729,enter date draft decisionenvironmental permit,2011-10-28 18:04:08,560890,,enter date draft decisionenvironmental permit
2887729,publish official draft decision,2011-10-28 18:07:04,560890,,publish official draft decision
2887729,send design decision to stakeholders,2011-10-28 18:07:12,560890,,send design decision to stakeholders
2887943,register submission date request,2010-11-26 08:00:02,560872,,register submission date request
2887943,enter senddate acknowledgement,2010-11-29 08:00:02,560872,,enter senddate acknowledgement
2887943,enter senddate procedure confirmation,2010-12-03 08:00:01,560881,,enter senddate procedure confirmation
2887943,registrer date of publishing received request,2010-12-03 08:00:03,560881,,registrer date of publishing received request
2887943,enter senddate retrieve missing data,2010-12-23 08:00:03,560881,,enter senddate retrieve missing data
2887943,enter receipt of additional data,2011-01-26 08:00:02,560881,,enter receipt of additional data
2887943,request complete,2011-02-15 21:58:06,560881,,request complete
2887943,phase advice known,2011-02-15 21:58:18,560881,,phase advice known
2887943,creating environmental permit decision,2011-02-16 20:30:21,560881,,creating environmental permit decision
2887943,register date environmental permit decision,2011-02-23 08:00:01,560894,,register date environmental permit decision
2890437,register submission date request,2010-11-23 08:00:06,560925,,register submission date request
2890437,enter senddate acknowledgement,2010-11-30 08:00:05,560925,,enter senddate acknowledgement
2890437,registrer date of publishing received request,2010-12-01 08:00:08,560894,,registrer date of publishing received request
2890437,enter senddate procedure confirmation,2010-12-06 08:00:16,560894,,enter senddate procedure confirmation
2891205,register submission date request,2010-11-18 08:00:11,560925,,register submission date request
2891205,enter senddate acknowledgement,2010-11-30 08:00:06,560925,,enter senddate acknowledgement
2891205,registrer date of publishing received request,2010-12-01 08:00:09,560872,,registrer date of publishing received request
2891205,enter senddate procedure confirmation,2010-12-13 08:00:01,560872,,enter senddate procedure confirmation
2891205,enter date decision procedure term extension,2011-01-12 08:00:01,2670601,,enter date decision procedure term extension
2891205,enter senddate decision procedure term extension,2011-01-12 08:00:02,2670601,,enter senddate decision procedure term extension
2891205,enter senddate procedure confirmation,2011-02-07 08:00:01,560890,,enter senddate procedure confirmation
2891205,register date environmental permit decision,2011-05-24 07:00:01,560890,,register date environmental permit decision
2891205,request complete,2011-05-24 19:33:06,560890,,request complete
2891205,phase advice known,2011-05-24 19:33:20,560890,,phase advice known
2891205,creating environmental permit decision,2011-05-24 19:33:53,560890,,creating environmental permit decision
2891205,enter date publication decision environmental permit,2011-06-01 07:00:01,560890,,enter date publication decision environmental permit
2891719,register submission date request,2010-11-30 08:00:07,560925,,register submission date request
2891719,enter senddate acknowledgement,2010-12-02 08:00:01,560925,,enter senddate acknowledgement
2891719,registrer date of publishing received request,2010-12-15 08:00:04,560872,,registrer date of publishing received request
2891719,enter senddate procedure confirmation,2010-12-21 08:00:03,560890,,enter senddate procedure confirmation
2891719,register date environmental permit decision,2011-01-24 08:00:01,560890,,register date environmental permit decision
2891719,request complete,2011-01-24 19:39:29,560890,,request complete
2891719,phase advice known,2011-01-24 19:39:45,560890,,phase advice known
2891719,enter senddate decision environmental permit,2011-01-28 08:00:01,560890,,enter senddate decision environmental permit
2891719,enter date publication decision environmental permit,2011-02-02 08:00:01,560890,,enter date publication decision environmental permit
2899336,register submission date request,2010-11-30 08:00:08,560872,,register submission date request
2899336,enter senddate acknowledgement,2010-12-02 08:00:02,560872,,enter senddate acknowledgement
2899336,enter senddate procedure confirmation,2010-12-02 08:00:03,560881,,enter senddate procedure confirmation
2899336,enter senddate procedure confirmation,2010-12-06 08:00:18,560872,,enter senddate procedure confirmation
2899336,registrer date of publishing received request,2010-12-15 08:00:05,560872,,registrer date of publishing received request
2899336,enter senddate retrieve missing data,2010-12-23 08:00:04,560881,,enter senddate retrieve missing data
2899336,request complete,2011-02-21 20:52:49,560881,,request complete
2899336,phase advice known,2011-02-21 20:52:58,560881,,phase advice known
2899336,enter senddate decision environmental permit,2011-02-23 08:00:02,560894,,enter senddate decision environmental permit
2899336,register date environmental permit decision,2011-02-23 08:00:03,560894,,register date environmental permit decision
2899336,enter date publication decision environmental permit,2011-03-02 08:00:01,560894,,enter date publication decision environmental permit
2900428,register submission date request,2010-11-18 08:00:12,560872,,register submission date request
2900428,enter senddate acknowledgement,2010-12-03 08:00:04,560872,,enter senddate acknowledgement
2900428,send procedure confirmation,2011-07-08 19:10:45,2670601,,send procedure confirmation
2901823,register submission date request,2010-11-30 08:00:09,560872,,register submission date request
2901823,enter senddate acknowledgement,2010-12-03 08:00:05,560872,,enter senddate acknowledgement
2902319,register submission date request,2010-11-29 08:00:03,560872,,register submission date request
2902319,enter senddate acknowledgement,2010-12-03 08:00:06,560872,,enter senddate acknowledgement
2902319,enter senddate procedure confirmation,2010-12-06 08:00:20,560872,,enter senddate procedure confirmation
2902319,registrer date of publishing received request,2010-12-15 08:00:06,560872,,registrer date of publishing received request
2902319,enter senddate retrieve missing data,2010-12-23 08:00:05,560881,,enter senddate retrieve missing data
2902319,enter receipt of additional data,2011-01-24 08:00:02,560881,,enter receipt of additional data
2902319,request complete,2011-02-08 18:07:21,560881,,request complete
2902319,phase advice known,2011-02-08 18:07:35,560881,,phase advice known
