Case,Timestamp,Resource,Activity,Activity_fixed,label
3265011,2011-04-13 07:00:13,560890,enter date publicationd ecision environmental permit,enter date publication decision environmental permit,distorted label(Interchange)
3292122,2011-04-19 23:01:19,560890,rqeuest complete,rqeuest complete,distorted label(Interchange)
3330161,2011-04-22 07:00:01,3273854,enter senddate procedure confirmoation,enter senddate procedure confirmation,distorted label(Insert)
3356696,2011-04-21 07:00:14,560872,enter senddate acknow/edgement,enter senddate acknowledgement,distorted label(Proximity)
3407887,2011-05-23 15:20:32,3273854,bg law,bg law,distorted label(Proximity)
3438592,2011-05-11 07:00:05,560872,register submbission date request,register submission date request,distorted label(Insert)
3456494,2011-05-26 07:00:07,560872,enter senddate acknowledgemnt,enter senddate acknowledgement,distorted label(Skip)
3458528,2011-06-21 07:00:12,560890,enter senddatae decision environmental permit,enter senddate decision environmental permit,distorted label(Insert)
3459618,2011-06-06 16:57:48,3273854,By law,By law,distorted label(UpLow)
3460499,2011-05-23 07:00:06,560872,Register submission date request,register submission date request,distorted label(UpLow)
3460499,2011-06-24 16:27:12,3273854,Suspension ground applicable,suspension ground applicable,distorted label(UpLow)
3537750,2011-08-04 21:01:02,2670601,genrate publication document decision environmental permit,generate publication document decision environmental permit,distorted label(Skip)
3598533,2011-07-29 18:53:38,2670601,no pHermit needed or only notification needed,no permit needed or only notification needed,distorted label(Insert)
3601105,2011-07-08 16:58:07,560872,send procecure confirmation,send procecure confirmation,distorted label(Proximity)
3604677,2012-03-20 18:38:31,3273854,creating environmental permit deciRsion,creating environmental permit decision,distorted label(Insert)
3622039,2011-08-26 22:55:13,3273854,completed Nsubcases content,completed subcases content,distorted label(Insert)
3642802,2011-10-28 23:15:20,560462,pmhase application received,phase application received,distorted label(Insert)
3693886,2011-09-15 22:53:08,2670601,send confirmation recei;t,send confirmation receipt,distorted label(Proximity)
3693886,2011-09-29 22:04:00,3273854,send letter in progresws,send letter in progress,distorted label(Insert)
3748812,2011-08-19 07:00:02,560872,enter senddzate procedure confirmation,enter senddate procedure confirmation,distorted label(Insert)
3748812,2011-09-12 18:43:18,3273854,groudns for refusal,groudns for refusal,distorted label(Interchange)
3755625,2011-08-29 17:53:23,560872,creating environmental permitd ecision,creating environmental permit decision,distorted label(Interchange)
3833062,2011-09-20 00:02:19,3273854,sehd confirmation receipt,sehd confirmation receipt,distorted label(Proximity)
3833062,2011-10-28 15:42:51,560890,Transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,distorted label(UpLow)
3833827,2011-11-04 00:59:58,2670601,creatin genvironmental permit decision,creating environmental permit decision,distorted label(Interchange)
3837125,2011-09-13 20:22:43,3273854,assessment of cohtent completed,assessment of content completed,distorted label(Proximity)
3852444,2011-10-04 20:15:44,3273854,creating environmental prmit decision,creating environmental permit decision,distorted label(Skip)
3853149,2011-09-28 07:00:08,560872,registBration date publication,registration date publication,distorted label(Insert)
3853149,2011-10-13 21:56:14,3273854,phase advice .nown,phase advice .nown,distorted label(Proximity)
3930617,2011-10-04 07:00:08,560872,Register submission date request,register submission date request,distorted label(UpLow)
3944991,2011-10-24 17:56:26,3273854,phase advice nkown,phase advice nkown,distorted label(Interchange)
4024862,2011-10-31 17:51:37,560872,regular procedure ithout MER,regular procedure without MER,distorted label(Skip)
4242727,2012-02-01 08:00:06,2670601,enter senddate deciison procedure term extension,enter senddate decision procedure term extension,distorted label(Interchange)
4336128,2011-12-23 08:00:09,560872,register submisison date request,register submisison date request,distorted label(Interchange)
4495310,2012-01-16 08:00:01,560925,register submiGssion date request,register submission date request,distorted label(Insert)
4495310,2012-01-30 23:22:32,3273854,Grounds for refusal,grounds for refusal,distorted label(UpLow)
4499247,2012-01-20 16:32:37,560872,send procedure ocnfirmation,send procedure ocnfirmation,distorted label(Interchange)
4557918,2012-03-22 08:00:01,560890,Enter senddate decision environmental permit,enter senddate decision environmental permit,distorted label(UpLow)
4565008,2013-08-29 07:00:12,560950,term for submiting updated plan,term for submitting updated plan,distorted label(Skip)
4589612,2012-03-23 19:30:37,2670601,Send letter in progress,send letter in progress,distorted label(UpLow)
4604206,2012-02-09 23:57:32,560872,phase application rexeived,phase application rexeived,distorted label(Proximity)
4604206,2012-02-10 08:00:05,560872,enter esnddate procedure confirmation,enter esnddate procedure confirmation,distorted label(Interchange)
4640117,2012-02-13 08:00:08,560872,register submission ate request,register submission date request,distorted label(Skip)
4772933,2012-03-22 19:40:51,560872,Send confirmation receipt,send confirmation receipt,distorted label(UpLow)
4775758,2012-04-17 20:51:36,2670601,request coplete,request coplete,distorted label(Skip)
4775758,2012-04-17 20:51:48,2670601,reating environmental permit decision,creating environmental permit decision,distorted label(Skip)
4809047,2012-04-18 22:51:05,2670601,procedure chnge,procedure chnge,distorted label(Skip)
4811268,2013-08-26 07:00:15,560890,send letter in progess,send letter in progess,distorted label(Skip)
4821209,2012-03-30 19:48:27,560872,creatign environmental permit decision,creating environmental permit decision,distorted label(Interchange)
4833387,2012-04-03 17:05:58,560912,send proecdure confirmation,send proecdure confirmation,distorted label(Interchange)
4863262,2012-04-12 16:46:51,560872,send confirmation rrceipt,send confirmation rrceipt,distorted label(Proximity)
4958200,2012-05-03 18:00:34,560872,phaseR application received,phase application received,distorted label(Insert)
4958200,2012-09-04 21:08:47,3273854,assessment of ontent completed,assessment of content completed,distorted label(Skip)
4963153,2012-05-31 19:03:32,3273854,assessment of content competed,assessment of content completed,distorted label(Skip)
5019310,2012-05-14 19:49:33,560912,start WABOprocedpure,start WABOprocedpure,distorted label(Insert)
5019310,2012-06-07 23:31:25,3273854,Creating environmental permit decision,creating environmental permit decision,distorted label(UpLow)
5028918,2012-05-15 20:53:07,560912,Send confirmation receipt,send confirmation receipt,distorted label(UpLow)
5051625,2012-05-22 21:19:11,560925,send confirmation eceipt,send confirmation receipt,distorted label(Skip)
5069099,2012-07-11 22:35:40,2670601,start WAHOprocedure,start WAHOprocedure,distorted label(Proximity)
5069099,2013-03-07 08:00:01,560890,date draft decision f;r inspection,date decision for inspection,distorted label(Proximity)
5069099,2013-04-22 16:02:50,560890,Register date environmental permit decision,register date environmental permit decision,distorted label(UpLow)
5073249,2012-05-25 20:21:28,560872,regulark procedure without MER,regular procedure without MER,distorted label(Insert)
5105222,2012-06-04 21:15:50,560912,Phase application received,phase application received,distorted label(UpLow)
5220444,2012-06-26 07:00:07,560872,enter senddate procedure c;nfirmation,enter senddate procedure confirmation,distorted label(Proximity)
5220444,2012-07-23 22:34:57,3273854,Completed subcases content,completed subcases content,distorted label(UpLow)
5288872,2012-07-12 16:43:36,560872,start WABOpocedure,start WABOpocedure,distorted label(Skip)
5288872,2013-05-06 07:00:40,3273854,send decision swuspension,send decision swuspension,distorted label(Insert)
5288872,2013-05-13 07:00:04,560890,generatin decision environmental permit,generating decision environmental permit,distorted label(Skip)
5327966,2012-09-17 18:15:45,3273854,completed subcases contnet,completed subcases contnet,distorted label(Interchange)
5367672,2012-10-01 17:07:52,3273854,objection to permabent suspension received,objection to permanent suspension received,distorted label(Proximity)
5736755,2012-10-19 15:17:01,560890,transcript decision environmental prrmit to stakeholders,transcript decision environmental permit to stakeholders,distorted label(Proximity)
5790328,2012-08-30 07:00:04,560925,register submission date Nrequest,register submission date request,distorted label(Insert)
5792647,2012-09-04 21:39:32,560912,send procedure cohfirmation,send procedure cohfirmation,distorted label(Proximity)
5805909,2012-10-02 22:14:45,560890,enter senddate decision envronmental permit,enter senddate decision environmental permit,distorted label(Skip)
5805909,2012-10-11 07:00:02,560890,Date decision for inspection,date decision for inspection,distorted label(UpLow)
5808114,2012-09-06 19:23:55,560872,phase zpplication received,phase zpplication received,distorted label(Proximity)
5808114,2012-09-06 19:26:00,560872,regular procedure without EMR,regular procedure without MER,distorted label(Interchange)
5808114,2012-12-10 17:53:04,560890,Phase decision taken,phase decision taken,distorted label(UpLow)
5910758,2012-10-01 16:18:44,560872,regular procedure withou MER,regular procedure without MER,distorted label(Skip)
5910758,2012-11-12 20:18:39,2670601,Request complete,request complete,distorted label(UpLow)
5912784,2012-10-01 16:48:49,560872,send confirmatiob receipt,send confirmatiob receipt,distorted label(Proximity)
5912784,2012-10-01 16:50:51,560872,Send procedure confirmation,send procedure confirmation,distorted label(UpLow)
5956048,2012-10-11 20:08:22,560872,send confirmahion receipt,send confirmahion receipt,distorted label(Proximity)
5956048,2012-10-11 20:12:48,560872,regjlar procedure without MER,regular procedure without MER,distorted label(Proximity)
5961714,2012-10-12 16:33:13,560872,sen procedure confirmation,send procedure confirmation,distorted label(Skip)
5962738,2012-10-11 07:00:06,560872,egister submission date request,register submission date request,distorted label(Skip)
5965990,2012-10-31 01:03:29,3273854,Suspension ground applicable,suspension ground applicable,distorted label(UpLow)
6009005,2012-10-25 18:14:35,560872,phase applicaton received,phase application received,distorted label(Skip)
6196539,2012-11-27 18:56:35,3273854,phaseu advice known,phaseu advice known,distorted label(Insert)
6196539,2012-11-27 18:56:45,3273854,Creating environmental permit decision,creating environmental permit decision,distorted label(UpLow)
6224787,2012-11-22 19:45:18,560872,regular uprocedure without MER,regular procedure without MER,distorted label(Insert)
6224787,2013-10-15 07:00:13,560890,phase decision atken,phase decision atken,distorted label(Interchange)
6270958,2012-11-26 08:00:03,560872,Register submission date request,register submission date request,distorted label(UpLow)
6270958,2012-11-29 16:46:37,560872,send ocnfirmation receipt,send ocnfirmation receipt,distorted label(Interchange)
6289142,2013-04-11 22:52:59,2670601,requfst complete,requfst complete,distorted label(Proximity)
6289142,2013-04-16 23:32:04,2670601,sbumit decision,sbumit decision,distorted label(Interchange)
6364598,2014-02-13 08:00:40,560950,send eltter in progress,send eltter in progress,distorted label(Interchange)
6364598,2014-02-27 08:00:01,560950,set decision phase inspection of decision permittign,set decision phase inspection of decision permitting,distorted label(Interchange)
6453499,2013-02-18 08:00:05,2670601,start decision phase extension garnted,start decision phase extension garnted,distorted label(Interchange)
6641576,2013-03-15 17:08:11,560890,transcript decision environmental permit to stskeholders,transcript decision environmental permit to stakeholders,distorted label(Proximity)
6641576,2013-03-15 17:08:23,560890,phase decisi;n sent,phase decisi;n sent,distorted label(Proximity)
6656063,2013-02-08 19:24:04,2670601,start WABOproceduer,start WABOproceduer,distorted label(Interchange)
6728358,2013-04-02 19:29:32,3273854,gronuds for refusal,gronuds for refusal,distorted label(Interchange)
6728358,2013-04-08 16:55:33,3273854,subcade art. 33 WABO completed,subcase art. 33 WABO completed,distorted label(Proximity)
6934897,2013-03-11 19:03:04,560872,rceate procedure confirmation,create procedure confirmation,distorted label(Interchange)
6934897,2013-04-26 16:24:59,2670601,submit deciion,submit deciion,distorted label(Skip)
6941059,2013-04-15 07:00:06,560872,start decsiion phase decision permitting sent,start decision phase decision permitting sent,distorted label(Interchange)
6969255,2013-05-23 07:00:29,2670601,decision keiep permanently suspended,decision keep permanently suspended,distorted label(Insert)
6969255,2013-05-23 07:00:33,2670601,Set decision status,Set decision status,distorted label(UpLow)
7033413,2013-03-21 22:15:34,560872,phase applicztion received,phase applicztion received,distorted label(Proximity)
7071988,2013-05-14 07:00:26,3273854,requesti complete,requesti complete,distorted label(Insert)
7071988,2013-08-05 07:00:04,3273854,ask stakebolders views,ask stakebolders views,distorted label(Proximity)
7071988,2013-08-05 07:00:09,3273854,creating environmegtal permit decision,creating environmental permit decision,distorted label(Proximity)
7071988,2013-08-05 07:00:12,3273854,enter enddate of susension,enter enddate of suspension,distorted label(Skip)
7071988,2013-08-05 07:00:14,3273854,enher senddate decision suspension,enter senddate decision suspension,distorted label(Proximity)
7071988,2013-08-05 07:00:21,3273854,procedure hange,procedure hange,distorted label(Skip)
7071988,2013-08-06 07:00:18,560890,phase decision aken,phase decision aken,distorted label(Skip)
7077803,2013-06-14 07:00:05,3273854,Receive additional information,receive additional information,distorted label(UpLow)
7077803,2013-06-25 07:00:10,3273854,Decision date prior to decision,decision date prior to decision,distorted label(UpLow)
7077803,2013-06-25 07:00:16,560890,pgase decision sent,pgase decision sent,distorted label(Proximity)
7163104,2013-05-23 07:01:00,3273854,assessment of content coYmpleted,assessment of content completed,distorted label(Insert)
7163104,2013-05-23 07:01:01,3273854,bu law,bu law,distorted label(Proximity)
7166516,2013-05-23 07:01:24,3273854,creahe publication document,creahe publication document,distorted label(Proximity)
7166516,2013-05-24 07:00:55,560890,phase decision readu,phase decision ready,distorted label(Proximity)
7209451,2013-05-21 07:01:38,3273854,retrieve missing daat,retrieve missing data,distorted label(Interchange)
7209451,2013-07-05 07:00:03,3273854,start decision sphase extension granted,start decision phase extension granted,distorted label(Insert)
7258136,2013-04-22 20:02:00,560872,phase application receivevd,phase application received,distorted label(Insert)
7258136,2013-08-26 07:00:50,560950,enter senddate decision envirogmental permit,enter senddate decision environmental permit,distorted label(Proximity)
7258136,2013-11-07 08:00:17,560950,Decision date prior to decision,decision date prior to decision,distorted label(UpLow)
7258136,2013-11-07 08:00:41,560950,send letter in pfogress,send letter in pfogress,distorted label(Proximity)
7358567,2013-06-24 07:00:44,2670601,coordknation of application,coordknation of application,distorted label(Proximity)
7358567,2013-06-24 07:00:48,560890,enter senddatr decision,enter senddate decision,distorted label(Proximity)
7398246,2013-05-13 07:00:49,560872,create publicwtion document,create publicwtion document,distorted label(Proximity)
7398246,2013-05-24 07:01:01,560872,article 34  WABO spplies,article 34  WABO spplies,distorted label(Proximity)
7398246,2013-05-24 07:01:07,560872,create subcasew completeness,create subcasew completeness,distorted label(Proximity)
7398246,2013-08-16 07:00:11,560462,read publication date filed,read publication date filed,distorted label(Interchange)
7398246,2013-08-16 07:00:12,560462,stop lal running subcases 2b,stop lal running subcases 2b,distorted label(Interchange)
7436427,2013-05-16 07:00:31,560912,LLO messaging active,OLO messaging active,distorted label(Proximity)
7436427,2013-06-13 07:00:37,2670601,procedure cphange,procedure cphange,distorted label(Insert)
7469823,2013-05-22 07:00:21,560912,forward ot the competent authority,forward ot the competent authority,distorted label(Interchange)
7469823,2013-12-06 08:00:03,560872,assessment of conent completed,assessment of content completed,distorted label(Skip)
7469823,2013-12-06 08:00:07,560872,create proceure confirmation,create procedure confirmation,distorted label(Skip)
7469823,2013-12-06 08:00:11,560872,Enter date advice on treatment of environmental permit,Enter date advice on treatment of environmental permit,distorted label(UpLow)
7469823,2013-12-06 08:00:26,560872,tread field phased application,read field phased application,distorted label(Insert)
7469823,2013-12-06 08:00:27,560872,regular proceduer without MER,regular proceduer without MER,distorted label(Interchange)
7469823,2013-12-06 08:00:28,560872,rquest complete,request complete,distorted label(Skip)
7469823,2013-12-06 08:00:31,560872,set drcision status,set drcision status,distorted label(Proximity)
7469823,2014-06-02 07:00:05,560872,Decision date prior to decision,decision date prior to decision,distorted label(UpLow)
7469823,2014-06-02 07:00:13,560872,hpase decision taken,phase decision taken,distorted label(Interchange)
7469823,2014-08-04 07:00:07,560872,reaAd publication date field,read publication date field,distorted label(Insert)
7491439,2013-06-25 07:01:24,2670601,Generating decision environmental permit,generating decision environmental permit,distorted label(UpLow)
7491439,2013-06-25 07:01:25,2670601,Grounds for refusal,grounds for refusal,distorted label(UpLow)
7603415,2013-06-07 07:02:18,560872,OLO messaglng active,OLO messaglng active,distorted label(Proximity)
7603415,2013-06-10 07:00:33,560872,Enter senddate acknowledgement,enter senddate acknowledgement,distorted label(UpLow)
7603415,2013-07-02 07:00:15,560890,enter senddate decision environmentxl permit,enter senddate decision environmental permit,distorted label(Proximity)
7603415,2013-07-02 07:00:27,2670601,Request complete,request complete,distorted label(UpLow)
7611323,2013-07-05 07:00:19,560890,enter senddate decisione nvironmental permit,enter senddate decision environmental permit,distorted label(Interchange)
7611323,2013-07-05 07:00:23,560890,startH decision phase decision permitting sent,start decision phase decision permitting sent,distorted label(Insert)
7641047,2013-06-13 07:01:04,560912,OLOH messaging active,OLOH messaging active,distorted label(Insert)
7641047,2013-06-13 07:01:07,560912,Forward to the competent authority,forward to the competent authority,distorted label(UpLow)
7641047,2013-08-05 07:00:37,3273854,assNessment of content completed,assessment of content completed,distorted label(Insert)
7641047,2013-08-05 07:00:48,3273854,phase application receptivXe,phase application receptive,distorted label(Insert)
7716906,2013-07-09 07:00:29,560890,phasw decision taken,phasw decision taken,distorted label(Proximity)
7716906,2013-07-09 07:00:38,2670601,sumit decision,sumit decision,distorted label(Skip)
7760025,2013-08-13 07:00:05,560890,creating cover letter dcision,creating cover letter decision,distorted label(Skip)
7835964,2013-07-08 07:00:42,560872,Create procedure confirmation,create procedure confirmation,distorted label(UpLow)
7835964,2013-10-07 07:00:05,3273854,assessment of content xompleted,assessment of content completed,distorted label(Proximity)
7835964,2013-10-07 07:00:14,3273854,segd confirmation receipt,segd confirmation receipt,distorted label(Proximity)
7835964,2013-10-29 08:00:05,560890,generate draft decision environmenthal permit,generate draft decision environmental permit,distorted label(Insert)
7835964,2013-11-04 08:00:05,560890,egter date draft decisionenvironmental permit,enter date draft decisionenvironmental permit,distorted label(Proximity)
7835964,2013-12-17 08:00:23,560890,enter senddateR decision,enter senddate decision,distorted label(Insert)
7857775,2013-07-11 07:00:10,560872,send confirmation reciept,send confirmation reciept,distorted label(Interchange)
7874918,2013-07-17 07:00:03,560872,forward to the competegt authority,forward to the competent authority,distorted label(Proximity)
7874918,2013-08-28 07:00:02,2670601,article 34  WABO ap;lies,article 34  WABO applies,distorted label(Proximity)
7874918,2013-08-28 07:00:16,2670601,phase concept decpision ready,phase concept draft decision ready,distorted label(Insert)
7874918,2013-08-28 07:00:19,2670601,procdeure change after completeness,procdeure change after completeness,distorted label(Interchange)
7882529,2013-07-18 07:00:13,560872,OLO messagNing active,OLO messagNing active,distorted label(Insert)
7882529,2013-07-18 07:00:22,560872,start WAOBprocedure,start WAOBprocedure,distorted label(Interchange)
7882529,2013-08-20 07:00:59,3273854,phase acvice known,phase acvice known,distorted label(Proximity)
7948785,2013-11-11 08:00:40,560890,Transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,distorted label(UpLow)
7987079,2013-08-28 07:00:31,2670601,Coordination of application,coordination of application,distorted label(UpLow)
8164167,2013-10-04 07:00:45,560890,article 34  WABI applies,article 34  WABI applies,distorted label(Proximity)
8164167,2013-10-04 07:00:57,560890,Enter senddate decision environmental permit,enter senddate decision environmental permit,distorted label(UpLow)
8198371,2013-10-11 07:00:14,3273854,treat subcases cotntent,treat subcases cotntent,distorted label(Insert)
8198371,2013-10-22 07:00:07,3273854,assessment of ontent completed,assessment of content completed,distorted label(Skip)
8198371,2013-10-22 07:00:17,3273854,pqhase advice known,phase advice known,distorted label(Insert)
8219345,2013-10-08 07:00:16,3273854,Create publication document,Create publication document,distorted label(UpLow)
8238071,2013-09-09 07:01:05,560872,Forward to the competent authority,forward to the competent authority,distorted label(UpLow)
8238071,2013-10-15 07:02:27,3273854,Ask stakeholders views,Ask stakeholders views,distorted label(UpLow)
8238071,2013-10-15 07:02:36,3273854,Creating environmental permit decision,creating environmental permit decision,distorted label(UpLow)
8238071,2013-10-15 07:02:44,3273854,Phase procedure extended,phase procedure extended,distorted label(UpLow)
8238071,2013-10-15 07:02:53,3273854,Start decision phase extension granted,start decision phase extension granted,distorted label(UpLow)
8238071,2013-11-04 08:00:16,560890,phase edcision ready,phase edcision ready,distorted label(Interchange)
8238071,2013-11-05 08:00:02,560890,enter senddate deciison environmental permit,enter senddate decision environmental permit,distorted label(Interchange)
8319149,2013-11-22 08:00:02,2670601,receive additional informadtion,receive additional information,distorted label(Insert)
8319149,2013-12-10 08:00:03,2670601,start demcision phase extension granted,start decision phase extension granted,distorted label(Insert)
8320951,2013-09-19 07:00:50,560872,OLO messagQing active,OLO messagQing active,distorted label(Insert)
8320951,2013-09-19 07:00:54,560872,phase application receive,phase application received,distorted label(Skip)
8320951,2013-09-19 07:00:57,560872,sedn confirmation receipt,sedn confirmation receipt,distorted label(Interchange)
8320951,2013-10-14 07:01:10,3273854,suspension ground applicab/e,suspension ground applicable,distorted label(Proximity)
8369265,2013-11-01 08:00:41,560890,phase decision snet,phase decision snet,distorted label(Interchange)
8420841,2013-10-07 07:01:02,560872,sctart WABOprocedure,start WABOprocedure,distorted label(Insert)
8420841,2013-10-31 08:00:24,560872,creating cover lettxer decision,creating cover letter decision,distorted label(Insert)
8420841,2013-11-05 08:00:09,560872,set decision phase decision prmitting decided,set decision phase decision permitting decided,distorted label(Skip)
8476182,2013-10-11 07:00:23,560872,OLO messagijg active,OLO messagijg active,distorted label(Proximity)
8476182,2013-11-04 08:00:40,2670601,etner receipt of additional data,enter receipt of additional data,distorted label(Interchange)
8539501,2013-10-21 07:00:24,560872,create porcedure confirmation,create porcedure confirmation,distorted label(Interchange)
8539501,2013-10-21 07:00:27,560872,phagse application received,phase application received,distorted label(Insert)
8598168,2013-12-09 08:00:34,2670601,by lw,by lw,distorted label(Skip)
8598168,2013-12-10 08:00:05,560912,creatin gcover letter decision,creatin gcover letter decision,distorted label(Interchange)
8598168,2013-12-10 08:00:10,560912,Record date of decision environmental permit,record date of decision environmental permit,distorted label(UpLow)
8598168,2013-12-10 08:00:11,560912,register objetion and appeal periods,register objection and appeal periods,distorted label(Skip)
8726860,2014-01-30 08:00:36,560912,phaae archived case,phaae archived case,distorted label(Proximity)
8758363,2013-11-26 08:00:11,560912,creating ocver letter decision,creating ocver letter decision,distorted label(Interchange)
8758363,2013-11-26 08:00:19,560912,start decision phaUse decision permitting sent,start decision phase decision permitting sent,distorted label(Insert)
8860525,2013-12-02 08:00:26,2670601,Retrieve missing data,retrieve missing data,distorted label(UpLow)
8860525,2014-01-15 08:00:09,2670601,kphase additional information received,phase additional information received,distorted label(Insert)
8860525,2014-04-14 07:00:02,2670601,assessment of cotent completed,assessment of content completed,distorted label(Skip)
8860525,2014-04-14 07:00:08,2670601,generating decsiion environmental permit,generating decision environmental permit,distorted label(Interchange)
8860525,2014-04-14 07:00:09,2670601,grounds Kfor refusal,grounds Kfor refusal,distorted label(Insert)
8860525,2014-04-14 07:00:16,2670601,Send letter in progress,send letter in progress,distorted label(UpLow)
8909682,2014-01-23 08:00:31,560912,decision date prior to deQcision,decision date prior to decision,distorted label(Insert)
8909682,2014-01-23 08:00:46,560912,Start decisionphase draft decision - permitting decided,Start decisionphase draft decision - permitting decided,distorted label(UpLow)
9011176,2013-12-16 08:00:41,560872,regular procedure withoutMER,regular procedure without MER,distorted label(Skip)
9011176,2013-12-16 08:00:43,560872,send confirmatpion receipt,send confirmation receipt,distorted label(Insert)
9011176,2014-01-21 08:00:21,2670601,Retrieve missing data,retrieve missing data,distorted label(UpLow)
9011176,2014-03-04 08:00:03,2670601,assessment if content completed,assessment if content completed,distorted label(Proximity)
9011176,2014-03-04 08:00:11,2670601,grounds forr efusal,grounds forr efusal,distorted label(Interchange)
9173797,2014-01-22 08:00:16,2670601,phase asked addiitonal information,phase asked additional information,distorted label(Interchange)
9173797,2014-02-18 08:00:33,560912,Creating cover letter decision,creating cover letter decision,distorted label(UpLow)
9173797,2014-02-18 08:00:35,560912,enter senddate decision environmental eprmit,enter senddate decision environmental permit,distorted label(Interchange)
9173797,2014-02-18 08:00:38,560912,record date of decision environmentalpermit,record date of decision environmental permit,distorted label(Skip)
9173797,2014-02-18 08:00:42,560912,transcript decision environmntal permit to stakeholders,transcript decision environmental permit to stakeholders,distorted label(Skip)
9179654,2014-01-16 08:00:50,560872,foraard to the competent authority,forward to the competent authority,distorted label(Proximity)
9179654,2014-09-18 07:00:30,560872,phased raft decision made,phased raft decision made,distorted label(Interchange)
9296294,2014-02-24 08:00:07,2670601,dompleted subcases content,completed subcases content,distorted label(Proximity)
9385395,2014-02-03 08:00:28,560872,regisfration date publication,regisfration date publication,distorted label(Proximity)
9385395,2014-02-03 08:00:30,560872,send confirmatiokn receipt,send confirmation receipt,distorted label(Insert)
9385395,2014-03-31 07:00:17,2670601,assessment of content copleted,assessment of content completed,distorted label(Skip)
9539245,2014-02-26 08:00:33,560912,Send confirmation receipt,send confirmation receipt,distorted label(UpLow)
9539245,2014-05-20 07:00:01,560912,creating cover letteNr decision,creating cover letter decision,distorted label(Insert)
9619198,2014-02-28 08:01:16,560912,send confirmaton receipt,send confirmation receipt,distorted label(Skip)
9619198,2014-04-11 07:00:13,560462,ask stakehoUlders views,ask stakehoUlders views,distorted label(Insert)
9619198,2014-04-11 07:00:17,560462,corodination of application,corodination of application,distorted label(Interchange)
9619198,2014-08-01 07:00:08,560872,registratikn date publication,registration date publication,distorted label(Proximity)
9622266,2014-02-28 08:01:27,560912,send confirmation receiot,send confirmation receipt,distorted label(Proximity)
9622266,2014-04-18 07:00:13,2670601,Start decision phase extension granted,start decision phase extension granted,distorted label(UpLow)
9622266,2014-04-29 07:00:21,560912,creating cover tletter decision,creating cover letter decision,distorted label(Insert)
9634805,2014-03-03 08:00:09,560872,MEG present,MEG present,distorted label(Proximity)
9634805,2014-03-03 08:00:12,560872,create procedure confIirmation,create procedure confirmation,distorted label(Insert)
