send confirmation receipt_signed1 -> send confirmation receipt_signed2 (frequency = 1490, performance = 0.37)
procedure change after completeness -> request complete (frequency = 65, performance = 1.00)
enter date decision procedure term extension -> enter senddate decision procedure term extension (frequency = 64, performance = 5282.52)
enter senddate procedure confirmation -> send procedure confirmation (frequency = 64, performance = 64336.78)
enter senddate decision environmental permit -> start decision phase decision permitting sent (frequency = 63, performance = 1.00)
phase application received -> send confirmation receipt_signed1 (frequency = 63, performance = 0.44)
phase case handled -> phase decision irrevocable (frequency = 63, performance = 1.00)
procedure change -> register objection and appeal periods (frequency = 63, performance = 1.00)
register objection and appeal periods -> transcript decision environmental permit to stakeholders (frequency = 63, performance = 1.00)
start WABOprocedure -> enter senddate procedure confirmation (frequency = 62, performance = 514.74)
treat subcases content -> creating cover letter decision (frequency = 61, performance = 607903.11)
enter senddate procedure confirmation -> request complete (frequency = 60, performance = 2056400.37)
record date of decision environmental permit -> register objection and appeal periods (frequency = 60, performance = 1.00)
phase additional information received -> receive additional information (frequency = 59, performance = 1.00)
enter receipt of additional data -> phase additional information received (frequency = 58, performance = 40285.64)
enter senddate decision environmental permit -> send confirmation receipt_signed1 (frequency = 58, performance = 0.50)
phase advice known -> ask stakeholders views (frequency = 58, performance = 1.00)
phase decision taken -> record date of decision environmental permit (frequency = 58, performance = 1.00)
register date environmental permit decision -> transcript decision environmental permit to stakeholders (frequency = 58, performance = 36071.33)
phase asked additional information -> procedure change (frequency = 57, performance = 1.00)
registration date publication -> request complete (frequency = 56, performance = 2859253.84)
send confirmation receipt_signed2 -> enter senddate decision environmental permit (frequency = 56, performance = 158238.22)
start decision phase decision permitting sent -> transcript decision environmental permit to stakeholders (frequency = 54, performance = 1.00)
send confirmation receipt_signed2 -> phase application received (frequency = 53, performance = 578372.22)
set decision phase decision permitting decided -> set decision status (frequency = 53, performance = 1.00)
create letter requesting missing data -> create subcases completeness (frequency = 52, performance = 1.00)
send confirmation receipt_signed1 -> send confirmation receipt (frequency = 52, performance = 0.38)
start decision phase decision permitting sent -> submit decision (frequency = 52, performance = 7870.00)
objection lodged against decision -> phase archived case (frequency = 50, performance = 1.00)
procedure change -> publish (frequency = 50, performance = 1.00)
transcript decision environmental permit to stakeholders -> enter date publication decision environmental permit (frequency = 50, performance = 716676.84)
send confirmation receipt additional data -> send letter in progress (frequency = 49, performance = 1.00)
start WABOprocedure -> send procedure confirmation (frequency = 49, performance = 9.94)
send confirmation receipt_signed2 -> request complete (frequency = 48, performance = 1060757.09)
transcript decision environmental permit to stakeholders -> treat subcases content (frequency = 48, performance = 1.00)
create publication document -> creating cover letter decision (frequency = 47, performance = 1.00)
procedure change -> article 34  WABO applies (frequency = 47, performance = 102945.81)
request complete -> send confirmation receipt_signed1 (frequency = 47, performance = 0.47)
phase application received -> procedure change (frequency = 46, performance = 1.00)
procedure change -> send confirmation receipt_signed1 (frequency = 46, performance = 0.41)
register deadline -> set phase: phase permitting irrevocable (frequency = 45, performance = 71165.09)
completed subcases content -> procedure change (frequency = 44, performance = 1.11)
phase advice known -> send confirmation receipt_signed1 (frequency = 44, performance = 0.48)
phase application received -> regular procedure without MER (frequency = 44, performance = 35218.57)
start WABOprocedure -> send confirmation receipt_signed1 (frequency = 44, performance = 0.34)
ask stakeholders views -> grounds for refusal (frequency = 42, performance = 1.00)
creating environmental permit decision -> send confirmation receipt_signed1 (frequency = 42, performance = 0.41)
grounds for refusal -> suspension ground applicable (frequency = 42, performance = 1.64)
regular procedure without MER -> send confirmation receipt_signed1 (frequency = 42, performance = 0.41)
request complete -> send confirmation receipt additional data (frequency = 42, performance = 1.00)
send confirmation receipt_signed2 -> regular procedure without MER (frequency = 42, performance = 4180.35)
create procedure confirmation -> forward to the competent authority (frequency = 41, performance = 1.00)
send confirmation receipt_signed1 -> send confirmation receipt_signed1 (frequency = 41, performance = 0.34)
send confirmation receipt -> send confirmation receipt_signed2 (frequency = 40, performance = 0.26)
send confirmation receipt_signed2 -> creating environmental permit decision (frequency = 40, performance = 179435.54)
send confirmation receipt_signed2 -> phase advice known (frequency = 40, performance = 146039.72)
create subcases completeness -> phase asked additional information (frequency = 39, performance = 1.00)
send confirmation receipt_signed2 -> procedure change (frequency = 39, performance = 1.55)
receive additional information -> send confirmation receipt additional data (frequency = 38, performance = 518494.97)
register submission date request -> enter senddate procedure confirmation (frequency = 38, performance = 873470.76)
send procedure confirmation -> send confirmation receipt_signed1 (frequency = 38, performance = 0.55)
set decision status -> start decision phase decision permitting sent (frequency = 38, performance = 1.00)
create subcases completeness -> create subcases content (frequency = 37, performance = 1.00)
phase decision sent -> date decision for inspection (frequency = 37, performance = 772175.19)
send letter in progress -> set decision phase decision permitting decided (frequency = 37, performance = 1.00)
register objection and appeal periods -> submit decision (frequency = 36, performance = 1.00)
request complete -> treat subcases content (frequency = 36, performance = 9.31)
send confirmation receipt_signed2 -> send procedure confirmation (frequency = 36, performance = 980408.28)
start WABOprocedure -> enter senddate acknowledgement (frequency = 36, performance = 138239.14)
start decision phase extension granted -> start decision phase extension granted (frequency = 36, performance = 2401.78)
suspension ground applicable -> creating cover letter decision (frequency = 36, performance = 688782.89)
create subcases completeness -> procedure change (frequency = 34, performance = 1.00)
grounds for refusal -> creating environmental permit decision (frequency = 34, performance = 96024.56)
transcript decision environmental permit to stakeholders -> record date of decision environmental permit (frequency = 34, performance = 240450.32)
MER present in supplement -> article 34  WABO applies (frequency = 33, performance = 1.00)
create procedure confirmation -> create subcases completeness (frequency = 33, performance = 61410.48)
register number of days extension period -> enter date decision procedure term extension (frequency = 33, performance = 1698.12)
register submission date request -> registration date publication (frequency = 33, performance = 251346.79)
registration date publication -> send confirmation receipt_signed1 (frequency = 33, performance = 0.42)
assessment of content completed -> completed subcases content (frequency = 32, performance = 1.00)
create subcases content -> creating cover letter decision (frequency = 32, performance = 1.00)
creating decision procedure term extension -> decision date prior to decision (frequency = 32, performance = 1.00)
creating environmental permit decision -> submit decision (frequency = 32, performance = 321839.41)
enter senddate procedure confirmation -> enter senddate retrieve missing data (frequency = 32, performance = 342900.00)
phase additional information received -> phase advice known (frequency = 32, performance = 11362.62)
send confirmation receipt_signed2 -> start WABOprocedure (frequency = 32, performance = 119906.26)
set decision phase decision permitting decided -> enter senddate decision environmental permit (frequency = 32, performance = 424111.00)
suspension ground applicable -> creating environmental permit decision (frequency = 32, performance = 1.59)
transcript decision environmental permit to stakeholders -> send confirmation receipt_signed1 (frequency = 32, performance = 0.42)
OLO messaging active -> send confirmation receipt_signed1 (frequency = 31, performance = 0.39)
create cover letter extend procedure term -> create decision procedure term extension (frequency = 31, performance = 1.00)
enter senddate acknowledgement -> registrer date of publishing received request (frequency = 31, performance = 1131446.87)
send confirmation receipt_signed1 -> procedure change (frequency = 31, performance = 0.37)
treat subcases content -> phase advice known (frequency = 31, performance = 52.77)
enter senddate procedure term extension -> extend procedure term (frequency = 30, performance = 1.00)
set phase: phase permitting irrevocable -> close case (frequency = 30, performance = 1773964.27)
enter date publication decision environmental permit -> enter senddate decision (frequency = 29, performance = 1.00)
enter senddate retrieve missing data -> enter receipt of additional data (frequency = 29, performance = 1710986.66)
phase decision sent -> enter senddate decision environmental permit (frequency = 29, performance = 192695.41)
phase decision sent -> send confirmation receipt_signed1 (frequency = 29, performance = 0.47)
receive additional information -> request complete (frequency = 29, performance = 1.00)
send confirmation receipt_signed2 -> registration date publication (frequency = 29, performance = 267109.37)
create procedure confirmation -> send confirmation receipt_signed1 (frequency = 28, performance = 0.39)
enter senddate decision environmental permit -> transcript decision environmental permit to stakeholders (frequency = 28, performance = 1.00)
phase decision ready -> submit decision (frequency = 28, performance = 1.00)
send confirmation receipt_signed1 -> start WABOprocedure (frequency = 28, performance = 0.32)
send confirmation receipt_signed2 -> create publication document (frequency = 28, performance = 293269.30)
close case -> objection lodged against decision (frequency = 27, performance = 1.00)
phase concept decision ready -> phase decision ready (frequency = 27, performance = 1.00)
send procedure confirmation -> retrieve missing data (frequency = 27, performance = 1985427.11)
set decision phase decision permitting decided -> send confirmation receipt_signed1 (frequency = 27, performance = 0.47)
start WABOprocedure -> create procedure confirmation (frequency = 27, performance = 154622.96)
create decision procedure term extension -> creating decision procedure term extension (frequency = 26, performance = 1.00)
create publication document -> send confirmation receipt_signed1 (frequency = 26, performance = 0.32)
procedure change -> registration date publication (frequency = 26, performance = 1.00)
send letter in progress -> send confirmation receipt_signed1 (frequency = 26, performance = 0.37)
set decision status -> send confirmation receipt_signed1 (frequency = 26, performance = 0.39)
completed subcases content -> send confirmation receipt_signed1 (frequency = 25, performance = 0.40)
creating cover letter decision -> enter date publication decision environmental permit (frequency = 25, performance = 1.00)
enter senddate decision procedure term extension -> enter senddate procedure confirmation (frequency = 25, performance = 417743.80)
phase draft decision made -> phase draft decision ready (frequency = 25, performance = 1.00)
send confirmation receipt_signed1 -> grounds for refusal (frequency = 25, performance = 0.34)
send confirmation receipt_signed2 -> OLO messaging active (frequency = 25, performance = 359574.41)
send confirmation receipt_signed2 -> completed subcases content (frequency = 25, performance = 0.32)
send confirmation receipt_signed2 -> create procedure confirmation (frequency = 25, performance = 86395.72)
send confirmation receipt_signed2 -> phase decision sent (frequency = 25, performance = 10178.48)
send confirmation receipt_signed2 -> set decision status (frequency = 25, performance = 0.36)
send confirmation receipt_signed2 -> transcript decision environmental permit to stakeholders (frequency = 25, performance = 467486.77)
start WABOprocedure -> create subcases completeness (frequency = 25, performance = 2406501.00)
decision date prior to decision -> enter senddate procedure term extension (frequency = 24, performance = 1.00)
grounds for refusal -> send confirmation receipt_signed1 (frequency = 24, performance = 0.38)
procedure change after completeness -> receive additional information (frequency = 24, performance = 1.00)
registrer date of publishing received request -> enter senddate procedure confirmation (frequency = 24, performance = 1533447.04)
request complete -> procedure change after completeness (frequency = 24, performance = 1.00)
send confirmation receipt_signed2 -> set decision phase decision permitting decided (frequency = 24, performance = 487688.15)
set decision status -> start decision phase extension granted (frequency = 24, performance = 1.00)
term for supplying missing data -> enter receipt of additional data (frequency = 24, performance = 1598837.67)
article 34  WABO applies -> send confirmation receipt_signed1 (frequency = 23, performance = 0.50)
create letter requesting missing data -> phase asked additional information (frequency = 23, performance = 1.00)
create subcases completeness -> creating environmental permit decision (frequency = 23, performance = 1.00)
creating decision permanently suspended -> decision date prior to decision (frequency = 23, performance = 1.00)
decision date prior to decision -> decision keep permanently suspended (frequency = 23, performance = 1.00)
forward to the competent authority -> send confirmation receipt_signed1 (frequency = 23, performance = 0.37)
generating decision environmental permit -> send confirmation receipt_signed1 (frequency = 23, performance = 0.48)
procedure change -> send confirmation receipt_signed2 (frequency = 23, performance = 0.17)
regular procedure without MER -> request complete (frequency = 23, performance = 1.00)
send confirmation receipt_signed2 -> article 34  WABO applies (frequency = 23, performance = 2969166.10)
send letter in progress -> completed subcases content (frequency = 23, performance = 52590.65)
term for supplying missing data -> enter senddate retrieve missing data (frequency = 23, performance = 158458.04)
completed subcases content -> phase advice known (frequency = 22, performance = 11.45)
completed subcases content -> treat subcases content (frequency = 22, performance = 1.00)
create subcases completeness -> creating cover letter decision (frequency = 22, performance = 1.00)
decision date prior to decision -> send confirmation receipt_signed1 (frequency = 22, performance = 0.42)
forward to the competent authority -> inform BAG administrator (frequency = 22, performance = 1.00)
grounds for refusal -> phase additional information received (frequency = 22, performance = 1.00)
publish -> read field phased application (frequency = 22, performance = 1.00)
send confirmation receipt_signed2 -> decision date prior to decision (frequency = 22, performance = 314182.08)
assessment of content completed -> send confirmation receipt_signed1 (frequency = 21, performance = 0.28)
by law -> send confirmation receipt_signed1 (frequency = 21, performance = 0.25)
coordination of application -> creating cover letter decision (frequency = 21, performance = 1.00)
create monitoring case -> creating cover letter decision (frequency = 21, performance = 1.00)
creating environmental permit decision -> transcript decision environmental permit to stakeholders (frequency = 21, performance = 513239.05)
enrich draft decision -> enter date advice on treatment of environmental permit (frequency = 21, performance = 1.00)
enter senddate procedure confirmation -> registration date publication (frequency = 21, performance = 806745.52)
extend procedure term -> phase procedure extended (frequency = 21, performance = 1.00)
phase application receptive -> phase concept decision ready (frequency = 21, performance = 1.00)
phase procedure extended -> register number of days extension period (frequency = 21, performance = 1.00)
procedure change after completeness -> send letter in progress (frequency = 21, performance = 1.00)
register number of days extension period -> set decision status (frequency = 21, performance = 1.00)
send confirmation receipt_signed2 -> generating decision environmental permit (frequency = 21, performance = 99116.82)
send confirmation receipt_signed2 -> send letter in progress (frequency = 21, performance = 118562.44)
send confirmation receipt_signed2 -> suspension ground applicable (frequency = 21, performance = 213665.03)
start decision phase permanent suspension sent -> start decision phase permanently suspended decided (frequency = 21, performance = 1.00)
subcases completeness completed -> term for supplying missing data (frequency = 21, performance = 1.00)
suspension ground applicable -> send confirmation receipt_signed1 (frequency = 21, performance = 0.37)
treat subcases completeness -> treat subcases content (frequency = 21, performance = 1.00)
treat subcases content -> send confirmation receipt_signed1 (frequency = 21, performance = 0.40)
ask stakeholders views -> send confirmation receipt_signed1 (frequency = 20, performance = 0.48)
create subcases completeness -> send confirmation receipt_signed1 (frequency = 20, performance = 0.40)
creating cover letter decision -> enter senddate decision environmental permit (frequency = 20, performance = 1.00)
decision date prior to decision -> enrich decision (frequency = 20, performance = 1.00)
decision keep permanently suspended -> enter senddate decision permanent suspension (frequency = 20, performance = 1.00)
enter receipt of additional data -> request complete (frequency = 20, performance = 4212769.30)
register submission date request -> registrer date of publishing received request (frequency = 20, performance = 760321.80)
send confirmation receipt_signed1 -> send letter in progress (frequency = 20, performance = 0.28)
set decision status -> start WABOprocedure (frequency = 20, performance = 1.00)
start WABOprocedure -> send confirmation receipt_signed2 (frequency = 20, performance = 0.25)
start decision phase decision permitting sent -> enter senddate decision environmental permit (frequency = 20, performance = 592468.45)
submit decision -> creating cover letter decision (frequency = 20, performance = 665107.10)
submit decision -> send confirmation receipt_signed1 (frequency = 20, performance = 0.42)
treat subcases completeness -> request complete (frequency = 20, performance = 582874.05)
treat subcases content -> create publication document (frequency = 20, performance = 544828.60)
coordination of application -> send confirmation receipt_signed1 (frequency = 19, performance = 0.44)
creating cover letter decision -> send confirmation receipt_signed1 (frequency = 19, performance = 0.54)
request complete -> send confirmation receipt_signed2 (frequency = 19, performance = 0.25)
request complete -> term for supplying missing data (frequency = 19, performance = 1.00)
send confirmation receipt_signed1 -> request complete (frequency = 19, performance = 0.27)
send confirmation receipt_signed2 -> forward to the competent authority (frequency = 19, performance = 0.42)
send procedure confirmation -> phase advice known (frequency = 19, performance = 1617106.26)
send procedure confirmation -> subcases completeness completed (frequency = 19, performance = 1748993.74)
start decision phase decision permitting sent -> set decision phase decision permitting published (frequency = 19, performance = 554767.26)
term for supplying missing data -> treat subcases completeness (frequency = 19, performance = 1.00)
activities regular procedure -> create procedure confirmation (frequency = 18, performance = 1.00)
by law -> suspension ground applicable (frequency = 18, performance = 1.00)
creating environmental permit decision -> enter date publication decision environmental permit (frequency = 18, performance = 715421.61)
enter senddate decision -> send confirmation receipt_signed1 (frequency = 18, performance = 0.35)
enter senddate decision permanent suspension -> keep permanently suspended (frequency = 18, performance = 3083.39)
generating decision environmental permit -> perspective on draft decision environmental permit received (frequency = 18, performance = 1.00)
grounds for refusal -> phase concept draft decision ready (frequency = 18, performance = 1166023.11)
grounds for refusal -> send confirmation receipt_signed2 (frequency = 18, performance = 0.26)
objection lodged against decision -> phase decision irrevocable (frequency = 18, performance = 1.00)
phase advice known -> phase concept draft decision ready (frequency = 18, performance = 359478.50)
phase application received -> register submission date request (frequency = 18, performance = 1.00)
phase asked additional information -> retrieve missing data (frequency = 18, performance = 1.00)
phase decision taken -> enter senddate decision environmental permit (frequency = 18, performance = 32490.50)
register number of days extension period -> request complete (frequency = 18, performance = 441175.83)
register objection and appeal periods -> send confirmation receipt_signed1 (frequency = 18, performance = 0.39)
request complete -> send confirmation receipt (frequency = 18, performance = 1.00)
send confirmation receipt_signed1 -> phase advice known (frequency = 18, performance = 0.37)
send confirmation receipt_signed1 -> phase decision taken (frequency = 18, performance = 0.30)
send confirmation receipt_signed1 -> regular procedure without MER (frequency = 18, performance = 0.35)
send confirmation receipt_signed1 -> suspension ground applicable (frequency = 18, performance = 0.38)
send confirmation receipt_signed2 -> create subcases completeness (frequency = 18, performance = 177599.81)
send confirmation receipt_signed2 -> grounds for refusal (frequency = 18, performance = 0.63)
send confirmation receipt_signed2 -> start decision phase decision permitting sent (frequency = 18, performance = 0.36)
send confirmation receipt_signed2 -> treat subcases content (frequency = 18, performance = 0.85)
set decision status -> subcases completeness completed (frequency = 18, performance = 1.00)
OLO messaging active -> activities regular procedure (frequency = 17, performance = 1.00)
phase application receptive -> send confirmation receipt_signed1 (frequency = 17, performance = 0.28)
phase asked additional information -> request complete (frequency = 17, performance = 1.00)
phase concept draft decision ready -> publish official draft decision (frequency = 17, performance = 125769.24)
request complete -> resume completeness subcases (frequency = 17, performance = 1.00)
retrieve missing data -> request complete (frequency = 17, performance = 7754209.41)
send confirmation receipt_signed1 -> ask stakeholders views (frequency = 17, performance = 0.35)
send confirmation receipt_signed1 -> start decision phase decision permitting sent (frequency = 17, performance = 0.35)
send confirmation receipt_signed2 -> ask stakeholders views (frequency = 17, performance = 976018.22)
send confirmation receipt_signed2 -> assessment of content completed (frequency = 17, performance = 1528030.91)
send confirmation receipt_signed2 -> by law (frequency = 17, performance = 472875.12)
send confirmation receipt_signed2 -> creating cover letter decision (frequency = 17, performance = 437279.74)
send letter in progress -> subcases completeness completed (frequency = 17, performance = 1.00)
start decision phase decision permitting sent -> send confirmation receipt_signed2 (frequency = 17, performance = 0.25)
subcases completeness completed -> submit decision (frequency = 17, performance = 1.00)
submit decision -> enter senddate decision environmental permit (frequency = 17, performance = 10286.24)
suspension ground applicable -> send confirmation receipt_signed2 (frequency = 17, performance = 0.18)
transcript decision environmental permit to stakeholders -> phase decision sent (frequency = 17, performance = 16.82)
date draft decision for inspection -> set decision phase: draft decision for inspection (frequency = 16, performance = 1.00)
enter date publication decision environmental permit -> send confirmation receipt_signed1 (frequency = 16, performance = 0.56)
enter senddate decision environmental permit -> date decision for inspection (frequency = 16, performance = 522001.00)
phase advice known -> enter senddate decision environmental permit (frequency = 16, performance = 1304266.38)
phase concept draft decision ready -> enter date draft decisionenvironmental permit (frequency = 16, performance = 64910.88)
phase concept draft decision ready -> phase draft decision made (frequency = 16, performance = 1.00)
phase decision taken -> send confirmation receipt_signed2 (frequency = 16, performance = 0.26)
procedure change -> assessment of content completed (frequency = 16, performance = 1.19)
send confirmation receipt_signed1 -> by law (frequency = 16, performance = 0.28)
send confirmation receipt_signed1 -> forward to the competent authority (frequency = 16, performance = 0.34)
send confirmation receipt_signed1 -> phase application received (frequency = 16, performance = 0.32)
send confirmation receipt_signed1 -> phase application receptive (frequency = 16, performance = 0.33)
send confirmation receipt_signed1 -> registration date publication (frequency = 16, performance = 0.29)
send confirmation receipt_signed2 -> coordination of application (frequency = 16, performance = 1155374.59)
send confirmation receipt_signed2 -> enter date publication decision environmental permit (frequency = 16, performance = 564100.32)
set decision phase decision permitting decided -> transcript decision environmental permit to stakeholders (frequency = 16, performance = 1.00)
set decision status -> start decision phase permanent suspension sent (frequency = 16, performance = 5398.50)
start WABOprocedure -> request complete (frequency = 16, performance = 2258496.06)
suspension ground applicable -> create publication document (frequency = 16, performance = 788845.44)
ask stakeholders views -> send confirmation receipt_signed2 (frequency = 15, performance = 0.29)
decision date prior to decision -> enter senddate decision environmental permit (frequency = 15, performance = 1.00)
enrich decision -> generating decision environmental permit (frequency = 15, performance = 1.00)
generate draft decision environmental permit -> grounds for refusal (frequency = 15, performance = 1.00)
phase additional information received -> request complete (frequency = 15, performance = 933142.20)
phase advice known -> phase decision ready (frequency = 15, performance = 1.00)
phase application receptive -> phase decision sent (frequency = 15, performance = 1.00)
phase decision taken -> send confirmation receipt_signed1 (frequency = 15, performance = 0.49)
procedure change after completeness -> register objection and appeal periods (frequency = 15, performance = 1.00)
read publication date field -> register objection and appeal periods (frequency = 15, performance = 1.00)
register date environmental permit decision -> request complete (frequency = 15, performance = 168765.47)
regular procedure without MER -> send confirmation receipt_signed2 (frequency = 15, performance = 0.20)
send confirmation receipt additional data -> article 34  WABO applies (frequency = 15, performance = 702959.07)
send confirmation receipt_signed1 -> phase decision sent (frequency = 15, performance = 0.34)
send confirmation receipt_signed2 -> submit decision (frequency = 15, performance = 4069.57)
send letter in progress -> send confirmation receipt_signed2 (frequency = 15, performance = 0.17)
