send confirmation receipt -> send confirmation receipt (frequency = 466, performance = 126.65)
completed subcases content -> treat subcases content (frequency = 25, performance = 1.00)
coordination of application -> creating cover letter decision (frequency = 25, performance = 1.08)
create subcases completeness -> creating environmental permit decision (frequency = 25, performance = 1.00)
request complete -> procedure change after completeness (frequency = 25, performance = 1.00)
create letter requesting missing data -> phase asked additional information (frequency = 24, performance = 1.00)
creating cover letter decision -> enter date publication decision environmental permit (frequency = 24, performance = 1.00)
creating cover letter decision -> enter senddate decision environmental permit (frequency = 24, performance = 1.00)
enter senddate decision procedure term extension -> enter senddate procedure confirmation (frequency = 24, performance = 435149.75)
procedure change after completeness -> receive additional information (frequency = 24, performance = 1.00)
registrer date of publishing received request -> enter senddate procedure confirmation (frequency = 24, performance = 1533447.04)
regular procedure without MER -> request complete (frequency = 24, performance = 1.00)
set decision status -> start decision phase extension granted (frequency = 24, performance = 1.04)
create subcases completeness -> creating cover letter decision (frequency = 23, performance = 1.00)
creating decision permanently suspended -> decision date prior to decision (frequency = 23, performance = 1.00)
decision date prior to decision -> enrich decision (frequency = 23, performance = 1.00)
enrich draft decision -> enter date advice on treatment of environmental permit (frequency = 23, performance = 1.00)
forward to the competent authority -> inform BAG administrator (frequency = 23, performance = 1.00)
phase application receptive -> phase concept decision ready (frequency = 23, performance = 1.00)
publish -> read field phased application (frequency = 23, performance = 1.00)
term for supplying missing data -> enter senddate retrieve missing data (frequency = 23, performance = 158458.04)
completed subcases content -> phase advice known (frequency = 22, performance = 12.27)
create monitoring case -> creating cover letter decision (frequency = 22, performance = 1.00)
creating environmental permit decision -> transcript decision environmental permit to stakeholders (frequency = 22, performance = 497422.64)
decision date prior to decision -> enter senddate procedure term extension (frequency = 22, performance = 1.00)
generating decision environmental permit -> perspective on draft decision environmental permit received (frequency = 22, performance = 1.00)
grounds for refusal -> phase additional information received (frequency = 22, performance = 1.00)
procedure change after completeness -> send letter in progress (frequency = 22, performance = 1.00)
start decision phase decision permitting sent -> enter senddate decision environmental permit (frequency = 22, performance = 563975.59)
treat subcases content -> create publication document (frequency = 22, performance = 758586.41)
decision date prior to decision -> decision keep permanently suspended (frequency = 21, performance = 1.00)
decision date prior to decision -> enter senddate decision environmental permit (frequency = 21, performance = 1.19)
enter senddate procedure confirmation -> registration date publication (frequency = 21, performance = 806745.52)
extend procedure term -> phase procedure extended (frequency = 21, performance = 1.05)
register number of days extension period -> set decision status (frequency = 21, performance = 1.00)
register submission date request -> registrer date of publishing received request (frequency = 21, performance = 1131429.86)
request complete -> term for supplying missing data (frequency = 21, performance = 1.10)
send procedure confirmation -> phase advice known (frequency = 21, performance = 1698376.24)
start decision phase permanent suspension sent -> start decision phase permanently suspended decided (frequency = 21, performance = 1.00)
subcases completeness completed -> term for supplying missing data (frequency = 21, performance = 1.00)
treat subcases completeness -> treat subcases content (frequency = 21, performance = 1.00)
grounds for refusal -> phase concept draft decision ready (frequency = 20, performance = 1066659.85)
phase procedure extended -> register number of days extension period (frequency = 20, performance = 1.00)
register number of days extension period -> request complete (frequency = 20, performance = 617554.10)
retrieve missing data -> request complete (frequency = 20, performance = 6884046.95)
send procedure confirmation -> subcases completeness completed (frequency = 20, performance = 1661544.10)
submit decision -> enter senddate decision environmental permit (frequency = 20, performance = 13068.75)
transcript decision environmental permit to stakeholders -> phase decision sent (frequency = 20, performance = 14.95)
treat subcases completeness -> request complete (frequency = 20, performance = 582874.05)
by law -> suspension ground applicable (frequency = 19, performance = 1.00)
creating environmental permit decision -> enter date publication decision environmental permit (frequency = 19, performance = 730053.00)
decision keep permanently suspended -> enter senddate decision permanent suspension (frequency = 19, performance = 1.00)
enter receipt of additional data -> request complete (frequency = 19, performance = 4364365.63)
phase advice known -> phase concept draft decision ready (frequency = 19, performance = 340558.89)
phase application receptive -> phase decision sent (frequency = 19, performance = 1.05)
phase concept draft decision ready -> phase draft decision made (frequency = 19, performance = 1.00)
procedure change -> assessment of content completed (frequency = 19, performance = 1.16)
register submission date request -> create procedure confirmation (frequency = 19, performance = 322838.95)
set decision phase decision permitting decided -> transcript decision environmental permit to stakeholders (frequency = 19, performance = 1.11)
set decision status -> start WABOprocedure (frequency = 19, performance = 1.00)
start decision phase decision permitting sent -> set decision phase decision permitting published (frequency = 19, performance = 554767.26)
submit decision -> creating cover letter decision (frequency = 19, performance = 672828.79)
term for supplying missing data -> treat subcases completeness (frequency = 19, performance = 1.00)
OLO messaging active -> activities regular procedure (frequency = 18, performance = 1.00)
activities regular procedure -> create procedure confirmation (frequency = 18, performance = 1.00)
enrich decision -> generating decision environmental permit (frequency = 18, performance = 1.00)
enter senddate decision permanent suspension -> keep permanently suspended (frequency = 18, performance = 3083.39)
phase advice known -> phase decision ready (frequency = 18, performance = 48.00)
phase application received -> register submission date request (frequency = 18, performance = 1.00)
phase asked additional information -> request complete (frequency = 18, performance = 1.00)
phase concept draft decision ready -> enter date draft decisionenvironmental permit (frequency = 18, performance = 74989.44)
phase concept draft decision ready -> publish official draft decision (frequency = 18, performance = 132728.83)
phase decision ready -> phase decision taken (frequency = 18, performance = 1.17)
set decision status -> subcases completeness completed (frequency = 18, performance = 1.00)
start WABOprocedure -> request complete (frequency = 18, performance = 2600318.89)
suspension ground applicable -> create publication document (frequency = 18, performance = 777996.50)
treat subcases content -> procedure change (frequency = 18, performance = 1.11)
completed subcases content -> create draft environtmental permit (frequency = 17, performance = 1.00)
objection lodged against decision -> phase decision irrevocable (frequency = 17, performance = 1.00)
phase advice known -> enter senddate decision environmental permit (frequency = 17, performance = 1240082.59)
phase asked additional information -> retrieve missing data (frequency = 17, performance = 1.00)
phase decision taken -> enter senddate decision environmental permit (frequency = 17, performance = 34381.12)
request complete -> resume completeness subcases (frequency = 17, performance = 1.00)
request complete -> send confirmation receipt (frequency = 17, performance = 1.00)
send letter in progress -> subcases completeness completed (frequency = 17, performance = 1.00)
subcases completeness completed -> submit decision (frequency = 17, performance = 1.00)
treat subcases content -> record date of decision environmental permit (frequency = 17, performance = 304716.65)
assessment of content completed -> grounds for refusal (frequency = 16, performance = 1.06)
coordination of application -> create publication document (frequency = 16, performance = 1.00)
create subcases completeness -> create subcases present decision (frequency = 16, performance = 1.00)
create subcases present decision -> creating environmental permit decision (frequency = 16, performance = 1.00)
date draft decision for inspection -> set decision phase: draft decision for inspection (frequency = 16, performance = 1.00)
enter senddate decision environmental permit -> date decision for inspection (frequency = 16, performance = 522001.00)
generate draft decision environmental permit -> grounds for refusal (frequency = 16, performance = 1.00)
phase additional information received -> request complete (frequency = 16, performance = 597664.81)
procedure change after completeness -> register objection and appeal periods (frequency = 16, performance = 1.00)
publish -> regular procedure without MER (frequency = 16, performance = 1.19)
set decision status -> start decision phase permanent suspension sent (frequency = 16, performance = 5398.50)
treat subcases content -> enter senddate decision environmental permit (frequency = 16, performance = 138617.62)
create draft environtmental permit -> grounds for refusal (frequency = 15, performance = 1.00)
inform BAG administrator -> phase application received (frequency = 15, performance = 1.07)
phase application receptive -> phase concept draft decision ready (frequency = 15, performance = 1.00)
publish -> register submission date request (frequency = 15, performance = 1.00)
read publication date field -> register objection and appeal periods (frequency = 15, performance = 1.00)
register date environmental permit decision -> request complete (frequency = 15, performance = 168765.47)
register objection and appeal periods -> set decision status (frequency = 15, performance = 1.00)
send confirmation receipt additional data -> article 34  WABO applies (frequency = 15, performance = 702959.07)
term for supplying missing data -> MER present in supplement (frequency = 15, performance = 1814398.73)
treat subcases content -> article 34  WABO applies (frequency = 15, performance = 299525.27)
OLO messaging active -> phase application received (frequency = 14, performance = 1.07)
enter date draft decisionenvironmental permit -> publish official draft decision (frequency = 14, performance = 28698.07)
enter date publication decision environmental permit -> set phase: phase permitting irrevocable (frequency = 14, performance = 3905175.93)
enter senddate acknowledgement -> create letter requesting missing data (frequency = 14, performance = 2654755.93)
enter senddate decision procedure term extension -> enter senddate procedure term extension (frequency = 14, performance = 1.00)
enter senddate decision procedure term extension -> request complete (frequency = 14, performance = 2478047.64)
enter senddate draft decision -> generate draft decision environmental permit (frequency = 14, performance = 1.00)
enter senddate retrieve missing data -> phase asked additional information (frequency = 14, performance = 105170.64)
entering senddate draft decision environmental permit -> set decision phase: draft decision permitted sent (frequency = 14, performance = 1.00)
phase advice known -> register date environmental permit decision (frequency = 14, performance = 1594686.57)
phase advice known -> suspension ground applicable (frequency = 14, performance = 158739.86)
record date of decision environmental permit -> date decision for inspection (frequency = 14, performance = 777598.64)
record date of decision environmental permit -> submit decision (frequency = 14, performance = 1.00)
register submission date request -> regular procedure without MER (frequency = 14, performance = 149775.50)
request complete -> send procedure confirmation (frequency = 14, performance = 85091.00)
send letter in progress -> phase advice known (frequency = 14, performance = 242450.00)
set decision phase: draft decision permitted sent -> start decisionphase draft decision - permitting decided (frequency = 14, performance = 1.00)
start decision phase decision permitting sent -> suspension ground applicable (frequency = 14, performance = 1.07)
subcases completeness completed -> treat subcases completeness (frequency = 14, performance = 1.00)
submit decision -> enter senddate decision (frequency = 14, performance = 454354.93)
suspension ground applicable -> enter senddate decision environmental permit (frequency = 14, performance = 1052628.00)
suspension ground applicable -> register date environmental permit decision (frequency = 14, performance = 182553.43)
suspension ground applicable -> treat subcases completeness (frequency = 14, performance = 1.00)
term for supplying missing data -> phase asked additional information (frequency = 14, performance = 376454.86)
enter senddate procedure confirmation -> register number of days extension period (frequency = 13, performance = 922865.77)
phase case handled -> phase procedure aborted (frequency = 13, performance = 1.00)
phased application -> procedure change (frequency = 13, performance = 1.00)
publish official draft decision -> send design decision to stakeholders (frequency = 13, performance = 4.92)
record date of decision environmental permit -> enter senddate decision environmental permit (frequency = 13, performance = 140253.00)
register date environmental permit decision -> set decision phase decision permitting decided (frequency = 13, performance = 1.00)
send procedure confirmation -> enter senddate acknowledgement (frequency = 13, performance = 133790.92)
set decision status -> set decision status (frequency = 13, performance = 1.00)
set phase: phase permitting irrevocable -> objection lodged against decision (frequency = 13, performance = 3323353.85)
submit decision -> phase decision sent (frequency = 13, performance = 273.54)
treat subcases content -> generating decision environmental permit (frequency = 13, performance = 816618.62)
coordination of application -> create procedure confirmation (frequency = 12, performance = 1.00)
create publication document -> enrich draft decision (frequency = 12, performance = 1.00)
create subcases present decision -> creating cover letter decision (frequency = 12, performance = 1.00)
creating environmental permit decision -> suspension ground applicable (frequency = 12, performance = 1.00)
decision date prior to decision -> enter publication date draft decision (frequency = 12, performance = 1.00)
enter date publication decision environmental permit -> register deadline (frequency = 12, performance = 3649495.92)
enter senddate decision environmental permit -> register deadline (frequency = 12, performance = 3966564.67)
enter senddate procedure confirmation -> register date environmental permit decision (frequency = 12, performance = 1166101.00)
grounds for refusal -> by law (frequency = 12, performance = 1.00)
keep permanently suspended -> phase permanently suspended (frequency = 12, performance = 1.00)
message terminate request -> register deadline (frequency = 12, performance = 173.17)
no permit needed or only notification needed -> phase application received (frequency = 12, performance = 1.00)
phase advice known -> procedure change (frequency = 12, performance = 1.08)
phase application received -> phase application receptive (frequency = 12, performance = 1.00)
phase application received -> phased application (frequency = 12, performance = 1.00)
phase decision ready -> record date of decision environmental permit (frequency = 12, performance = 112062.83)
read field phased application -> regular procedure without MER (frequency = 12, performance = 1.00)
registrer date of publishing received request -> enter date decision procedure term extension (frequency = 12, performance = 2036398.17)
registrer date of publishing received request -> enter senddate acknowledgement (frequency = 12, performance = 496793.83)
send confirmation receipt -> send letter in progress (frequency = 12, performance = 1.00)
send procedure confirmation -> treat subcases completeness (frequency = 12, performance = 886904.92)
subcases completeness completed -> suspension ground applicable (frequency = 12, performance = 1.00)
submit decision -> phase decision ready (frequency = 12, performance = 90710.00)
transcript decision environmental permit to stakeholders -> generate publication document decision environmental permit (frequency = 12, performance = 47.50)
transcript decision environmental permit to stakeholders -> objection lodged against decision (frequency = 12, performance = 5111390.00)
create cover letter permanent suspension -> creating decision permanently suspended (frequency = 11, performance = 1.00)
decision date prior to decision -> enter receipt of additional data (frequency = 11, performance = 1.00)
enter date advice on treatment of environmental permit -> enter senddate draft decision (frequency = 11, performance = 1.00)
enter date decision procedure term extension -> phase procedure extended (frequency = 11, performance = 463.82)
enter date termination request received -> initiative competent authority (frequency = 11, performance = 1.00)
enter senddate retrieve missing data -> registrer date of publishing received request (frequency = 11, performance = 15710.18)
generating decision environmental permit -> phase decision sent (frequency = 11, performance = 1.18)
phase advice known -> submit decision (frequency = 11, performance = 822401.82)
phase procedure aborted -> phase procedure prematurely terminated (frequency = 11, performance = 1.00)
procedure change -> set decision status (frequency = 11, performance = 1.00)
read publication date field -> register deadline (frequency = 11, performance = 1.00)
receive additional information -> set decision status (frequency = 11, performance = 1.00)
registrer date of publishing received request -> enter senddate retrieve missing data (frequency = 11, performance = 1469123.55)
request complete -> set decision status (frequency = 11, performance = 1.18)
resume completeness subcases -> send confirmation receipt additional data (frequency = 11, performance = 1.00)
retrieve missing data -> enter receipt of additional data (frequency = 11, performance = 3521377.09)
send confirmation receipt -> enter senddate acknowledgement (frequency = 11, performance = 91889.45)
MER required -> OLO messaging active (frequency = 10, performance = 1.00)
article 34  WABO applies -> procedure change (frequency = 10, performance = 1.00)
creating environmental permit decision -> grounds for refusal (frequency = 10, performance = 1.10)
enter date draft decisionenvironmental permit -> entering senddate draft decision environmental permit (frequency = 10, performance = 151191.10)
enter senddate acknowledgement -> article 34  WABO applies (frequency = 10, performance = 2963504.50)
enter senddate decision environmental permit -> set phase: phase permitting irrevocable (frequency = 10, performance = 4262268.80)
enter senddate decision procedure term extension -> start decision phase extension granted (frequency = 10, performance = 1.00)
generate draft decision environmental permit -> open draft decision for inspection (frequency = 10, performance = 1.10)
inform BAG administrator -> no permit needed or only notification needed (frequency = 10, performance = 1.00)
initiative competent authority -> message terminate request (frequency = 10, performance = 1.00)
open draft decision for inspection -> phase concept draft decision ready (frequency = 10, performance = 1.00)
perspective on draft decision environmental permit received -> phase decision ready (frequency = 10, performance = 1.00)
phase application received -> enter senddate acknowledgement (frequency = 10, performance = 84502.40)
phase decision sent -> enter senddate decision (frequency = 10, performance = 201790.90)
phase decision sent -> register date environmental permit decision (frequency = 10, performance = 197957.70)
phase decision taken -> read publication date field (frequency = 10, performance = 1.00)
phase permanently suspended -> receive additional information (frequency = 10, performance = 1.00)
phased application -> publish (frequency = 10, performance = 1.00)
procedure change -> receive additional information (frequency = 10, performance = 1.00)
receive additional information -> MER present in supplement (frequency = 10, performance = 855010.70)
receive additional information -> article 34  WABO applies (frequency = 10, performance = 1719358.60)
register number of days extension period -> enter senddate decision procedure term extension (frequency = 10, performance = 16703.20)
request complete -> procedure change (frequency = 10, performance = 6.40)
retrieve missing data -> subcases completeness completed (frequency = 10, performance = 2258073.30)
send procedure confirmation -> enter senddate procedure confirmation (frequency = 10, performance = 2280346.80)
send procedure confirmation -> enter senddate retrieve missing data (frequency = 10, performance = 3016861.60)
start decision phase decision permitting sent -> record date of decision environmental permit (frequency = 10, performance = 34371.20)
