forward to the competent authority -> phase application received (frequency = 361, performance = 1.00)
create subcases completeness -> phase asked additional information (frequency = 41, performance = 1.00)
receive additional information -> send confirmation receipt additional data (frequency = 41, performance = 480556.39)
phase decision sent -> date decision for inspection (frequency = 40, performance = 780422.78)
assessment of content completed -> completed subcases content (frequency = 39, performance = 1.00)
register objection and appeal periods -> submit decision (frequency = 38, performance = 1.00)
phase application received -> procedure change (frequency = 37, performance = 1.00)
start WABOprocedure -> enter senddate acknowledgement (frequency = 37, performance = 141509.62)
suspension ground applicable -> creating cover letter decision (frequency = 37, performance = 684176.73)
start decision phase extension granted -> start decision phase extension granted (frequency = 36, performance = 2401.78)
create subcases content -> creating cover letter decision (frequency = 35, performance = 1.00)
grounds for refusal -> creating environmental permit decision (frequency = 35, performance = 93281.69)
MER present in supplement -> article 34  WABO applies (frequency = 34, performance = 1.00)
completed subcases content -> procedure change (frequency = 34, performance = 1.03)
create procedure confirmation -> create subcases completeness (frequency = 34, performance = 59604.32)
creating environmental permit decision -> submit decision (frequency = 34, performance = 302970.88)
register number of days extension period -> enter date decision procedure term extension (frequency = 34, performance = 1666.32)
set phase: phase permitting irrevocable -> close case (frequency = 34, performance = 1809215.59)
suspension ground applicable -> creating environmental permit decision (frequency = 34, performance = 1.65)
transcript decision environmental permit to stakeholders -> record date of decision environmental permit (frequency = 34, performance = 240450.32)
phase additional information received -> phase advice known (frequency = 33, performance = 11018.33)
request complete -> send confirmation receipt additional data (frequency = 33, performance = 1.00)
create cover letter extend procedure term -> create decision procedure term extension (frequency = 32, performance = 1.00)
creating decision procedure term extension -> decision date prior to decision (frequency = 32, performance = 1.00)
enter date publication decision environmental permit -> enter senddate decision (frequency = 32, performance = 1.00)
enter senddate procedure confirmation -> enter senddate retrieve missing data (frequency = 32, performance = 342900.00)
phase decision ready -> submit decision (frequency = 32, performance = 1.00)
treat subcases content -> phase advice known (frequency = 32, performance = 51.47)
enter senddate acknowledgement -> registrer date of publishing received request (frequency = 31, performance = 1131446.87)
enter senddate procedure confirmation -> request complete (frequency = 31, performance = 2218927.48)
enter senddate procedure term extension -> extend procedure term (frequency = 31, performance = 1.00)
phase concept decision ready -> phase decision ready (frequency = 31, performance = 1.00)
request complete -> treat subcases content (frequency = 31, performance = 9.10)
create subcases completeness -> procedure change (frequency = 30, performance = 1.00)
close case -> objection lodged against decision (frequency = 29, performance = 1.00)
enter senddate retrieve missing data -> enter receipt of additional data (frequency = 29, performance = 1710986.66)
start WABOprocedure -> create procedure confirmation (frequency = 29, performance = 143959.38)
send procedure confirmation -> retrieve missing data (frequency = 28, performance = 1954962.54)
phase draft decision made -> phase draft decision ready (frequency = 27, performance = 1.00)
create decision procedure term extension -> creating decision procedure term extension (frequency = 26, performance = 1.00)
creating cover letter decision -> enter date publication decision environmental permit (frequency = 26, performance = 1.00)
publish -> read field phased application (frequency = 26, performance = 1.00)
receive additional information -> request complete (frequency = 26, performance = 1.00)
send letter in progress -> completed subcases content (frequency = 26, performance = 46522.62)
start WABOprocedure -> create subcases completeness (frequency = 26, performance = 2383728.46)
term for supplying missing data -> enter receipt of additional data (frequency = 26, performance = 1628572.81)
completed subcases content -> phase advice known (frequency = 25, performance = 7333.52)
completed subcases content -> treat subcases content (frequency = 25, performance = 1.00)
coordination of application -> creating cover letter decision (frequency = 25, performance = 1.00)
create subcases completeness -> creating environmental permit decision (frequency = 25, performance = 1.00)
enter senddate decision procedure term extension -> enter senddate procedure confirmation (frequency = 25, performance = 417743.80)
procedure change after completeness -> receive additional information (frequency = 25, performance = 1.00)
create letter requesting missing data -> phase asked additional information (frequency = 24, performance = 1.00)
create subcases completeness -> creating cover letter decision (frequency = 24, performance = 1.00)
creating decision permanently suspended -> decision date prior to decision (frequency = 24, performance = 1.00)
decision date prior to decision -> decision keep permanently suspended (frequency = 24, performance = 1.00)
decision date prior to decision -> enter senddate procedure term extension (frequency = 24, performance = 1.00)
enrich draft decision -> enter date advice on treatment of environmental permit (frequency = 24, performance = 1.00)
phase application receptive -> phase concept decision ready (frequency = 24, performance = 1.00)
registrer date of publishing received request -> enter senddate procedure confirmation (frequency = 24, performance = 1533447.04)
set decision status -> start decision phase extension granted (frequency = 24, performance = 1.00)
create monitoring case -> creating cover letter decision (frequency = 23, performance = 1.00)
creating environmental permit decision -> transcript decision environmental permit to stakeholders (frequency = 23, performance = 490561.17)
decision date prior to decision -> enrich decision (frequency = 23, performance = 1.00)
forward to the competent authority -> inform BAG administrator (frequency = 23, performance = 1.00)
register submission date request -> registration date publication (frequency = 23, performance = 161531.91)
term for supplying missing data -> enter senddate retrieve missing data (frequency = 23, performance = 158458.04)
enter senddate decision environmental permit -> transcript decision environmental permit to stakeholders (frequency = 22, performance = 1.00)
enter senddate procedure confirmation -> registration date publication (frequency = 22, performance = 817202.82)
generating decision environmental permit -> perspective on draft decision environmental permit received (frequency = 22, performance = 1.00)
grounds for refusal -> phase additional information received (frequency = 22, performance = 1.00)
procedure change after completeness -> send letter in progress (frequency = 22, performance = 1.00)
set decision phase decision permitting decided -> enter senddate decision environmental permit (frequency = 22, performance = 459801.05)
start decision phase permanent suspension sent -> start decision phase permanently suspended decided (frequency = 22, performance = 1.00)
treat subcases content -> create publication document (frequency = 22, performance = 758586.41)
decision keep permanently suspended -> enter senddate decision permanent suspension (frequency = 21, performance = 1.00)
extend procedure term -> phase procedure extended (frequency = 21, performance = 1.00)
phase procedure extended -> register number of days extension period (frequency = 21, performance = 1.00)
procedure change -> registration date publication (frequency = 21, performance = 1.00)
register number of days extension period -> set decision status (frequency = 21, performance = 1.00)
set decision status -> start WABOprocedure (frequency = 21, performance = 1.00)
subcases completeness completed -> term for supplying missing data (frequency = 21, performance = 1.00)
submit decision -> creating cover letter decision (frequency = 21, performance = 637549.48)
treat subcases completeness -> treat subcases content (frequency = 21, performance = 1.00)
activities regular procedure -> create procedure confirmation (frequency = 20, performance = 1.00)
grounds for refusal -> phase concept draft decision ready (frequency = 20, performance = 1066659.85)
register submission date request -> enter senddate procedure confirmation (frequency = 20, performance = 851037.25)
regular procedure without MER -> request complete (frequency = 20, performance = 1.00)
send procedure confirmation -> phase advice known (frequency = 20, performance = 1601134.65)
send procedure confirmation -> subcases completeness completed (frequency = 20, performance = 1661544.10)
transcript decision environmental permit to stakeholders -> phase decision sent (frequency = 20, performance = 15.35)
OLO messaging active -> activities regular procedure (frequency = 19, performance = 1.00)
by law -> suspension ground applicable (frequency = 19, performance = 1.00)
creating environmental permit decision -> enter date publication decision environmental permit (frequency = 19, performance = 730053.00)
enrich decision -> generating decision environmental permit (frequency = 19, performance = 1.00)
enter senddate decision permanent suspension -> keep permanently suspended (frequency = 19, performance = 2921.16)
generate draft decision environmental permit -> grounds for refusal (frequency = 19, performance = 1.00)
phase advice known -> phase concept draft decision ready (frequency = 19, performance = 340558.89)
phase concept draft decision ready -> phase draft decision made (frequency = 19, performance = 1.00)
phase decision sent -> enter senddate decision environmental permit (frequency = 19, performance = 186339.95)
start decision phase decision permitting sent -> set decision phase decision permitting published (frequency = 19, performance = 554767.26)
term for supplying missing data -> treat subcases completeness (frequency = 19, performance = 1.00)
objection lodged against decision -> phase decision irrevocable (frequency = 18, performance = 1.00)
phase application receptive -> phase decision sent (frequency = 18, performance = 1.00)
phase asked additional information -> retrieve missing data (frequency = 18, performance = 1.00)
phase concept draft decision ready -> enter date draft decisionenvironmental permit (frequency = 18, performance = 74989.44)
phase concept draft decision ready -> publish official draft decision (frequency = 18, performance = 132728.83)
send letter in progress -> subcases completeness completed (frequency = 18, performance = 1.00)
set decision status -> subcases completeness completed (frequency = 18, performance = 1.00)
suspension ground applicable -> create publication document (frequency = 18, performance = 777996.50)
completed subcases content -> create draft environtmental permit (frequency = 17, performance = 1.00)
coordination of application -> create publication document (frequency = 17, performance = 1.00)
phase advice known -> phase decision ready (frequency = 17, performance = 50.59)
set decision phase decision permitting decided -> transcript decision environmental permit to stakeholders (frequency = 17, performance = 1.00)
set decision status -> start decision phase permanent suspension sent (frequency = 17, performance = 5081.00)
subcases completeness completed -> submit decision (frequency = 17, performance = 1.00)
treat subcases content -> record date of decision environmental permit (frequency = 17, performance = 304716.65)
create subcases completeness -> create subcases present decision (frequency = 16, performance = 1.00)
create subcases present decision -> creating environmental permit decision (frequency = 16, performance = 1.00)
creating cover letter decision -> enter senddate decision environmental permit (frequency = 16, performance = 1.00)
date draft decision for inspection -> set decision phase: draft decision for inspection (frequency = 16, performance = 1.00)
phase decision ready -> phase decision taken (frequency = 16, performance = 1.00)
procedure change after completeness -> register objection and appeal periods (frequency = 16, performance = 1.00)
read publication date field -> register objection and appeal periods (frequency = 16, performance = 1.00)
request complete -> term for supplying missing data (frequency = 16, performance = 1.00)
suspension ground applicable -> register date environmental permit decision (frequency = 16, performance = 165134.56)
treat subcases content -> article 34  WABO applies (frequency = 16, performance = 340204.38)
assessment of content completed -> grounds for refusal (frequency = 15, performance = 1.00)
create draft environtmental permit -> grounds for refusal (frequency = 15, performance = 1.00)
enter senddate draft decision -> generate draft decision environmental permit (frequency = 15, performance = 1.00)
phase application received -> phased application (frequency = 15, performance = 1.00)
phase application receptive -> phase concept draft decision ready (frequency = 15, performance = 1.00)
phase asked additional information -> request complete (frequency = 15, performance = 1.00)
read field phased application -> regular procedure without MER (frequency = 15, performance = 1.00)
register objection and appeal periods -> set decision status (frequency = 15, performance = 1.00)
request complete -> procedure change after completeness (frequency = 15, performance = 1.00)
request complete -> resume completeness subcases (frequency = 15, performance = 1.00)
retrieve missing data -> request complete (frequency = 15, performance = 7975038.80)
send confirmation receipt additional data -> article 34  WABO applies (frequency = 15, performance = 702959.07)
start decision phase decision permitting sent -> enter senddate decision environmental permit (frequency = 15, performance = 714260.80)
start decision phase decision permitting sent -> suspension ground applicable (frequency = 15, performance = 1.00)
term for supplying missing data -> MER present in supplement (frequency = 15, performance = 1814398.73)
decision date prior to decision -> enter receipt of additional data (frequency = 14, performance = 1.00)
enter date draft decisionenvironmental permit -> publish official draft decision (frequency = 14, performance = 28698.07)
enter date publication decision environmental permit -> set phase: phase permitting irrevocable (frequency = 14, performance = 3953276.50)
enter senddate acknowledgement -> create letter requesting missing data (frequency = 14, performance = 2654755.93)
enter senddate decision procedure term extension -> enter senddate procedure term extension (frequency = 14, performance = 1.00)
enter senddate retrieve missing data -> phase asked additional information (frequency = 14, performance = 105170.64)
entering senddate draft decision environmental permit -> set decision phase: draft decision permitted sent (frequency = 14, performance = 1.00)
inform BAG administrator -> phase application received (frequency = 14, performance = 1.00)
phase advice known -> suspension ground applicable (frequency = 14, performance = 158739.86)
phase application received -> register submission date request (frequency = 14, performance = 1.00)
record date of decision environmental permit -> date decision for inspection (frequency = 14, performance = 777598.64)
record date of decision environmental permit -> submit decision (frequency = 14, performance = 1.00)
send letter in progress -> phase advice known (frequency = 14, performance = 242450.00)
set decision phase: draft decision permitted sent -> start decisionphase draft decision - permitting decided (frequency = 14, performance = 1.00)
subcases completeness completed -> treat subcases completeness (frequency = 14, performance = 1.00)
suspension ground applicable -> treat subcases completeness (frequency = 14, performance = 1.00)
term for supplying missing data -> phase asked additional information (frequency = 14, performance = 376454.86)
OLO messaging active -> phase application received (frequency = 13, performance = 1.00)
decision date prior to decision -> enter publication date draft decision (frequency = 13, performance = 1.00)
enter date publication decision environmental permit -> register deadline (frequency = 13, performance = 3634610.69)
enter receipt of additional data -> request complete (frequency = 13, performance = 5702683.92)
enter senddate procedure confirmation -> register date environmental permit decision (frequency = 13, performance = 1076401.00)
enter senddate procedure confirmation -> register number of days extension period (frequency = 13, performance = 922865.77)
no permit needed or only notification needed -> phase application received (frequency = 13, performance = 1.00)
phase advice known -> enter senddate decision environmental permit (frequency = 13, performance = 1304079.46)
phase advice known -> register date environmental permit decision (frequency = 13, performance = 1753687.77)
phase case handled -> phase procedure aborted (frequency = 13, performance = 1.00)
phase decision taken -> read publication date field (frequency = 13, performance = 1.00)
phased application -> procedure change (frequency = 13, performance = 1.00)
procedure change -> assessment of content completed (frequency = 13, performance = 1.15)
publish -> regular procedure without MER (frequency = 13, performance = 1.00)
publish official draft decision -> send design decision to stakeholders (frequency = 13, performance = 4.92)
register date environmental permit decision -> set decision phase decision permitting decided (frequency = 13, performance = 1.00)
register submission date request -> registrer date of publishing received request (frequency = 13, performance = 897233.54)
request complete -> send confirmation receipt (frequency = 13, performance = 1.00)
retrieve missing data -> enter receipt of additional data (frequency = 13, performance = 3278703.08)
send procedure confirmation -> enter senddate acknowledgement (frequency = 13, performance = 133790.92)
set decision status -> set decision status (frequency = 13, performance = 1.00)
set phase: phase permitting irrevocable -> objection lodged against decision (frequency = 13, performance = 3323353.85)
submit decision -> enter senddate decision environmental permit (frequency = 13, performance = 13404.31)
submit decision -> phase decision ready (frequency = 13, performance = 83742.15)
submit decision -> phase decision sent (frequency = 13, performance = 273.54)
transcript decision environmental permit to stakeholders -> generate publication document decision environmental permit (frequency = 13, performance = 44.62)
transcript decision environmental permit to stakeholders -> objection lodged against decision (frequency = 13, performance = 5043587.92)
treat subcases content -> enter senddate decision environmental permit (frequency = 13, performance = 121294.23)
treat subcases content -> generating decision environmental permit (frequency = 13, performance = 816618.62)
treat subcases content -> procedure change (frequency = 13, performance = 1.00)
coordination of application -> create procedure confirmation (frequency = 12, performance = 1.00)
create publication document -> enrich draft decision (frequency = 12, performance = 1.00)
create subcases present decision -> creating cover letter decision (frequency = 12, performance = 1.00)
creating environmental permit decision -> suspension ground applicable (frequency = 12, performance = 1.00)
decision date prior to decision -> enter senddate decision environmental permit (frequency = 12, performance = 1.00)
enter date advice on treatment of environmental permit -> enter senddate draft decision (frequency = 12, performance = 1.00)
grounds for refusal -> by law (frequency = 12, performance = 1.00)
keep permanently suspended -> phase permanently suspended (frequency = 12, performance = 1.00)
message terminate request -> register deadline (frequency = 12, performance = 173.17)
phase application received -> phase application receptive (frequency = 12, performance = 1.00)
phase decision ready -> record date of decision environmental permit (frequency = 12, performance = 112062.83)
receive additional information -> set decision status (frequency = 12, performance = 1.00)
registrer date of publishing received request -> enter date decision procedure term extension (frequency = 12, performance = 2036398.17)
registrer date of publishing received request -> enter senddate acknowledgement (frequency = 12, performance = 496793.83)
send procedure confirmation -> treat subcases completeness (frequency = 12, performance = 886904.92)
start WABOprocedure -> request complete (frequency = 12, performance = 3104026.75)
subcases completeness completed -> suspension ground applicable (frequency = 12, performance = 1.00)
submit decision -> enter senddate decision (frequency = 12, performance = 479681.25)
treat subcases completeness -> request complete (frequency = 12, performance = 971450.50)
MER required -> OLO messaging active (frequency = 11, performance = 1.00)
create cover letter permanent suspension -> creating decision permanently suspended (frequency = 11, performance = 1.00)
enter date decision procedure term extension -> phase procedure extended (frequency = 11, performance = 463.82)
enter date draft decisionenvironmental permit -> entering senddate draft decision environmental permit (frequency = 11, performance = 137446.55)
enter date termination request received -> initiative competent authority (frequency = 11, performance = 1.00)
enter senddate acknowledgement -> article 34  WABO applies (frequency = 11, performance = 2866892.18)
enter senddate decision environmental permit -> date decision for inspection (frequency = 11, performance = 495377.00)
enter senddate decision procedure term extension -> request complete (frequency = 11, performance = 2308586.82)
enter senddate retrieve missing data -> registrer date of publishing received request (frequency = 11, performance = 15710.18)
perspective on draft decision environmental permit received -> phase decision ready (frequency = 11, performance = 1.00)
phase application received -> enter senddate acknowledgement (frequency = 11, performance = 79452.36)
phase decision taken -> enter senddate decision environmental permit (frequency = 11, performance = 175.73)
phase procedure aborted -> phase procedure prematurely terminated (frequency = 11, performance = 1.00)
phased application -> publish (frequency = 11, performance = 1.00)
read publication date field -> register deadline (frequency = 11, performance = 1.00)
receive additional information -> MER present in supplement (frequency = 11, performance = 824409.64)
registrer date of publishing received request -> enter senddate retrieve missing data (frequency = 11, performance = 1469123.55)
resume completeness subcases -> send confirmation receipt additional data (frequency = 11, performance = 1.00)
send procedure confirmation -> enter senddate procedure confirmation (frequency = 11, performance = 2073042.64)
article 35 applies -> ask stakeholders views (frequency = 10, performance = 1.00)
ask stakeholders views -> creating environmental permit decision (frequency = 10, performance = 7.90)
coordination of application -> create monitoring case (frequency = 10, performance = 1.00)
enter senddate decision procedure term extension -> start decision phase extension granted (frequency = 10, performance = 1.00)
generate draft decision environmental permit -> open draft decision for inspection (frequency = 10, performance = 1.00)
generating decision environmental permit -> phase decision sent (frequency = 10, performance = 1.00)
grounds for refusal -> open draft decision for inspection (frequency = 10, performance = 1.00)
inform BAG administrator -> no permit needed or only notification needed (frequency = 10, performance = 1.00)
initiative competent authority -> message terminate request (frequency = 10, performance = 1.00)
open draft decision for inspection -> phase concept draft decision ready (frequency = 10, performance = 1.00)
phase additional information received -> request complete (frequency = 10, performance = 715434.00)
phase advice known -> submit decision (frequency = 10, performance = 783359.70)
phase decision sent -> enter senddate decision (frequency = 10, performance = 201790.90)
phase decision sent -> register date environmental permit decision (frequency = 10, performance = 197957.70)
phase permanently suspended -> receive additional information (frequency = 10, performance = 1.00)
read field phased application -> registration date publication (frequency = 10, performance = 1.00)
receive additional information -> article 34  WABO applies (frequency = 10, performance = 1719358.60)
register date environmental permit decision -> phase decision taken (frequency = 10, performance = 6503.10)
register date environmental permit decision -> request complete (frequency = 10, performance = 214244.40)
register number of days extension period -> enter senddate decision procedure term extension (frequency = 10, performance = 16703.20)
register number of days extension period -> request complete (frequency = 10, performance = 680742.80)
register submission date request -> create procedure confirmation (frequency = 10, performance = 345560.00)
retrieve missing data -> subcases completeness completed (frequency = 10, performance = 2258073.30)
send procedure confirmation -> enter senddate retrieve missing data (frequency = 10, performance = 3016861.60)
start decision phase decision permitting sent -> record date of decision environmental permit (frequency = 10, performance = 34371.20)
start decision phase decision permitting sent -> register deadline (frequency = 10, performance = 3966102.10)
start decision phase extension granted -> article 34  WABO applies (frequency = 10, performance = 1987526.60)
stop all running subcases 2b -> terminate on request (frequency = 10, performance = 1.00)
transcript decision environmental permit to stakeholders -> enter senddate decision (frequency = 10, performance = 207368.00)
OLO messaging active -> forward to the competent authority (frequency = 9, performance = 1.00)
article 33 applies -> article 34  WABO applies (frequency = 9, performance = 1.00)
article 34  WABO applies -> article 35 applies (frequency = 9, performance = 1.00)
create cover letter draft decision -> create draft environtmental permit (frequency = 9, performance = 1.00)
create message terminate request -> enter date termination request received (frequency = 9, performance = 1.00)
creating environmental permit decision -> grounds for refusal (frequency = 9, performance = 1.00)
