Case,Timestamp,Activity,Activity_fixed,Resource,label
1417,2024-07-12 23:16:38.586,EVENT 8END,EVENT 8END,,distorted label(Skip)
1421,2024-07-12 23:52:02.486,eVENT 8 END,EVENT 8 END,,distorted label(UpLow)
1426,2024-07-05 22:30:00.000,starg,start,,distorted label(Proximity)
1427,2024-07-15 18:40:21.723,deliver to customer,Deliver to customer,Waiter-000001,distorted label(UpLow)
143,2024-05-10 23:35:54.484,Signal tood complete,Signal food complete,Cook-000002,distorted label(Proximity)
1441,2024-07-08 18:20:45.797,Review lrder,Review order,Waiter-000003,distorted label(Proximity)
1441,2024-07-08 18:29:53.767,review drinks,Review drinks,Waiter-000005,distorted label(UpLow)
1442,2024-07-08 18:53:05.135,prepzre drinks,prepare drinks,Barman-000001,distorted label(Proximity)
1467,2024-07-09 00:45:00.000,TaDke order,Take order,Waiter-000002,distorted label(Insert)
1467,2024-07-09 01:03:43.301,Bring drnks,Bring drinks,Barman-000001,distorted label(Skip)
1475,2024-07-09 18:52:41.509,Reviewd rinks,Review drinks,Waiter-000002,distorted label(Interchange)
148,2024-05-10 23:00:00.000,Take ofder,Take ofder,Waiter-000001,distorted label(Proximity)
1482,2024-07-09 20:31:54.723,review order,Review order,Waiter-000005,distorted label(UpLow)
1484,2024-07-16 22:43:18.047,Signal food cmplete,Signal food complete,Cook-000002,distorted label(Skip)
1485,2024-07-09 21:28:01.417,prepar edrinks,prepare drinks,Barman-000003,distorted label(Interchange)
1487,2024-07-09 21:52:35.899,Prepare drinks,prepare drinks,Barman-000002,distorted label(UpLow)
1487,2024-07-17 00:13:01.723,bring food,Bring food,Cook helper-000003,distorted label(UpLow)
1498,2024-07-10 00:30:00.000,Take Yorder,Take Yorder,Waiter-000002,distorted label(Insert)
1498,2024-07-10 00:52:59.267,Revidw drinks,Review drinks,Waiter-000005,distorted label(Proximity)
1498,2024-07-17 18:57:21.983,EVGENT 8 END,EVENT 8 END,,distorted label(Insert)
1500,2024-07-17 18:51:13.717,Delivegr to customer,Deliver to customer,Waiter-000001,distorted label(Insert)
1503,2024-07-10 18:09:59.490,RJeview drinks,Review drinks,Waiter-000004,distorted label(Insert)
1503,2024-07-12 23:04:32.378,Prepare min course,Prepare main course,Cook-000002,distorted label(Skip)
1503,2024-07-17 19:10:30.255,signal food complete,Signal food complete,Cook-000003,distorted label(UpLow)
1505,2024-07-10 18:27:18.619,Bting drinks,Bring drinks,Barman-000002,distorted label(Proximity)
1507,2024-07-10 19:05:28.422,ReviewI drinks,Review drinks,Waiter-000005,distorted label(Insert)
1509,2024-07-10 19:45:30.916,prepare drinjs,prepare drinks,Barman-000003,distorted label(Proximity)
1509,2024-07-10 20:13:45.074,Fring drinks,Bring drinks,Barman-000001,distorted label(Proximity)
1523,2024-07-10 22:55:14.190,Bring drink,Bring drinks,Barman-000001,distorted label(Skip)
1526,2024-07-10 23:32:09.072,prepare drniks,prepare drinks,Barman-000002,distorted label(Interchange)
1529,2024-07-11 00:23:15.574,Bring rinks,Bring drinks,Barman-000002,distorted label(Skip)
1537,2024-07-11 18:24:29.728,Review drins,Review drinks,Waiter-000003,distorted label(Skip)
1539,2024-07-11 19:13:21.426,Redview drinks,Review drinks,Waiter-000001,distorted label(Insert)
1546,2024-07-11 20:56:14.799,Bring dirnks,Bring drinks,Barman-000001,distorted label(Interchange)
155,2024-05-11 01:58:51.830,Prepare mainc ourse,Prepare main course,Cook-000003,distorted label(Interchange)
1550,2024-07-11 21:45:43.732,Reviewdrinks,Review drinks,Waiter-000004,distorted label(Skip)
1550,2024-07-11 21:53:38.466,prepare drinkx,prepare drinks,Barman-000001,distorted label(Proximity)
1551,2024-07-11 21:57:39.434,prepared rinks,prepare drinks,Barman-000001,distorted label(Interchange)
1551,2024-07-16 20:33:10.817,Prepar emain course,Prepare main course,Cook-000003,distorted label(Interchange)
1556,2024-07-19 00:30:58.042,signal food complete,Signal food complete,Cook-000003,distorted label(UpLow)
156,2024-05-11 01:16:43.504,bring drinks,Bring drinks,Barman-000003,distorted label(UpLow)
156,2024-05-13 19:56:02.701,Brig food,Brig food,Cook helper-000003,distorted label(Skip)
156,2024-05-13 19:56:40.127,Delive to customer,Deliver to customer,Waiter-000003,distorted label(Skip)
1567,2024-07-12 01:51:08.464,Review drikns,Review drinks,Waiter-000005,distorted label(Interchange)
1570,2024-07-19 19:44:13.032,deliver to customer,Deliver to customer,Waiter-000005,distorted label(UpLow)
1572,2024-07-12 19:14:27.942,Rveiew drinks,Review drinks,Waiter-000003,distorted label(Interchange)
1573,2024-07-12 19:27:38.921,review drinks,Review drinks,Waiter-000005,distorted label(UpLow)
1573,2024-07-16 23:37:54.529,prepare main course,Prepare main course,Cook-000003,distorted label(UpLow)
1580,2024-07-19 22:40:44.076,DeliveYr to customer,Deliver to customer,Waiter-000003,distorted label(Insert)
1581,2024-07-17 01:15:05.414,PrepaYre main course,Prepare main course,Cook-000001,distorted label(Insert)
1588,2024-07-12 23:02:15.489,review order,Review order,Waiter-000004,distorted label(UpLow)
1590,2024-07-12 23:30:00.000,starf,start,,distorted label(Proximity)
1594,2024-07-13 00:49:48.935,eRview drinks,Review drinks,Waiter-000004,distorted label(Interchange)
1597,2024-07-13 01:39:50.673,Reiew drinks,Review drinks,Waiter-000002,distorted label(Skip)
1597,2024-07-20 01:40:12.637,EVENT 8 EDND,EVENT 8 END,,distorted label(Insert)
160,2024-05-13 18:57:38.179,Prepare main coursr,Prepare main course,Cook-000001,distorted label(Proximity)
160,2024-05-13 20:28:54.421,signal food complete,Signal food complete,Cook-000001,distorted label(UpLow)
1600,2024-07-17 21:22:10.374,prepare main course,Prepare main course,Cook-000001,distorted label(UpLow)
1603,2024-07-15 18:45:36.039,Review ordr,Review order,Waiter-000005,distorted label(Skip)
1603,2024-07-15 18:46:26.527,Nring drinks,Bring drinks,Barman-000001,distorted label(Proximity)
1609,2024-07-17 23:06:40.287,Prepar main course,Prepare main course,Cook-000001,distorted label(Skip)
1617,2024-07-15 22:15:00.000,PTake order,Take order,Waiter-000003,distorted label(Insert)
1617,2024-07-18 18:42:01.526,hEVENT 8 END,EVENT 8 END,,distorted label(Insert)
1638,2024-07-16 19:52:04.887,QBring drinks,Bring drinks,Barman-000002,distorted label(Insert)
1640,2024-07-16 20:00:50.022,Review ordre,Review order,Waiter-000002,distorted label(Interchange)
1649,2024-07-23 22:35:28.607,Deliger to customer,Deliver to customer,Waiter-000005,distorted label(Proximity)
1652,2024-07-23 23:00:12.213,bring food,Bring food,Cook helper-000003,distorted label(UpLow)
1654,2024-07-16 23:33:41.781,Brin gdrinks,Brin gdrinks,Barman-000002,distorted label(Interchange)
1666,2024-07-17 18:32:03.104,prepare drinkq,prepare drinks,Barman-000001,distorted label(Proximity)
1677,2024-07-17 21:15:00.000,Take orded,Take order,Waiter-000005,distorted label(Proximity)
1691,2024-07-18 00:57:26.919,Review drinkbs,Review drinks,Waiter-000005,distorted label(Insert)
1698,2024-07-18 18:33:02.948,preare drinks,prepare drinks,Barman-000001,distorted label(Skip)
17,2024-05-06 22:49:12.192,EVEJT 8 END,EVENT 8 END,,distorted label(Proximity)
1700,2024-07-18 19:08:21.460,Revie drinks,Review drinks,Waiter-000003,distorted label(Skip)
1703,2024-07-18 19:45:00.000,Tuake order,Take order,Waiter-000001,distorted label(Insert)
1704,2024-07-23 00:50:45.459,Prepare mani course,Prepare main course,Cook-000002,distorted label(Interchange)
1707,2024-07-18 20:45:00.000,Start,start,,distorted label(UpLow)
1711,2024-07-25 23:58:21.850,Delivre to customer,Deliver to customer,Waiter-000003,distorted label(Interchange)
174,2024-05-14 00:44:28.216,Signal food complete,Signal food complete,Cook-000003,distorted label(Interchange)
1745,2024-07-19 22:15:00.000,Take orzder,Take orzder,Waiter-000003,distorted label(Insert)
1748,2024-07-19 23:00:00.000,take order,Take order,Waiter-000004,distorted label(UpLow)
1749,2024-07-19 23:15:33.082,review order,Review order,Waiter-000003,distorted label(UpLow)
1759,2024-07-20 01:57:58.400,Reivew drinks,Review drinks,Waiter-000005,distorted label(Interchange)
176,2024-05-13 22:03:06.388,review order,Review order,Waiter-000004,distorted label(UpLow)
176,2024-05-13 22:04:12.340,pzrepare drinks,prepare drinks,Barman-000001,distorted label(Insert)
1766,2024-07-22 19:30:00.000,satrt,satrt,,distorted label(Interchange)
1766,2024-07-22 19:33:56.848,Review rdinks,Review drinks,Waiter-000003,distorted label(Interchange)
177,2024-05-13 22:15:00.000,tart,start,,distorted label(Skip)
1770,2024-07-22 20:43:08.251,Prepare drinks,prepare drinks,Barman-000001,distorted label(UpLow)
1771,2024-07-22 20:45:00.000,ztart,start,,distorted label(Proximity)
1771,2024-07-24 23:50:43.459,prepare main course,Prepare main course,Cook-000001,distorted label(UpLow)
1780,2024-07-22 23:00:00.000,Take ogder,Take ogder,Waiter-000005,distorted label(Proximity)
1781,2024-07-22 23:15:54.913,Revikew order,Review order,Waiter-000004,distorted label(Insert)
1781,2024-07-30 21:43:18.012,Signal foo dcomplete,Signal food complete,Cook-000003,distorted label(Interchange)
1787,2024-07-23 00:55:56.935,Review drhinks,Review drinks,Waiter-000003,distorted label(Insert)
1790,2024-07-23 01:51:09.246,Revicew drinks,Review drinks,Waiter-000003,distorted label(Insert)
1790,2024-07-23 18:17:52.846,Birng drinks,Bring drinks,Barman-000002,distorted label(Interchange)
1794,2024-07-25 23:49:33.777,Prepare ain course,Prepare main course,Cook-000001,distorted label(Skip)
1794,2024-07-31 01:49:58.441,JSignal food complete,Signal food complete,Cook-000003,distorted label(Insert)
1805,2024-07-23 21:15:00.000,Take eorder,Takeorder,Waiter-000005,distorted label(Insert)
1813,2024-07-23 23:31:52.948,Rview drinks,Review drinks,Waiter-000001,distorted label(Skip)
1813,2024-07-26 19:50:19.736,EVNET 8 END,EVNET 8 END,,distorted label(Interchange)
1816,2024-07-24 00:10:27.287,Prepare drinks,prepare drinks,Barman-000001,distorted label(UpLow)
1825,2024-07-27 01:08:34.265,Prepare tmain course,Prepare main course,Cook-000001,distorted label(Insert)
1825,2024-08-01 00:29:59.166,Bringfood,Bringfood,Cook helper-000001,distorted label(Skip)
1829,2024-07-24 19:39:25.327,Review driks,Review drinks,Waiter-000004,distorted label(Skip)
1829,2024-08-01 18:12:54.154,Sifnal food complete,Signal food complete,Cook-000003,distorted label(Proximity)
183,2024-05-13 23:49:16.845,ring drinks,Bring drinks,Barman-000001,distorted label(Skip)
183,2024-05-14 20:04:27.850,Bring ood,Bring ood,Cook helper-000001,distorted label(Skip)
1847,2024-07-24 23:45:00.000,TFake order,Take order,Waiter-000002,distorted label(Insert)
1847,2024-07-30 01:34:56.911,Signal food complgete,Signal food complete,Cook-000002,distorted label(Insert)
1855,2024-07-25 01:45:00.000,Tke order,Take order,Waiter-000001,distorted label(Skip)
1855,2024-07-25 01:58:12.935,Reviea drinks,Review drinks,Waiter-000005,distorted label(Proximity)
1859,2024-07-25 18:48:25.797,prepare drinsk,prepare drinks,Barman-000001,distorted label(Interchange)
1862,2024-07-25 19:41:13.190,Prepare drinks,prepare drinks,Barman-000001,distorted label(UpLow)
1866,2024-08-02 19:38:16.925,Deliver to custoemr,Deliver to customer,Waiter-000003,distorted label(Interchange)
1874,2024-07-25 22:48:44.211,bring drinks,Bring drinks,Barman-000001,distorted label(UpLow)
1884,2024-07-26 01:01:06.314,review order,Review order,Waiter-000003,distorted label(UpLow)
1890,2024-07-26 18:42:57.965,Review drinWks,Review drinks,Waiter-000002,distorted label(Insert)
1890,2024-07-26 18:43:45.842,prepare driks,prepare drinks,Barman-000001,distorted label(Skip)
1896,2024-07-26 20:03:54.257,BriOng drinks,Bring drinks,Barman-000001,distorted label(Insert)
1901,2024-08-05 19:09:20.625,Signal food ocmplete,Signal food complete,Cook-000002,distorted label(Interchange)
1909,2024-07-26 23:15:15.163,Review ordsr,Review order,Waiter-000005,distorted label(Proximity)
1914,2024-07-27 00:36:43.936,Revifw drinks,Review drinks,Waiter-000003,distorted label(Proximity)
1921,2024-07-29 18:21:59.005,Preare starter,Prepare starter,Cook helper-000003,distorted label(Skip)
1930,2024-07-29 20:40:10.453,Bring drinkc,Bring drinks,Barman-000001,distorted label(Proximity)
1930,2024-08-06 01:59:24.079,EVEHT 8 END,EVEHT 8 END,,distorted label(Proximity)
1932,2024-07-29 21:27:12.384,Review drlinks,Review drinks,Waiter-000005,distorted label(Insert)
1932,2024-08-06 19:19:36.166,Bring f;od,Bring food,Cook helper-000002,distorted label(Proximity)
1932,2024-08-06 19:27:48.161,EVENT 8 EN,EVENT 8 END,,distorted label(Skip)
1943,2024-07-29 23:48:23.810,prepare Qdrinks,prepare drinks,Barman-000002,distorted label(Insert)
1944,2024-07-30 00:09:21.787,Review drVinks,Review drinks,Waiter-000001,distorted label(Insert)
1946,2024-08-06 21:41:33.381,signal food complete,Signal food complete,Cook-000003,distorted label(UpLow)
1948,2024-07-30 01:08:49.478,Bring drinka,Bring drinks,Barman-000001,distorted label(Proximity)
1957,2024-07-30 19:35:41.235,Prepare drinks,prepare drinks,Barman-000001,distorted label(UpLow)
1961,2024-07-30 20:37:37.458,review drinks,Review drinks,Waiter-000004,distorted label(UpLow)
1964,2024-07-30 21:00:00.000,strt,strt,,distorted label(Skip)
1967,2024-08-02 19:08:33.335,Prepare main coruse,Prepare main course,Cook-000002,distorted label(Interchange)
1969,2024-07-30 22:39:22.872,Bring erinks,Bring erinks,Barman-000003,distorted label(Proximity)
197,2024-05-14 19:17:36.485,Bting drinks,Bring drinks,Barman-000002,distorted label(Proximity)
197,2024-05-14 19:30:36.936,Review drBinks,Review drinks,Waiter-000005,distorted label(Insert)
197,2024-05-15 00:16:21.391,eVENT 8 END,EVENT 8 END,,distorted label(UpLow)
1974,2024-07-30 23:33:45.774,prepare dirinks,prepare drinks,Barman-000001,distorted label(Insert)
1988,2024-08-08 21:13:52.347,Delive to customer,Deliver to customer,Waiter-000001,distorted label(Skip)
201,2024-05-14 20:29:46.070,Reivew drinks,Review drinks,Waiter-000003,distorted label(Interchange)
2010,2024-08-09 18:02:07.265,EVENF 8 END,EVENF 8 END,,distorted label(Proximity)
2019,2024-08-01 18:47:00.256,pepare drinks,prepare drinks,Barman-000001,distorted label(Skip)
2035,2024-08-01 22:46:39.122,repare drinks,prepare drinks,Barman-000002,distorted label(Skip)
2041,2024-08-02 00:18:38.490,prpare drinks,prepare drinks,Barman-000003,distorted label(Skip)
2041,2024-08-06 23:22:54.606,Prepare main courpse,Prepare main course,Cook-000001,distorted label(Insert)
2044,2024-08-02 01:00:00.000,take order,Take order,Waiter-000004,distorted label(UpLow)
2044,2024-08-12 18:26:08.410,bring food,Bring food,Cook helper-000002,distorted label(UpLow)
2047,2024-08-02 01:45:00.000,stazrt,stazrt,,distorted label(Insert)
205,2024-05-14 21:17:11.468,Review otder,Review order,Waiter-000002,distorted label(Proximity)
205,2024-05-14 21:18:52.857,Prepae starter,Prepare starter,Cook helper-000003,distorted label(Skip)
205,2024-05-15 18:51:40.789,Signal food coomplete,Signal food complete,Cook-000003,distorted label(Insert)
2062,2024-08-13 01:05:06.697,Signal food compleet,Signal food complete,Cook-000002,distorted label(Interchange)
2079,2024-08-05 18:11:44.534,Bring drCinks,Bring drinks,Barman-000001,distorted label(Insert)
2082,2024-08-13 21:50:31.751,bring food,Bring food,Cook helper-000003,distorted label(UpLow)
2082,2024-08-13 21:58:59.881,Delier to customer,Deliver to customer,Waiter-000005,distorted label(Skip)
2084,2024-08-05 19:05:42.746,Prepare satrter,Prepare starter,Cook helper-000001,distorted label(Interchange)
2085,2024-08-05 19:25:07.311,BringK drinks,Bring drinks,Barman-000001,distorted label(Insert)
2085,2024-08-08 23:29:55.487,Prepare amin course,Prepare main course,Cook-000003,distorted label(Interchange)
210,2024-05-14 22:30:00.000,Takle order,Takle order,Waiter-000004,distorted label(Insert)
210,2024-05-14 22:31:35.406,orepare drinks,prepare drinks,Barman-000002,distorted label(Proximity)
2100,2024-08-14 19:45:11.784,Deliver to ucstomer,Deliver to customer,Waiter-000005,distorted label(Interchange)
2104,2024-08-14 20:36:05.986,EVENT 8 fEND,EVENT 8 END,,distorted label(Insert)
2108,2024-08-14 21:59:26.336,Delicer to customer,Deliver to customer,Waiter-000001,distorted label(Proximity)
211,2024-05-14 22:45:00.000,Take orde,Take order,Waiter-000004,distorted label(Skip)
211,2024-05-14 22:53:15.021,prpare drinks,prepare drinks,Barman-000003,distorted label(Skip)
2112,2024-08-14 22:20:17.070,Bring tood,Bring tood,Cook helper-000001,distorted label(Proximity)
2114,2024-08-06 18:32:06.222,Revew order,Review order,Waiter-000005,distorted label(Skip)
2114,2024-08-14 22:36:16.727,EDENT 8 END,EVENT 8 END,,distorted label(Proximity)
212,2024-05-15 20:36:35.812,Brig food,Brig food,Cook helper-000003,distorted label(Skip)
2120,2024-08-06 20:01:34.496,Prepare Istarter,Prepare starter,Cook helper-000001,distorted label(Insert)
2137,2024-08-10 01:31:38.466,Perpare main course,Prepare main course,Cook-000002,distorted label(Interchange)
2138,2024-08-10 01:35:02.563,prepare main course,Prepare main course,Cook-000003,distorted label(UpLow)
2138,2024-08-15 21:04:55.416,Bring flod,Bring flod,Cook helper-000003,distorted label(Proximity)
215,2024-05-15 00:11:12.000,Brinn drinks,Brinn drinks,Barman-000001,distorted label(Proximity)
