Case,Timestamp,Activity,Resource,label
3,2024-05-06 18:45:43,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
3,2024-05-06 18:46:01,Prepare main course,Cook-000001,
3,2024-05-06 18:46:01,prepare drinks,Barman-000003,
3,2024-05-06 18:46:01,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
3,2024-05-06 18:46:25,Bring drinks,Barman-000001,
3,2024-05-06 18:49:49,Review drinks,Waiter-000004,
3,2024-05-06 18:49:49,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
3,2024-05-06 18:53:13,prepare drinks,Barman-000002,
3,2024-05-06 18:53:14,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
3,2024-05-06 19:02:51,Bring drinks,Barman-000001,
3,2024-05-06 19:05:53,Review drinks,Waiter-000001,
3,2024-05-06 19:05:54,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
3,2024-05-06 19:38:29,Signal food complete,Cook-000001,
3,2024-05-06 19:38:29,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
3,2024-05-06 19:56:37,Bring food,Cook helper-000001,
3,2024-05-06 19:56:38,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
3,2024-05-06 19:59:50,Deliver to customer,Waiter-000004,
3,2024-05-06 19:59:51,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
3,2024-05-06 20:00:52,EVENT 8 END,,
3,2024-05-06 20:00:52,Bring drinks_signed1,,collateral events(Bring drinks)
4,2024-05-06 19:00:00,Take order,Waiter-000002,
4,2024-05-06 19:00:00,start,,
4,2024-05-06 19:00:00,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
4,2024-05-06 19:01:14,Review order,Waiter-000003,
4,2024-05-06 19:01:15,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
4,2024-05-06 19:01:40,Prepare starter,Cook helper-000003,
4,2024-05-06 19:01:40,prepare drinks,Barman-000003,
4,2024-05-06 19:01:41,Signal food complete,Cook-000002,
4,2024-05-06 19:01:41,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
4,2024-05-06 19:11:57,Bring drinks,Barman-000002,
4,2024-05-06 19:16:42,Review drinks,Waiter-000002,
4,2024-05-06 19:16:42,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
4,2024-05-06 19:29:56,Bring food,Cook helper-000002,
4,2024-05-06 19:29:57,Bring drinks_signed1,Cook helper-000002,collateral events(Bring drinks)
4,2024-05-06 19:32:28,Deliver to customer,Waiter-000004,
4,2024-05-06 19:32:28,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
4,2024-05-06 19:37:12,EVENT 8 END,,
4,2024-05-06 19:37:12,Bring drinks_signed1,,collateral events(Bring drinks)
5,2024-05-06 19:15:00,Take order,Waiter-000004,
5,2024-05-06 19:15:00,start,,
5,2024-05-06 19:16:14,Review order,Waiter-000005,
5,2024-05-06 19:16:25,Prepare main course,Cook-000003,
5,2024-05-06 19:16:25,prepare drinks,Barman-000001,
5,2024-05-06 19:39:00,Bring drinks,Barman-000003,
5,2024-05-06 19:41:06,Review drinks,Waiter-000002,
5,2024-05-06 19:57:21,Signal food complete,Cook-000003,
5,2024-05-06 20:07:38,Bring food,Cook helper-000002,
5,2024-05-06 20:09:58,Deliver to customer,Waiter-000005,
5,2024-05-06 20:10:29,EVENT 8 END,,
6,2024-05-06 19:30:00,Take order,Waiter-000003,
6,2024-05-06 19:30:00,start,,
6,2024-05-06 19:30:01,Review order,Waiter-000001,
6,2024-05-06 19:31:15,Prepare main course,Cook-000002,
6,2024-05-06 19:31:15,prepare drinks,Barman-000003,
6,2024-05-06 19:31:50,Bring drinks,Barman-000002,
6,2024-05-06 19:34:50,Review drinks,Waiter-000005,
6,2024-05-06 19:37:16,Signal food complete,Cook-000002,
6,2024-05-06 20:34:05,Bring food,Cook helper-000001,
6,2024-05-06 20:34:19,Deliver to customer,Waiter-000002,
6,2024-05-06 20:34:54,EVENT 8 END,,
7,2024-05-06 19:45:00,Take order,Waiter-000003,
7,2024-05-06 19:45:00,start,,
7,2024-05-06 19:51:43,Review order,Waiter-000001,
7,2024-05-06 19:52:56,prepare drinks,Barman-000002,
7,2024-05-06 19:54:05,Bring drinks,Barman-000001,
7,2024-05-06 19:54:29,Review drinks,Waiter-000005,
7,2024-05-06 19:56:37,Prepare main course,Cook-000001,
7,2024-05-06 21:28:27,Signal food complete,Cook-000001,
7,2024-05-06 21:54:49,Bring food,Cook helper-000003,
7,2024-05-06 21:56:07,Deliver to customer,Waiter-000001,
7,2024-05-06 21:56:23,EVENT 8 END,,
8,2024-05-06 20:00:00,Take order,Waiter-000002,
8,2024-05-06 20:00:00,start,,
8,2024-05-06 20:00:01,Review order,Waiter-000003,
8,2024-05-06 20:00:04,Prepare starter,Cook helper-000003,
8,2024-05-06 20:00:04,prepare drinks,Barman-000003,
8,2024-05-06 20:00:54,Bring drinks,Barman-000002,
8,2024-05-06 20:04:36,Review drinks,Waiter-000001,
8,2024-05-06 20:07:38,Prepare main course,Cook-000003,
8,2024-05-06 20:16:46,Signal food complete,Cook-000003,
8,2024-05-06 20:55:46,Bring food,Cook helper-000003,
8,2024-05-06 21:00:10,Deliver to customer,Waiter-000002,
8,2024-05-06 21:01:36,EVENT 8 END,,
9,2024-05-06 20:15:00,Take order,Waiter-000002,
9,2024-05-06 20:15:00,start,,
9,2024-05-06 20:17:11,Review order,Waiter-000003,
9,2024-05-06 20:18:02,prepare drinks,Barman-000001,
9,2024-05-06 20:23:37,Bring drinks,Barman-000003,
9,2024-05-06 20:31:01,Review drinks,Waiter-000001,
9,2024-05-06 20:34:05,Prepare main course,Cook-000002,
9,2024-05-06 21:00:06,Signal food complete,Cook-000002,
9,2024-05-06 21:07:06,Bring food,Cook helper-000002,
9,2024-05-06 21:20:25,Deliver to customer,Waiter-000001,
9,2024-05-06 21:22:47,EVENT 8 END,,
10,2024-05-06 20:30:00,Take order,Waiter-000004,
10,2024-05-06 20:30:00,start,,
10,2024-05-06 20:31:21,Review order,Waiter-000005,
10,2024-05-06 20:32:09,prepare drinks,Barman-000002,
10,2024-05-06 20:33:38,Bring drinks,Barman-000001,
10,2024-05-06 20:38:13,Review drinks,Waiter-000003,
10,2024-05-06 20:40:22,prepare drinks,Barman-000003,
10,2024-05-06 20:53:19,Bring drinks,Barman-000001,
10,2024-05-06 20:54:46,Prepare main course,Cook-000002,
10,2024-05-06 21:02:35,Review drinks,Waiter-000004,
10,2024-05-06 21:04:57,Signal food complete,Cook-000003,
10,2024-05-06 21:08:26,Bring food,Cook helper-000001,
10,2024-05-06 21:15:44,Deliver to customer,Waiter-000002,
10,2024-05-06 21:17:36,EVENT 8 END,,
11,2024-05-06 20:45:00,Take order,Waiter-000004,
11,2024-05-06 20:45:00,start,,
11,2024-05-06 20:48:48,Review order,Waiter-000001,
11,2024-05-06 20:48:56,prepare drinks,Barman-000002,
11,2024-05-06 20:55:46,Prepare main course,Cook-000003,
11,2024-05-06 21:06:31,Bring drinks,Barman-000001,
11,2024-05-06 21:07:36,Review drinks,Waiter-000001,
11,2024-05-06 21:08:26,Signal food complete,Cook-000003,
11,2024-05-06 21:50:38,Bring food,Cook helper-000002,
11,2024-05-06 21:52:27,Deliver to customer,Waiter-000005,
11,2024-05-06 21:52:55,EVENT 8 END,,
12,2024-05-06 21:00:00,Take order,Waiter-000005,
12,2024-05-06 21:00:00,start,,
12,2024-05-06 21:00:00,Bring drinks_signed1,,collateral events(Bring drinks)
12,2024-05-06 21:00:54,Review order,Waiter-000003,
12,2024-05-06 21:00:55,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
12,2024-05-06 21:01:31,prepare drinks,Barman-000003,
12,2024-05-06 21:01:31,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
12,2024-05-06 21:07:06,Prepare main course,Cook-000002,
12,2024-05-06 21:07:07,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
12,2024-05-06 21:14:58,Bring drinks,Barman-000002,
12,2024-05-06 21:17:57,Review drinks,Waiter-000004,
12,2024-05-06 21:17:57,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
12,2024-05-06 21:18:33,prepare drinks,Barman-000003,
12,2024-05-06 21:18:34,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
12,2024-05-06 21:19:39,Signal food complete,Cook-000002,
12,2024-05-06 21:19:39,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
12,2024-05-06 21:23:01,Bring drinks,Barman-000001,
12,2024-05-06 21:23:02,Bring food,Cook helper-000003,
12,2024-05-06 21:23:03,Bring drinks_signed2,Cook helper-000003,collateral events(Bring drinks)
12,2024-05-06 21:38:19,Review drinks,Waiter-000004,
12,2024-05-06 21:38:19,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
12,2024-05-06 21:39:34,Deliver to customer,Waiter-000005,
12,2024-05-06 21:39:35,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
12,2024-05-06 21:40:05,EVENT 8 END,,
12,2024-05-06 21:40:05,Bring drinks_signed1,,collateral events(Bring drinks)
13,2024-05-06 21:15:00,Take order,Waiter-000005,
13,2024-05-06 21:15:00,start,,
13,2024-05-06 21:15:00,Bring drinks_signed1,,collateral events(Bring drinks)
13,2024-05-06 21:15:07,Review order,Waiter-000003,
13,2024-05-06 21:15:08,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
13,2024-05-06 21:17:42,prepare drinks,Barman-000001,
13,2024-05-06 21:17:43,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
13,2024-05-06 21:18:58,Prepare main course,Cook-000002,
13,2024-05-06 21:18:58,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
13,2024-05-06 21:21:46,Bring drinks,Barman-000002,
13,2024-05-06 21:23:02,Signal food complete,Cook-000002,
13,2024-05-06 21:23:02,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
13,2024-05-06 21:32:28,Review drinks,Waiter-000002,
13,2024-05-06 21:32:28,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
13,2024-05-06 22:21:02,Bring food,Cook helper-000003,
13,2024-05-06 22:21:02,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
13,2024-05-06 22:32:42,Deliver to customer,Waiter-000002,
13,2024-05-06 22:32:43,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
13,2024-05-06 22:33:01,EVENT 8 END,,
13,2024-05-06 22:33:02,Bring drinks_signed1,,collateral events(Bring drinks)
14,2024-05-06 21:30:00,Take order,Waiter-000005,
14,2024-05-06 21:30:00,start,,
14,2024-05-06 21:30:00,Bring drinks_signed1,,collateral events(Bring drinks)
14,2024-05-06 21:32:44,Review order,Waiter-000003,
14,2024-05-06 21:32:45,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
14,2024-05-06 21:33:36,Prepare starter,Cook helper-000001,
14,2024-05-06 21:33:36,prepare drinks,Barman-000003,
14,2024-05-06 21:33:37,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
14,2024-05-06 21:36:01,Bring drinks,Barman-000002,
14,2024-05-06 21:38:23,Review drinks,Waiter-000001,
14,2024-05-06 21:38:23,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
14,2024-05-06 21:50:38,Signal food complete,Cook-000003,
14,2024-05-06 21:50:38,Bring drinks_signed1,Cook-000003,collateral events(Bring drinks)
14,2024-05-06 22:04:41,Bring food,Cook helper-000001,
14,2024-05-06 22:04:41,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
14,2024-05-06 22:11:26,Deliver to customer,Waiter-000004,
14,2024-05-06 22:11:27,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
14,2024-05-06 22:11:30,EVENT 8 END,,
14,2024-05-06 22:11:31,Bring drinks_signed1,,collateral events(Bring drinks)
15,2024-05-06 21:45:00,Take order,Waiter-000002,
15,2024-05-06 21:45:00,start,,
15,2024-05-06 21:45:00,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
15,2024-05-06 21:46:56,Review order,Waiter-000003,
15,2024-05-06 21:46:56,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
15,2024-05-06 21:48:42,prepare drinks,Barman-000003,
15,2024-05-06 21:48:42,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
15,2024-05-06 21:49:25,Bring drinks,Barman-000001,
15,2024-05-06 21:49:48,Review drinks,Waiter-000004,
15,2024-05-06 21:49:48,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
15,2024-05-06 21:54:49,Prepare main course,Cook-000001,
15,2024-05-06 21:54:49,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
15,2024-05-06 21:56:19,Signal food complete,Cook-000001,
15,2024-05-06 21:56:20,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
15,2024-05-06 22:25:55,Bring food,Cook helper-000001,
15,2024-05-06 22:25:55,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
15,2024-05-06 22:26:03,Deliver to customer,Waiter-000004,
15,2024-05-06 22:26:04,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
15,2024-05-06 22:26:24,EVENT 8 END,,
15,2024-05-06 22:26:24,Bring drinks_signed1,,collateral events(Bring drinks)
16,2024-05-06 22:00:00,Take order,Waiter-000002,
16,2024-05-06 22:00:00,start,,
16,2024-05-06 22:01:39,Review order,Waiter-000003,
16,2024-05-06 22:01:52,prepare drinks,Barman-000002,
16,2024-05-06 22:04:41,Prepare main course,Cook-000003,
16,2024-05-06 22:07:06,Bring drinks,Barman-000003,
16,2024-05-06 22:13:15,Review drinks,Waiter-000005,
16,2024-05-06 22:13:28,prepare drinks,Barman-000001,
16,2024-05-06 22:19:26,Bring drinks,Barman-000003,
16,2024-05-06 22:27:58,Signal food complete,Cook-000001,
16,2024-05-06 22:50:01,Review drinks,Waiter-000005,
16,2024-05-06 23:04:03,Bring food,Cook helper-000003,
16,2024-05-06 23:04:05,Deliver to customer,Waiter-000004,
16,2024-05-06 23:05:18,EVENT 8 END,,
17,2024-05-06 22:15:00,Take order,Waiter-000001,
17,2024-05-06 22:15:00,start,,
17,2024-05-06 22:18:17,Review order,Waiter-000002,
17,2024-05-06 22:18:27,Prepare starter,Cook helper-000002,
17,2024-05-06 22:18:27,prepare drinks,Barman-000002,
17,2024-05-06 22:20:05,Bring drinks,Barman-000001,
17,2024-05-06 22:21:02,Prepare main course,Cook-000002,
17,2024-05-06 22:23:30,Review drinks,Waiter-000003,
17,2024-05-06 22:24:00,Signal food complete,Cook-000002,
17,2024-05-06 22:24:10,prepare drinks,Barman-000002,
17,2024-05-06 22:27:53,Bring drinks,Barman-000001,
17,2024-05-06 22:38:55,Bring food,Cook helper-000002,
17,2024-05-06 22:43:38,Review drinks,Waiter-000003,
17,2024-05-06 22:44:19,prepare drinks,Barman-000001,
17,2024-05-06 22:44:19,Bring drinks,Barman-000001,
17,2024-05-06 22:45:06,Review drinks,Waiter-000005,
17,2024-05-06 22:48:22,Deliver to customer,Waiter-000003,
17,2024-05-06 22:49:12,EVENT 8 END,,
18,2024-05-06 22:30:00,Take order,Waiter-000005,
18,2024-05-06 22:30:00,start,,
18,2024-05-06 22:31:25,Review order,Waiter-000001,
18,2024-05-06 22:35:16,Prepare main course,Cook-000003,
18,2024-05-06 22:35:16,prepare drinks,Barman-000002,
18,2024-05-06 22:37:13,Signal food complete,Cook-000003,
18,2024-05-06 22:43:24,Bring drinks,Barman-000002,
18,2024-05-06 22:45:51,Review drinks,Waiter-000002,
18,2024-05-06 22:49:21,prepare drinks,Barman-000002,
18,2024-05-06 22:49:37,Bring drinks,Barman-000002,
18,2024-05-06 22:53:49,Review drinks,Waiter-000004,
18,2024-05-06 22:53:52,prepare drinks,Barman-000003,
18,2024-05-06 23:01:16,Bring drinks,Barman-000001,
18,2024-05-06 23:02:20,Review drinks,Waiter-000002,
18,2024-05-07 00:49:26,Bring food,Cook helper-000002,
18,2024-05-07 00:50:22,Deliver to customer,Waiter-000003,
18,2024-05-07 00:52:51,EVENT 8 END,,
19,2024-05-06 22:45:00,Take order,Waiter-000004,
19,2024-05-06 22:45:00,start,,
19,2024-05-06 22:45:00,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
19,2024-05-06 22:47:09,Review order,Waiter-000001,
19,2024-05-06 22:47:09,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
19,2024-05-06 22:48:51,Prepare main course,Cook-000002,
19,2024-05-06 22:48:51,Prepare starter,Cook helper-000001,
19,2024-05-06 22:48:51,prepare drinks,Barman-000001,
19,2024-05-06 22:48:51,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
19,2024-05-06 22:54:43,Bring drinks,Barman-000002,
19,2024-05-06 22:54:54,Review drinks,Waiter-000001,
19,2024-05-06 22:54:55,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
19,2024-05-06 22:58:42,prepare drinks,Barman-000001,
19,2024-05-06 22:58:43,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
19,2024-05-06 23:00:05,Bring drinks,Barman-000002,
19,2024-05-06 23:00:39,Signal food complete,Cook-000002,
19,2024-05-06 23:00:40,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
19,2024-05-06 23:04:56,Review drinks,Waiter-000001,
19,2024-05-06 23:04:56,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
19,2024-05-07 00:05:51,Bring food,Cook helper-000002,
19,2024-05-07 00:05:51,Bring drinks_signed1,Cook helper-000002,collateral events(Bring drinks)
19,2024-05-07 00:11:19,Deliver to customer,Waiter-000004,
19,2024-05-07 00:11:19,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
19,2024-05-07 00:12:54,EVENT 8 END,,
19,2024-05-07 00:12:54,Bring drinks_signed1,,collateral events(Bring drinks)
20,2024-05-06 23:00:00,Take order,Waiter-000003,
20,2024-05-06 23:00:00,start,,
20,2024-05-06 23:00:00,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
20,2024-05-06 23:03:47,Review order,Waiter-000005,
20,2024-05-06 23:03:47,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
20,2024-05-06 23:06:23,Prepare main course,Cook-000001,
20,2024-05-06 23:06:23,Prepare starter,Cook helper-000002,
20,2024-05-06 23:06:23,prepare drinks,Barman-000003,
20,2024-05-06 23:06:23,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
20,2024-05-06 23:09:15,Bring drinks,Barman-000001,
20,2024-05-06 23:14:46,Review drinks,Waiter-000002,
20,2024-05-06 23:14:47,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
20,2024-05-06 23:15:22,prepare drinks,Barman-000002,
20,2024-05-06 23:15:22,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
20,2024-05-06 23:19:45,Bring drinks,Barman-000003,
20,2024-05-06 23:22:43,Review drinks,Waiter-000004,
20,2024-05-06 23:22:43,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
20,2024-05-06 23:23:48,prepare drinks,Barman-000001,
20,2024-05-06 23:23:48,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
20,2024-05-06 23:31:48,Bring drinks,Barman-000003,
20,2024-05-06 23:32:22,Review drinks,Waiter-000002,
20,2024-05-06 23:32:23,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
20,2024-05-06 23:50:55,Signal food complete,Cook-000001,
20,2024-05-06 23:50:55,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
20,2024-05-06 23:53:21,Bring food,Cook helper-000003,
20,2024-05-06 23:53:22,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
20,2024-05-06 23:56:29,Deliver to customer,Waiter-000003,
20,2024-05-06 23:56:29,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
20,2024-05-06 23:56:57,EVENT 8 END,,
20,2024-05-06 23:56:58,Bring drinks_signed1,,collateral events(Bring drinks)
21,2024-05-06 23:15:00,Take order,Waiter-000003,
21,2024-05-06 23:15:00,start,,
21,2024-05-06 23:15:00,Bring drinks_signed1,,collateral events(Bring drinks)
21,2024-05-06 23:23:54,Review order,Waiter-000001,
21,2024-05-06 23:23:54,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
21,2024-05-06 23:24:28,Prepare starter,Cook helper-000001,
21,2024-05-06 23:24:28,prepare drinks,Barman-000002,
21,2024-05-06 23:24:29,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
21,2024-05-06 23:28:10,Prepare main course,Cook-000001,
21,2024-05-06 23:28:11,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
21,2024-05-06 23:35:41,Bring drinks,Barman-000003,
21,2024-05-06 23:37:39,Review drinks,Waiter-000003,
21,2024-05-06 23:37:39,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
21,2024-05-07 00:05:51,Signal food complete,Cook-000002,
21,2024-05-07 00:05:51,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
21,2024-05-07 00:11:39,Bring food,Cook helper-000001,
21,2024-05-07 00:11:40,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
21,2024-05-07 00:18:09,Deliver to customer,Waiter-000002,
21,2024-05-07 00:18:09,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
21,2024-05-07 00:19:02,EVENT 8 END,,
21,2024-05-07 00:19:03,Bring drinks_signed1,,collateral events(Bring drinks)
22,2024-05-06 23:30:00,Take order,Waiter-000005,
22,2024-05-06 23:30:00,start,,
22,2024-05-06 23:33:22,Review order,Waiter-000004,
22,2024-05-06 23:35:31,prepare drinks,Barman-000001,
22,2024-05-06 23:36:10,Bring drinks,Barman-000002,
22,2024-05-06 23:38:42,Review drinks,Waiter-000001,
22,2024-05-06 23:53:21,Prepare main course,Cook-000001,
22,2024-05-07 00:11:39,Signal food complete,Cook-000002,
22,2024-05-07 00:49:40,Bring food,Cook helper-000003,
22,2024-05-07 00:49:59,Deliver to customer,Waiter-000004,
22,2024-05-07 00:50:55,EVENT 8 END,,
23,2024-05-06 23:45:00,Take order,Waiter-000002,
23,2024-05-06 23:45:00,start,,
23,2024-05-06 23:45:02,Review order,Waiter-000005,
23,2024-05-06 23:45:35,prepare drinks,Barman-000001,
23,2024-05-06 23:45:40,Bring drinks,Barman-000003,
23,2024-05-06 23:54:34,Prepare main course,Cook-000001,
23,2024-05-06 23:55:29,Review drinks,Waiter-000004,
23,2024-05-07 00:50:42,Signal food complete,Cook-000002,
23,2024-05-07 00:57:15,Bring food,Cook helper-000003,
23,2024-05-07 00:58:26,Deliver to customer,Waiter-000002,
23,2024-05-07 00:59:03,EVENT 8 END,,
24,2024-05-07 00:00:00,Take order,Waiter-000001,
24,2024-05-07 00:00:00,start,,
24,2024-05-07 00:01:17,Review order,Waiter-000002,
24,2024-05-07 00:01:29,prepare drinks,Barman-000002,
24,2024-05-07 00:06:29,Bring drinks,Barman-000001,
24,2024-05-07 00:09:31,Review drinks,Waiter-000005,
24,2024-05-07 00:35:41,Prepare main course,Cook-000001,
24,2024-05-07 01:24:49,Signal food complete,Cook-000003,
24,2024-05-07 01:50:36,Bring food,Cook helper-000003,
24,2024-05-07 01:53:30,Deliver to customer,Waiter-000003,
24,2024-05-07 01:56:51,EVENT 8 END,,
25,2024-05-07 00:15:00,Take order,Waiter-000003,
25,2024-05-07 00:15:00,start,,
25,2024-05-07 00:15:00,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
25,2024-05-07 00:15:43,Review order,Waiter-000001,
25,2024-05-07 00:15:43,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
25,2024-05-07 00:16:41,Prepare starter,Cook helper-000003,
25,2024-05-07 00:16:41,prepare drinks,Barman-000003,
25,2024-05-07 00:16:41,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
25,2024-05-07 00:17:27,Bring drinks,Barman-000002,
25,2024-05-07 00:22:45,Review drinks,Waiter-000005,
25,2024-05-07 00:22:45,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
25,2024-05-07 00:49:26,Signal food complete,Cook-000003,
25,2024-05-07 00:49:27,Bring drinks_signed1,Cook-000003,collateral events(Bring drinks)
25,2024-05-07 01:23:38,Bring food,Cook helper-000002,
25,2024-05-07 01:23:39,Bring drinks_signed1,Cook helper-000002,collateral events(Bring drinks)
25,2024-05-07 01:27:32,Deliver to customer,Waiter-000003,
25,2024-05-07 01:27:32,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
25,2024-05-07 01:30:33,EVENT 8 END,,
25,2024-05-07 01:30:34,Bring drinks_signed1,,collateral events(Bring drinks)
