Case,Timestamp,Activity,Activity_fixed,ishomonymous,label
10051383,2014-06-24 07:00:02,assessment of content completed,assessment of content completed,0,
10051383,2014-06-24 07:00:03,by law,by law,0,
10051383,2014-06-24 07:00:04,completed subcases content,completed subcases content,0,
10051383,2014-06-24 07:00:05,coordination of application,coordination of application,0,
10051383,2014-06-24 07:00:06,creating cover letter decision,creating cover letter decision,0,
10051383,2014-06-24 07:00:07,creating environmental permit decision,creating environmental permit decision,0,
10051383,2014-06-24 07:00:08,decision date prior to decision,decision date prior to decision,0,
10051383,2014-06-24 07:00:09,enter senddate decision,enter senddate decision,0,
10051383,2014-06-24 07:00:10,enter senddate decision environmental permit,enter senddate decision environmental permit,0,
10051383,2014-06-24 07:00:11,generating decision environmental permit,generating decision environmental permit,0,
10051383,2014-06-24 07:00:12,grounds for refusal,grounds for refusal,0,
10051383,2014-06-24 07:00:13,phase advice known,phase advice known,0,
10051383,2014-06-24 07:00:14,phase application receptive,phase application received,0,
10051383,2014-06-24 07:00:15,phase decision ready,phase decision ready,0,
10051383,2014-06-24 07:00:16,phase decision sent,phase decision sent,0,
10051383,2014-06-24 07:00:17,phase decision taken,phase decision taken,0,
10051383,2014-06-24 07:00:18,procedure change,procedure change,0,
10051383,2014-06-24 07:00:19,procedure change after completeness,procedure change after completeness,0,
10051383,2014-06-24 07:00:20,register objection and appeal periods,register objection and appeal periods,0,
10051383,2014-06-24 07:00:21,request complete,request complete,0,
10051383,2014-06-24 07:00:22,send letter in progress,send letter in progress,0,
10051383,2014-06-24 07:00:23,set decision status,set decision status,0,
10051383,2014-06-24 07:00:24,submit decision,submit decision,0,
10051383,2014-06-24 07:00:25,suspension ground applicable,suspension ground applicable,0,
10051383,2014-06-24 07:00:26,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,0,
10051383,2014-06-24 07:00:27,treat subcases content,treat subcases content,0,
10051383,2014-06-26 07:00:09,enter senddate decision environmental permit,enter senddate decision environmental permit,0,
10051383,2014-06-26 07:00:10,record date of decision environmental permit,record date of decision environmental permit,0,
10051383,2014-06-26 07:00:11,set decision phase decision permitting decided,set decision phase decision permitting decided,0,
10051383,2014-06-26 07:00:12,start decision phase decision permitting sent,set decision phase decision permitting decided,0,
10053042,2014-04-14 07:00:41,register submission date request,register submission date request,0,
10053042,2014-04-17 07:00:43,OLO messaging active,OLO messaging active,0,
10053042,2014-04-17 07:00:44,create procedure confirmation,enter senddate procedure confirmation,0,
10053042,2014-04-17 07:00:45,create publication document,create publication document,0,
10053042,2014-04-17 07:00:46,create subcases completeness,create subcases completeness,0,
10053042,2014-04-17 07:00:47,forward to the competent authority,forward to the competent authority,0,
10053042,2014-04-17 07:00:48,phase application received,phase application received,0,
10053042,2014-04-17 07:00:49,registration date publication,registration date publication,0,
10053042,2014-04-17 07:00:50,regular procedure without MER,regular procedure without MER,0,
10053042,2014-04-17 07:00:51,send confirmation receipt,send confirmation receipt,0,
10053042,2014-04-17 07:00:52,send confirmation receipt,send confirmation receipt,0,
10053042,2014-04-17 07:00:53,start WABOprocedure,start WABOprocedure,0,
10053042,2014-05-26 07:00:05,create letter requesting missing data,create letter requesting missing data,0,
10053042,2014-05-26 07:00:06,phase asked additional information,phase asked additional information,0,
10053042,2014-05-26 07:00:07,procedure change,procedure change,0,
10053042,2014-05-26 07:00:08,request complete,request complete,0,
10053042,2014-05-26 07:00:09,retrieve missing data,retrieve missing data,0,
10053042,2014-05-26 07:00:10,term for supplying missing data,term for supplying missing data,0,
10053042,2014-06-23 07:00:01,phase additional information received,receive additional information,0,
10053042,2014-06-23 07:00:02,receive additional information,receive additional information,0,
10053042,2014-06-24 07:00:28,MER present in supplement,MER present in supplement,0,
10053042,2014-06-24 07:00:29,article 34  WABO applies,article 34  WABO applies,0,
10053042,2014-06-24 07:00:30,ask stakeholders views,ask stakeholders views,0,
10053042,2014-06-24 07:00:31,assessment of content completed,assessment of content completed,0,
10053042,2014-06-24 07:00:32,by law,by law,0,
10053042,2014-06-24 07:00:33,completed subcases content,completed subcases content,0,
10053042,2014-06-24 07:00:34,coordination of application,coordination of application,0,
10053042,2014-06-24 07:00:35,creating environmental permit decision,creating environmental permit decision,0,
10053042,2014-06-24 07:00:36,decision date prior to decision,decision date prior to decision,0,
10053042,2014-06-24 07:00:37,generating decision environmental permit,generating decision environmental permit,0,
10053042,2014-06-24 07:00:38,grounds for refusal,grounds for refusal,0,
10053042,2014-06-24 07:00:39,phase advice known,phase advice known,0,
10053042,2014-06-24 07:00:40,phase application receptive,phase application received,0,
10053042,2014-06-24 07:00:41,procedure change,procedure change,0,
10053042,2014-06-24 07:00:42,procedure change after completeness,procedure change after completeness,0,
10053042,2014-06-24 07:00:43,request complete,request complete,0,
10053042,2014-06-24 07:00:44,send confirmation receipt additional data,send confirmation receipt additional data,0,
10053042,2014-06-24 07:00:45,send letter in progress,send letter in progress,0,
10053042,2014-06-24 07:00:46,set decision status,set decision status,0,
10053042,2014-06-24 07:00:47,suspension ground applicable,suspension ground applicable,0,
10053042,2014-06-24 07:00:48,treat subcases content,treat subcases content,0,
10053042,2014-06-30 07:00:37,phase decision ready,phase decision ready,0,
10053042,2014-06-30 07:00:38,submit decision,submit decision,0,
10053042,2014-07-01 07:00:02,creating cover letter decision,creating cover letter decision,0,
10053042,2014-07-01 07:00:03,enter senddate decision,enter senddate decision,0,
10053042,2014-07-01 07:00:04,enter senddate decision environmental permit,enter senddate decision environmental permit,0,
10053042,2014-07-01 07:00:05,phase decision sent,phase decision sent,0,
10053042,2014-07-01 07:00:06,phase decision taken,phase decision taken,0,
10053042,2014-07-01 07:00:07,register objection and appeal periods,register objection and appeal periods,0,
10053042,2014-07-01 07:00:08,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,0,
10053042,2014-07-03 07:00:29,enter senddate decision environmental permit,enter senddate decision environmental permit,0,
10053042,2014-07-03 07:00:30,record date of decision environmental permit,record date of decision environmental permit,0,
10053042,2014-07-03 07:00:31,set decision phase decision permitting decided,set decision phase decision permitting decided,0,
10053042,2014-07-03 07:00:32,start decision phase decision permitting sent,set decision phase decision permitting decided,0,
10083315,2014-04-17 07:00:54,register submission date request,register submission date request,0,
10083315,2014-04-25 07:00:20,OLO messaging active,OLO messaging active,0,
10083315,2014-04-25 07:00:21,create procedure confirmation,enter senddate procedure confirmation,0,
10083315,2014-04-25 07:00:22,create publication document,create publication document,0,
10083315,2014-04-25 07:00:23,create subcases completeness,create subcases completeness,0,
10083315,2014-04-25 07:00:24,forward to the competent authority,forward to the competent authority,0,
10083315,2014-04-25 07:00:25,phase application received,phase application received,0,
10083315,2014-04-25 07:00:26,registration date publication,registration date publication,0,
10083315,2014-04-25 07:00:27,regular procedure without MER,regular procedure without MER,0,
10083315,2014-04-25 07:00:28,send confirmation receipt,send confirmation receipt,0,
10083315,2014-04-25 07:00:29,send confirmation receipt,send confirmation receipt,0,
10083315,2014-04-25 07:00:30,start WABOprocedure,start WABOprocedure,0,
10083315,2014-05-26 07:00:11,create letter requesting missing data,create letter requesting missing data,0,
10083315,2014-05-26 07:00:12,phase asked additional information,phase asked additional information,0,
10083315,2014-05-26 07:00:13,procedure change,procedure change,0,
10083315,2014-05-26 07:00:14,request complete,request complete,0,
10083315,2014-05-26 07:00:15,retrieve missing data,retrieve missing data,0,
10083315,2014-05-26 07:00:16,term for supplying missing data,term for supplying missing data,0,
10083315,2014-05-27 07:00:54,enter senddate retrieve missing data,retrieve missing data,0,
10083315,2014-07-04 07:00:27,MER present in supplement,MER present in supplement,0,
10083315,2014-07-04 07:00:28,enter receipt of additional data,enter receipt of additional data,0,
10083315,2014-07-04 07:00:29,phase additional information received,receive additional information,0,
10083315,2014-07-04 07:00:30,receive additional information,receive additional information,0,
10083315,2014-07-04 07:00:31,send confirmation receipt additional data,send confirmation receipt additional data,0,
10083315,2014-07-07 07:01:09,article 34  WABO applies,article 34  WABO applies,0,
10083315,2014-07-07 07:01:10,ask stakeholders views,ask stakeholders views,0,
10083315,2014-07-07 07:01:11,assessment of content completed,assessment of content completed,0,
10083315,2014-07-07 07:01:12,by law,by law,0,
10083315,2014-07-07 07:01:13,completed subcases content,completed subcases content,0,
10083315,2014-07-07 07:01:14,coordination of application,coordination of application,0,
10083315,2014-07-07 07:01:15,creating environmental permit decision,creating environmental permit decision,0,
10083315,2014-07-07 07:01:16,decision date prior to decision,decision date prior to decision,0,
10083315,2014-07-07 07:01:17,generating decision environmental permit,generating decision environmental permit,0,
10083315,2014-07-07 07:01:18,grounds for refusal,grounds for refusal,0,
10083315,2014-07-07 07:01:19,phase advice known,phase advice known,0,
10083315,2014-07-07 07:01:20,phase application receptive,phase application received,0,
10083315,2014-07-07 07:01:21,phase decision ready,phase decision ready,0,
10083315,2014-07-07 07:01:22,procedure change,procedure change,0,
10083315,2014-07-07 07:01:23,procedure change after completeness,procedure change after completeness,0,
10083315,2014-07-07 07:01:24,request complete,request complete,0,
10083315,2014-07-07 07:01:25,send letter in progress,send letter in progress,0,
10083315,2014-07-07 07:01:26,set decision status,set decision status,0,
10083315,2014-07-07 07:01:27,submit decision,submit decision,0,
10083315,2014-07-07 07:01:28,suspension ground applicable,suspension ground applicable,0,
10083315,2014-07-07 07:01:29,treat subcases content,treat subcases content,0,
10083315,2014-07-11 07:00:17,create monitoring case,create monitoring case,0,
10083315,2014-07-11 07:00:18,creating cover letter decision,creating cover letter decision,0,
10083315,2014-07-11 07:00:19,enter senddate decision,enter senddate decision,0,
10083315,2014-07-11 07:00:20,enter senddate decision environmental permit,enter senddate decision environmental permit,0,
10083315,2014-07-11 07:00:21,phase decision sent,phase decision sent,0,
10083315,2014-07-11 07:00:22,phase decision taken,phase decision taken,0,
10083315,2014-07-11 07:00:23,register objection and appeal periods,register objection and appeal periods,0,
10083315,2014-07-11 07:00:24,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,0,
10083315,2014-07-17 07:00:08,enter senddate decision environmental permit,enter senddate decision environmental permit,0,
10083315,2014-07-17 07:00:09,record date of decision environmental permit,record date of decision environmental permit,0,
10083315,2014-07-17 07:00:10,set decision phase decision permitting decided,set decision phase decision permitting decided,0,
10083315,2014-07-17 07:00:11,start decision phase decision permitting sent,set decision phase decision permitting decided,0,
10093171,2014-04-22 07:00:52,register submission date request,register submission date request,0,
10093171,2014-04-29 07:00:51,OLO messaging active,OLO messaging active,0,
10093171,2014-04-29 07:00:52,create procedure confirmation,enter senddate procedure confirmation,0,
10093171,2014-04-29 07:00:53,create publication document,create publication document,0,
10093171,2014-04-29 07:00:54,forward to the competent authority,forward to the competent authority,0,
10093171,2014-04-29 07:00:55,phase application received,phase application received,0,
10093171,2014-04-29 07:00:56,registration date publication,registration date publication,0,
10093171,2014-04-29 07:00:57,regular procedure without MER,regular procedure without MER,0,
10093171,2014-04-29 07:00:58,send confirmation receipt,send confirmation receipt,0,
10093171,2014-04-29 07:00:59,send confirmation receipt,send confirmation receipt,0,
10093171,2014-04-29 07:01:00,start WABOprocedure,start WABOprocedure,0,
10093171,2014-06-12 07:00:08,article 34  WABO applies,article 34  WABO applies,0,
10093171,2014-06-12 07:00:09,ask stakeholders views,ask stakeholders views,0,
10093171,2014-06-12 07:00:10,assessment of content completed,assessment of content completed,0,
10093171,2014-06-12 07:00:11,by law,by law,0,
10093171,2014-06-12 07:00:12,completed subcases content,completed subcases content,0,
10093171,2014-06-12 07:00:13,coordination of application,coordination of application,0,
10093171,2014-06-12 07:00:14,create subcases completeness,create subcases completeness,0,
10093171,2014-06-12 07:00:15,creating environmental permit decision,creating environmental permit decision,0,
10093171,2014-06-12 07:00:16,decision date prior to decision,decision date prior to decision,0,
10093171,2014-06-12 07:00:17,generating decision environmental permit,generating decision environmental permit,0,
10093171,2014-06-12 07:00:18,grounds for refusal,grounds for refusal,0,
10093171,2014-06-12 07:00:19,phase advice known,phase advice known,0,
10093171,2014-06-12 07:00:20,phase application receptive,phase application received,0,
10093171,2014-06-12 07:00:21,phase decision ready,phase decision ready,0,
10093171,2014-06-12 07:00:22,procedure change,procedure change,0,
10093171,2014-06-12 07:00:23,procedure change,procedure change,0,
10093171,2014-06-12 07:00:24,request complete,request complete,0,
10093171,2014-06-12 07:00:25,send letter in progress,send letter in progress,0,
10093171,2014-06-12 07:00:26,set decision status,set decision status,0,
10093171,2014-06-12 07:00:27,submit decision,submit decision,0,
10093171,2014-06-12 07:00:28,suspension ground applicable,suspension ground applicable,0,
10093171,2014-06-12 07:00:29,treat subcases content,treat subcases content,0,
10093171,2014-07-04 07:00:32,create monitoring case,create monitoring case,0,
10093171,2014-07-04 07:00:33,creating cover letter decision,creating cover letter decision,0,
10093171,2014-07-04 07:00:34,enter senddate decision,enter senddate decision,0,
10093171,2014-07-04 07:00:35,enter senddate decision environmental permit,enter senddate decision environmental permit,0,
10093171,2014-07-04 07:00:36,phase decision sent,phase decision sent,0,
10093171,2014-07-04 07:00:37,phase decision taken,phase decision taken,0,
10093171,2014-07-04 07:00:38,register objection and appeal periods,register objection and appeal periods,0,
10093171,2014-07-04 07:00:39,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,0,
10093171,2014-07-10 07:00:02,enter senddate decision environmental permit,enter senddate decision environmental permit,0,
10093171,2014-07-10 07:00:03,record date of decision environmental permit,record date of decision environmental permit,0,
10093171,2014-07-10 07:00:04,set decision phase decision permitting decided,set decision phase decision permitting decided,0,
10093171,2014-07-10 07:00:05,start decision phase decision permitting sent,set decision phase decision permitting decided,0,
10128431,2014-04-25 07:00:31,register submission date request,register submission date request,0,
10128431,2014-04-29 07:01:01,OLO messaging active,OLO messaging active,0,
10128431,2014-04-29 07:01:02,create procedure confirmation,enter senddate procedure confirmation,0,
10128431,2014-04-29 07:01:03,create publication document,create publication document,0,
10128431,2014-04-29 07:01:04,create subcases completeness,create subcases completeness,0,
10128431,2014-04-29 07:01:05,forward to the competent authority,forward to the competent authority,0,
10128431,2014-04-29 07:01:06,phase application received,phase application received,0,
10128431,2014-04-29 07:01:07,registration date publication,registration date publication,0,
10128431,2014-04-29 07:01:08,regular procedure without MER,regular procedure without MER,0,
10128431,2014-04-29 07:01:09,Check:homonymous,Check,1,homonymous Label(Activity:'send confirmation receipt')
10128431,2014-04-29 07:01:10,Check:homonymous,Check,1,homonymous Label(Activity:'send confirmation receipt')
10128431,2014-04-29 07:01:11,start WABOprocedure,start WABOprocedure,0,
10128431,2014-05-26 07:00:17,create letter requesting missing data,create letter requesting missing data,0,
10128431,2014-05-26 07:00:18,enter receipt of additional data,enter receipt of additional data,0,
10128431,2014-05-26 07:00:19,phase asked additional information,phase asked additional information,0,
10128431,2014-05-26 07:00:20,Check:homonymous,Check,1,homonymous Label(Activity:'procedure change')
10128431,2014-05-26 07:00:21,request complete,request complete,0,
10128431,2014-05-26 07:00:22,retrieve missing data,retrieve missing data,0,
10128431,2014-05-26 07:00:23,term for supplying missing data,term for supplying missing data,0,
10128431,2014-06-02 07:00:48,MER present in supplement,MER present in supplement,0,
10128431,2014-06-02 07:00:49,phase additional information received,receive additional information,0,
10128431,2014-06-02 07:00:50,receive additional information,receive additional information,0,
10128431,2014-06-02 07:00:51,send confirmation receipt additional data,send confirmation receipt additional data,0,
10128431,2014-06-17 07:00:04,article 34  WABO applies,article 34  WABO applies,0,
10128431,2014-06-17 07:00:05,ask stakeholders views,ask stakeholders views,0,
10128431,2014-06-17 07:00:06,assessment of content completed,assessment of content completed,0,
10128431,2014-06-17 07:00:07,by law,by law,0,
10128431,2014-06-17 07:00:08,completed subcases content,completed subcases content,0,
10128431,2014-06-17 07:00:09,coordination of application,coordination of application,0,
10128431,2014-06-17 07:00:10,create monitoring case,create monitoring case,0,
10128431,2014-06-17 07:00:11,creating cover letter decision,creating cover letter decision,0,
10128431,2014-06-17 07:00:12,creating environmental permit decision,creating environmental permit decision,0,
10128431,2014-06-17 07:00:13,decision date prior to decision,decision date prior to decision,0,
10128431,2014-06-17 07:00:14,enter senddate decision,enter senddate decision,0,
10128431,2014-06-17 07:00:15,Check:homonymous,Check,1,homonymous Label(Activity:'enter senddate decision environmental permit')
10128431,2014-06-17 07:00:16,generating decision environmental permit,generating decision environmental permit,0,
10128431,2014-06-17 07:00:17,grounds for refusal,grounds for refusal,0,
10128431,2014-06-17 07:00:18,phase advice known,phase advice known,0,
10128431,2014-06-17 07:00:19,phase application receptive,phase application received,0,
10128431,2014-06-17 07:00:20,phase decision sent,phase decision sent,0,
10128431,2014-06-17 07:00:21,phase decision taken,phase decision taken,0,
10128431,2014-06-17 07:00:22,Check:homonymous,Check,1,homonymous Label(Activity:'procedure change')
10128431,2014-06-17 07:00:23,procedure change after completeness,procedure change after completeness,0,
10128431,2014-06-17 07:00:24,register objection and appeal periods,register objection and appeal periods,0,
10128431,2014-06-17 07:00:25,request complete,request complete,0,
10128431,2014-06-17 07:00:26,send letter in progress,send letter in progress,0,
10128431,2014-06-17 07:00:27,set decision phase decision permitting decided,set decision phase decision permitting decided,0,
10128431,2014-06-17 07:00:28,set decision status,set decision status,0,
10128431,2014-06-17 07:00:29,start decision phase decision permitting sent,set decision phase decision permitting decided,0,
10128431,2014-06-17 07:00:30,suspension ground applicable,suspension ground applicable,0,
10128431,2014-06-17 07:00:31,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,0,
10128431,2014-06-17 07:00:32,treat subcases content,treat subcases content,0,
10153084,2014-04-29 07:01:12,register submission date request,register submission date request,0,
10153084,2014-05-01 07:01:17,OLO messaging active,OLO messaging active,0,
10153084,2014-05-01 07:01:18,create procedure confirmation,enter senddate procedure confirmation,0,
10153084,2014-05-01 07:01:19,create publication document,create publication document,0,
10153084,2014-05-01 07:01:20,forward to the competent authority,forward to the competent authority,0,
10153084,2014-05-01 07:01:21,phase application received,phase application received,0,
10153084,2014-05-01 07:01:22,registration date publication,registration date publication,0,
10153084,2014-05-01 07:01:23,regular procedure without MER,regular procedure without MER,0,
10153084,2014-05-01 07:01:24,Check:homonymous,Check,1,homonymous Label(Activity:'send confirmation receipt')
10153084,2014-05-01 07:01:25,Check:homonymous,Check,1,homonymous Label(Activity:'send confirmation receipt')
10153084,2014-05-01 07:01:26,start WABOprocedure,start WABOprocedure,0,
10153084,2014-06-02 07:00:52,create letter requesting missing data,create letter requesting missing data,0,
10153084,2014-06-02 07:00:53,create subcases completeness,create subcases completeness,0,
10153084,2014-06-02 07:00:54,phase asked additional information,phase asked additional information,0,
10153084,2014-06-02 07:00:55,Check:homonymous,Check,1,homonymous Label(Activity:'procedure change')
10153084,2014-06-02 07:00:56,request complete,request complete,0,
10153084,2014-06-02 07:00:57,retrieve missing data,retrieve missing data,0,
10153084,2014-06-02 07:00:58,term for supplying missing data,term for supplying missing data,0,
10153084,2014-06-03 07:00:03,enter senddate retrieve missing data,retrieve missing data,0,
10153084,2014-06-04 07:00:10,enter receipt of additional data,enter receipt of additional data,0,
10153084,2014-06-05 07:00:11,MER present in supplement,MER present in supplement,0,
10153084,2014-06-05 07:00:12,phase additional information received,receive additional information,0,
10153084,2014-06-05 07:00:13,receive additional information,receive additional information,0,
10153084,2014-06-05 07:00:14,send confirmation receipt additional data,send confirmation receipt additional data,0,
10153084,2014-06-11 07:00:33,article 34  WABO applies,article 34  WABO applies,0,
10153084,2014-06-11 07:00:34,ask stakeholders views,ask stakeholders views,0,
10153084,2014-06-11 07:00:35,assessment of content completed,assessment of content completed,0,
10153084,2014-06-11 07:00:36,by law,by law,0,
10153084,2014-06-11 07:00:37,completed subcases content,completed subcases content,0,
10153084,2014-06-11 07:00:38,coordination of application,coordination of application,0,
10153084,2014-06-11 07:00:39,creating environmental permit decision,creating environmental permit decision,0,
10153084,2014-06-11 07:00:40,decision date prior to decision,decision date prior to decision,0,
10153084,2014-06-11 07:00:41,generating decision environmental permit,generating decision environmental permit,0,
10153084,2014-06-11 07:00:42,grounds for refusal,grounds for refusal,0,
10153084,2014-06-11 07:00:43,phase advice known,phase advice known,0,
10153084,2014-06-11 07:00:44,phase application receptive,phase application received,0,
10153084,2014-06-11 07:00:45,phase decision ready,phase decision ready,0,
10153084,2014-06-11 07:00:46,Check:homonymous,Check,1,homonymous Label(Activity:'procedure change')
10153084,2014-06-11 07:00:47,procedure change after completeness,procedure change after completeness,0,
10153084,2014-06-11 07:00:48,request complete,request complete,0,
10153084,2014-06-11 07:00:49,send letter in progress,send letter in progress,0,
10153084,2014-06-11 07:00:50,set decision status,set decision status,0,
10153084,2014-06-11 07:00:51,submit decision,submit decision,0,
10153084,2014-06-11 07:00:52,suspension ground applicable,suspension ground applicable,0,
10153084,2014-06-11 07:00:53,treat subcases content,treat subcases content,0,
10153084,2014-06-13 07:00:33,create monitoring case,create monitoring case,0,
10153084,2014-06-13 07:00:34,creating cover letter decision,creating cover letter decision,0,
10153084,2014-06-13 07:00:35,enter senddate decision,enter senddate decision,0,
10153084,2014-06-13 07:00:36,Check:homonymous,Check,1,homonymous Label(Activity:'enter senddate decision environmental permit')
10153084,2014-06-13 07:00:37,phase decision sent,phase decision sent,0,
10153084,2014-06-13 07:00:38,phase decision taken,phase decision taken,0,
10153084,2014-06-13 07:00:39,register objection and appeal periods,register objection and appeal periods,0,
10153084,2014-06-13 07:00:40,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,0,
10153084,2014-06-17 07:00:33,Check:homonymous,Check,1,homonymous Label(Activity:'enter senddate decision environmental permit')
10153084,2014-06-17 07:00:34,record date of decision environmental permit,record date of decision environmental permit,0,
10153084,2014-06-17 07:00:35,set decision phase decision permitting decided,set decision phase decision permitting decided,0,
10153084,2014-06-17 07:00:36,start decision phase decision permitting sent,set decision phase decision permitting decided,0,
10154600,2014-04-30 07:00:41,register submission date request,register submission date request,0,
10154600,2014-05-01 07:01:27,OLO messaging active,OLO messaging active,0,
10154600,2014-05-01 07:01:28,create procedure confirmation,enter senddate procedure confirmation,0,
10154600,2014-05-01 07:01:29,create publication document,create publication document,0,
10154600,2014-05-01 07:01:30,forward to the competent authority,forward to the competent authority,0,
10154600,2014-05-01 07:01:31,phase application received,phase application received,0,
10154600,2014-05-01 07:01:32,registration date publication,registration date publication,0,
10154600,2014-05-01 07:01:33,regular procedure without MER,regular procedure without MER,0,
10154600,2014-05-01 07:01:34,Check:homonymous,Check,1,homonymous Label(Activity:'send confirmation receipt')
10154600,2014-05-01 07:01:35,Check:homonymous,Check,1,homonymous Label(Activity:'send confirmation receipt')
10154600,2014-05-01 07:01:36,start WABOprocedure,start WABOprocedure,0,
10154600,2014-06-11 07:00:54,create subcases completeness,create subcases completeness,0,
10154600,2014-06-11 07:00:55,Check:homonymous,Check,1,homonymous Label(Activity:'procedure change')
